market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-HUNT,2025-01-27T13:30:00,2025-01-27T22:30:00,530.1,530.1,527,527,1737984754436,237330.50781032,450.23155271,30
KRW-HUNT,2025-01-27T13:00:00,2025-01-27T22:00:00,528.6,531.2,526.1,530.1,1737984588579,61842468.87346173,117058.28686666,30
KRW-HUNT,2025-01-27T12:30:00,2025-01-27T21:30:00,518,533.3,516,528,1737982777584,116735472.13711779,221376.26505968,30
KRW-HUNT,2025-01-27T12:00:00,2025-01-27T21:00:00,518.6,522,518,518.4,1737980958935,26474469.18256309,50925.02985169,30
KRW-HUNT,2025-01-27T11:30:00,2025-01-27T20:30:00,515.8,519.9,513.7,516.7,1737979134931,78885808.23716262,152891.7646178,30
KRW-HUNT,2025-01-27T11:00:00,2025-01-27T20:00:00,512.4,516,510.3,515,1737977340847,11811946.41605553,23029.31700363,30
KRW-HUNT,2025-01-27T10:30:00,2025-01-27T19:30:00,518.6,518.6,509.5,509.9,1737975599340,65985240.37042495,128518.88682471,30
KRW-HUNT,2025-01-27T10:00:00,2025-01-27T19:00:00,516.7,520,515.4,518.7,1737973752454,45869425.61777158,88574.3055085,30
KRW-HUNT,2025-01-27T09:30:00,2025-01-27T18:30:00,511.4,517.1,510.1,516.6,1737971984347,48529753.64447128,94270.74029932,30
KRW-HUNT,2025-01-27T09:00:00,2025-01-27T18:00:00,509.2,516.2,508.7,511,1737970189310,94385219.79868425,184159.70546128,30
KRW-HUNT,2025-01-27T08:30:00,2025-01-27T17:30:00,515.6,516.2,506.8,509.2,1737968389138,162303247.4257458,317677.60222661,30
KRW-HUNT,2025-01-27T08:00:00,2025-01-27T17:00:00,521.3,523.1,515.5,515.5,1737966540440,133465791.3467361,257672.02395616,30
KRW-HUNT,2025-01-27T07:30:00,2025-01-27T16:30:00,510.6,524.1,510.3,523.9,1737964650836,169411689.26341465,326472.26106107,30
KRW-HUNT,2025-01-27T07:00:00,2025-01-27T16:00:00,521.7,524,510.8,510.8,1737962993954,195547631.87693754,378828.44011121,30
KRW-HUNT,2025-01-27T06:30:00,2025-01-27T15:30:00,528.3,528.3,512,520.5,1737961177950,314664240.5402007,606401.02413134,30
KRW-HUNT,2025-01-27T06:00:00,2025-01-27T15:00:00,531.5,533.8,525.1,527.1,1737959382691,201896769.84279007,380758.70162843,30
