market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ICX,2025-01-27T13:00:00,2025-01-27T22:00:00,242,242,239,240,1737984543252,42508210.63898135,176907.04465252,30
KRW-ICX,2025-01-27T12:30:00,2025-01-27T21:30:00,236,243,236,241,1737982789154,65765927.88122369,275048.69184218,30
KRW-ICX,2025-01-27T12:00:00,2025-01-27T21:00:00,235,237,235,236,1737980972744,28447194.0211543,120849.37969349,30
KRW-ICX,2025-01-27T11:30:00,2025-01-27T20:30:00,237,238,235,236,1737979177853,25724811.00464526,109344.46622062,30
KRW-ICX,2025-01-27T11:00:00,2025-01-27T20:00:00,236,238,235,238,1737977372309,12672204.76317468,53543.11354111,30
KRW-ICX,2025-01-27T10:30:00,2025-01-27T19:30:00,238,238,236,236,1737975542978,33752059.6889288,142957.74696865,30
KRW-ICX,2025-01-27T10:00:00,2025-01-27T19:00:00,239,239,239,239,1737973418281,7242439.75522107,30303.09521013,30
KRW-ICX,2025-01-27T09:30:00,2025-01-27T18:30:00,238,239,238,239,1737971674590,6083988.34466674,25533.00863805,30
KRW-ICX,2025-01-27T09:00:00,2025-01-27T18:00:00,236,240,236,237,1737970190533,84100048.416359,354274.36006502,30
KRW-ICX,2025-01-27T08:30:00,2025-01-27T17:30:00,238,238,235,237,1737968276389,130112641.45981452,551097.08463559,30
KRW-ICX,2025-01-27T08:00:00,2025-01-27T17:00:00,239,240,236,240,1737966587832,65533819.18022009,275875.15412252,30
KRW-ICX,2025-01-27T07:30:00,2025-01-27T16:30:00,234,240,233,239,1737964770501,329433363.0105771,1382646.27595218,30
KRW-ICX,2025-01-27T07:00:00,2025-01-27T16:00:00,238,240,234,234,1737962992777,101874169.71474788,430158.31628994,30
KRW-ICX,2025-01-27T06:30:00,2025-01-27T15:30:00,242,242,237,238,1737961181450,194972635.31780696,818590.9436849,30
KRW-ICX,2025-01-27T06:00:00,2025-01-27T15:00:00,241,243,240,242,1737959350754,45308931.7549579,187963.63143823,30
KRW-ICX,2025-01-27T05:30:00,2025-01-27T14:30:00,242,243,241,243,1737957532399,82421563.07835196,340903.17306108,30
KRW-ICX,2025-01-27T05:00:00,2025-01-27T14:00:00,243,243,242,242,1737955778903,18678457.54506799,77004.06028214,30
KRW-ICX,2025-01-27T04:30:00,2025-01-27T13:30:00,243,244,242,243,1737953910011,10521638.22166399,43285.59974893,30
KRW-ICX,2025-01-27T04:00:00,2025-01-27T13:00:00,243,244,242,243,1737952049732,36887101.16915296,151879.5356717,30
KRW-ICX,2025-01-27T03:30:00,2025-01-27T12:30:00,245,245,243,244,1737950367256,11933488.41349691,48919.13694406,30
KRW-ICX,2025-01-27T03:00:00,2025-01-27T12:00:00,244,245,243,245,1737948592533,21199540.4239345,86958.51844489,30
KRW-ICX,2025-01-27T02:30:00,2025-01-27T11:30:00,244,244,242,242,1737946590027,16069420.5499092,66153.22239698,30
KRW-ICX,2025-01-27T02:00:00,2025-01-27T11:00:00,244,245,242,244,1737944980588,77872666.3549204,319553.15910763,30
KRW-ICX,2025-01-27T01:30:00,2025-01-27T10:30:00,246,247,245,245,1737943105154,37183332.45361185,151466.63259996,30
KRW-ICX,2025-01-27T01:00:00,2025-01-27T10:00:00,247,247,244,245,1737941395198,76603076.15418391,311759.74330592,30
KRW-ICX,2025-01-27T00:30:00,2025-01-27T09:30:00,249,250,246,247,1737939553203,101304540.84431162,409637.75671772,30
KRW-ICX,2025-01-27T00:00:00,2025-01-27T09:00:00,249,252,248,249,1737937752031,104079576.32289773,417034.63531321,30
KRW-ICX,2025-01-26T23:30:00,2025-01-27T08:30:00,252,252,250,250,1737935948839,23632800.10210102,94262.95273659,30
KRW-ICX,2025-01-26T23:00:00,2025-01-27T08:00:00,254,255,250,251,1737934137858,144448883.21480793,572449.52409383,30
KRW-ICX,2025-01-26T22:30:00,2025-01-27T07:30:00,256,256,255,255,1737932350686,12161443.55342905,47656.53185781,30
KRW-ICX,2025-01-26T22:00:00,2025-01-27T07:00:00,255,256,254,255,1737930443064,8108625.16134095,31825.73779176,30
KRW-ICX,2025-01-26T21:30:00,2025-01-27T06:30:00,256,257,255,256,1737928162017,12668933.60978149,49475.65885803,30
KRW-ICX,2025-01-26T21:00:00,2025-01-27T06:00:00,258,258,256,256,1737926919018,19984842.24735798,77771.86757828,30
KRW-ICX,2025-01-26T20:30:00,2025-01-27T05:30:00,257,257,257,257,1737924946236,11035203.95307423,42938.53678239,30
