market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ID,2025-01-27T13:30:00,2025-01-27T22:30:00,529.7,532.1,529.5,532.1,1737984826029,9209045.01309052,17383.21474913,30
KRW-ID,2025-01-27T13:00:00,2025-01-27T22:00:00,529.8,533.4,526.2,529.8,1737984561995,159638780.47641805,301578.89312921,30
KRW-ID,2025-01-27T12:30:00,2025-01-27T21:30:00,517,533.4,517,529.8,1737982782094,122140340.2610332,232343.41848103,30
KRW-ID,2025-01-27T12:00:00,2025-01-27T21:00:00,516.7,520.9,516.6,517,1737980949437,35720897.17753112,68953.19131308,30
KRW-ID,2025-01-27T11:30:00,2025-01-27T20:30:00,519.2,520.2,516.1,516.1,1737979194072,52182388.20495709,100740.78871071,30
KRW-ID,2025-01-27T11:00:00,2025-01-27T20:00:00,513.6,519.9,513.6,519.2,1737977355508,43536990.0405225,84424.88116294,30
KRW-ID,2025-01-27T10:30:00,2025-01-27T19:30:00,517.7,517.8,512.1,514.5,1737975564194,107210347.59470099,208435.39565972,30
KRW-ID,2025-01-27T10:00:00,2025-01-27T19:00:00,520.7,520.7,517.5,517.9,1737973794811,40910858.56439767,78916.29824456,30
KRW-ID,2025-01-27T09:30:00,2025-01-27T18:30:00,515.4,521.4,515.2,520.7,1737971897146,60514034.45052244,116805.93375546,30
KRW-ID,2025-01-27T09:00:00,2025-01-27T18:00:00,515.7,521.2,514.6,515.7,1737970184929,82370653.5592645,159101.61576732,30
KRW-ID,2025-01-27T08:30:00,2025-01-27T17:30:00,520.4,520.4,513.3,515.9,1737968361567,180996569.53289673,351143.42296634,30
KRW-ID,2025-01-27T08:00:00,2025-01-27T17:00:00,524,524.5,518.8,521,1737966567196,193582635.76232767,371489.95045748,30
KRW-ID,2025-01-27T07:30:00,2025-01-27T16:30:00,514.8,526.6,514.8,523.9,1737964795380,193532072.72323024,370804.24531343,30
KRW-ID,2025-01-27T07:00:00,2025-01-27T16:00:00,527.8,529.6,513,513.4,1737962998730,303515413.01848274,581707.35654622,30
KRW-ID,2025-01-27T06:30:00,2025-01-27T15:30:00,531.3,531.6,525.6,527.8,1737961149537,280820843.0766552,531432.56485946,30
