market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-IMX,2025-01-27T13:30:00,2025-01-27T22:30:00,1719,1721,1713,1720,1737984809603,3024684.50422159,1760.6408621,30
KRW-IMX,2025-01-27T13:00:00,2025-01-27T22:00:00,1717,1740,1710,1718,1737984558302,115016803.98336503,66686.38657262,30
KRW-IMX,2025-01-27T12:30:00,2025-01-27T21:30:00,1666,1730,1665,1718,1737982791585,114865215.43464251,67380.16386691,30
KRW-IMX,2025-01-27T12:00:00,2025-01-27T21:00:00,1654,1672,1647,1666,1737980994029,36624953.06636297,22010.63252157,30
KRW-IMX,2025-01-27T11:30:00,2025-01-27T20:30:00,1659,1663,1651,1651,1737979196730,49567679.34834576,29917.20818631,30
KRW-IMX,2025-01-27T11:00:00,2025-01-27T20:00:00,1638,1659,1636,1657,1737977388111,92050315.00484748,55835.02752478,30
KRW-IMX,2025-01-27T10:30:00,2025-01-27T19:30:00,1656,1656,1633,1637,1737975592343,219052273.673543,133215.43276442,30
KRW-IMX,2025-01-27T10:00:00,2025-01-27T19:00:00,1667,1667,1656,1657,1737973716341,45544038.38445762,27415.72297614,30
KRW-IMX,2025-01-27T09:30:00,2025-01-27T18:30:00,1649,1667,1646,1667,1737971981133,88640499.44866307,53561.56178737,30
KRW-IMX,2025-01-27T09:00:00,2025-01-27T18:00:00,1658,1670,1646,1650,1737970189627,216866967.98652452,130996.18397317,30
KRW-IMX,2025-01-27T08:30:00,2025-01-27T17:30:00,1673,1674,1646,1660,1737968384077,301582333.12239796,182226.18369178,30
KRW-IMX,2025-01-27T08:00:00,2025-01-27T17:00:00,1691,1691,1665,1675,1737966584432,142721043.65627852,85094.41807324,30
KRW-IMX,2025-01-27T07:30:00,2025-01-27T16:30:00,1658,1699,1656,1693,1737964796461,307811745.69761986,183848.97940815,30
KRW-IMX,2025-01-27T07:00:00,2025-01-27T16:00:00,1703,1709,1658,1658,1737962999665,764593023.666566,453496.32972057,30
KRW-IMX,2025-01-27T06:30:00,2025-01-27T15:30:00,1722,1724,1701,1705,1737961172984,352091817.3192174,205914.91401446,30
KRW-IMX,2025-01-27T06:00:00,2025-01-27T15:00:00,1727,1735,1721,1725,1737959374786,53494855.65828403,30948.39727268,30
KRW-IMX,2025-01-27T05:30:00,2025-01-27T14:30:00,1734,1735,1720,1731,1737957570135,252804627.47492275,146817.5798529,30
KRW-IMX,2025-01-27T05:00:00,2025-01-27T14:00:00,1741,1742,1726,1734,1737955795266,261139362.17686015,150821.81333297,30
KRW-IMX,2025-01-27T04:30:00,2025-01-27T13:30:00,1741,1748,1730,1741,1737953962758,142572595.41461065,82049.58798556,30
KRW-IMX,2025-01-27T04:00:00,2025-01-27T13:00:00,1758,1758,1740,1742,1737952194099,189085918.0705322,108413.81147265,30
KRW-IMX,2025-01-27T03:30:00,2025-01-27T12:30:00,1763,1763,1751,1756,1737950366714,94504870.44756167,53776.02194401,30
KRW-IMX,2025-01-27T03:00:00,2025-01-27T12:00:00,1753,1770,1748,1763,1737948465796,41108902.04963723,23394.51232979,30
KRW-IMX,2025-01-27T02:30:00,2025-01-27T11:30:00,1754,1767,1749,1753,1737946792254,181770622.36479104,103682.14794,30
KRW-IMX,2025-01-27T02:00:00,2025-01-27T11:00:00,1767,1768,1753,1754,1737944999954,204799085.3257124,116504.97372668,30
KRW-IMX,2025-01-27T01:30:00,2025-01-27T10:30:00,1770,1785,1768,1768,1737943170512,50542441.87970487,28473.60660946,30
KRW-IMX,2025-01-27T01:00:00,2025-01-27T10:00:00,1782,1791,1764,1771,1737941391106,159514962.77358738,89904.27206,30
KRW-IMX,2025-01-27T00:30:00,2025-01-27T09:30:00,1801,1801,1781,1785,1737939594623,183551348.68995404,102468.98148284,30
KRW-IMX,2025-01-27T00:00:00,2025-01-27T09:00:00,1817,1825,1793,1802,1737937792893,143714887.8550418,79446.70029207,30
KRW-IMX,2025-01-26T23:30:00,2025-01-27T08:30:00,1821,1826,1813,1813,1737935979654,77973248.45704526,42868.38328883,30
KRW-IMX,2025-01-26T23:00:00,2025-01-27T08:00:00,1847,1847,1814,1825,1737934183492,141498488.33434847,77206.5497377,30
KRW-IMX,2025-01-26T22:30:00,2025-01-27T07:30:00,1849,1861,1848,1853,1737932334626,5940686.17334119,3206.54649029,30
KRW-IMX,2025-01-26T22:00:00,2025-01-27T07:00:00,1836,1849,1833,1849,1737930570783,44569653.04638512,24262.71301761,30
KRW-IMX,2025-01-26T21:30:00,2025-01-27T06:30:00,1844,1844,1837,1838,1737928771691,21077966.37436849,11461.37790778,30
KRW-IMX,2025-01-26T21:00:00,2025-01-27T06:00:00,1850,1852,1842,1844,1737926983192,8142919.81974988,4409.38248285,30
KRW-IMX,2025-01-26T20:30:00,2025-01-27T05:30:00,1863,1863,1850,1850,1737924945362,13460603.4704394,7256.97351972,30
KRW-IMX,2025-01-26T20:00:00,2025-01-27T05:00:00,1860,1862,1858,1862,1737923352874,2222766.89498386,1195.49183277,30
KRW-IMX,2025-01-26T19:30:00,2025-01-27T04:30:00,1864,1864,1858,1863,1737921294884,8889337.15545589,4777.5899045,30
KRW-IMX,2025-01-26T19:00:00,2025-01-27T04:00:00,1868,1868,1861,1868,1737919727806,3895212.84404443,2088.23024658,30
KRW-IMX,2025-01-26T18:30:00,2025-01-27T03:30:00,1868,1874,1868,1868,1737917952379,5633095.90060444,3009.89767545,30
KRW-IMX,2025-01-26T18:00:00,2025-01-27T03:00:00,1855,1869,1855,1869,1737915334645,7547420.52966829,4045.16332854,30
KRW-IMX,2025-01-26T17:30:00,2025-01-27T02:30:00,1844,1864,1842,1862,1737914101289,4308927.37848515,2319.08785522,30
KRW-IMX,2025-01-26T17:00:00,2025-01-27T02:00:00,1850,1850,1844,1844,1737912527788,2853760.86061731,1545.56846384,30
KRW-IMX,2025-01-26T16:30:00,2025-01-27T01:30:00,1854,1854,1850,1854,1737910597009,2962755.97674669,1598.40701283,30
KRW-IMX,2025-01-26T16:00:00,2025-01-27T01:00:00,1853,1856,1848,1852,1737908982102,17349546.27671293,9375.27577622,30
KRW-IMX,2025-01-26T15:30:00,2025-01-27T00:30:00,1855,1855,1853,1853,1737907073944,12798109.66767158,6901.89905281,30
KRW-IMX,2025-01-26T15:00:00,2025-01-27T00:00:00,1851,1856,1851,1855,1737905388898,19736871.10901828,10651.24365383,30
KRW-IMX,2025-01-26T14:30:00,2025-01-26T23:30:00,1861,1864,1851,1854,1737903507590,22510613.06238145,12107.50977264,30
KRW-IMX,2025-01-26T14:00:00,2025-01-26T23:00:00,1859,1860,1855,1859,1737901789317,24923329.71299822,13413.22178227,30
KRW-IMX,2025-01-26T13:30:00,2025-01-26T22:30:00,1858,1862,1853,1862,1737899887153,51665291.12728274,27854.37045643,30
KRW-IMX,2025-01-26T13:00:00,2025-01-26T22:00:00,1863,1864,1858,1858,1737897846650,22130173.82887043,11897.4319127,30
KRW-IMX,2025-01-26T12:30:00,2025-01-26T21:30:00,1858,1863,1857,1863,1737896323695,13822803.99269051,7437.81291027,30
KRW-IMX,2025-01-26T12:00:00,2025-01-26T21:00:00,1855,1862,1851,1862,1737894512265,16799934.26772514,9064.54119548,30
KRW-IMX,2025-01-26T11:30:00,2025-01-26T20:30:00,1850,1855,1850,1852,1737892640195,12632887.16244533,6819.87360534,30
KRW-IMX,2025-01-26T11:00:00,2025-01-26T20:00:00,1850,1854,1846,1852,1737890954694,59030138.58424794,31894.93766668,30
KRW-IMX,2025-01-26T10:30:00,2025-01-26T19:30:00,1839,1850,1837,1844,1737889145337,19955274.40878484,10832.2417336,30
KRW-IMX,2025-01-26T10:00:00,2025-01-26T19:00:00,1831,1848,1826,1839,1737887298172,101691893.55100317,55428.3561119,30
KRW-IMX,2025-01-26T09:30:00,2025-01-26T18:30:00,1839,1840,1826,1834,1737885572606,28129374.85342448,15354.53977438,30
KRW-IMX,2025-01-26T09:00:00,2025-01-26T18:00:00,1850,1850,1837,1839,1737883750800,44727517.92743471,24213.35480739,30
KRW-IMX,2025-01-26T08:30:00,2025-01-26T17:30:00,1856,1856,1846,1850,1737881951319,20389279.43354385,11007.10124504,30
KRW-IMX,2025-01-26T08:00:00,2025-01-26T17:00:00,1862,1868,1856,1857,1737879989083,27943091.36797447,15008.62040861,30
KRW-IMX,2025-01-26T07:30:00,2025-01-26T16:30:00,1852,1862,1848,1862,1737878300671,59639997.37979938,32155.3107815,30
KRW-IMX,2025-01-26T07:00:00,2025-01-26T16:00:00,1850,1858,1849,1851,1737876589105,9619413.5619249,5189.44327546,30
KRW-IMX,2025-01-26T06:30:00,2025-01-26T15:30:00,1853,1856,1850,1850,1737874771751,15589261.98970423,8417.77246196,30
KRW-IMX,2025-01-26T06:00:00,2025-01-26T15:00:00,1863,1865,1852,1853,1737872978406,39076788.6580955,20997.26012257,30
KRW-IMX,2025-01-26T05:30:00,2025-01-26T14:30:00,1867,1870,1861,1863,1737871165958,27791618.98851057,14896.90144397,30
KRW-IMX,2025-01-26T05:00:00,2025-01-26T14:00:00,1881,1882,1868,1869,1737869343282,22547016.62136617,12042.11171641,30
KRW-IMX,2025-01-26T04:30:00,2025-01-26T13:30:00,1867,1885,1867,1882,1737867532289,48391586.13161227,25751.38690101,30
KRW-IMX,2025-01-26T04:00:00,2025-01-26T13:00:00,1857,1874,1854,1867,1737865647000,20829334.09823962,11199.30046791,30
KRW-IMX,2025-01-26T03:30:00,2025-01-26T12:30:00,1860,1865,1850,1857,1737863953670,22901704.12570284,12338.36199018,30
KRW-IMX,2025-01-26T03:00:00,2025-01-26T12:00:00,1855,1860,1851,1854,1737862148480,11333530.06012167,6117.19917513,30
KRW-IMX,2025-01-26T02:30:00,2025-01-26T11:30:00,1856,1856,1849,1854,1737860341150,14885351.25577446,8036.42343942,30
KRW-IMX,2025-01-26T02:00:00,2025-01-26T11:00:00,1863,1863,1851,1855,1737858537301,15747472.37101297,8481.98659633,30
KRW-IMX,2025-01-26T01:30:00,2025-01-26T10:30:00,1873,1876,1861,1861,1737856752804,46701373.25751929,25045.5492253,30
KRW-IMX,2025-01-26T01:00:00,2025-01-26T10:00:00,1854,1875,1854,1873,1737854970580,77771769.47488277,41664.93201169,30
KRW-IMX,2025-01-26T00:30:00,2025-01-26T09:30:00,1846,1861,1846,1854,1737853176099,32113381.43188443,17299.65888578,30
KRW-IMX,2025-01-26T00:00:00,2025-01-26T09:00:00,1841,1853,1830,1853,1737851362728,57302236.22612377,31130.11575344,30
KRW-IMX,2025-01-25T23:30:00,2025-01-26T08:30:00,1839,1840,1834,1839,1737849553297,7556380.94597962,4116.42647732,30
KRW-IMX,2025-01-25T23:00:00,2025-01-26T08:00:00,1838,1843,1836,1839,1737847799889,16896668.09628398,9175.4664221,30
KRW-IMX,2025-01-25T22:30:00,2025-01-26T07:30:00,1847,1847,1840,1842,1737845939071,4694628.65189336,2549.18373592,30
KRW-IMX,2025-01-25T22:00:00,2025-01-26T07:00:00,1848,1852,1846,1849,1737844185065,5227523.44448069,2827.17175464,30
KRW-IMX,2025-01-25T21:30:00,2025-01-26T06:30:00,1835,1850,1829,1848,1737842377766,4238872.34883805,2306.02775949,30
KRW-IMX,2025-01-25T21:00:00,2025-01-26T06:00:00,1836,1836,1830,1832,1737840333151,6108321.4575185,3334.50395534,30
KRW-IMX,2025-01-25T20:30:00,2025-01-26T05:30:00,1848,1848,1836,1836,1737838787202,15054945.51409919,8162.95392376,30
KRW-IMX,2025-01-25T20:00:00,2025-01-26T05:00:00,1845,1851,1840,1850,1737836618356,8598341.39979437,4651.0966148,30
KRW-IMX,2025-01-25T19:30:00,2025-01-26T04:30:00,1841,1849,1838,1845,1737834785051,2249440.334277,1219.69916591,30
KRW-IMX,2025-01-25T19:00:00,2025-01-26T04:00:00,1843,1844,1836,1841,1737833393382,19864241.43232171,10810.30136782,30
KRW-IMX,2025-01-25T18:30:00,2025-01-26T03:30:00,1836,1840,1831,1839,1737831487071,3779054.24940362,2055.90546306,30
KRW-IMX,2025-01-25T18:00:00,2025-01-26T03:00:00,1837,1844,1830,1838,1737829617930,17221929.03387605,9374.35820932,30
KRW-IMX,2025-01-25T17:30:00,2025-01-26T02:30:00,1829,1835,1823,1835,1737827966305,3361325.46208835,1841.49045306,30
KRW-IMX,2025-01-25T17:00:00,2025-01-26T02:00:00,1838,1838,1818,1820,1737825972409,70389981.20443954,38612.01620829,30
KRW-IMX,2025-01-25T16:30:00,2025-01-26T01:30:00,1841,1841,1827,1834,1737824390831,12517075.67443551,6817.87137374,30
KRW-IMX,2025-01-25T16:00:00,2025-01-26T01:00:00,1835,1853,1835,1841,1737822419919,40448666.15545877,21961.50911406,30
KRW-IMX,2025-01-25T15:30:00,2025-01-26T00:30:00,1841,1843,1824,1831,1737820784358,11110827.68322245,6046.30251451,30
KRW-IMX,2025-01-25T15:00:00,2025-01-26T00:00:00,1825,1843,1825,1841,1737818927345,10946860.30016216,5959.57326554,30
KRW-IMX,2025-01-25T14:30:00,2025-01-25T23:30:00,1833,1838,1824,1833,1737817007803,40151728.4001549,21942.76765039,30
KRW-IMX,2025-01-25T14:00:00,2025-01-25T23:00:00,1819,1833,1815,1832,1737815339956,38647524.4683768,21217.95720405,30
KRW-IMX,2025-01-25T13:30:00,2025-01-25T22:30:00,1812,1819,1810,1819,1737813580849,75963751.74255858,41887.9063516,30
KRW-IMX,2025-01-25T13:00:00,2025-01-25T22:00:00,1786,1820,1786,1812,1737811655083,89212485.96242625,49296.67546826,30
KRW-IMX,2025-01-25T12:30:00,2025-01-25T21:30:00,1776,1785,1774,1785,1737809653723,11056560.9059892,6205.08959894,30
KRW-IMX,2025-01-25T12:00:00,2025-01-25T21:00:00,1781,1781,1777,1777,1737808051073,6486986.84607406,3644.50369004,30
KRW-IMX,2025-01-25T11:30:00,2025-01-25T20:30:00,1774,1786,1774,1783,1737806359886,6691547.19126194,3752.87795919,30
KRW-IMX,2025-01-25T11:00:00,2025-01-25T20:00:00,1784,1789,1768,1774,1737804510663,47435964.30175411,26683.47625177,30
KRW-IMX,2025-01-25T10:30:00,2025-01-25T19:30:00,1773,1792,1772,1785,1737802751765,26075152.2873618,14640.50056822,30
KRW-IMX,2025-01-25T10:00:00,2025-01-25T19:00:00,1774,1779,1769,1772,1737800942306,34637391.72329618,19559.22832095,30
KRW-IMX,2025-01-25T09:30:00,2025-01-25T18:30:00,1775,1779,1773,1774,1737799033269,5311819.05072669,2992.92623439,30
