market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-INJ,2025-01-27T13:30:00,2025-01-27T22:30:00,28620,28800,28620,28800,1737984795850,26805196.7515197,933.65880414,30
KRW-INJ,2025-01-27T13:00:00,2025-01-27T22:00:00,28830,29070,28570,28600,1737984575025,202390673.4689618,7047.13039606,30
KRW-INJ,2025-01-27T12:30:00,2025-01-27T21:30:00,27990,28950,27890,28790,1737982793687,241046614.2839798,8491.74694324,30
KRW-INJ,2025-01-27T12:00:00,2025-01-27T21:00:00,28120,28280,27980,27990,1737980989029,205698843.7207361,7322.3873814,30
KRW-INJ,2025-01-27T11:30:00,2025-01-27T20:30:00,28440,28470,28010,28120,1737979192970,203142560.2066505,7195.2676889,30
KRW-INJ,2025-01-27T11:00:00,2025-01-27T20:00:00,28330,28550,28300,28430,1737977399521,73708712.2224482,2590.06831787,30
KRW-INJ,2025-01-27T10:30:00,2025-01-27T19:30:00,28560,28630,28250,28330,1737975573313,279977232.1160244,9854.3201606,30
KRW-INJ,2025-01-27T10:00:00,2025-01-27T19:00:00,29020,29050,28540,28560,1737973799514,107304617.3976648,3734.31598499,30
KRW-INJ,2025-01-27T09:30:00,2025-01-27T18:30:00,28860,29090,28780,29020,1737971928249,50213114.0027601,1736.90072126,30
KRW-INJ,2025-01-27T09:00:00,2025-01-27T18:00:00,28920,29330,28720,28850,1737970195635,106647446.72711,3671.64147052,30
KRW-INJ,2025-01-27T08:30:00,2025-01-27T17:30:00,29220,29220,28800,28960,1737968393935,205018208.9962731,7083.34002227,30
KRW-INJ,2025-01-27T08:00:00,2025-01-27T17:00:00,29370,29370,28950,29200,1737966586750,67771771.647611,2325.61752917,30
KRW-INJ,2025-01-27T07:30:00,2025-01-27T16:30:00,28460,29520,28440,29340,1737964783791,267003814.3815786,9214.04440892,30
KRW-INJ,2025-01-27T07:00:00,2025-01-27T16:00:00,29170,29200,28460,28460,1737962997204,252196206.36475,8769.35577324,30
KRW-INJ,2025-01-27T06:30:00,2025-01-27T15:30:00,29220,29230,28890,29100,1737961151691,223285322.9438332,7685.81600608,30
KRW-INJ,2025-01-27T06:00:00,2025-01-27T15:00:00,29390,29480,29060,29210,1737959335197,162341864.7087941,5565.42202789,30
KRW-INJ,2025-01-27T05:30:00,2025-01-27T14:30:00,29520,29520,29170,29390,1737957544137,120902981.0567131,4125.20442281,30
KRW-INJ,2025-01-27T05:00:00,2025-01-27T14:00:00,29560,29640,29390,29490,1737955722331,50391472.8993009,1709.17462563,30
KRW-INJ,2025-01-27T04:30:00,2025-01-27T13:30:00,29510,30150,29430,29560,1737953979369,93853382.8238461,3148.27968284,30
KRW-INJ,2025-01-27T04:00:00,2025-01-27T13:00:00,29590,29590,29290,29430,1737952193537,118502556.8003887,4032.67485763,30
KRW-INJ,2025-01-27T03:30:00,2025-01-27T12:30:00,29750,29750,29500,29590,1737950345443,47833176.2675281,1615.73381357,30
KRW-INJ,2025-01-27T03:00:00,2025-01-27T12:00:00,29250,29760,29200,29750,1737948599722,135402079.5893204,4584.34163975,30
KRW-INJ,2025-01-27T02:30:00,2025-01-27T11:30:00,29420,29420,29200,29250,1737946799374,142311061.971914,4854.11771262,30
KRW-INJ,2025-01-27T02:00:00,2025-01-27T11:00:00,29700,29710,29380,29460,1737944998087,168153134.0678209,5700.73117752,30
KRW-INJ,2025-01-27T01:30:00,2025-01-27T10:30:00,29720,29870,29620,29710,1737943118136,189327132.0806169,6365.60579665,30
KRW-INJ,2025-01-27T01:00:00,2025-01-27T10:00:00,30010,30060,29500,29720,1737941393945,430613625.3041466,14468.09702837,30
KRW-INJ,2025-01-27T00:30:00,2025-01-27T09:30:00,30380,30380,30000,30010,1737939595671,256427944.3954252,8514.8016378,30
KRW-INJ,2025-01-27T00:00:00,2025-01-27T09:00:00,30700,30860,30230,30380,1737937786751,275397653.538892,9034.48943614,30
KRW-INJ,2025-01-26T23:30:00,2025-01-27T08:30:00,31020,31020,30670,30670,1737935990597,163040870.3726681,5289.13381653,30
KRW-INJ,2025-01-26T23:00:00,2025-01-27T08:00:00,31270,31340,30900,31020,1737934181916,122236532.6077184,3932.58785642,30
KRW-INJ,2025-01-26T22:30:00,2025-01-27T07:30:00,31330,31550,31280,31330,1737932386032,28506930.9567292,906.87302591,30
KRW-INJ,2025-01-26T22:00:00,2025-01-27T07:00:00,31290,31340,31130,31330,1737930596556,63444259.5805647,2034.06777209,30
KRW-INJ,2025-01-26T21:30:00,2025-01-27T06:30:00,31510,31510,31300,31300,1737928797894,40296700.1792473,1284.09482207,30
KRW-INJ,2025-01-26T21:00:00,2025-01-27T06:00:00,31510,31550,31340,31480,1737926978157,21346425.1978165,678.27420732,30
KRW-INJ,2025-01-26T20:30:00,2025-01-27T05:30:00,31670,31770,31520,31560,1737925197239,11692279.1593531,369.68884737,30
KRW-INJ,2025-01-26T20:00:00,2025-01-27T05:00:00,31800,31840,31720,31840,1737923056050,23839233.6913148,750.37999524,30
KRW-INJ,2025-01-26T19:30:00,2025-01-27T04:30:00,31870,31870,31830,31840,1737921572218,262699.356593,8.25043143,30
KRW-INJ,2025-01-26T19:00:00,2025-01-27T04:00:00,31900,31910,31830,31900,1737919711969,3117976.481683,97.80452218,30
KRW-INJ,2025-01-26T18:30:00,2025-01-27T03:30:00,31950,32090,31890,31900,1737917973912,19504802.7516809,610.49642048,30
KRW-INJ,2025-01-26T18:00:00,2025-01-27T03:00:00,31660,31950,31660,31950,1737915964380,31745592.8796303,997.0686796,30
KRW-INJ,2025-01-26T17:30:00,2025-01-27T02:30:00,31460,31830,31400,31790,1737914116468,14639488.5892945,462.07354171,30
KRW-INJ,2025-01-26T17:00:00,2025-01-27T02:00:00,31450,31560,31450,31450,1737912593902,20624236.3900194,654.73947933,30
KRW-INJ,2025-01-26T16:30:00,2025-01-27T01:30:00,31550,31690,31550,31590,1737910735021,10529746.111187,333.13165644,30
KRW-INJ,2025-01-26T16:00:00,2025-01-27T01:00:00,31560,31600,31400,31550,1737908994405,30394367.4072081,966.05233038,30
KRW-INJ,2025-01-26T15:30:00,2025-01-27T00:30:00,31690,31710,31450,31560,1737907199178,50558401.8594736,1599.54247484,30
KRW-INJ,2025-01-26T15:00:00,2025-01-27T00:00:00,31720,31770,31540,31690,1737905375698,94728550.9235748,2991.12630395,30
KRW-INJ,2025-01-26T14:30:00,2025-01-26T23:30:00,31520,31730,31490,31670,1737903547467,88484678.7277767,2796.8943586,30
KRW-INJ,2025-01-26T14:00:00,2025-01-26T23:00:00,31480,31550,31370,31450,1737901786542,74693987.9717591,2373.1374641,30
KRW-INJ,2025-01-26T13:30:00,2025-01-26T22:30:00,31460,31580,31370,31560,1737899863526,104175617.4146145,3315.56297704,30
KRW-INJ,2025-01-26T13:00:00,2025-01-26T22:00:00,31460,31620,31450,31540,1737898108983,99841508.5704997,3165.7289775,30
KRW-INJ,2025-01-26T12:30:00,2025-01-26T21:30:00,31300,31490,31150,31440,1737896353803,60033354.9523748,1917.31091366,30
KRW-INJ,2025-01-26T12:00:00,2025-01-26T21:00:00,31210,31280,31110,31280,1737894502304,25982362.1880139,833.07871972,30
KRW-INJ,2025-01-26T11:30:00,2025-01-26T20:30:00,31180,31300,31110,31300,1737892796570,64910690.4987294,2081.4862733,30
KRW-INJ,2025-01-26T11:00:00,2025-01-26T20:00:00,31090,31180,31010,31180,1737890948433,34132929.0919276,1098.15807465,30
KRW-INJ,2025-01-26T10:30:00,2025-01-26T19:30:00,31070,31100,30930,31100,1737889196786,55985136.2703206,1805.7514291,30
KRW-INJ,2025-01-26T10:00:00,2025-01-26T19:00:00,31260,31260,31060,31060,1737887383458,6505029.9916556,208.74773096,30
KRW-INJ,2025-01-26T09:30:00,2025-01-26T18:30:00,31150,31260,31040,31260,1737885584867,29319599.0814147,942.2290277,30
KRW-INJ,2025-01-26T09:00:00,2025-01-26T18:00:00,31360,31410,31030,31090,1737883796340,120833202.184746,3879.70022118,30
KRW-INJ,2025-01-26T08:30:00,2025-01-26T17:30:00,31330,31460,31230,31450,1737881988198,62728542.6539917,2000.58535345,30
KRW-INJ,2025-01-26T08:00:00,2025-01-26T17:00:00,31530,31760,31250,31340,1737880146841,32650997.9421869,1034.26834303,30
KRW-INJ,2025-01-26T07:30:00,2025-01-26T16:30:00,31440,31690,31410,31520,1737878353960,40487454.1463824,1284.50926846,30
KRW-INJ,2025-01-26T07:00:00,2025-01-26T16:00:00,31170,31490,31130,31470,1737876463018,118324327.5940688,3773.05504037,30
KRW-INJ,2025-01-26T06:30:00,2025-01-26T15:30:00,31040,31180,31020,31170,1737874784177,33284487.8842582,1071.28572095,30
KRW-INJ,2025-01-26T06:00:00,2025-01-26T15:00:00,31190,31190,30980,31040,1737872991033,53491721.203708,1721.59492899,30
KRW-INJ,2025-01-26T05:30:00,2025-01-26T14:30:00,31220,31290,31140,31190,1737871185999,97530348.6916736,3126.69912179,30
KRW-INJ,2025-01-26T05:00:00,2025-01-26T14:00:00,31290,31360,31210,31210,1737869275939,22926578.0884396,733.8106374,30
KRW-INJ,2025-01-26T04:30:00,2025-01-26T13:30:00,31310,31350,31200,31290,1737867363328,38151937.6225209,1219.21319786,30
KRW-INJ,2025-01-26T04:00:00,2025-01-26T13:00:00,31150,31340,31060,31310,1737865784724,22350466.1708237,714.89830569,30
KRW-INJ,2025-01-26T03:30:00,2025-01-26T12:30:00,30870,31240,30860,31050,1737863968852,49573348.6898775,1597.48225531,30
KRW-INJ,2025-01-26T03:00:00,2025-01-26T12:00:00,31010,31090,30800,30800,1737862163619,70821282.6454447,2291.44288937,30
KRW-INJ,2025-01-26T02:30:00,2025-01-26T11:30:00,30940,31010,30780,31010,1737860392616,62290639.3151214,2016.62357853,30
KRW-INJ,2025-01-26T02:00:00,2025-01-26T11:00:00,31060,31060,30780,30940,1737858580771,90180068.5197896,2919.23350224,30
KRW-INJ,2025-01-26T01:30:00,2025-01-26T10:30:00,31070,31160,31050,31110,1737856742648,28256907.6912563,908.69554444,30
KRW-INJ,2025-01-26T01:00:00,2025-01-26T10:00:00,30870,31090,30870,31030,1737854810596,62090901.8029755,2003.66002103,30
KRW-INJ,2025-01-26T00:30:00,2025-01-26T09:30:00,30940,31070,30860,30860,1737853191545,108855289.8837297,3516.39240642,30
KRW-INJ,2025-01-26T00:00:00,2025-01-26T09:00:00,31020,31020,30720,30940,1737851375186,307252978.5408749,9974.4094814,30
KRW-INJ,2025-01-25T23:30:00,2025-01-26T08:30:00,31130,31180,31020,31020,1737849561248,45895965.5876679,1475.42749258,30
KRW-INJ,2025-01-25T23:00:00,2025-01-26T08:00:00,31250,31260,31120,31120,1737847752916,22703483.7346944,727.57459737,30
KRW-INJ,2025-01-25T22:30:00,2025-01-26T07:30:00,31280,31290,31020,31250,1737845936725,63312357.4671025,2031.78088943,30
KRW-INJ,2025-01-25T22:00:00,2025-01-26T07:00:00,31210,31380,31200,31280,1737844032659,12003222.412758,383.5796614,30
KRW-INJ,2025-01-25T21:30:00,2025-01-26T06:30:00,31140,31200,31090,31200,1737842222013,19761437.0999594,635.35678734,30
KRW-INJ,2025-01-25T21:00:00,2025-01-26T06:00:00,31330,31330,31130,31140,1737840521470,16720138.916919,536.31822268,30
KRW-INJ,2025-01-25T20:30:00,2025-01-26T05:30:00,31490,31490,31330,31340,1737838410693,402203.3498679,12.82183725,30
KRW-INJ,2025-01-25T20:00:00,2025-01-26T05:00:00,31340,31530,31310,31490,1737836567932,10252441.2941536,325.65147782,30
KRW-INJ,2025-01-25T19:30:00,2025-01-26T04:30:00,31330,31380,31280,31380,1737835186251,12217655.6795201,390.28464966,30
KRW-INJ,2025-01-25T19:00:00,2025-01-26T04:00:00,31300,31380,31300,31370,1737833361727,8092187.2630504,258.23975204,30
KRW-INJ,2025-01-25T18:30:00,2025-01-26T03:30:00,31370,31450,31280,31330,1737831529209,20877443.5450137,664.7617811,30
KRW-INJ,2025-01-25T18:00:00,2025-01-26T03:00:00,31400,31480,31310,31380,1737829763505,20314545.4859809,647.6226127,30
KRW-INJ,2025-01-25T17:30:00,2025-01-26T02:30:00,31250,31380,31200,31370,1737827973614,14591036.3326315,466.8105157,30
KRW-INJ,2025-01-25T17:00:00,2025-01-26T02:00:00,31320,31370,31270,31270,1737825479910,26851281.7745219,857.37334883,30
KRW-INJ,2025-01-25T16:30:00,2025-01-26T01:30:00,31400,31450,31150,31270,1737824266509,1686249.3634075,53.85518707,30
KRW-INJ,2025-01-25T16:00:00,2025-01-26T01:00:00,31390,31560,31310,31520,1737822595114,33779725.2813976,1073.6012688,30
KRW-INJ,2025-01-25T15:30:00,2025-01-26T00:30:00,31270,31390,31180,31390,1737820796096,71123347.0337486,2270.96855704,30
KRW-INJ,2025-01-25T15:00:00,2025-01-26T00:00:00,31080,31410,30970,31270,1737818997750,55372944.0130047,1773.49665043,30
KRW-INJ,2025-01-25T14:30:00,2025-01-25T23:30:00,30920,30980,30800,30980,1737817051559,31911602.2064674,1032.43735727,30
KRW-INJ,2025-01-25T14:00:00,2025-01-25T23:00:00,31230,31230,30710,30920,1737815260435,84056222.6224414,2717.4403497,30
KRW-INJ,2025-01-25T13:30:00,2025-01-25T22:30:00,31260,31340,31070,31130,1737813564535,40203740.9794486,1289.72143081,30
KRW-INJ,2025-01-25T13:00:00,2025-01-25T22:00:00,31220,31350,31100,31260,1737811737923,15116095.9668718,484.14631727,30
KRW-INJ,2025-01-25T12:30:00,2025-01-25T21:30:00,31080,31130,30950,31100,1737809927772,11981447.4257253,386.21992573,30
KRW-INJ,2025-01-25T12:00:00,2025-01-25T21:00:00,31210,31230,31020,31090,1737808189652,64446261.0042087,2071.29717302,30
KRW-INJ,2025-01-25T11:30:00,2025-01-25T20:30:00,31120,31240,31120,31210,1737806268308,7337391.5946214,235.03511064,30
KRW-INJ,2025-01-25T11:00:00,2025-01-25T20:00:00,31020,31290,31010,31120,1737804547563,40096365.2292933,1286.07067855,30
KRW-INJ,2025-01-25T10:30:00,2025-01-25T19:30:00,30850,31170,30850,31030,1737802773677,126744681.5252159,4089.6994952,30
KRW-INJ,2025-01-25T10:00:00,2025-01-25T19:00:00,30700,30980,30700,30850,1737800854356,41809339.2889759,1354.10261256,30
KRW-INJ,2025-01-25T09:30:00,2025-01-25T18:30:00,30680,30770,30600,30730,1737799155854,38348624.1467475,1249.7985528,30
KRW-INJ,2025-01-25T09:00:00,2025-01-25T18:00:00,30800,30850,30630,30720,1737797389133,147038924.4315221,4793.72208813,30
KRW-INJ,2025-01-25T08:30:00,2025-01-25T17:30:00,30740,30900,30700,30820,1737795525166,40361741.3821736,1312.24664678,30
KRW-INJ,2025-01-25T08:00:00,2025-01-25T17:00:00,30740,31000,30740,30740,1737793759125,78614424.4690251,2542.4743219,30
KRW-INJ,2025-01-25T07:30:00,2025-01-25T16:30:00,30750,30860,30740,30740,1737791994452,36481091.0164881,1185.11575199,30
KRW-INJ,2025-01-25T07:00:00,2025-01-25T16:00:00,30730,30850,30710,30740,1737789987484,23972052.6726773,779.52383095,30
KRW-INJ,2025-01-25T06:30:00,2025-01-25T15:30:00,30840,30870,30710,30730,1737788360230,60082590.4972203,1952.15312133,30
KRW-INJ,2025-01-25T06:00:00,2025-01-25T15:00:00,30930,31010,30810,30910,1737786573158,32485091.2011705,1052.12187831,30
KRW-INJ,2025-01-25T05:30:00,2025-01-25T14:30:00,30960,30960,30800,30930,1737784756495,96379043.0655627,3121.45066955,30
KRW-INJ,2025-01-25T05:00:00,2025-01-25T14:00:00,30860,30980,30760,30960,1737782919061,100777909.2531186,3267.3897435,30
KRW-INJ,2025-01-25T04:30:00,2025-01-25T13:30:00,31010,31070,30860,30860,1737781181983,111285001.4083025,3598.62643797,30
KRW-INJ,2025-01-25T04:00:00,2025-01-25T13:00:00,31400,31430,30920,31010,1737779398460,175047264.7906549,5615.24102948,30
KRW-INJ,2025-01-25T03:30:00,2025-01-25T12:30:00,31600,31700,31440,31440,1737777464909,44717668.9422589,1417.00297522,30
KRW-INJ,2025-01-25T03:00:00,2025-01-25T12:00:00,31380,31600,31270,31600,1737775781402,33160533.0231734,1053.77813405,30
KRW-INJ,2025-01-25T02:30:00,2025-01-25T11:30:00,31250,31420,31240,31340,1737773986893,27747201.3525604,885.05695096,30
