market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-IOST,2025-01-27T13:30:00,2025-01-27T22:30:00,9.17,9.18,9.159,9.18,1737984797379,2581117.89319127,281290.20189418,30
KRW-IOST,2025-01-27T13:00:00,2025-01-27T22:00:00,9.137,9.219,9.105,9.169,1737984542056,71681437.75195807,7823224.61027154,30
KRW-IOST,2025-01-27T12:30:00,2025-01-27T21:30:00,8.956,9.192,8.956,9.16,1737982791731,88601029.42285086,9717304.41820787,30
KRW-IOST,2025-01-27T12:00:00,2025-01-27T21:00:00,8.97,9.015,8.943,8.957,1737980995921,33876645.28949806,3776083.33725339,30
KRW-IOST,2025-01-27T11:30:00,2025-01-27T20:30:00,8.98,9.037,8.974,8.974,1737979130249,10104657.02119614,1123480.76924151,30
KRW-IOST,2025-01-27T11:00:00,2025-01-27T20:00:00,8.904,9,8.904,8.996,1737977372282,78868194.63593768,8819136.44758979,30
KRW-IOST,2025-01-27T10:30:00,2025-01-27T19:30:00,8.985,8.985,8.884,8.904,1737975595030,33526122.54953109,3757272.34489588,30
KRW-IOST,2025-01-27T10:00:00,2025-01-27T19:00:00,9.068,9.099,8.99,9.007,1737973745780,14793056.82367987,1635991.67074599,30
KRW-IOST,2025-01-27T09:30:00,2025-01-27T18:30:00,8.987,9.081,8.986,9.063,1737971809715,107337501.63963383,11940918.53375807,30
KRW-IOST,2025-01-27T09:00:00,2025-01-27T18:00:00,8.981,9.073,8.968,8.987,1737970191392,15564365.96207641,1720207.39006471,30
KRW-IOST,2025-01-27T08:30:00,2025-01-27T17:30:00,9.02,9.02,8.896,8.981,1737968275762,76994363.81548925,8621551.48401793,30
KRW-IOST,2025-01-27T08:00:00,2025-01-27T17:00:00,9.073,9.073,8.984,9.032,1737966572550,52970162.24713783,5870252.63292231,30
KRW-IOST,2025-01-27T07:30:00,2025-01-27T16:30:00,8.87,9.105,8.86,9.079,1737964796257,138604258.5163041,15444213.8765153,30
KRW-IOST,2025-01-27T07:00:00,2025-01-27T16:00:00,9.081,9.11,8.86,8.87,1737962999367,131747995.38077743,14629356.80591156,30
KRW-IOST,2025-01-27T06:30:00,2025-01-27T15:30:00,9.119,9.13,9.032,9.076,1737961197444,130420355.40920743,14376123.11132147,30
KRW-IOST,2025-01-27T06:00:00,2025-01-27T15:00:00,9.127,9.142,9.096,9.128,1737959149699,52653671.93746712,5776522.0844207,30
KRW-IOST,2025-01-27T05:30:00,2025-01-27T14:30:00,9.161,9.163,9.1,9.127,1737957580335,37369318.50712923,4092460.36690667,30
KRW-IOST,2025-01-27T05:00:00,2025-01-27T14:00:00,9.169,9.186,9.155,9.163,1737955786221,12013924.90526709,1310147.17152859,30
KRW-IOST,2025-01-27T04:30:00,2025-01-27T13:30:00,9.155,9.218,9.154,9.157,1737953943562,25032427.17199887,2725662.15584555,30
KRW-IOST,2025-01-27T04:00:00,2025-01-27T13:00:00,9.213,9.213,9.151,9.155,1737952180810,8154100.99667286,889178.30235483,30
KRW-IOST,2025-01-27T03:30:00,2025-01-27T12:30:00,9.263,9.27,9.188,9.208,1737950358666,28848366.76095596,3129809.0560754,30
KRW-IOST,2025-01-27T03:00:00,2025-01-27T12:00:00,9.171,9.275,9.171,9.261,1737948563926,19142736.87934591,2072442.51356933,30
KRW-IOST,2025-01-27T02:30:00,2025-01-27T11:30:00,9.194,9.202,9.166,9.171,1737946798471,69079403.6440024,7521379.19875948,30
KRW-IOST,2025-01-27T02:00:00,2025-01-27T11:00:00,9.244,9.268,9.18,9.194,1737944987376,58196582.30572569,6316367.42688448,30
KRW-IOST,2025-01-27T01:30:00,2025-01-27T10:30:00,9.302,9.339,9.241,9.264,1737943180767,42113404.51311197,4536959.70880459,30
KRW-IOST,2025-01-27T01:00:00,2025-01-27T10:00:00,9.339,9.373,9.251,9.302,1737941374051,243042318.7264034,26136052.6849018,30
KRW-IOST,2025-01-27T00:30:00,2025-01-27T09:30:00,9.428,9.428,9.32,9.341,1737939523803,47589012.18687615,5089858.3287678,30
KRW-IOST,2025-01-27T00:00:00,2025-01-27T09:00:00,9.442,9.493,9.335,9.408,1737937783816,150447294.89672428,15991089.44270235,30
KRW-IOST,2025-01-26T23:30:00,2025-01-27T08:30:00,9.461,9.461,9.386,9.432,1737935969021,36033501.11118996,3822479.02080384,30
KRW-IOST,2025-01-26T23:00:00,2025-01-27T08:00:00,9.534,9.549,9.43,9.487,1737934188534,105955122.08975466,11171004.06132608,30
KRW-IOST,2025-01-26T22:30:00,2025-01-27T07:30:00,9.558,9.6,9.516,9.541,1737932339535,25753876.56745307,2693761.0753684,30
KRW-IOST,2025-01-26T22:00:00,2025-01-27T07:00:00,9.551,9.567,9.522,9.558,1737930456368,23189701.01797614,2431999.78610183,30
KRW-IOST,2025-01-26T21:30:00,2025-01-27T06:30:00,9.551,9.563,9.538,9.551,1737928799250,6430573.48911546,673594.76353305,30
KRW-IOST,2025-01-26T21:00:00,2025-01-27T06:00:00,9.573,9.573,9.538,9.554,1737926739385,10058802.60225608,1053617.07894102,30
KRW-IOST,2025-01-26T20:30:00,2025-01-27T05:30:00,9.609,9.612,9.573,9.573,1737925136048,795756.41270978,82930.03252255,30
KRW-IOST,2025-01-26T20:00:00,2025-01-27T05:00:00,9.63,9.63,9.582,9.601,1737923059838,38163363.93328923,3977291.1403102,30
KRW-IOST,2025-01-26T19:30:00,2025-01-27T04:30:00,9.57,9.606,9.57,9.606,1737921558767,14591197.65594762,1520666.25093138,30
KRW-IOST,2025-01-26T19:00:00,2025-01-27T04:00:00,9.572,9.593,9.547,9.573,1737919762688,5412502.91162231,566407.55742778,30
KRW-IOST,2025-01-26T18:30:00,2025-01-27T03:30:00,9.619,9.619,9.59,9.59,1737917636273,2966908.53205494,308899.83007265,30
KRW-IOST,2025-01-26T18:00:00,2025-01-27T03:00:00,9.604,9.637,9.602,9.62,1737916010357,2847006.83185193,295712.24186189,30
KRW-IOST,2025-01-26T17:30:00,2025-01-27T02:30:00,9.541,9.604,9.538,9.604,1737913882150,31409926.2189749,3284111.86659475,30
KRW-IOST,2025-01-26T17:00:00,2025-01-27T02:00:00,9.591,9.616,9.545,9.545,1737912590310,22042729.66432645,2304267.35106815,30
KRW-IOST,2025-01-26T16:30:00,2025-01-27T01:30:00,9.59,9.617,9.57,9.595,1737910709992,22186803.08179143,2311303.61006183,30
KRW-IOST,2025-01-26T16:00:00,2025-01-27T01:00:00,9.573,9.579,9.55,9.551,1737908966989,61977129.96906452,6479334.33492398,30
KRW-IOST,2025-01-26T15:30:00,2025-01-27T00:30:00,9.605,9.609,9.573,9.576,1737906850590,7109187.89101132,741865.72277269,30
KRW-IOST,2025-01-26T15:00:00,2025-01-27T00:00:00,9.6,9.622,9.572,9.573,1737905328088,26062943.53974604,2717686.49283176,30
KRW-IOST,2025-01-26T14:30:00,2025-01-26T23:30:00,9.592,9.641,9.592,9.6,1737903516173,29139261.73985825,3032740.08949909,30
KRW-IOST,2025-01-26T14:00:00,2025-01-26T23:00:00,9.607,9.607,9.564,9.572,1737901748330,10934230.01646048,1141770.02685953,30
KRW-IOST,2025-01-26T13:30:00,2025-01-26T22:30:00,9.571,9.623,9.554,9.588,1737899920993,49414468.77820806,5150403.28726528,30
KRW-IOST,2025-01-26T13:00:00,2025-01-26T22:00:00,9.562,9.667,9.542,9.575,1737898198745,117482612.62172693,12212003.44953129,30
KRW-IOST,2025-01-26T12:30:00,2025-01-26T21:30:00,9.557,9.563,9.526,9.562,1737896378441,25821511.34037822,2704908.10267963,30
KRW-IOST,2025-01-26T12:00:00,2025-01-26T21:00:00,9.569,9.569,9.546,9.557,1737894556438,2424703.10667903,253737.79259505,30
KRW-IOST,2025-01-26T11:30:00,2025-01-26T20:30:00,9.571,9.592,9.562,9.57,1737892750641,18355888.55879055,1916465.91571388,30
KRW-IOST,2025-01-26T11:00:00,2025-01-26T20:00:00,9.55,9.598,9.546,9.572,1737890877729,16281259.10892294,1700903.77779438,30
