market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-IOTA,2025-01-27T13:30:00,2025-01-27T22:30:00,452.2,453.9,450.8,453,1737984811948,58603328.21005194,129624.40254905,30
KRW-IOTA,2025-01-27T13:00:00,2025-01-27T22:00:00,452,457.4,448.1,452,1737984599356,550284076.4497557,1213446.15938082,30
KRW-IOTA,2025-01-27T12:30:00,2025-01-27T21:30:00,434.3,457.5,433.9,450.9,1737982792113,758679122.4622914,1697005.72703225,30
KRW-IOTA,2025-01-27T12:00:00,2025-01-27T21:00:00,435.8,441.5,432.8,435.5,1737980997227,349765186.6806929,801201.44517909,30
KRW-IOTA,2025-01-27T11:30:00,2025-01-27T20:30:00,435.6,438,434.4,435.9,1737979193516,254826558.3424438,583950.26072187,30
KRW-IOTA,2025-01-27T11:00:00,2025-01-27T20:00:00,431,435.8,429.5,434.6,1737977312512,309347743.8233888,714698.16101318,30
KRW-IOTA,2025-01-27T10:30:00,2025-01-27T19:30:00,434.3,434.3,427,430.7,1737975585507,312867924.73015356,726798.83433205,30
KRW-IOTA,2025-01-27T10:00:00,2025-01-27T19:00:00,436,437.5,431.2,433.3,1737973799246,254716047.5286959,586573.70325275,30
KRW-IOTA,2025-01-27T09:30:00,2025-01-27T18:30:00,432,437.5,431.3,436.2,1737971998586,291540089.09457105,670484.47788587,30
KRW-IOTA,2025-01-27T09:00:00,2025-01-27T18:00:00,431.6,439.7,429.1,431.6,1737970196976,329966968.8914257,757495.76934232,30
KRW-IOTA,2025-01-27T08:30:00,2025-01-27T17:30:00,432.2,432.2,426.7,430.4,1737968397145,397872261.60268354,926632.44528585,30
KRW-IOTA,2025-01-27T08:00:00,2025-01-27T17:00:00,436.4,436.5,428.6,432.4,1737966565643,453802233.73823285,1050159.81134315,30
KRW-IOTA,2025-01-27T07:30:00,2025-01-27T16:30:00,421.8,437.4,421,435.7,1737964767013,908705255.7373891,2109416.76384096,30
KRW-IOTA,2025-01-27T07:00:00,2025-01-27T16:00:00,435.3,437.8,421,421.9,1737962999994,1239111508.5168388,2883279.38326782,30
KRW-IOTA,2025-01-27T06:30:00,2025-01-27T15:30:00,440.6,441,432.2,435,1737961194712,1033346821.9213523,2367912.62650221,30
KRW-IOTA,2025-01-27T06:00:00,2025-01-27T15:00:00,443.9,445.6,440,440.6,1737959392517,560330897.0030774,1267637.01530455,30
KRW-IOTA,2025-01-27T05:30:00,2025-01-27T14:30:00,447.8,448.9,441.8,443.7,1737957599818,753002859.346408,1694435.28982707,30
KRW-IOTA,2025-01-27T05:00:00,2025-01-27T14:00:00,447.8,451.1,447.7,447.8,1737955778977,242150533.84149858,539708.67133409,30
KRW-IOTA,2025-01-27T04:30:00,2025-01-27T13:30:00,450.5,452.2,447.6,447.7,1737953984953,443165726.6965526,985922.52158744,30
KRW-IOTA,2025-01-27T04:00:00,2025-01-27T13:00:00,453.5,453.8,450.1,450.5,1737952187737,199881905.03667164,442819.03374619,30
KRW-IOTA,2025-01-27T03:30:00,2025-01-27T12:30:00,455.3,455.5,451.7,453.5,1737950395234,237595487.41831878,523723.285663,30
KRW-IOTA,2025-01-27T03:00:00,2025-01-27T12:00:00,450.2,459.1,449.2,455.4,1737948596712,369496559.0284307,810713.40157094,30
