market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-IQ,2025-01-27T13:30:00,2025-01-27T22:30:00,10.34,10.34,10.34,10.34,1737984755270,4062520.09002638,392893.62572789,30
KRW-IQ,2025-01-27T13:00:00,2025-01-27T22:00:00,10.36,10.4,10.31,10.34,1737984595095,128354345.65927602,12385479.47411609,30
KRW-IQ,2025-01-27T12:30:00,2025-01-27T21:30:00,10.21,10.41,10.19,10.37,1737982782593,143433543.58868676,13903075.90781876,30
KRW-IQ,2025-01-27T12:00:00,2025-01-27T21:00:00,10.19,10.28,10.18,10.2,1737980999956,88023058.58474904,8618483.3186012,30
KRW-IQ,2025-01-27T11:30:00,2025-01-27T20:30:00,10.2,10.22,10.15,10.19,1737979168098,85991737.9130676,8451952.34046901,30
KRW-IQ,2025-01-27T11:00:00,2025-01-27T20:00:00,10.18,10.26,10.16,10.21,1737977392414,133016480.64865302,13047798.65780818,30
KRW-IQ,2025-01-27T10:30:00,2025-01-27T19:30:00,10.26,10.33,10.16,10.19,1737975521023,145228757.76489747,14232790.08903138,30
KRW-IQ,2025-01-27T10:00:00,2025-01-27T19:00:00,10.28,10.3,10.26,10.28,1737973795486,15752347.33634442,1532772.52613591,30
KRW-IQ,2025-01-27T09:30:00,2025-01-27T18:30:00,10.22,10.3,10.18,10.28,1737971965082,40551200.20405629,3951903.6367947,30
KRW-IQ,2025-01-27T09:00:00,2025-01-27T18:00:00,10.21,10.29,10.18,10.2,1737970197713,47011563.63309777,4587262.19585631,30
KRW-IQ,2025-01-27T08:30:00,2025-01-27T17:30:00,10.26,10.26,10.15,10.22,1737968332778,174911408.77057818,17167475.86286307,30
KRW-IQ,2025-01-27T08:00:00,2025-01-27T17:00:00,10.31,10.34,10.25,10.28,1737966530874,187044503.19887263,18190823.15584224,30
