market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-JST,2025-01-27T13:30:00,2025-01-27T22:30:00,56.03,56.13,56.03,56.13,1737984772512,734901.1586269,13101.23637737,30
KRW-JST,2025-01-27T13:00:00,2025-01-27T22:00:00,56.03,56.23,56,56.02,1737984576655,16949317.18444337,302006.40392382,30
KRW-JST,2025-01-27T12:30:00,2025-01-27T21:30:00,55.51,56.38,55.51,56.23,1737982771748,54508413.29585892,974016.3884426,30
KRW-JST,2025-01-27T12:00:00,2025-01-27T21:00:00,55.39,55.57,55.31,55.48,1737980944484,24246462.25183011,436887.32662072,30
KRW-JST,2025-01-27T11:30:00,2025-01-27T20:30:00,55.35,55.54,55.33,55.43,1737979155717,27231987.33340676,491266.71059684,30
KRW-JST,2025-01-27T11:00:00,2025-01-27T20:00:00,55.4,55.61,55.33,55.48,1737977162783,44896423.71387042,809907.45594605,30
KRW-JST,2025-01-27T10:30:00,2025-01-27T19:30:00,55.51,55.64,55.27,55.4,1737975564730,18020406.61051602,325186.78645139,30
KRW-JST,2025-01-27T10:00:00,2025-01-27T19:00:00,55.63,55.73,55.5,55.5,1737973798903,4856543.85977583,87314.21251302,30
KRW-JST,2025-01-27T09:30:00,2025-01-27T18:30:00,55.22,55.71,55.17,55.71,1737971852205,9280433.78739957,167242.98045538,30
KRW-JST,2025-01-27T09:00:00,2025-01-27T18:00:00,55.07,55.68,55.03,55.22,1737970185129,39233383.07786462,708530.73542316,30
KRW-JST,2025-01-27T08:30:00,2025-01-27T17:30:00,55.26,55.26,54.88,55.07,1737968329526,35622408.19932335,648002.87029628,30
KRW-JST,2025-01-27T08:00:00,2025-01-27T17:00:00,55.18,55.37,54.91,55.37,1737966570846,45623798.72809935,828609.36662162,30
KRW-JST,2025-01-27T07:30:00,2025-01-27T16:30:00,55.16,55.53,55.01,55.36,1737964786614,77434901.23815666,1400667.33856899,30
KRW-JST,2025-01-27T07:00:00,2025-01-27T16:00:00,55.51,55.58,55,55.16,1737962998828,85239986.54130372,1542444.42005879,30
KRW-JST,2025-01-27T06:30:00,2025-01-27T15:30:00,55.83,55.84,55.51,55.54,1737961091203,99417468.05452377,1786651.57702091,30
KRW-JST,2025-01-27T06:00:00,2025-01-27T15:00:00,56.04,56.04,55.81,55.88,1737959388542,39558567.97684697,708104.25037292,30
KRW-JST,2025-01-27T05:30:00,2025-01-27T14:30:00,56.07,56.1,55.92,56.04,1737957533242,38779329.73917374,692532.28732938,30
KRW-JST,2025-01-27T05:00:00,2025-01-27T14:00:00,56.08,56.14,56.07,56.11,1737955663832,3651130.58398153,65084.83461791,30
KRW-JST,2025-01-27T04:30:00,2025-01-27T13:30:00,56.13,56.17,56.13,56.15,1737953859296,17725788.64665454,315782.80591981,30
KRW-JST,2025-01-27T04:00:00,2025-01-27T13:00:00,56.21,56.25,56.06,56.06,1737952121397,47185742.18319056,841197.88464124,30
KRW-JST,2025-01-27T03:30:00,2025-01-27T12:30:00,56.35,56.35,56.2,56.31,1737950252523,5136101.03143353,91313.25694199,30
KRW-JST,2025-01-27T03:00:00,2025-01-27T12:00:00,56.02,56.4,56.02,56.4,1737948223126,13196868.18683742,234903.86058407,30
KRW-JST,2025-01-27T02:30:00,2025-01-27T11:30:00,56.32,56.32,56,56.02,1737946720544,42749323.75592177,762722.89367541,30
KRW-JST,2025-01-27T02:00:00,2025-01-27T11:00:00,56.43,56.43,56.18,56.32,1737944999171,74509712.73484132,1322819.21711466,30
KRW-JST,2025-01-27T01:30:00,2025-01-27T10:30:00,56.57,56.63,56.43,56.43,1737943152006,50094994.07099938,886832.63452762,30
KRW-JST,2025-01-27T01:00:00,2025-01-27T10:00:00,56.73,56.87,56.41,56.6,1737941393777,75248082.95240629,1329387.79630207,30
