market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-JUP,2025-01-27T13:30:00,2025-01-27T22:30:00,1655,1662,1645,1658,1737984829654,2876399354.3830485,1740191.88491558,30
KRW-JUP,2025-01-27T13:00:00,2025-01-27T22:00:00,1631,1699,1625,1652,1737984599894,27580162941.044453,16577968.41240857,30
KRW-JUP,2025-01-27T12:30:00,2025-01-27T21:30:00,1616,1638,1595,1628,1737982798458,17518467133.411667,10832358.82051079,30
KRW-JUP,2025-01-27T12:00:00,2025-01-27T21:00:00,1630,1684,1601,1616,1737980999913,33177356452.964306,20152597.18032284,30
KRW-JUP,2025-01-27T11:30:00,2025-01-27T20:30:00,1642,1689,1592,1630,1737979199972,47657319450.37325,29148057.68261692,30
KRW-JUP,2025-01-27T11:00:00,2025-01-27T20:00:00,1496,1644,1496,1642,1737977399824,31356378574.144558,19685248.50413439,30
KRW-JUP,2025-01-27T10:30:00,2025-01-27T19:30:00,1501,1507,1478,1497,1737975599104,2966680642.6602063,1991637.52817903,30
KRW-JUP,2025-01-27T10:00:00,2025-01-27T19:00:00,1496,1509,1490,1505,1737973798881,1737705422.4412313,1157293.90791373,30
KRW-JUP,2025-01-27T09:30:00,2025-01-27T18:30:00,1480,1500,1477,1495,1737971994550,1944416034.3714075,1308432.28116043,30
KRW-JUP,2025-01-27T09:00:00,2025-01-27T18:00:00,1487,1508,1477,1480,1737970198879,3328595208.918223,2229189.69939763,30
KRW-JUP,2025-01-27T08:30:00,2025-01-27T17:30:00,1512,1515,1473,1487,1737968398267,3800536041.1027336,2543489.23109564,30
KRW-JUP,2025-01-27T08:00:00,2025-01-27T17:00:00,1511,1529,1487,1514,1737966598727,6823448878.320704,4541860.91915125,30
KRW-JUP,2025-01-27T07:30:00,2025-01-27T16:30:00,1457,1539,1454,1513,1737964799366,12862074194.448757,8500825.13887108,30
KRW-JUP,2025-01-27T07:00:00,2025-01-27T16:00:00,1468,1491,1451,1456,1737962999883,7147276016.155721,4849149.00765053,30
KRW-JUP,2025-01-27T06:30:00,2025-01-27T15:30:00,1467,1473,1447,1468,1737961196901,7410978499.351156,5077537.10061633,30
KRW-JUP,2025-01-27T06:00:00,2025-01-27T15:00:00,1472,1484,1465,1467,1737959399904,3689200181.326988,2506266.17383438,30
KRW-JUP,2025-01-27T05:30:00,2025-01-27T14:30:00,1498,1507,1466,1472,1737957598723,4719961874.545271,3182634.57732992,30
