market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-KAVA,2025-01-27T13:30:00,2025-01-27T22:30:00,654.3,655.3,653.3,655.3,1737984774247,1019580.16974479,1558.38149742,30
KRW-KAVA,2025-01-27T13:00:00,2025-01-27T22:00:00,654.6,659.6,651.4,654.2,1737984592205,52664385.688049,80398.15997678,30
KRW-KAVA,2025-01-27T12:30:00,2025-01-27T21:30:00,638.8,659.2,638.8,654.6,1737982790477,43520585.30197678,66844.05699419,30
KRW-KAVA,2025-01-27T12:00:00,2025-01-27T21:00:00,638.9,643.8,637.3,637.3,1737980948332,24130488.29135168,37697.43289902,30
KRW-KAVA,2025-01-27T11:30:00,2025-01-27T20:30:00,641.3,643.8,638.9,638.9,1737979153323,12395148.38996644,19375.74892996,30
KRW-KAVA,2025-01-27T11:00:00,2025-01-27T20:00:00,634.6,642.2,634.3,642.2,1737977399449,31728134.23593549,49729.5023203,30
KRW-KAVA,2025-01-27T10:30:00,2025-01-27T19:30:00,641.8,643.5,634.3,634.5,1737975569332,33053555.47279378,51716.60931152,30
KRW-KAVA,2025-01-27T10:00:00,2025-01-27T19:00:00,644.7,647.1,641.8,641.8,1737973714434,27738983.17000789,43110.7152757,30
KRW-KAVA,2025-01-27T09:30:00,2025-01-27T18:30:00,639.5,645.8,638.3,645.5,1737971965573,8969290.71841112,13949.18804955,30
KRW-KAVA,2025-01-27T09:00:00,2025-01-27T18:00:00,636,645.4,635.2,640.1,1737970166497,32362745.77101924,50437.94858048,30
KRW-KAVA,2025-01-27T08:30:00,2025-01-27T17:30:00,638.9,638.9,632.5,637.2,1737968349541,44514571.19079861,70120.46341671,30
KRW-KAVA,2025-01-27T08:00:00,2025-01-27T17:00:00,643.4,643.4,635.1,640,1737966541996,53272460.20891017,83238.42026002,30
KRW-KAVA,2025-01-27T07:30:00,2025-01-27T16:30:00,632.6,653.3,631.8,643.4,1737964761160,166302028.76796827,258976.13711131,30
KRW-KAVA,2025-01-27T07:00:00,2025-01-27T16:00:00,651,652.6,632.6,632.6,1737962999092,277945243.7786046,432572.02703388,30
KRW-KAVA,2025-01-27T06:30:00,2025-01-27T15:30:00,654,656.9,646.8,650.1,1737961182055,156005329.38383546,239946.45029441,30
KRW-KAVA,2025-01-27T06:00:00,2025-01-27T15:00:00,659.7,660.2,651.7,654,1737959395897,124650078.5282997,190390.05481591,30
KRW-KAVA,2025-01-27T05:30:00,2025-01-27T14:30:00,664.9,664.9,656,659.9,1737957590431,83773256.14268798,126903.02087538,30
KRW-KAVA,2025-01-27T05:00:00,2025-01-27T14:00:00,670.9,674.7,659.4,665.6,1737955754123,48043032.89052363,72273.91132118,30
KRW-KAVA,2025-01-27T04:30:00,2025-01-27T13:30:00,667,674.5,667,670.9,1737953958363,39192317.19278638,58472.4318209,30
KRW-KAVA,2025-01-27T04:00:00,2025-01-27T13:00:00,672.5,672.5,666.1,667.7,1737952192690,34520360.25606073,51608.1491917,30
KRW-KAVA,2025-01-27T03:30:00,2025-01-27T12:30:00,673.9,674.6,671.3,672.5,1737950396058,39706580.32961702,59018.32173054,30
KRW-KAVA,2025-01-27T03:00:00,2025-01-27T12:00:00,669,677.2,668.8,673.3,1737948511479,71447416.76649018,106062.48195925,30
