market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-KNC,2025-01-27T13:30:00,2025-01-27T22:30:00,776.4,776.6,776,776,1737984773211,3144524.61699815,4049.74166777,30
KRW-KNC,2025-01-27T13:00:00,2025-01-27T22:00:00,774.1,778.1,770.2,772,1737984586988,60599796.01639922,78298.26272165,30
KRW-KNC,2025-01-27T12:30:00,2025-01-27T21:30:00,759.3,778,759.3,772.9,1737982790722,36516055.7739201,47282.04489026,30
KRW-KNC,2025-01-27T12:00:00,2025-01-27T21:00:00,758.5,763,755.9,755.9,1737980949409,20363943.10437975,26823.00788092,30
KRW-KNC,2025-01-27T11:30:00,2025-01-27T20:30:00,761.8,765.1,759,759.2,1737979042945,5829582.06726611,7634.67571521,30
KRW-KNC,2025-01-27T11:00:00,2025-01-27T20:00:00,753.8,763.5,753.8,761.7,1737976960653,15869596.58724599,20908.77171831,30
KRW-KNC,2025-01-27T10:30:00,2025-01-27T19:30:00,762.2,762.2,753.7,753.7,1737975490601,21042258.0786608,27655.4610815,30
KRW-KNC,2025-01-27T10:00:00,2025-01-27T19:00:00,767.9,767.9,763,763,1737973671956,2745123.28627369,3596.56143233,30
KRW-KNC,2025-01-27T09:30:00,2025-01-27T18:30:00,763,768.8,763,767.6,1737971944940,4253994.61243606,5562.00768051,30
KRW-KNC,2025-01-27T09:00:00,2025-01-27T18:00:00,757.3,771.4,755.9,763,1737970199802,24794629.13222508,32546.55006106,30
KRW-KNC,2025-01-27T08:30:00,2025-01-27T17:30:00,762.5,762.5,751.7,757.3,1737968344613,40903223.89778107,54264.14647018,30
KRW-KNC,2025-01-27T08:00:00,2025-01-27T17:00:00,766,766,754.3,764.6,1737966533465,21302883.81284008,28019.39036397,30
KRW-KNC,2025-01-27T07:30:00,2025-01-27T16:30:00,750,771,749.2,766.2,1737964769219,68162700.5679504,89768.23997799,30
KRW-KNC,2025-01-27T07:00:00,2025-01-27T16:00:00,764.9,767.8,750,750,1737962997436,114702125.98510572,150842.72977018,30
KRW-KNC,2025-01-27T06:30:00,2025-01-27T15:30:00,771.1,771.6,763.1,766.4,1737961169729,64349910.39856408,83872.49092161,30
KRW-KNC,2025-01-27T06:00:00,2025-01-27T15:00:00,775.9,778,770.9,772.5,1737959349572,24388051.62712371,31533.27006151,30
KRW-KNC,2025-01-27T05:30:00,2025-01-27T14:30:00,777.1,777.6,771.4,777.2,1737957548334,22049722.78991891,28498.25157757,30
KRW-KNC,2025-01-27T05:00:00,2025-01-27T14:00:00,779.2,780.8,777,778.4,1737955515669,28854900.97335037,37088.81017851,30
KRW-KNC,2025-01-27T04:30:00,2025-01-27T13:30:00,778.1,781,777.6,779.2,1737953545491,13753143.61004742,17658.96519106,30
KRW-KNC,2025-01-27T04:00:00,2025-01-27T13:00:00,781.8,781.8,776.9,777.5,1737952153930,25224588.89037382,32414.78880219,30
KRW-KNC,2025-01-27T03:30:00,2025-01-27T12:30:00,783.3,783.3,781.8,781.8,1737949921742,1024100.84713537,1308.95918946,30
KRW-KNC,2025-01-27T03:00:00,2025-01-27T12:00:00,780,786.9,778.6,783.3,1737948497997,7145184.43628982,9109.81959485,30
KRW-KNC,2025-01-27T02:30:00,2025-01-27T11:30:00,782.6,783.3,777.3,778.8,1737946789383,15902352.44963179,20417.43838287,30
KRW-KNC,2025-01-27T02:00:00,2025-01-27T11:00:00,787.1,789.2,777.3,782.4,1737944994813,63565401.35630142,81205.31918159,30
KRW-KNC,2025-01-27T01:30:00,2025-01-27T10:30:00,788.8,795.3,786.6,787.5,1737943194959,25452597.03259956,32219.63440373,30
KRW-KNC,2025-01-27T01:00:00,2025-01-27T10:00:00,793.1,797.7,784,788.8,1737941392654,81727393.70203497,103412.35829171,30
KRW-KNC,2025-01-27T00:30:00,2025-01-27T09:30:00,799.1,801.1,791.9,794.6,1737939593018,38320588.34772726,48124.57742871,30
KRW-KNC,2025-01-27T00:00:00,2025-01-27T09:00:00,804.7,806.1,795.5,799.5,1737937735916,63904380.02668131,79911.0780976,30
KRW-KNC,2025-01-26T23:30:00,2025-01-27T08:30:00,809.4,810,801.9,802.7,1737935982462,156335759.23503062,194528.52501673,30
