market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-LINK,2025-01-27T13:30:00,2025-01-27T22:30:00,36150,36300,36000,36270,1737984820325,440089336.4511364,12182.87360959,30
KRW-LINK,2025-01-27T13:00:00,2025-01-27T22:00:00,35960,36610,35560,36120,1737984599906,5762271566.390275,159389.63205047,30
KRW-LINK,2025-01-27T12:30:00,2025-01-27T21:30:00,34650,36340,34590,35890,1737982797116,4165376243.0314536,116548.84487985,30
KRW-LINK,2025-01-27T12:00:00,2025-01-27T21:00:00,34510,34800,34500,34650,1737980998201,870660341.7996237,25149.47845548,30
KRW-LINK,2025-01-27T11:30:00,2025-01-27T20:30:00,34710,34800,34500,34510,1737979197469,1078045184.3893652,31118.24692881,30
KRW-LINK,2025-01-27T11:00:00,2025-01-27T20:00:00,34350,34800,34310,34740,1737977395965,1514510727.710973,43867.28278577,30
KRW-LINK,2025-01-27T10:30:00,2025-01-27T19:30:00,34820,34850,34350,34360,1737975599941,2648823180.05061,76683.68978821,30
KRW-LINK,2025-01-27T10:00:00,2025-01-27T19:00:00,35050,35050,34790,34820,1737973799142,1193078475.4534783,34183.66632033,30
KRW-LINK,2025-01-27T09:30:00,2025-01-27T18:30:00,34730,35100,34670,34980,1737971994929,1308065710.5695448,37472.43412317,30
KRW-LINK,2025-01-27T09:00:00,2025-01-27T18:00:00,34960,35240,34730,34730,1737970196548,1758542664.9974105,50323.73782791,30
KRW-LINK,2025-01-27T08:30:00,2025-01-27T17:30:00,35000,35040,34660,34920,1737968395589,2402607553.1165557,69094.14329033,30
KRW-LINK,2025-01-27T08:00:00,2025-01-27T17:00:00,35390,35500,34810,35050,1737966591941,2607695761.158422,74424.1624207,30
KRW-LINK,2025-01-27T07:30:00,2025-01-27T16:30:00,34660,35660,34630,35390,1737964792519,3955831856.3293924,111907.82029085,30
KRW-LINK,2025-01-27T07:00:00,2025-01-27T16:00:00,35700,35870,34640,34660,1737962999942,4818027779.812607,136558.94255382,30
KRW-LINK,2025-01-27T06:30:00,2025-01-27T15:30:00,36020,36040,35530,35700,1737961191698,3515477700.8168755,98356.9739095,30
KRW-LINK,2025-01-27T06:00:00,2025-01-27T15:00:00,36120,36270,35920,36020,1737959397231,1123613185.7424176,31160.99893899,30
KRW-LINK,2025-01-27T05:30:00,2025-01-27T14:30:00,36130,36160,35840,36150,1737957597353,2037156422.6400332,56614.99060273,30
KRW-LINK,2025-01-27T05:00:00,2025-01-27T14:00:00,36130,36340,36030,36130,1737955796524,1209143251.6375022,33476.15060326,30
KRW-LINK,2025-01-27T04:30:00,2025-01-27T13:30:00,36200,36330,36050,36130,1737953996232,1346419341.6745918,37241.18962141,30
KRW-LINK,2025-01-27T04:00:00,2025-01-27T13:00:00,36520,36520,36140,36230,1737952198877,1291733846.0846074,35609.49963895,30
KRW-LINK,2025-01-27T03:30:00,2025-01-27T12:30:00,36870,36960,36490,36530,1737950395105,761974533.3010939,20769.4961746,30
KRW-LINK,2025-01-27T03:00:00,2025-01-27T12:00:00,36300,37000,36220,36870,1737948596123,1211849393.6630785,33086.51115213,30
KRW-LINK,2025-01-27T02:30:00,2025-01-27T11:30:00,36510,36510,36210,36300,1737946798242,3164540328.051438,87118.70936158,30
KRW-LINK,2025-01-27T02:00:00,2025-01-27T11:00:00,36810,37150,36460,36510,1737944995199,2837542279.334048,77360.6556543,30
KRW-LINK,2025-01-27T01:30:00,2025-01-27T10:30:00,36800,37200,36710,36870,1737943194261,1687473310.1200538,45724.14330945,30
KRW-LINK,2025-01-27T01:00:00,2025-01-27T10:00:00,37160,37440,36710,36780,1737941399212,4179169891.8867292,113086.21554298,30
KRW-LINK,2025-01-27T00:30:00,2025-01-27T09:30:00,37650,37740,37150,37160,1737939599990,2412508097.040322,64473.95649107,30
KRW-LINK,2025-01-27T00:00:00,2025-01-27T09:00:00,37870,38210,37500,37720,1737937794388,3770370985.67976,99661.41300908,30
KRW-LINK,2025-01-26T23:30:00,2025-01-27T08:30:00,38370,38380,37710,37870,1737935995925,2996824300.9773746,78929.55445761,30
KRW-LINK,2025-01-26T23:00:00,2025-01-27T08:00:00,39080,39200,38240,38370,1737934198992,4008232674.0145426,103828.57677521,30
KRW-LINK,2025-01-26T22:30:00,2025-01-27T07:30:00,39200,39450,39030,39130,1737932399039,1523005442.933533,38771.85937517,30
KRW-LINK,2025-01-26T22:00:00,2025-01-27T07:00:00,38760,39200,38600,39200,1737930598535,1481152196.1319277,38132.47682551,30
KRW-LINK,2025-01-26T21:30:00,2025-01-27T06:30:00,39110,39150,38760,38780,1737928799977,538952758.1467456,13837.19652146,30
KRW-LINK,2025-01-26T21:00:00,2025-01-27T06:00:00,39260,39370,38870,39110,1737926999857,843741880.702668,21617.08957439,30
