market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-LOOM,2025-01-27T13:30:00,2025-01-27T22:30:00,84.35,84.35,84.35,84.35,1737984791932,5131730.99999747,60838.54179013,30
KRW-LOOM,2025-01-27T13:00:00,2025-01-27T22:00:00,83.81,84.47,83.34,84.35,1737984595967,49247331.81639721,586769.41077306,30
KRW-LOOM,2025-01-27T12:30:00,2025-01-27T21:30:00,83.04,84.47,82.76,83.82,1737982794550,160225925.0682822,1903298.71892529,30
KRW-LOOM,2025-01-27T12:00:00,2025-01-27T21:00:00,82.41,84.05,82.26,83.06,1737980949961,81565044.89602011,980435.51928144,30
KRW-LOOM,2025-01-27T11:30:00,2025-01-27T20:30:00,82.53,83.01,82.2,82.96,1737979187149,83294917.82325913,1010339.30063726,30
KRW-LOOM,2025-01-27T11:00:00,2025-01-27T20:00:00,82.01,83.37,82.01,82.52,1737977399923,66802944.24179767,810224.59965676,30
KRW-LOOM,2025-01-27T10:30:00,2025-01-27T19:30:00,83.3,83.41,82.01,82.01,1737975558678,135932383.74892598,1648785.36420308,30
KRW-LOOM,2025-01-27T10:00:00,2025-01-27T19:00:00,83.34,83.57,83,83.12,1737973793969,94958649.37297195,1141065.59026336,30
KRW-LOOM,2025-01-27T09:30:00,2025-01-27T18:30:00,83.45,84.2,83.22,83.55,1737971987118,51189754.22306396,612376.56276367,30
KRW-LOOM,2025-01-27T09:00:00,2025-01-27T18:00:00,83.18,84,83,83.49,1737970176596,61020216.70312365,731821.46828239,30
KRW-LOOM,2025-01-27T08:30:00,2025-01-27T17:30:00,83.79,83.89,83.02,83.05,1737968374363,91320710.26296917,1097615.57983138,30
KRW-LOOM,2025-01-27T08:00:00,2025-01-27T17:00:00,84.9,84.95,83.1,83.9,1737966543692,239386913.2701683,2866888.05851304,30
KRW-LOOM,2025-01-27T07:30:00,2025-01-27T16:30:00,83.7,85.39,83.05,85.15,1737964623881,262703648.85685137,3122463.09647575,30
KRW-LOOM,2025-01-27T07:00:00,2025-01-27T16:00:00,85.7,85.76,83.62,83.62,1737962997243,348561710.43888706,4116079.51956917,30
KRW-LOOM,2025-01-27T06:30:00,2025-01-27T15:30:00,87.34,87.53,85.15,85.6,1737961188250,424093281.2829756,4935254.29140954,30
KRW-LOOM,2025-01-27T06:00:00,2025-01-27T15:00:00,87.15,88.12,87.15,87.34,1737959388270,69200535.77530374,791222.4990848,30
KRW-LOOM,2025-01-27T05:30:00,2025-01-27T14:30:00,88.45,88.45,87.06,87.63,1737957567614,147810302.0818925,1684526.04105703,30
KRW-LOOM,2025-01-27T05:00:00,2025-01-27T14:00:00,88.28,88.47,87.95,88.45,1737955798817,59558630.66349849,674905.81817425,30
KRW-LOOM,2025-01-27T04:30:00,2025-01-27T13:30:00,88.46,88.46,87.91,88.28,1737953998220,41846289.5190755,475315.13700274,30
KRW-LOOM,2025-01-27T04:00:00,2025-01-27T13:00:00,88.88,88.88,87.9,88.07,1737952179545,142780939.1540205,1617109.68945592,30
KRW-LOOM,2025-01-27T03:30:00,2025-01-27T12:30:00,88.41,89,88.23,88.99,1737950294405,137605009.66385233,1551251.5864752,30
KRW-LOOM,2025-01-27T03:00:00,2025-01-27T12:00:00,87.41,88.49,87.34,88.42,1737948597334,90579234.04257196,1028459.23629206,30
KRW-LOOM,2025-01-27T02:30:00,2025-01-27T11:30:00,87.89,88.2,86.98,87.69,1737946755898,261458036.38369024,2995418.45977321,30
KRW-LOOM,2025-01-27T02:00:00,2025-01-27T11:00:00,88.06,88.06,87,87.9,1737944997546,397205021.3699649,4539289.59069001,30
KRW-LOOM,2025-01-27T01:30:00,2025-01-27T10:30:00,88.36,89.1,87.96,88.06,1737943199802,452415223.3289652,5121262.62078446,30
KRW-LOOM,2025-01-27T01:00:00,2025-01-27T10:00:00,90.7,90.99,87.3,88.35,1737941394102,1116209326.6548455,12561730.25023093,30
KRW-LOOM,2025-01-27T00:30:00,2025-01-27T09:30:00,92.19,93.99,89.41,90.44,1737939596856,4408093252.225164,48161885.57851263,30
KRW-LOOM,2025-01-27T00:00:00,2025-01-27T09:00:00,87.72,92.4,87.3,92.2,1737937799461,3547646316.611079,39123411.38113579,30
KRW-LOOM,2025-01-26T23:30:00,2025-01-27T08:30:00,87.79,88.21,87.08,87.71,1737935879103,58844529.13659306,673207.60593332,30
KRW-LOOM,2025-01-26T23:00:00,2025-01-27T08:00:00,88.65,88.95,87.79,88,1737934183683,64914224.20311703,735061.43677308,30
KRW-LOOM,2025-01-26T22:30:00,2025-01-27T07:30:00,89.05,89.06,88.63,89.05,1737932249631,11147127.75402258,125265.69206879,30
KRW-LOOM,2025-01-26T22:00:00,2025-01-27T07:00:00,89.21,89.35,88.6,89.05,1737930451458,26927678.38238285,303038.35919119,30
