market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-LSK,2025-01-27T13:30:00,2025-01-27T22:30:00,1321,1322,1321,1322,1737984773387,6902147.30182118,5221.24650277,30
KRW-LSK,2025-01-27T13:00:00,2025-01-27T22:00:00,1317,1328,1310,1319,1737984541755,98350232.53303212,74444.2520925,30
KRW-LSK,2025-01-27T12:30:00,2025-01-27T21:30:00,1292,1324,1289,1315,1737982790448,102923344.02501588,78226.34711059,30
KRW-LSK,2025-01-27T12:00:00,2025-01-27T21:00:00,1294,1300,1288,1292,1737980994224,60529742.26104182,46847.10101345,30
KRW-LSK,2025-01-27T11:30:00,2025-01-27T20:30:00,1304,1305,1294,1295,1737979175991,40264303.93536092,30988.92314414,30
KRW-LSK,2025-01-27T11:00:00,2025-01-27T20:00:00,1295,1305,1293,1305,1737977074854,79966380.99770947,61527.48187574,30
KRW-LSK,2025-01-27T10:30:00,2025-01-27T19:30:00,1307,1307,1291,1295,1737975449289,38327465.9158478,29589.69189728,30
KRW-LSK,2025-01-27T10:00:00,2025-01-27T19:00:00,1310,1310,1306,1308,1737973655259,20177982.13497738,15423.87125538,30
KRW-LSK,2025-01-27T09:30:00,2025-01-27T18:30:00,1299,1310,1298,1310,1737971983528,11804199.25954658,9050.3097986,30
KRW-LSK,2025-01-27T09:00:00,2025-01-27T18:00:00,1300,1312,1298,1301,1737970180360,22654820.44049521,17354.38365308,30
KRW-LSK,2025-01-27T08:30:00,2025-01-27T17:30:00,1305,1305,1289,1302,1737968399496,84689597.58350693,65383.09846924,30
KRW-LSK,2025-01-27T08:00:00,2025-01-27T17:00:00,1315,1316,1300,1305,1737966579499,143680623.71503034,110223.24783253,30
KRW-LSK,2025-01-27T07:30:00,2025-01-27T16:30:00,1291,1321,1291,1316,1737964782225,92001327.10528953,70326.06006182,30
KRW-LSK,2025-01-27T07:00:00,2025-01-27T16:00:00,1318,1328,1291,1291,1737962999719,249450722.00743896,190737.82212169,30
KRW-LSK,2025-01-27T06:30:00,2025-01-27T15:30:00,1323,1324,1310,1318,1737961184805,92619024.9714928,70387.15182022,30
KRW-LSK,2025-01-27T06:00:00,2025-01-27T15:00:00,1335,1337,1323,1324,1737959399388,71206197.0311056,53646.73291986,30
KRW-LSK,2025-01-27T05:30:00,2025-01-27T14:30:00,1335,1338,1330,1333,1737957489644,56825292.97077574,42681.34781393,30
KRW-LSK,2025-01-27T05:00:00,2025-01-27T14:00:00,1333,1340,1332,1336,1737955684390,53748229.56217549,40313.15112799,30
KRW-LSK,2025-01-27T04:30:00,2025-01-27T13:30:00,1337,1338,1333,1335,1737953879395,20244154.20714936,15151.44035359,30
KRW-LSK,2025-01-27T04:00:00,2025-01-27T13:00:00,1333,1337,1330,1337,1737952075987,27987427.06575985,21001.05539668,30
KRW-LSK,2025-01-27T03:30:00,2025-01-27T12:30:00,1338,1340,1335,1338,1737950337493,75191722.7027381,56197.39992413,30
KRW-LSK,2025-01-27T03:00:00,2025-01-27T12:00:00,1330,1340,1329,1338,1737948452743,77161865.09119914,57676.62541745,30
KRW-LSK,2025-01-27T02:30:00,2025-01-27T11:30:00,1335,1335,1329,1330,1737946763612,44749754.69636685,33602.11408764,30
KRW-LSK,2025-01-27T02:00:00,2025-01-27T11:00:00,1340,1347,1331,1334,1737944963852,178378042.6142009,133176.66747184,30
KRW-LSK,2025-01-27T01:30:00,2025-01-27T10:30:00,1346,1350,1341,1341,1737943082558,58352612.63371137,43404.11155627,30
KRW-LSK,2025-01-27T01:00:00,2025-01-27T10:00:00,1354,1360,1323,1345,1737941387077,248905219.92551863,185042.59049188,30
KRW-LSK,2025-01-27T00:30:00,2025-01-27T09:30:00,1363,1368,1354,1355,1737939599873,76240317.15926047,55933.22885873,30
KRW-LSK,2025-01-27T00:00:00,2025-01-27T09:00:00,1371,1378,1354,1366,1737937772067,84389438.72478236,61822.98446661,30
KRW-LSK,2025-01-26T23:30:00,2025-01-27T08:30:00,1365,1371,1357,1371,1737935997692,97760240.17578287,71707.2368861,30
KRW-LSK,2025-01-26T23:00:00,2025-01-27T08:00:00,1376,1377,1360,1365,1737934175780,75669480.7905396,55272.95596652,30
KRW-LSK,2025-01-26T22:30:00,2025-01-27T07:30:00,1386,1386,1375,1379,1737932325057,33823232.30451475,24516.13215601,30
KRW-LSK,2025-01-26T22:00:00,2025-01-27T07:00:00,1380,1385,1377,1383,1737930433251,12152257.82483854,8812.36696951,30
KRW-LSK,2025-01-26T21:30:00,2025-01-27T06:30:00,1382,1385,1381,1381,1737928618940,10627492.7052262,7693.11061385,30
KRW-LSK,2025-01-26T21:00:00,2025-01-27T06:00:00,1381,1383,1379,1382,1737926917080,5585765.7871916,4045.06325406,30
KRW-LSK,2025-01-26T20:30:00,2025-01-27T05:30:00,1386,1386,1380,1380,1737924801465,1253953.83090792,907.16677931,30
KRW-LSK,2025-01-26T20:00:00,2025-01-27T05:00:00,1384,1387,1382,1387,1737922896095,15713650.39793746,11357.58247238,30
