market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-MANA,2025-01-27T13:30:00,2025-01-27T22:30:00,675,678,674,678,1737984810907,3008440.61227861,4451.19894369,30
KRW-MANA,2025-01-27T13:00:00,2025-01-27T22:00:00,667,678,664,675,1737984545816,154219096.91033733,229909.55610703,30
KRW-MANA,2025-01-27T12:30:00,2025-01-27T21:30:00,646,673,646,667,1737982793250,148863976.74327657,224675.26796653,30
KRW-MANA,2025-01-27T12:00:00,2025-01-27T21:00:00,649,652,646,647,1737980975658,63102170.45294161,97256.7549789,30
KRW-MANA,2025-01-27T11:30:00,2025-01-27T20:30:00,652,653,649,649,1737979199924,34131365.48453984,52494.40444481,30
KRW-MANA,2025-01-27T11:00:00,2025-01-27T20:00:00,646,653,645,652,1737977396120,90630932.96584679,139706.51634511,30
KRW-MANA,2025-01-27T10:30:00,2025-01-27T19:30:00,652,653,645,646,1737975584333,218973537.46285772,337884.6413443,30
KRW-MANA,2025-01-27T10:00:00,2025-01-27T19:00:00,658,658,652,652,1737973777743,55178558.42950137,84285.66732597,30
KRW-MANA,2025-01-27T09:30:00,2025-01-27T18:30:00,651,658,651,657,1737971969891,68070729.56658298,104130.63960736,30
KRW-MANA,2025-01-27T09:00:00,2025-01-27T18:00:00,652,658,649,652,1737970183483,93712058.56393772,143209.47144768,30
KRW-MANA,2025-01-27T08:30:00,2025-01-27T17:30:00,656,656,645,652,1737968388332,159352507.56496388,245789.04319937,30
KRW-MANA,2025-01-27T08:00:00,2025-01-27T17:00:00,659,661,651,656,1737966599731,138645786.40895677,212031.53588963,30
KRW-MANA,2025-01-27T07:30:00,2025-01-27T16:30:00,647,663,647,658,1737964789739,193083720.37927252,294649.05055307,30
KRW-MANA,2025-01-27T07:00:00,2025-01-27T16:00:00,661,664,647,647,1737962999123,453656317.21141523,694523.87588804,30
KRW-MANA,2025-01-27T06:30:00,2025-01-27T15:30:00,665,665,657,661,1737961197495,277607202.3292254,420465.3629243,30
KRW-MANA,2025-01-27T06:00:00,2025-01-27T15:00:00,668,669,663,665,1737959391625,113453781.97020578,170505.36888461,30
KRW-MANA,2025-01-27T05:30:00,2025-01-27T14:30:00,669,669,665,668,1737957583666,208629204.88825417,313202.93541833,30
KRW-MANA,2025-01-27T05:00:00,2025-01-27T14:00:00,669,672,667,669,1737955795004,101809120.69594154,152313.49509945,30
