market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-MASK,2025-01-27T13:30:00,2025-01-27T22:30:00,3323,3333,3321,3333,1737984808014,2233066.08560604,671.80102011,30
KRW-MASK,2025-01-27T13:00:00,2025-01-27T22:00:00,3305,3344,3290,3322,1737984551107,68147731.60450356,20523.77059069,30
KRW-MASK,2025-01-27T12:30:00,2025-01-27T21:30:00,3225,3324,3216,3306,1737982758675,78143831.7703505,23705.67293564,30
KRW-MASK,2025-01-27T12:00:00,2025-01-27T21:00:00,3220,3241,3218,3221,1737980996825,29851306.30404186,9260.01301258,30
KRW-MASK,2025-01-27T11:30:00,2025-01-27T20:30:00,3233,3247,3220,3222,1737979198213,32749954.45003474,10134.55937671,30
KRW-MASK,2025-01-27T11:00:00,2025-01-27T20:00:00,3205,3243,3205,3235,1737977354545,64829802.86276714,20097.8089534,30
KRW-MASK,2025-01-27T10:30:00,2025-01-27T19:30:00,3244,3244,3193,3206,1737975592677,145494360.20445067,45330.56600334,30
KRW-MASK,2025-01-27T10:00:00,2025-01-27T19:00:00,3251,3258,3234,3247,1737973718233,54058209.86254454,16638.59720413,30
KRW-MASK,2025-01-27T09:30:00,2025-01-27T18:30:00,3232,3260,3226,3251,1737971934001,19616935.62450818,6045.27500194,30
KRW-MASK,2025-01-27T09:00:00,2025-01-27T18:00:00,3211,3259,3206,3231,1737970199123,40836325.23223155,12650.02932845,30
KRW-MASK,2025-01-27T08:30:00,2025-01-27T17:30:00,3233,3233,3187,3217,1737968389634,220257199.16020054,68797.78510226,30
KRW-MASK,2025-01-27T08:00:00,2025-01-27T17:00:00,3264,3264,3216,3231,1737966588403,60987629.27652147,18865.09134078,30
KRW-MASK,2025-01-27T07:30:00,2025-01-27T16:30:00,3199,3275,3198,3264,1737964757932,125455612.79951337,38669.55793533,30
KRW-MASK,2025-01-27T07:00:00,2025-01-27T16:00:00,3276,3287,3199,3199,1737962999811,285489265.1389252,87854.32793391,30
KRW-MASK,2025-01-27T06:30:00,2025-01-27T15:30:00,3301,3301,3262,3276,1737961196979,205084439.6404975,62526.81730937,30
KRW-MASK,2025-01-27T06:00:00,2025-01-27T15:00:00,3318,3318,3290,3298,1737959381515,211173356.15865317,63825.93061173,30
KRW-MASK,2025-01-27T05:30:00,2025-01-27T14:30:00,3333,3333,3291,3318,1737957596907,151254634.74496832,45764.76204757,30
KRW-MASK,2025-01-27T05:00:00,2025-01-27T14:00:00,3328,3334,3317,3334,1737955759286,80500774.25687028,24212.07816954,30
KRW-MASK,2025-01-27T04:30:00,2025-01-27T13:30:00,3332,3345,3323,3326,1737953992861,51332697.81364724,15417.18162962,30
KRW-MASK,2025-01-27T04:00:00,2025-01-27T13:00:00,3341,3341,3318,3330,1737952159253,50775032.09900839,15261.21458182,30
KRW-MASK,2025-01-27T03:30:00,2025-01-27T12:30:00,3344,3346,3330,3337,1737950386825,126622808.97906063,37942.30424594,30
KRW-MASK,2025-01-27T03:00:00,2025-01-27T12:00:00,3318,3351,3317,3340,1737948577219,101911316.38095804,30540.72864182,30
KRW-MASK,2025-01-27T02:30:00,2025-01-27T11:30:00,3333,3338,3312,3318,1737946799937,87381796.6217292,26271.25480351,30
KRW-MASK,2025-01-27T02:00:00,2025-01-27T11:00:00,3362,3362,3328,3333,1737944998869,217548403.90206683,65068.03172031,30
KRW-MASK,2025-01-27T01:30:00,2025-01-27T10:30:00,3367,3391,3360,3361,1737943189131,190822493.47861457,56482.5635278,30
KRW-MASK,2025-01-27T01:00:00,2025-01-27T10:00:00,3426,3426,3363,3368,1737941398351,367758504.3506026,108742.43732292,30
KRW-MASK,2025-01-27T00:30:00,2025-01-27T09:30:00,3493,3493,3420,3427,1737939575468,511153325.92628396,148680.35353714,30
KRW-MASK,2025-01-27T00:00:00,2025-01-27T09:00:00,3520,3542,3481,3492,1737937781420,169483230.74540696,48460.99751994,30
KRW-MASK,2025-01-26T23:30:00,2025-01-27T08:30:00,3535,3535,3500,3516,1737935983441,81353237.33511257,23150.4712295,30
KRW-MASK,2025-01-26T23:00:00,2025-01-27T08:00:00,3572,3573,3519,3526,1737934161681,105782405.43189304,29809.71537158,30
KRW-MASK,2025-01-26T22:30:00,2025-01-27T07:30:00,3579,3593,3572,3572,1737932341917,14399039.43161866,4014.66909096,30
KRW-MASK,2025-01-26T22:00:00,2025-01-27T07:00:00,3575,3583,3564,3580,1737930491275,52423417.78142495,14679.57361314,30
KRW-MASK,2025-01-26T21:30:00,2025-01-27T06:30:00,3592,3592,3576,3576,1737928791488,34854055.14532344,9739.08410452,30
KRW-MASK,2025-01-26T21:00:00,2025-01-27T06:00:00,3595,3595,3581,3589,1737926830350,5629465.73811338,1569.78939934,30
KRW-MASK,2025-01-26T20:30:00,2025-01-27T05:30:00,3613,3613,3597,3597,1737925026379,41668698.52441199,11570.09973918,30
KRW-MASK,2025-01-26T20:00:00,2025-01-27T05:00:00,3609,3613,3605,3613,1737923339946,6622861.3562941,1835.66214803,30
KRW-MASK,2025-01-26T19:30:00,2025-01-27T04:30:00,3599,3609,3599,3609,1737921351066,6789643.59754072,1884.24065521,30
KRW-MASK,2025-01-26T19:00:00,2025-01-27T04:00:00,3599,3604,3599,3600,1737919442051,16649325.72263514,4621.39807415,30
KRW-MASK,2025-01-26T18:30:00,2025-01-27T03:30:00,3607,3607,3600,3603,1737917727300,8936873.4336767,2480.24209018,30
KRW-MASK,2025-01-26T18:00:00,2025-01-27T03:00:00,3604,3604,3600,3602,1737916030883,2925257.470999,811.88862933,30
KRW-MASK,2025-01-26T17:30:00,2025-01-27T02:30:00,3587,3610,3583,3610,1737913955150,22087952.32322284,6139.11055069,30
KRW-MASK,2025-01-26T17:00:00,2025-01-27T02:00:00,3591,3592,3584,3585,1737912598516,6390732.96929289,1780.98214434,30
KRW-MASK,2025-01-26T16:30:00,2025-01-27T01:30:00,3589,3593,3584,3592,1737910725235,8070199.97374086,2248.42510529,30
KRW-MASK,2025-01-26T16:00:00,2025-01-27T01:00:00,3591,3591,3579,3587,1737908745940,31891937.2942284,8904.61621113,30
KRW-MASK,2025-01-26T15:30:00,2025-01-27T00:30:00,3598,3598,3591,3591,1737907136426,23447950.62784001,6521.90733689,30
KRW-MASK,2025-01-26T15:00:00,2025-01-27T00:00:00,3604,3604,3594,3598,1737905290934,11759137.53107113,3267.3439527,30
KRW-MASK,2025-01-26T14:30:00,2025-01-26T23:30:00,3591,3607,3591,3604,1737903248850,10700087.95924758,2973.79728023,30
KRW-MASK,2025-01-26T14:00:00,2025-01-26T23:00:00,3600,3600,3591,3591,1737901610373,14100816.90250153,3924.36642183,30
KRW-MASK,2025-01-26T13:30:00,2025-01-26T22:30:00,3599,3606,3597,3604,1737899953274,12448381.1089254,3456.47532661,30
KRW-MASK,2025-01-26T13:00:00,2025-01-26T22:00:00,3600,3606,3596,3600,1737898137957,68552456.11325495,19030.03234875,30
KRW-MASK,2025-01-26T12:30:00,2025-01-26T21:30:00,3597,3603,3588,3601,1737896372852,28068674.03552922,7805.50889262,30
