market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-MBL,2025-01-27T13:30:00,2025-01-27T22:30:00,4.966,4.985,4.966,4.985,1737984774926,4219825.37279246,847129.71767172,30
KRW-MBL,2025-01-27T13:00:00,2025-01-27T22:00:00,4.987,5.007,4.95,4.957,1737984570769,55774408.60915512,11196019.36821392,30
KRW-MBL,2025-01-27T12:30:00,2025-01-27T21:30:00,4.893,5.02,4.889,4.987,1737982794944,146042074.6553799,29434144.76256773,30
KRW-MBL,2025-01-27T12:00:00,2025-01-27T21:00:00,4.899,4.91,4.886,4.893,1737980989926,89925014.56251866,18369812.58401431,30
KRW-MBL,2025-01-27T11:30:00,2025-01-27T20:30:00,4.9,4.912,4.899,4.899,1737979197044,46513983.43424604,9482704.06985529,30
KRW-MBL,2025-01-27T11:00:00,2025-01-27T20:00:00,4.862,4.906,4.856,4.9,1737977346777,23230215.80190708,4767017.2399129,30
KRW-MBL,2025-01-27T10:30:00,2025-01-27T19:30:00,4.886,4.931,4.86,4.862,1737975597658,48291414.28509843,9902633.71224151,30
KRW-MBL,2025-01-27T10:00:00,2025-01-27T19:00:00,4.909,4.91,4.875,4.901,1737973767792,34492025.66478197,7049134.73873948,30
KRW-MBL,2025-01-27T09:30:00,2025-01-27T18:30:00,4.868,4.917,4.866,4.908,1737971985003,32477945.02339785,6636187.47391062,30
KRW-MBL,2025-01-27T09:00:00,2025-01-27T18:00:00,4.837,4.893,4.83,4.866,1737970190568,49275459.25584284,10108222.22353673,30
KRW-MBL,2025-01-27T08:30:00,2025-01-27T17:30:00,4.839,4.848,4.808,4.841,1737968329026,37014793.83831658,7663204.07443143,30
KRW-MBL,2025-01-27T08:00:00,2025-01-27T17:00:00,4.882,4.896,4.836,4.846,1737966547931,60509061.52970179,12446000.27289555,30
KRW-MBL,2025-01-27T07:30:00,2025-01-27T16:30:00,4.788,4.92,4.785,4.882,1737964763444,181433846.89481974,37310670.31351856,30
KRW-MBL,2025-01-27T07:00:00,2025-01-27T16:00:00,4.885,4.907,4.788,4.788,1737962998907,251227457.19701245,52021883.16397831,30
KRW-MBL,2025-01-27T06:30:00,2025-01-27T15:30:00,4.9,4.925,4.846,4.879,1737961181053,180851982.6078758,37105768.87825737,30
KRW-MBL,2025-01-27T06:00:00,2025-01-27T15:00:00,4.924,4.95,4.88,4.899,1737959338404,138617391.47310427,28260620.09372201,30
KRW-MBL,2025-01-27T05:30:00,2025-01-27T14:30:00,4.971,4.973,4.911,4.939,1737957492805,196891433.8945425,39793404.57081959,30
KRW-MBL,2025-01-27T05:00:00,2025-01-27T14:00:00,4.975,4.991,4.971,4.971,1737955599313,40265651.87843079,8090768.76776876,30
KRW-MBL,2025-01-27T04:30:00,2025-01-27T13:30:00,4.991,5,4.97,4.975,1737953811922,69399398.98599394,13940832.13157928,30
KRW-MBL,2025-01-27T04:00:00,2025-01-27T13:00:00,5.022,5.022,4.971,4.991,1737952194017,141799073.59685478,28410055.29626705,30
KRW-MBL,2025-01-27T03:30:00,2025-01-27T12:30:00,5.025,5.033,5.008,5.024,1737950358199,29337095.47191295,5845133.74155402,30
KRW-MBL,2025-01-27T03:00:00,2025-01-27T12:00:00,4.984,5.034,4.974,5.026,1737948573582,67752698.34008825,13562298.54071708,30
KRW-MBL,2025-01-27T02:30:00,2025-01-27T11:30:00,5.002,5.002,4.963,4.981,1737946789944,144287588.1995236,28979912.30574552,30
KRW-MBL,2025-01-27T02:00:00,2025-01-27T11:00:00,5.01,5.023,4.968,5.002,1737944917480,122871160.4081117,24616227.86746786,30
KRW-MBL,2025-01-27T01:30:00,2025-01-27T10:30:00,5.025,5.051,5.01,5.01,1737943159757,105959109.2909951,21080340.15916257,30
KRW-MBL,2025-01-27T01:00:00,2025-01-27T10:00:00,5.029,5.06,4.977,5.03,1737941393091,341053905.07764435,68110880.15023533,30
KRW-MBL,2025-01-27T00:30:00,2025-01-27T09:30:00,5.065,5.067,5.01,5.013,1737939599855,179759770.30250385,35758908.01902622,30
KRW-MBL,2025-01-27T00:00:00,2025-01-27T09:00:00,5.125,5.15,5.014,5.065,1737937790197,535124222.6910668,105616340.57751492,30
KRW-MBL,2025-01-26T23:30:00,2025-01-27T08:30:00,5.133,5.165,5.084,5.134,1737935980341,214614102.53026652,41918967.12607081,30
KRW-MBL,2025-01-26T23:00:00,2025-01-27T08:00:00,5.213,5.213,5.126,5.136,1737934173824,237360731.25330323,45927115.64153834,30
KRW-MBL,2025-01-26T22:30:00,2025-01-27T07:30:00,5.23,5.251,5.209,5.226,1737932306327,66669526.75236661,12746930.0798146,30
KRW-MBL,2025-01-26T22:00:00,2025-01-27T07:00:00,5.217,5.24,5.208,5.23,1737930533736,37309067.4001544,7150588.83343746,30
KRW-MBL,2025-01-26T21:30:00,2025-01-27T06:30:00,5.241,5.248,5.208,5.217,1737928784435,60861199.36839675,11648758.74094729,30
KRW-MBL,2025-01-26T21:00:00,2025-01-27T06:00:00,5.231,5.241,5.22,5.232,1737926983222,21685424.65598996,4145119.01585355,30
KRW-MBL,2025-01-26T20:30:00,2025-01-27T05:30:00,5.235,5.237,5.217,5.231,1737924947138,5402512.6815692,1032491.60806271,30
KRW-MBL,2025-01-26T20:00:00,2025-01-27T05:00:00,5.213,5.227,5.213,5.227,1737922451253,10182495.63999091,1952114.27657038,30
KRW-MBL,2025-01-26T19:30:00,2025-01-27T04:30:00,5.221,5.222,5.209,5.209,1737921334378,24172213.98024531,4636173.19790872,30
KRW-MBL,2025-01-26T19:00:00,2025-01-27T04:00:00,5.232,5.235,5.22,5.22,1737919425531,3692745.16029846,706019.34159387,30
KRW-MBL,2025-01-26T18:30:00,2025-01-27T03:30:00,5.252,5.26,5.208,5.215,1737917884223,27972852.37223467,5347600.1450783,30
KRW-MBL,2025-01-26T18:00:00,2025-01-27T03:00:00,5.258,5.26,5.251,5.251,1737916112099,21611379.72005602,4114136.17145344,30
KRW-MBL,2025-01-26T17:30:00,2025-01-27T02:30:00,5.23,5.263,5.23,5.258,1737914378744,15544700.50793065,2960686.99653445,30
KRW-MBL,2025-01-26T17:00:00,2025-01-27T02:00:00,5.223,5.272,5.216,5.23,1737912507490,80887520.09568712,15425610.59168254,30
KRW-MBL,2025-01-26T16:30:00,2025-01-27T01:30:00,5.298,5.337,5.201,5.226,1737910686878,274797355.48649454,52382052.81723436,30
KRW-MBL,2025-01-26T16:00:00,2025-01-27T01:00:00,5.325,5.45,5.256,5.3,1737908995457,886508398.9559616,165115842.205637,30
KRW-MBL,2025-01-26T15:30:00,2025-01-27T00:30:00,5.25,5.35,5.23,5.339,1737907199721,109360155.35409375,20686811.07829195,30
KRW-MBL,2025-01-26T15:00:00,2025-01-27T00:00:00,5.257,5.269,5.232,5.26,1737905241307,77385009.35582122,14727283.89207223,30
KRW-MBL,2025-01-26T14:30:00,2025-01-26T23:30:00,5.218,5.35,5.218,5.275,1737903496362,299969475.3380114,56629353.89420143,30
KRW-MBL,2025-01-26T14:00:00,2025-01-26T23:00:00,5.221,5.231,5.203,5.218,1737901701763,15623948.91907377,2997718.36098481,30
KRW-MBL,2025-01-26T13:30:00,2025-01-26T22:30:00,5.2,5.216,5.191,5.208,1737899961857,31439816.82565884,6037587.34142995,30
KRW-MBL,2025-01-26T13:00:00,2025-01-26T22:00:00,5.201,5.213,5.18,5.204,1737898191862,107637196.04756875,20708276.75228824,30
KRW-MBL,2025-01-26T12:30:00,2025-01-26T21:30:00,5.229,5.229,5.2,5.201,1737896382666,133969439.94929582,25738689.27137054,30
KRW-MBL,2025-01-26T12:00:00,2025-01-26T21:00:00,5.249,5.254,5.22,5.228,1737894595922,57656031.8162661,11021375.17263412,30
KRW-MBL,2025-01-26T11:30:00,2025-01-26T20:30:00,5.237,5.269,5.223,5.249,1737892701189,82312548.621615,15695699.33604368,30
KRW-MBL,2025-01-26T11:00:00,2025-01-26T20:00:00,5.26,5.317,5.2,5.237,1737890987001,392788395.956353,74717930.80829427,30
KRW-MBL,2025-01-26T10:30:00,2025-01-26T19:30:00,5.256,5.263,5.234,5.26,1737889173375,91472965.72473438,17432006.36802456,30
KRW-MBL,2025-01-26T10:00:00,2025-01-26T19:00:00,5.243,5.28,5.233,5.256,1737887278131,68785355.85999218,13088200.15115463,30
KRW-MBL,2025-01-26T09:30:00,2025-01-26T18:30:00,5.272,5.281,5.216,5.244,1737885590288,145581121.28134257,27778901.09805178,30
KRW-MBL,2025-01-26T09:00:00,2025-01-26T18:00:00,5.28,5.324,5.253,5.261,1737883649803,164900511.89449987,31187079.83259916,30
KRW-MBL,2025-01-26T08:30:00,2025-01-26T17:30:00,5.286,5.3,5.254,5.275,1737881988894,48955872.9062688,9290855.88576188,30
KRW-MBL,2025-01-26T08:00:00,2025-01-26T17:00:00,5.271,5.326,5.246,5.3,1737880195776,155759711.87505466,29494113.17019734,30
KRW-MBL,2025-01-26T07:30:00,2025-01-26T16:30:00,5.332,5.351,5.246,5.263,1737878399344,332821221.2627301,62846625.01517053,30
KRW-MBL,2025-01-26T07:00:00,2025-01-26T16:00:00,5.211,5.331,5.211,5.331,1737876594371,176687192.6623968,33548899.15106761,30
KRW-MBL,2025-01-26T06:30:00,2025-01-26T15:30:00,5.191,5.246,5.165,5.211,1737874718551,192266731.7872724,37067911.21047508,30
KRW-MBL,2025-01-26T06:00:00,2025-01-26T15:00:00,5.286,5.327,5.15,5.191,1737872994122,359075258.2174228,68405130.25727615,30
KRW-MBL,2025-01-26T05:30:00,2025-01-26T14:30:00,5.242,5.31,5.233,5.292,1737871199860,299944569.81790066,56759330.18718886,30
KRW-MBL,2025-01-26T05:00:00,2025-01-26T14:00:00,5.223,5.248,5.215,5.248,1737869265844,33359866.59996578,6373506.48583088,30
KRW-MBL,2025-01-26T04:30:00,2025-01-26T13:30:00,5.213,5.239,5.196,5.213,1737867564129,84439786.4177809,16189876.86515894,30
KRW-MBL,2025-01-26T04:00:00,2025-01-26T13:00:00,5.201,5.226,5.194,5.222,1737865751738,73795012.0943295,14156043.65967942,30
KRW-MBL,2025-01-26T03:30:00,2025-01-26T12:30:00,5.237,5.266,5.193,5.201,1737863973176,162848200.53847262,31083238.26288899,30
KRW-MBL,2025-01-26T03:00:00,2025-01-26T12:00:00,5.242,5.257,5.221,5.237,1737862199106,92560385.07972658,17650456.87582707,30
KRW-MBL,2025-01-26T02:30:00,2025-01-26T11:30:00,5.214,5.261,5.214,5.236,1737860332680,69536579.39565909,13283103.51350478,30
KRW-MBL,2025-01-26T02:00:00,2025-01-26T11:00:00,5.199,5.23,5.184,5.214,1737858593743,93832077.86889605,18015815.08261257,30
KRW-MBL,2025-01-26T01:30:00,2025-01-26T10:30:00,5.17,5.23,5.155,5.2,1737856788870,88262730.43343368,16969574.44818105,30
KRW-MBL,2025-01-26T01:00:00,2025-01-26T10:00:00,5.087,5.197,5.087,5.169,1737854983409,127438180.92094685,24706217.57083708,30
KRW-MBL,2025-01-26T00:30:00,2025-01-26T09:30:00,5.231,5.243,5.076,5.088,1737853197606,405014397.73585856,78871675.87902647,30
KRW-MBL,2025-01-26T00:00:00,2025-01-26T09:00:00,5.143,5.255,5.008,5.244,1737851395550,1016989850.8146069,197608369.07171923,30
KRW-MBL,2025-01-25T23:30:00,2025-01-26T08:30:00,5.133,5.15,5.112,5.144,1737849597154,87587745.148227,17057628.2291374,30
KRW-MBL,2025-01-25T23:00:00,2025-01-26T08:00:00,5.089,5.133,5.08,5.133,1737847799032,62349923.27078639,12192665.60679399,30
KRW-MBL,2025-01-25T22:30:00,2025-01-26T07:30:00,5.09,5.11,5.082,5.089,1737845979091,21903891.27372791,4298685.01607205,30
KRW-MBL,2025-01-25T22:00:00,2025-01-26T07:00:00,5.096,5.112,5.088,5.09,1737844167165,13619210.80869728,2672232.05012416,30
KRW-MBL,2025-01-25T21:30:00,2025-01-26T06:30:00,5.069,5.155,5.061,5.117,1737842390831,46113088.49837554,9058875.3047571,30
KRW-MBL,2025-01-25T21:00:00,2025-01-26T06:00:00,5.06,5.069,5.06,5.069,1737840554396,7849715.53174893,1550371.86081842,30
KRW-MBL,2025-01-25T20:30:00,2025-01-26T05:30:00,5.072,5.072,5.06,5.06,1737838798212,14851557.69630378,2933540.48160718,30
KRW-MBL,2025-01-25T20:00:00,2025-01-26T05:00:00,5.07,5.093,5.063,5.075,1737836614367,5269693.97234816,1038507.74408081,30
KRW-MBL,2025-01-25T19:30:00,2025-01-26T04:30:00,5.074,5.074,5.058,5.071,1737835006874,25097294.81593854,4957818.60527716,30
KRW-MBL,2025-01-25T19:00:00,2025-01-26T04:00:00,5.083,5.09,5.064,5.064,1737833327751,25774853.04864225,5082420.00434886,30
KRW-MBL,2025-01-25T18:30:00,2025-01-26T03:30:00,5.093,5.093,5.082,5.082,1737831280345,150118.99999998,29526.55414485,30
KRW-MBL,2025-01-25T18:00:00,2025-01-26T03:00:00,5.087,5.101,5.087,5.087,1737829382273,2974501.78430483,584558.94466761,30
KRW-MBL,2025-01-25T17:30:00,2025-01-26T02:30:00,5.087,5.087,5.082,5.087,1737827980020,5394076.88680805,1060819.79293224,30
KRW-MBL,2025-01-25T17:00:00,2025-01-26T02:00:00,5.089,5.098,5.078,5.098,1737825674749,9986199.11630295,1963866.71748161,30
KRW-MBL,2025-01-25T16:30:00,2025-01-26T01:30:00,5.081,5.098,5.068,5.083,1737824219782,24537061.17558994,4832122.82481268,30
KRW-MBL,2025-01-25T16:00:00,2025-01-26T01:00:00,5.094,5.12,5.082,5.096,1737822547279,28970656.17641154,5690233.16797163,30
KRW-MBL,2025-01-25T15:30:00,2025-01-26T00:30:00,5.115,5.118,5.09,5.097,1737820771372,47990060.38684555,9393361.54724252,30
KRW-MBL,2025-01-25T15:00:00,2025-01-26T00:00:00,5.082,5.135,5.082,5.114,1737818836096,54547584.79946891,10677904.0085249,30
KRW-MBL,2025-01-25T14:30:00,2025-01-25T23:30:00,5.103,5.122,5.07,5.082,1737817183829,160518262.25081888,31496461.99999323,30
KRW-MBL,2025-01-25T14:00:00,2025-01-25T23:00:00,5.122,5.122,5.102,5.102,1737815335602,70816138.79846995,13858400.46916064,30
KRW-MBL,2025-01-25T13:30:00,2025-01-25T22:30:00,5.117,5.155,5.112,5.122,1737813588028,141600378.77808955,27551008.48321184,30
KRW-MBL,2025-01-25T13:00:00,2025-01-25T22:00:00,5.13,5.156,5.103,5.117,1737811740568,66113716.85835318,12928348.98752136,30
KRW-MBL,2025-01-25T12:30:00,2025-01-25T21:30:00,5.11,5.134,5.11,5.125,1737809979353,15239896.70137296,2979961.8150677,30
KRW-MBL,2025-01-25T12:00:00,2025-01-25T21:00:00,5.122,5.174,5.109,5.109,1737808188105,179728209.23460108,35006047.09941433,30
KRW-MBL,2025-01-25T11:30:00,2025-01-25T20:30:00,5.107,5.133,5.094,5.12,1737806387964,188106705.82736552,36823118.93416701,30
KRW-MBL,2025-01-25T11:00:00,2025-01-25T20:00:00,5.116,5.116,5.087,5.107,1737804549312,16783724.75995805,3291132.13532724,30
KRW-MBL,2025-01-25T10:30:00,2025-01-25T19:30:00,5.057,5.116,5.057,5.116,1737802682935,47212283.66170718,9254553.9548373,30
KRW-MBL,2025-01-25T10:00:00,2025-01-25T19:00:00,5.068,5.122,5.056,5.056,1737800953252,53710736.91813646,10548798.24397888,30
KRW-MBL,2025-01-25T09:30:00,2025-01-25T18:30:00,5.081,5.083,5.053,5.073,1737799183946,55834428.73897689,11026218.5184186,30
KRW-MBL,2025-01-25T09:00:00,2025-01-25T18:00:00,5.111,5.124,5.066,5.082,1737797298428,38289170.24680771,7516006.91138764,30
KRW-MBL,2025-01-25T08:30:00,2025-01-25T17:30:00,5.14,5.165,5.092,5.124,1737795592347,206989865.75882593,40299132.41811906,30
KRW-MBL,2025-01-25T08:00:00,2025-01-25T17:00:00,5.094,5.15,5.069,5.14,1737793799288,109886160.25680716,21501951.54665925,30
KRW-MBL,2025-01-25T07:30:00,2025-01-25T16:30:00,5.05,5.112,5.05,5.096,1737791942081,158456993.8975352,31110323.14083421,30
KRW-MBL,2025-01-25T07:00:00,2025-01-25T16:00:00,5.009,5.091,5.005,5.049,1737790197706,127050284.58772089,25183375.21649623,30
KRW-MBL,2025-01-25T06:30:00,2025-01-25T15:30:00,4.998,5.014,4.998,5.004,1737788389472,8041906.49740804,1606521.40525214,30
KRW-MBL,2025-01-25T06:00:00,2025-01-25T15:00:00,5.004,5.017,4.998,4.998,1737786597309,11658326.6403521,2328744.13321855,30
KRW-MBL,2025-01-25T05:30:00,2025-01-25T14:30:00,4.994,5.017,4.987,5.012,1737784709695,21344872.92254497,4268160.04373099,30
KRW-MBL,2025-01-25T05:00:00,2025-01-25T14:00:00,5.012,5.012,4.987,5.012,1737782838794,45151381.86845859,9027967.50382928,30
KRW-MBL,2025-01-25T04:30:00,2025-01-25T13:30:00,4.998,5.015,4.99,5.012,1737781125776,47123760.47694336,9429490.08675208,30
KRW-MBL,2025-01-25T04:00:00,2025-01-25T13:00:00,5.005,5.013,4.985,4.998,1737779385923,48254166.11378277,9665186.82425281,30
KRW-MBL,2025-01-25T03:30:00,2025-01-25T12:30:00,4.996,5.022,4.984,5.005,1737777594855,11275291.46692341,2256100.00511645,30
KRW-MBL,2025-01-25T03:00:00,2025-01-25T12:00:00,4.985,5.034,4.975,4.984,1737775799937,53909140.12449675,10821994.50549346,30
KRW-MBL,2025-01-25T02:30:00,2025-01-25T11:30:00,4.982,5.009,4.974,4.985,1737773973484,38705727.7081538,7765867.52184195,30
KRW-MBL,2025-01-25T02:00:00,2025-01-25T11:00:00,5.016,5.023,4.959,4.996,1737772138693,108737476.64640377,21807653.86757435,30
KRW-MBL,2025-01-25T01:30:00,2025-01-25T10:30:00,5.04,5.057,5,5.017,1737770397298,125461009.81886093,25000564.76535764,30
KRW-MBL,2025-01-25T01:00:00,2025-01-25T10:00:00,5.046,5.065,5.007,5.04,1737768595932,201181545.79585794,39970974.37243043,30
KRW-MBL,2025-01-25T00:30:00,2025-01-25T09:30:00,5.123,5.175,4.959,5.046,1737766758013,1354660752.3596637,266827792.48827937,30
KRW-MBL,2025-01-25T00:00:00,2025-01-25T09:00:00,4.927,5.133,4.878,5.124,1737764999713,957483100.557285,190038187.73031566,30
KRW-MBL,2025-01-24T23:30:00,2025-01-25T08:30:00,4.886,4.934,4.886,4.926,1737763098893,13587291.53066259,2770239.75254441,30
KRW-MBL,2025-01-24T23:00:00,2025-01-25T08:00:00,4.908,4.908,4.884,4.886,1737761143900,14801575.01312852,3025470.14025389,30
KRW-MBL,2025-01-24T22:30:00,2025-01-25T07:30:00,4.9,4.913,4.89,4.912,1737759529775,16972133.6214928,3457792.1502859,30
KRW-MBL,2025-01-24T22:00:00,2025-01-25T07:00:00,4.887,4.907,4.882,4.889,1737757562164,8433521.92079335,1724982.8508996,30
KRW-MBL,2025-01-24T21:30:00,2025-01-25T06:30:00,4.892,4.892,4.879,4.888,1737755840645,5012035.763211,1027010.38145015,30
