market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ME,2025-01-27T13:30:00,2025-01-27T22:30:00,2801,2810,2792,2810,1737984806517,22699952.3544186,8114.26361657,30
KRW-ME,2025-01-27T13:00:00,2025-01-27T22:00:00,2771,2813,2760,2801,1737984592104,528002631.8340806,188975.27450417,30
KRW-ME,2025-01-27T12:30:00,2025-01-27T21:30:00,2706,2790,2704,2771,1737982796870,375297825.89961416,136157.49684057,30
KRW-ME,2025-01-27T12:00:00,2025-01-27T21:00:00,2699,2732,2695,2706,1737980995778,358964458.100059,132722.56828699,30
KRW-ME,2025-01-27T11:30:00,2025-01-27T20:30:00,2738,2745,2696,2700,1737979193442,583749945.8994614,214473.75335759,30
KRW-ME,2025-01-27T11:00:00,2025-01-27T20:00:00,2689,2739,2689,2736,1737977396170,311498504.6083163,114453.96932416,30
KRW-ME,2025-01-27T10:30:00,2025-01-27T19:30:00,2708,2710,2675,2689,1737975590211,367907830.66685414,136745.78375157,30
KRW-ME,2025-01-27T10:00:00,2025-01-27T19:00:00,2726,2726,2703,2709,1737973799141,159353802.5420412,58757.88626815,30
KRW-ME,2025-01-27T09:30:00,2025-01-27T18:30:00,2708,2737,2701,2725,1737971993064,403592807.1694587,148341.3838753,30
KRW-ME,2025-01-27T09:00:00,2025-01-27T18:00:00,2684,2743,2677,2703,1737970196853,420869521.5741924,155063.06200609,30
KRW-ME,2025-01-27T08:30:00,2025-01-27T17:30:00,2693,2693,2652,2683,1737968399691,683823339.9203875,256534.47307673,30
KRW-ME,2025-01-27T08:00:00,2025-01-27T17:00:00,2712,2718,2677,2691,1737966585260,466671201.79959315,173165.16454528,30
KRW-ME,2025-01-27T07:30:00,2025-01-27T16:30:00,2658,2730,2655,2712,1737964763559,933322126.8269836,346439.74700634,30
KRW-ME,2025-01-27T07:00:00,2025-01-27T16:00:00,2744,2758,2657,2658,1737963000052,1924083492.5598602,709065.90068664,30
KRW-ME,2025-01-27T06:30:00,2025-01-27T15:30:00,2778,2784,2742,2742,1737961189335,957110188.1183833,347060.65526369,30
KRW-ME,2025-01-27T06:00:00,2025-01-27T15:00:00,2793,2800,2773,2778,1737959398758,548920057.554083,197020.87854558,30
KRW-ME,2025-01-27T05:30:00,2025-01-27T14:30:00,2810,2811,2771,2793,1737957599225,817293443.5197519,293039.71793977,30
KRW-ME,2025-01-27T05:00:00,2025-01-27T14:00:00,2809,2820,2791,2810,1737955750349,737031018.6660428,262638.32678586,30
KRW-ME,2025-01-27T04:30:00,2025-01-27T13:30:00,2824,2826,2805,2809,1737953999375,504675149.6010354,179429.91795363,30
KRW-ME,2025-01-27T04:00:00,2025-01-27T13:00:00,2848,2848,2815,2821,1737952197290,306458090.3176624,108441.66137398,30
KRW-ME,2025-01-27T03:30:00,2025-01-27T12:30:00,2855,2855,2832,2847,1737950382535,140110809.40914676,49315.98295072,30
KRW-ME,2025-01-27T03:00:00,2025-01-27T12:00:00,2821,2865,2815,2855,1737948598190,282419633.5546274,99326.98831362,30
KRW-ME,2025-01-27T02:30:00,2025-01-27T11:30:00,2833,2833,2811,2821,1737946790762,564952196.1019318,200366.21350027,30
KRW-ME,2025-01-27T02:00:00,2025-01-27T11:00:00,2849,2850,2814,2830,1737944996791,901411954.9043846,318328.31323205,30
KRW-ME,2025-01-27T01:30:00,2025-01-27T10:30:00,2861,2878,2847,2858,1737943199836,428856472.08109564,150126.48446859,30
KRW-ME,2025-01-27T01:00:00,2025-01-27T10:00:00,2890,2900,2830,2857,1737941398612,1369752078.0080721,478486.82065092,30
KRW-ME,2025-01-27T00:30:00,2025-01-27T09:30:00,2919,2919,2869,2890,1737939597352,1525204931.6497345,527519.33639585,30
KRW-ME,2025-01-27T00:00:00,2025-01-27T09:00:00,2951,2957,2900,2919,1737937796947,1980189454.50482,678247.93657013,30
KRW-ME,2025-01-26T23:30:00,2025-01-27T08:30:00,2973,2981,2947,2951,1737935999426,586008589.1830453,198251.70450773,30
KRW-ME,2025-01-26T23:00:00,2025-01-27T08:00:00,3015,3018,2965,2973,1737934196824,637889569.1809038,213428.01991526,30
KRW-ME,2025-01-26T22:30:00,2025-01-27T07:30:00,3030,3037,3000,3015,1737932393459,283598840.00845176,93994.08776602,30
KRW-ME,2025-01-26T22:00:00,2025-01-27T07:00:00,3024,3035,3009,3025,1737930519057,274468056.2878829,90910.39519257,30
KRW-ME,2025-01-26T21:30:00,2025-01-27T06:30:00,3049,3049,3024,3024,1737928797986,141177159.62001365,46595.12391943,30
KRW-ME,2025-01-26T21:00:00,2025-01-27T06:00:00,3063,3063,3042,3042,1737926919080,98101403.41756237,32156.2688104,30
KRW-ME,2025-01-26T20:30:00,2025-01-27T05:30:00,3081,3085,3062,3062,1737925181856,93588949.42942622,30494.65484708,30
KRW-ME,2025-01-26T20:00:00,2025-01-27T05:00:00,3087,3094,3080,3081,1737923397605,21952418.30861404,7108.84116142,30
KRW-ME,2025-01-26T19:30:00,2025-01-27T04:30:00,3081,3095,3079,3087,1737921327806,56543981.36161679,18327.94396025,30
KRW-ME,2025-01-26T19:00:00,2025-01-27T04:00:00,3084,3087,3072,3081,1737919790450,38140947.30083061,12403.3806923,30
KRW-ME,2025-01-26T18:30:00,2025-01-27T03:30:00,3080,3104,3080,3087,1737917904486,114034441.28809175,36836.53853959,30
KRW-ME,2025-01-26T18:00:00,2025-01-27T03:00:00,3080,3087,3065,3080,1737916187143,80492640.80888356,26171.0483332,30
KRW-ME,2025-01-26T17:30:00,2025-01-27T02:30:00,3052,3100,3047,3080,1737914372628,272508595.30111456,88432.88724542,30
KRW-ME,2025-01-26T17:00:00,2025-01-27T02:00:00,3037,3069,3035,3052,1737912584624,145305735.8676367,47577.74218793,30
KRW-ME,2025-01-26T16:30:00,2025-01-27T01:30:00,3024,3046,3018,3040,1737910725575,77389901.58800483,25484.00802953,30
KRW-ME,2025-01-26T16:00:00,2025-01-27T01:00:00,3043,3043,3013,3024,1737908993520,231669283.40072402,76693.5536331,30
KRW-ME,2025-01-26T15:30:00,2025-01-27T00:30:00,3056,3057,3037,3044,1737907177374,151074504.58552784,49594.4826623,30
KRW-ME,2025-01-26T15:00:00,2025-01-27T00:00:00,3055,3070,3053,3056,1737905394244,137672207.65808138,45003.69777276,30
KRW-ME,2025-01-26T14:30:00,2025-01-26T23:30:00,3037,3064,3037,3055,1737903597717,288108343.2736354,94378.12247957,30
KRW-ME,2025-01-26T14:00:00,2025-01-26T23:00:00,3040,3042,3029,3037,1737901795790,109005450.00742717,35939.87515455,30
KRW-ME,2025-01-26T13:30:00,2025-01-26T22:30:00,3047,3050,3010,3041,1737899992428,552804659.0516446,182195.72813949,30
KRW-ME,2025-01-26T13:00:00,2025-01-26T22:00:00,3042,3093,3037,3050,1737898188922,963218926.6250869,313992.94153253,30
KRW-ME,2025-01-26T12:30:00,2025-01-26T21:30:00,3047,3047,3024,3041,1737896392431,266101562.35596865,87632.4779783,30
KRW-ME,2025-01-26T12:00:00,2025-01-26T21:00:00,3050,3055,3036,3049,1737894582440,308976276.3184353,101445.41382212,30
KRW-ME,2025-01-26T11:30:00,2025-01-26T20:30:00,3039,3052,3037,3050,1737892796977,317184326.5768017,104156.41731115,30
KRW-ME,2025-01-26T11:00:00,2025-01-26T20:00:00,3026,3040,3020,3039,1737890989767,320244810.52634096,105616.55029081,30
KRW-ME,2025-01-26T10:30:00,2025-01-26T19:30:00,3018,3026,3010,3026,1737889196524,190974921.7743429,63305.53140975,30
KRW-ME,2025-01-26T10:00:00,2025-01-26T19:00:00,3010,3029,2997,3018,1737887394684,191795600.68003637,63508.44869819,30
KRW-ME,2025-01-26T09:30:00,2025-01-26T18:30:00,3013,3013,2997,3010,1737885586829,263382524.36314633,87737.26150588,30
KRW-ME,2025-01-26T09:00:00,2025-01-26T18:00:00,3010,3018,3004,3009,1737883763371,151334459.9272855,50294.80487327,30
KRW-ME,2025-01-26T08:30:00,2025-01-26T17:30:00,3009,3014,3002,3010,1737881992324,124216379.71808204,41312.67949249,30
KRW-ME,2025-01-26T08:00:00,2025-01-26T17:00:00,3014,3028,3005,3009,1737880177039,349796949.4281456,116021.33299946,30
