market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-MED,2025-01-27T13:30:00,2025-01-27T22:30:00,14.93,15,14.93,15,1737984782266,1956852.83678289,130533.4184605,30
KRW-MED,2025-01-27T13:00:00,2025-01-27T22:00:00,14.95,15.04,14.91,14.93,1737984578441,58650324.71190677,3914364.17600052,30
KRW-MED,2025-01-27T12:30:00,2025-01-27T21:30:00,14.76,14.99,14.74,14.98,1737982716933,59974319.23181875,4026823.63786386,30
KRW-MED,2025-01-27T12:00:00,2025-01-27T21:00:00,14.72,14.99,14.72,14.76,1737980954395,24386185.77165095,1644508.38481039,30
KRW-MED,2025-01-27T11:30:00,2025-01-27T20:30:00,14.8,14.89,14.72,14.72,1737979195522,52791539.87018036,3574333.28728517,30
KRW-MED,2025-01-27T11:00:00,2025-01-27T20:00:00,14.73,14.88,14.69,14.8,1737977359976,96695935.18206076,6564081.51049714,30
KRW-MED,2025-01-27T10:30:00,2025-01-27T19:30:00,14.97,14.97,14.73,14.73,1737975599019,92026703.0461097,6207333.98274232,30
KRW-MED,2025-01-27T10:00:00,2025-01-27T19:00:00,14.93,14.98,14.91,14.97,1737973758152,19084512.99775982,1277475.80165423,30
KRW-MED,2025-01-27T09:30:00,2025-01-27T18:30:00,14.84,14.95,14.84,14.93,1737971965974,17737444.40528782,1189204.17649846,30
KRW-MED,2025-01-27T09:00:00,2025-01-27T18:00:00,14.79,14.95,14.78,14.86,1737970194419,12989449.9586025,873206.48633566,30
KRW-MED,2025-01-27T08:30:00,2025-01-27T17:30:00,14.88,14.91,14.68,14.77,1737968381818,108374536.56436837,7337735.35601497,30
KRW-MED,2025-01-27T08:00:00,2025-01-27T17:00:00,14.94,14.98,14.81,14.94,1737966590779,55672267.66065679,3743384.44785764,30
KRW-MED,2025-01-27T07:30:00,2025-01-27T16:30:00,14.71,15,14.66,14.94,1737964757967,93445792.8087978,6305474.43635582,30
KRW-MED,2025-01-27T07:00:00,2025-01-27T16:00:00,15.02,15.03,14.7,14.7,1737962992857,161080029.98385873,10844675.38241742,30
KRW-MED,2025-01-27T06:30:00,2025-01-27T15:30:00,15.19,15.2,14.93,15,1737961194651,153970298.3819554,10252635.84673682,30
KRW-MED,2025-01-27T06:00:00,2025-01-27T15:00:00,15.29,15.29,15.09,15.18,1737959398077,92216566.16166951,6074723.15581149,30
KRW-MED,2025-01-27T05:30:00,2025-01-27T14:30:00,15.36,15.36,15.13,15.25,1737957516100,50082256.48716866,3283206.36952782,30
KRW-MED,2025-01-27T05:00:00,2025-01-27T14:00:00,15.37,15.41,15.34,15.36,1737955746813,20038670.18941978,1304303.89727602,30
KRW-MED,2025-01-27T04:30:00,2025-01-27T13:30:00,15.39,15.46,15.35,15.46,1737953719046,13393180.96714027,870251.09693504,30
KRW-MED,2025-01-27T04:00:00,2025-01-27T13:00:00,15.39,15.53,15.36,15.39,1737952199584,43716354.68563968,2834909.31893966,30
