market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-META,2025-01-27T13:00:00,2025-01-27T22:00:00,47.37,47.65,47.13,47.25,1737984465711,29362451.61635373,621027.40464707,30
KRW-META,2025-01-27T12:30:00,2025-01-27T21:30:00,46.46,47.6,46.13,47.37,1737982717273,122775570.03184102,2622079.14437306,30
KRW-META,2025-01-27T12:00:00,2025-01-27T21:00:00,46.92,47.16,46.43,46.53,1737980954836,45311553.46149784,970912.90384299,30
KRW-META,2025-01-27T11:30:00,2025-01-27T20:30:00,47.04,47.37,46.82,47.14,1737979127371,35934348.97468632,763963.16260053,30
KRW-META,2025-01-27T11:00:00,2025-01-27T20:00:00,46.89,47.18,46.7,47.17,1737977322246,38647561.8677545,823205.61515677,30
KRW-META,2025-01-27T10:30:00,2025-01-27T19:30:00,47.58,47.58,46.89,46.89,1737975592562,34297280.06458106,728305.99699303,30
KRW-META,2025-01-27T10:00:00,2025-01-27T19:00:00,47.66,47.97,47.58,47.58,1737973741335,39508971.01718099,826220.69245423,30
KRW-META,2025-01-27T09:30:00,2025-01-27T18:30:00,47.56,47.98,47.47,47.66,1737971951764,64341388.0566812,1350119.76482621,30
KRW-META,2025-01-27T09:00:00,2025-01-27T18:00:00,46.88,48,46.87,47.56,1737970156402,73456025.45685922,1547918.27879615,30
KRW-META,2025-01-27T08:30:00,2025-01-27T17:30:00,47.1,47.31,46.51,46.87,1737968351710,50721551.08597172,1085784.83771525,30
KRW-META,2025-01-27T08:00:00,2025-01-27T17:00:00,47.69,47.69,47,47.15,1737966566722,74680165.68970533,1579513.91158796,30
KRW-META,2025-01-27T07:30:00,2025-01-27T16:30:00,46.48,47.96,46.45,47.69,1737964791645,90400812.74004205,1910976.0971297,30
KRW-META,2025-01-27T07:00:00,2025-01-27T16:00:00,48.11,48.26,46.46,46.5,1737962999228,165685116.86719573,3509744.91306096,30
KRW-META,2025-01-27T06:30:00,2025-01-27T15:30:00,48.87,48.87,47.97,48.14,1737961169652,191276822.67017892,3959676.86537597,30
KRW-META,2025-01-27T06:00:00,2025-01-27T15:00:00,49.51,49.51,48.68,48.88,1737959399496,122779867.67289169,2513286.24403257,30
KRW-META,2025-01-27T05:30:00,2025-01-27T14:30:00,49.91,50.23,48.76,49.5,1737957486581,200737236.77795023,4059899.58881036,30
KRW-META,2025-01-27T05:00:00,2025-01-27T14:00:00,50.02,50.23,49.84,49.92,1737955799911,73103921.87534136,1462553.0127869,30
KRW-META,2025-01-27T04:30:00,2025-01-27T13:30:00,50.45,50.8,49.65,49.85,1737953990017,150961247.98955178,3015986.22381346,30
KRW-META,2025-01-27T04:00:00,2025-01-27T13:00:00,50.68,50.84,50.26,50.45,1737952198552,107426445.0655758,2124990.54235403,30
KRW-META,2025-01-27T03:30:00,2025-01-27T12:30:00,50.1,50.84,50.02,50.68,1737950338269,92562797.9827625,1833709.5027215,30
KRW-META,2025-01-27T03:00:00,2025-01-27T12:00:00,50.23,50.66,50.04,50.1,1737948599516,110471409.3109063,2193787.4565188,30
KRW-META,2025-01-27T02:30:00,2025-01-27T11:30:00,49.75,50.56,49.51,50.44,1737946790866,179057560.4822571,3588000.56064841,30
KRW-META,2025-01-27T02:00:00,2025-01-27T11:00:00,49.61,50.04,49.17,49.75,1737944992609,179337609.21084717,3612099.08738232,30
KRW-META,2025-01-27T01:30:00,2025-01-27T10:30:00,50.59,50.7,49.46,49.73,1737943199441,309138596.3401486,6170552.41219088,30
KRW-META,2025-01-27T01:00:00,2025-01-27T10:00:00,52.81,52.81,49.71,50.7,1737941392409,1262575490.9116497,24718649.65182632,30
KRW-META,2025-01-27T00:30:00,2025-01-27T09:30:00,50.38,52.83,50,52.81,1737939599473,2703446619.617676,52508811.32076546,30
KRW-META,2025-01-27T00:00:00,2025-01-27T09:00:00,49.19,51.58,48.44,50.38,1737937798828,2192193192.698511,43649968.34619538,30
KRW-META,2025-01-26T23:30:00,2025-01-27T08:30:00,48.61,49.31,48.51,49.1,1737935992106,117285962.04395454,2406353.74458438,30
KRW-META,2025-01-26T23:00:00,2025-01-27T08:00:00,49.46,49.46,48.52,48.59,1737934121317,72171576.90978874,1477240.6214322,30
KRW-META,2025-01-26T22:30:00,2025-01-27T07:30:00,49.5,49.62,49.45,49.55,1737932386051,1733187.6161456,35005.00168184,30
KRW-META,2025-01-26T22:00:00,2025-01-27T07:00:00,49.39,49.64,49.39,49.62,1737930571590,7868605.08340565,159172.36124472,30
KRW-META,2025-01-26T21:30:00,2025-01-27T06:30:00,49.63,49.74,49.34,49.34,1737928692936,11247882.96473836,227048.57081525,30
KRW-META,2025-01-26T21:00:00,2025-01-27T06:00:00,49.36,49.64,49.33,49.64,1737926781598,4047422.61752087,81866.08759243,30
KRW-META,2025-01-26T20:30:00,2025-01-27T05:30:00,49.58,49.58,49.33,49.33,1737924430821,6092132.69556682,123184.2704012,30
KRW-META,2025-01-26T20:00:00,2025-01-27T05:00:00,49.53,49.83,49.53,49.81,1737922744136,4563554.48582206,91669.22346543,30
KRW-META,2025-01-26T19:30:00,2025-01-27T04:30:00,49.4,49.55,49.35,49.42,1737921197459,4335168.25574432,87670.45652996,30
KRW-META,2025-01-26T19:00:00,2025-01-27T04:00:00,49.79,49.79,49.4,49.4,1737919790784,13405982.9528806,270469.35635367,30
KRW-META,2025-01-26T18:30:00,2025-01-27T03:30:00,49.8,49.8,49.72,49.72,1737917657334,64333.88709186,1293.2775257,30
KRW-META,2025-01-26T18:00:00,2025-01-27T03:00:00,49.87,49.87,49.86,49.86,1737915851988,3183812.35782061,63854.63910319,30
KRW-META,2025-01-26T17:30:00,2025-01-27T02:30:00,49.45,49.9,49.43,49.89,1737914254242,11683084.79473276,235074.64029408,30
