market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-MEW,2025-01-27T13:30:00,2025-01-27T22:30:00,6.656,6.677,6.64,6.677,1737984782664,24126425.26734075,3619739.32734304,30
KRW-MEW,2025-01-27T13:00:00,2025-01-27T22:00:00,6.638,6.749,6.59,6.645,1737984598967,538471473.9149371,80635086.13267644,30
KRW-MEW,2025-01-27T12:30:00,2025-01-27T21:30:00,6.422,6.761,6.422,6.639,1737982798899,437130098.5198472,66185492.49425833,30
KRW-MEW,2025-01-27T12:00:00,2025-01-27T21:00:00,6.436,6.517,6.421,6.422,1737980965953,207966213.94387814,32194247.14874042,30
KRW-MEW,2025-01-27T11:30:00,2025-01-27T20:30:00,6.48,6.522,6.436,6.436,1737979192157,204565714.21589878,31634224.6778871,30
KRW-MEW,2025-01-27T11:00:00,2025-01-27T20:00:00,6.361,6.483,6.355,6.483,1737977399884,335698648.5127752,52201452.83618914,30
KRW-MEW,2025-01-27T10:30:00,2025-01-27T19:30:00,6.397,6.421,6.341,6.355,1737975585026,533665694.349914,83811252.38723895,30
KRW-MEW,2025-01-27T10:00:00,2025-01-27T19:00:00,6.467,6.47,6.396,6.4,1737973797943,220809289.00080556,34369430.01775902,30
KRW-MEW,2025-01-27T09:30:00,2025-01-27T18:30:00,6.4,6.488,6.39,6.47,1737971995769,229712615.33120513,35730140.38048566,30
KRW-MEW,2025-01-27T09:00:00,2025-01-27T18:00:00,6.416,6.486,6.383,6.402,1737970194867,253891952.24019474,39525577.53359311,30
KRW-MEW,2025-01-27T08:30:00,2025-01-27T17:30:00,6.45,6.451,6.368,6.414,1737968399642,361829589.4248229,56620671.48185345,30
KRW-MEW,2025-01-27T08:00:00,2025-01-27T17:00:00,6.512,6.525,6.424,6.448,1737966595526,379824321.60755795,58746975.9274426,30
KRW-MEW,2025-01-27T07:30:00,2025-01-27T16:30:00,6.378,6.565,6.368,6.512,1737964788585,606314658.1954749,93437048.92227323,30
KRW-MEW,2025-01-27T07:00:00,2025-01-27T16:00:00,6.551,6.592,6.365,6.37,1737962999206,722110776.1819288,111279921.46719918,30
KRW-MEW,2025-01-27T06:30:00,2025-01-27T15:30:00,6.638,6.638,6.545,6.551,1737961199886,927268067.8832598,140942110.64752617,30
KRW-MEW,2025-01-27T06:00:00,2025-01-27T15:00:00,6.711,6.743,6.629,6.64,1737959395943,416925021.5658652,62512796.1206009,30
KRW-MEW,2025-01-27T05:30:00,2025-01-27T14:30:00,6.773,6.773,6.656,6.711,1737957599445,364920254.9286924,54422851.49319844,30
KRW-MEW,2025-01-27T05:00:00,2025-01-27T14:00:00,6.765,6.814,6.755,6.773,1737955790257,260766893.99106348,38489534.62943624,30
KRW-MEW,2025-01-27T04:30:00,2025-01-27T13:30:00,6.794,6.811,6.755,6.762,1737953990334,184779752.3833536,27221542.95186908,30
KRW-MEW,2025-01-27T04:00:00,2025-01-27T13:00:00,6.849,6.856,6.781,6.794,1737952180535,102530900.19976392,15050473.89242936,30
KRW-MEW,2025-01-27T03:30:00,2025-01-27T12:30:00,6.853,6.853,6.814,6.843,1737950395609,56196529.85012216,8228580.71313316,30
KRW-MEW,2025-01-27T03:00:00,2025-01-27T12:00:00,6.769,6.886,6.755,6.853,1737948592050,250350762.1394732,36636945.88346135,30
KRW-MEW,2025-01-27T02:30:00,2025-01-27T11:30:00,6.781,6.798,6.737,6.769,1737946798163,450646890.90281403,66662903.26380287,30
KRW-MEW,2025-01-27T02:00:00,2025-01-27T11:00:00,6.875,6.875,6.781,6.786,1737944998589,659898145.1625324,96826890.92577495,30
KRW-MEW,2025-01-27T01:30:00,2025-01-27T10:30:00,6.862,6.928,6.851,6.875,1737943171428,283434849.74477917,41202846.93770854,30
KRW-MEW,2025-01-27T01:00:00,2025-01-27T10:00:00,6.958,7.004,6.828,6.87,1737941399008,852936866.2988489,123822834.06280692,30
KRW-MEW,2025-01-27T00:30:00,2025-01-27T09:30:00,7.018,7.024,6.936,6.95,1737939599306,435197036.78963,62399886.56224479,30
KRW-MEW,2025-01-27T00:00:00,2025-01-27T09:00:00,7.09,7.114,6.969,7.018,1737937782770,805107555.9404002,114603232.23301645,30
KRW-MEW,2025-01-26T23:30:00,2025-01-27T08:30:00,7.134,7.137,7.081,7.085,1737935999301,337401516.9747542,47517813.05542113,30
KRW-MEW,2025-01-26T23:00:00,2025-01-27T08:00:00,7.252,7.259,7.1,7.134,1737934183131,563318799.7629336,78701960.52640232,30
KRW-MEW,2025-01-26T22:30:00,2025-01-27T07:30:00,7.249,7.319,7.221,7.252,1737932398913,98059430.87044623,13496832.18614833,30
KRW-MEW,2025-01-26T22:00:00,2025-01-27T07:00:00,7.25,7.266,7.215,7.249,1737930581303,94262503.91812313,13025764.43289412,30
KRW-MEW,2025-01-26T21:30:00,2025-01-27T06:30:00,7.295,7.304,7.25,7.25,1737928799191,70845405.57932755,9743886.89180647,30
KRW-MEW,2025-01-26T21:00:00,2025-01-27T06:00:00,7.337,7.346,7.286,7.294,1737926999989,96607669.68214767,13224992.59917063,30
KRW-MEW,2025-01-26T20:30:00,2025-01-27T05:30:00,7.398,7.398,7.337,7.337,1737924946845,35620171.79113943,4839423.16048872,30
KRW-MEW,2025-01-26T20:00:00,2025-01-27T05:00:00,7.404,7.406,7.371,7.395,1737923238317,26315427.02087883,3563027.4540152,30
KRW-MEW,2025-01-26T19:30:00,2025-01-27T04:30:00,7.391,7.4,7.388,7.4,1737921540390,13898178.86741767,1880464.51909138,30
KRW-MEW,2025-01-26T19:00:00,2025-01-27T04:00:00,7.422,7.424,7.357,7.378,1737919780580,32466180.19407436,4398711.43638506,30
KRW-MEW,2025-01-26T18:30:00,2025-01-27T03:30:00,7.419,7.435,7.404,7.405,1737917886778,27444844.62091544,3698228.74508471,30
KRW-MEW,2025-01-26T18:00:00,2025-01-27T03:00:00,7.405,7.431,7.405,7.419,1737916171753,40365434.91076646,5439709.51094583,30
KRW-MEW,2025-01-26T17:30:00,2025-01-27T02:30:00,7.36,7.419,7.36,7.418,1737914328217,25053631.50804455,3384955.63378945,30
KRW-MEW,2025-01-26T17:00:00,2025-01-27T02:00:00,7.39,7.417,7.36,7.36,1737912593701,129315756.72755055,17529678.59749609,30
