market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-MINA,2025-01-27T13:30:00,2025-01-27T22:30:00,710,711,707,711,1737984819965,25388259.63466054,35820.7762804,30
KRW-MINA,2025-01-27T13:00:00,2025-01-27T22:00:00,708,714,705,710,1737984581332,71598183.11748089,100984.76970485,30
KRW-MINA,2025-01-27T12:30:00,2025-01-27T21:30:00,692,715,692,710,1737982791715,37208234.09760537,52897.01349181,30
KRW-MINA,2025-01-27T12:00:00,2025-01-27T21:00:00,693,697,691,692,1737980942001,20742503.10252316,29851.04192633,30
KRW-MINA,2025-01-27T11:30:00,2025-01-27T20:30:00,695,698,692,692,1737979196163,33245976.80997697,47931.9498019,30
KRW-MINA,2025-01-27T11:00:00,2025-01-27T20:00:00,689,697,688,695,1737977396587,24524753.16245189,35463.82638322,30
KRW-MINA,2025-01-27T10:30:00,2025-01-27T19:30:00,694,694,687,689,1737975582768,70469824.96470022,102069.88414362,30
KRW-MINA,2025-01-27T10:00:00,2025-01-27T19:00:00,700,702,694,695,1737973757269,42723835.162672,61328.96993006,30
KRW-MINA,2025-01-27T09:30:00,2025-01-27T18:30:00,694,702,694,700,1737971955649,20088843.70448823,28759.99050142,30
KRW-MINA,2025-01-27T09:00:00,2025-01-27T18:00:00,694,702,691,695,1737970185051,57334903.51593085,82412.82607161,30
KRW-MINA,2025-01-27T08:30:00,2025-01-27T17:30:00,695,695,687,695,1737968286735,34873845.25510665,50580.2713879,30
KRW-MINA,2025-01-27T08:00:00,2025-01-27T17:00:00,698,698,689,695,1737966576087,36166037.0830964,52189.50476164,30
KRW-MINA,2025-01-27T07:30:00,2025-01-27T16:30:00,683,699,683,696,1737964753810,107656421.69959396,156208.31126333,30
KRW-MINA,2025-01-27T07:00:00,2025-01-27T16:00:00,701,703,681,683,1737962995716,140813255.66996503,203124.95050087,30
KRW-MINA,2025-01-27T06:30:00,2025-01-27T15:30:00,704,706,698,701,1737961035721,143509422.1980961,204724.77427893,30
KRW-MINA,2025-01-27T06:00:00,2025-01-27T15:00:00,708,710,703,706,1737959384403,97767399.20959239,138622.51784453,30
KRW-MINA,2025-01-27T05:30:00,2025-01-27T14:30:00,711,712,705,709,1737957592053,55996082.79401645,79080.49544557,30
KRW-MINA,2025-01-27T05:00:00,2025-01-27T14:00:00,712,715,709,711,1737955551817,70228221.4383256,98821.56580231,30
KRW-MINA,2025-01-27T04:30:00,2025-01-27T13:30:00,712,715,710,711,1737953954349,7290198.64053551,10240.37554793,30
KRW-MINA,2025-01-27T04:00:00,2025-01-27T13:00:00,716,717,709,711,1737952193560,26748045.64108044,37584.49800581,30
KRW-MINA,2025-01-27T03:30:00,2025-01-27T12:30:00,718,719,716,717,1737950399966,8180196.98227621,11401.18698335,30
KRW-MINA,2025-01-27T03:00:00,2025-01-27T12:00:00,712,720,712,719,1737948466058,45993436.75905402,64352.46972617,30
KRW-MINA,2025-01-27T02:30:00,2025-01-27T11:30:00,716,716,712,713,1737946788470,47552095.4071372,66563.47771162,30
KRW-MINA,2025-01-27T02:00:00,2025-01-27T11:00:00,719,720,712,716,1737944954850,96978594.01975913,135423.41404383,30
KRW-MINA,2025-01-27T01:30:00,2025-01-27T10:30:00,721,725,719,719,1737943111839,24511567.07840868,33987.12290632,30
KRW-MINA,2025-01-27T01:00:00,2025-01-27T10:00:00,726,727,718,721,1737941389215,129157294.67745712,178828.05205114,30
KRW-MINA,2025-01-27T00:30:00,2025-01-27T09:30:00,734,734,725,726,1737939585556,75370209.40542202,103293.24217783,30
KRW-MINA,2025-01-27T00:00:00,2025-01-27T09:00:00,737,743,730,732,1737937797983,188367757.26871195,256683.93357536,30
KRW-MINA,2025-01-26T23:30:00,2025-01-27T08:30:00,741,741,737,737,1737935883519,41171827.38404431,55752.98758289,30
KRW-MINA,2025-01-26T23:00:00,2025-01-27T08:00:00,749,749,737,740,1737934111626,111473898.35835591,149897.78184584,30
KRW-MINA,2025-01-26T22:30:00,2025-01-27T07:30:00,752,755,748,749,1737932357253,14637706.67021023,19513.0467963,30
KRW-MINA,2025-01-26T22:00:00,2025-01-27T07:00:00,750,751,745,751,1737930570537,69089234.0038521,92589.27231421,30
KRW-MINA,2025-01-26T21:30:00,2025-01-27T06:30:00,752,753,749,752,1737928685174,25035262.69377861,33349.93108641,30
KRW-MINA,2025-01-26T21:00:00,2025-01-27T06:00:00,755,755,751,752,1737926668573,16193542.22187096,21510.33030541,30
KRW-MINA,2025-01-26T20:30:00,2025-01-27T05:30:00,759,759,753,756,1737925070489,8547997.65867649,11321.19159729,30
KRW-MINA,2025-01-26T20:00:00,2025-01-27T05:00:00,761,761,756,759,1737923128184,15474486.39282275,20393.51044834,30
KRW-MINA,2025-01-26T19:30:00,2025-01-27T04:30:00,757,760,757,759,1737921292983,10926948.97350867,14398.37610668,30
KRW-MINA,2025-01-26T19:00:00,2025-01-27T04:00:00,757,758,756,757,1737919767863,25947445.32757322,34279.63715704,30
KRW-MINA,2025-01-26T18:30:00,2025-01-27T03:30:00,759,761,757,758,1737917975493,6553493.21366404,8630.609291,30
KRW-MINA,2025-01-26T18:00:00,2025-01-27T03:00:00,757,760,755,759,1737916141087,12508460.24878581,16489.42111718,30
KRW-MINA,2025-01-26T17:30:00,2025-01-27T02:30:00,751,759,751,759,1737914362687,20237318.83332842,26697.44044044,30
KRW-MINA,2025-01-26T17:00:00,2025-01-27T02:00:00,755,755,753,753,1737912291717,5062076.58578965,6713.2683962,30
KRW-MINA,2025-01-26T16:30:00,2025-01-27T01:30:00,752,756,752,754,1737910796204,25858264.45871421,34272.46494867,30
KRW-MINA,2025-01-26T16:00:00,2025-01-27T01:00:00,753,754,749,751,1737908950483,15953467.4702463,21247.97214656,30
KRW-MINA,2025-01-26T15:30:00,2025-01-27T00:30:00,752,754,751,752,1737907174661,84415613.66137716,112167.85237742,30
KRW-MINA,2025-01-26T15:00:00,2025-01-27T00:00:00,748,752,747,751,1737905397376,26163193.18264824,34923.60142345,30
KRW-MINA,2025-01-26T14:30:00,2025-01-26T23:30:00,747,750,746,748,1737903524358,19486375.49301731,26041.37177766,30
KRW-MINA,2025-01-26T14:00:00,2025-01-26T23:00:00,747,749,745,747,1737901643802,37183350.64634357,49851.0501426,30
KRW-MINA,2025-01-26T13:30:00,2025-01-26T22:30:00,747,748,745,747,1737899929599,18708339.61320115,25042.59633551,30
KRW-MINA,2025-01-26T13:00:00,2025-01-26T22:00:00,746,749,745,745,1737898163736,51788860.91876474,69360.85972881,30
KRW-MINA,2025-01-26T12:30:00,2025-01-26T21:30:00,745,746,742,745,1737896264648,78654892.72666653,105570.02027925,30
KRW-MINA,2025-01-26T12:00:00,2025-01-26T21:00:00,743,744,740,743,1737894598348,11204945.84795179,15107.87436406,30
