market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-MLK,2025-01-27T13:30:00,2025-01-27T22:30:00,359,359.4,359,359.4,1737984795096,734968.3591502,2046.04534224,30
KRW-MLK,2025-01-27T13:00:00,2025-01-27T22:00:00,359.4,362,357.3,359,1737984595741,112212993.01327918,312031.09494197,30
KRW-MLK,2025-01-27T12:30:00,2025-01-27T21:30:00,352.6,361,351.6,359.5,1737982781342,102388464.25372793,287942.31340307,30
KRW-MLK,2025-01-27T12:00:00,2025-01-27T21:00:00,353,354.7,351.7,352.4,1737980988059,42403957.82876536,120104.21286884,30
KRW-MLK,2025-01-27T11:30:00,2025-01-27T20:30:00,353.8,355.9,351.4,352.5,1737979175672,32833350.2969075,93027.32775508,30
KRW-MLK,2025-01-27T11:00:00,2025-01-27T20:00:00,352.1,356.9,351.6,353.9,1737977321724,127235075.2726061,360588.36747561,30
KRW-MLK,2025-01-27T10:30:00,2025-01-27T19:30:00,356.6,356.9,351,351.1,1737975598980,120077910.7852008,340220.17323716,30
KRW-MLK,2025-01-27T10:00:00,2025-01-27T19:00:00,359,360.8,355.3,356.6,1737973792632,47700750.97097636,133269.85825254,30
KRW-MLK,2025-01-27T09:30:00,2025-01-27T18:30:00,355.7,359.2,355,359,1737971960202,34977704.65880021,97864.17025869,30
KRW-MLK,2025-01-27T09:00:00,2025-01-27T18:00:00,353.6,359,353.6,355.5,1737970199989,61391792.53031771,171980.91531949,30
KRW-MLK,2025-01-27T08:30:00,2025-01-27T17:30:00,355.4,355.5,350.6,353.6,1737968390865,146167272.04279304,414420.88932165,30
KRW-MLK,2025-01-27T08:00:00,2025-01-27T17:00:00,356,357,353,355.8,1737966561186,102363430.35090676,288590.03016438,30
KRW-MLK,2025-01-27T07:30:00,2025-01-27T16:30:00,350.9,357.9,350,356.9,1737964686935,206860095.38431737,584436.19030164,30
