market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-MNT,2025-01-27T13:30:00,2025-01-27T22:30:00,1706,1706,1705,1705,1737984682340,4195310,2460,30
KRW-MNT,2025-01-27T13:00:00,2025-01-27T22:00:00,1709,1718,1704,1706,1737984583462,300173154.59734964,174937.28330652,30
KRW-MNT,2025-01-27T12:30:00,2025-01-27T21:30:00,1670,1724,1670,1709,1737982790520,140706194.01593775,82690.36761849,30
KRW-MNT,2025-01-27T12:00:00,2025-01-27T21:00:00,1700,1700,1664,1672,1737980959575,97329000.61460602,57701.61386887,30
KRW-MNT,2025-01-27T11:30:00,2025-01-27T20:30:00,1708,1717,1695,1695,1737979172295,47799956.86204198,27973.25338512,30
KRW-MNT,2025-01-27T11:00:00,2025-01-27T20:00:00,1704,1720,1700,1717,1737977380942,46359587.64810981,27148.40508354,30
KRW-MNT,2025-01-27T10:30:00,2025-01-27T19:30:00,1715,1718,1698,1704,1737975460215,84232024.80363667,49350.10778648,30
KRW-MNT,2025-01-27T10:00:00,2025-01-27T19:00:00,1718,1731,1708,1715,1737973733384,82399683.28901835,47939.59917878,30
KRW-MNT,2025-01-27T09:30:00,2025-01-27T18:30:00,1698,1720,1692,1711,1737971989337,217124002.3744344,127256.734332,30
KRW-MNT,2025-01-27T09:00:00,2025-01-27T18:00:00,1658,1719,1655,1700,1737970199146,150610531.84208784,88309.39842349,30
KRW-MNT,2025-01-27T08:30:00,2025-01-27T17:30:00,1661,1666,1649,1658,1737968368528,42745324.8837899,25841.56661528,30
KRW-MNT,2025-01-27T08:00:00,2025-01-27T17:00:00,1661,1670,1650,1661,1737966582392,68090834.95634075,41142.76069565,30
KRW-MNT,2025-01-27T07:30:00,2025-01-27T16:30:00,1630,1672,1627,1663,1737964799348,102017359.21283709,61751.55691398,30
KRW-MNT,2025-01-27T07:00:00,2025-01-27T16:00:00,1664,1669,1629,1630,1737962973448,183079379.45292926,110856.15382264,30
KRW-MNT,2025-01-27T06:30:00,2025-01-27T15:30:00,1676,1682,1664,1664,1737961166111,114290195.50776342,68361.43320841,30
KRW-MNT,2025-01-27T06:00:00,2025-01-27T15:00:00,1695,1699,1672,1675,1737959277704,89944550.13741665,53530.36010831,30
KRW-MNT,2025-01-27T05:30:00,2025-01-27T14:30:00,1698,1700,1687,1700,1737957575883,56958072.78057949,33660.9981475,30
KRW-MNT,2025-01-27T05:00:00,2025-01-27T14:00:00,1700,1706,1698,1701,1737955711810,39807560.90228947,23363.89858926,30
KRW-MNT,2025-01-27T04:30:00,2025-01-27T13:30:00,1693,1705,1690,1700,1737953934878,14939188.96846902,8799.9030922,30
KRW-MNT,2025-01-27T04:00:00,2025-01-27T13:00:00,1705,1705,1691,1693,1737952090923,61721420.82472055,36444.92511461,30
KRW-MNT,2025-01-27T03:30:00,2025-01-27T12:30:00,1700,1709,1698,1706,1737950206360,30359572.17436009,17836.47098159,30
KRW-MNT,2025-01-27T03:00:00,2025-01-27T12:00:00,1687,1710,1681,1699,1737948556503,45303023.36952346,26722.54354799,30
KRW-MNT,2025-01-27T02:30:00,2025-01-27T11:30:00,1691,1695,1680,1687,1737946787042,158066656.61878973,93682.52367812,30
KRW-MNT,2025-01-27T02:00:00,2025-01-27T11:00:00,1725,1728,1692,1692,1737944957703,174602382.00601286,102097.89431956,30
KRW-MNT,2025-01-27T01:30:00,2025-01-27T10:30:00,1709,1749,1709,1726,1737943190466,192455007.1629671,111397.44146312,30
KRW-MNT,2025-01-27T01:00:00,2025-01-27T10:00:00,1723,1724,1704,1716,1737941359184,270221487.31081575,157707.30514084,30
KRW-MNT,2025-01-27T00:30:00,2025-01-27T09:30:00,1744,1745,1717,1724,1737939596160,230962886.70264152,133494.07205498,30
KRW-MNT,2025-01-27T00:00:00,2025-01-27T09:00:00,1757,1766,1735,1751,1737937774241,194929776.7818432,111475.99894176,30
KRW-MNT,2025-01-26T23:30:00,2025-01-27T08:30:00,1754,1771,1745,1757,1737935949381,192641003.34942687,109931.90007032,30
KRW-MNT,2025-01-26T23:00:00,2025-01-27T08:00:00,1775,1775,1750,1757,1737934009755,117548951.12416513,66835.99426151,30
KRW-MNT,2025-01-26T22:30:00,2025-01-27T07:30:00,1770,1781,1766,1775,1737932378989,13725603.20827189,7731.11366724,30
KRW-MNT,2025-01-26T22:00:00,2025-01-27T07:00:00,1760,1770,1758,1769,1737930575692,26062247.03764275,14803.59633254,30
KRW-MNT,2025-01-26T21:30:00,2025-01-27T06:30:00,1770,1770,1761,1768,1737928791627,55345975.98947137,31343.12737038,30
KRW-MNT,2025-01-26T21:00:00,2025-01-27T06:00:00,1770,1773,1766,1770,1737926878574,37111111.25278421,21003.76814207,30
KRW-MNT,2025-01-26T20:30:00,2025-01-27T05:30:00,1775,1779,1770,1774,1737925111400,8991026.42632435,5067.85931941,30
KRW-MNT,2025-01-26T20:00:00,2025-01-27T05:00:00,1775,1775,1770,1770,1737922509615,2273012.09253117,1281.73887523,30
KRW-MNT,2025-01-26T19:30:00,2025-01-27T04:30:00,1776,1776,1775,1776,1737921079187,2955880.08269861,1664.52000962,30
KRW-MNT,2025-01-26T19:00:00,2025-01-27T04:00:00,1775,1783,1775,1775,1737919505471,4396447.19569978,2476.60704179,30
