market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-MOC,2025-01-27T13:30:00,2025-01-27T22:30:00,157.8,158.3,156.9,156.9,1737984809619,31134848.41474117,197562.81416983,30
KRW-MOC,2025-01-27T13:00:00,2025-01-27T22:00:00,155.7,159.1,155.1,157.5,1737984585742,632239453.7915497,4013888.70785358,30
KRW-MOC,2025-01-27T12:30:00,2025-01-27T21:30:00,153.8,156.7,152.7,155.1,1737982798405,202689375.74593127,1302940.94232881,30
KRW-MOC,2025-01-27T12:00:00,2025-01-27T21:00:00,152.6,155.1,151.9,153.8,1737980981571,133778150.13428558,875277.09989332,30
KRW-MOC,2025-01-27T11:30:00,2025-01-27T20:30:00,154.4,155.5,152.6,152.7,1737979197550,181668547.13459048,1178072.80148865,30
KRW-MOC,2025-01-27T11:00:00,2025-01-27T20:00:00,153.2,157.2,151.3,154.4,1737977349026,376751243.66225815,2430730.35835757,30
KRW-MOC,2025-01-27T10:30:00,2025-01-27T19:30:00,152,153.9,150.4,153.9,1737975543399,207147460.1744008,1364916.01040268,30
KRW-MOC,2025-01-27T10:00:00,2025-01-27T19:00:00,152.4,152.8,150.6,152,1737973776901,92730675.40619875,612089.50168276,30
KRW-MOC,2025-01-27T09:30:00,2025-01-27T18:30:00,153.3,153.4,151.9,152.4,1737971975148,57419036.28802953,376557.63113002,30
KRW-MOC,2025-01-27T09:00:00,2025-01-27T18:00:00,152.8,154.1,151.7,153.4,1737970195605,139545701.45244905,913918.98919825,30
KRW-MOC,2025-01-27T08:30:00,2025-01-27T17:30:00,154.8,154.8,148.5,152.8,1737968398165,429398534.4844968,2848697.60786038,30
KRW-MOC,2025-01-27T08:00:00,2025-01-27T17:00:00,152.4,155,151,154.8,1737966596447,400934111.59484965,2611032.80273435,30
KRW-MOC,2025-01-27T07:30:00,2025-01-27T16:30:00,145.2,154,144.8,152.6,1737964791934,916334341.3102747,6089823.26366594,30
