market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-MOCA,2025-01-27T13:30:00,2025-01-27T22:30:00,256,258.7,255.9,258.7,1737984795615,48331660.27169156,187181.87707229,30
KRW-MOCA,2025-01-27T13:00:00,2025-01-27T22:00:00,254,258.4,252,255.9,1737984587851,457493693.6007059,1783826.04157321,30
KRW-MOCA,2025-01-27T12:30:00,2025-01-27T21:30:00,247.1,255.5,246.7,254.4,1737982784525,246749468.45671794,978022.22447113,30
KRW-MOCA,2025-01-27T12:00:00,2025-01-27T21:00:00,247,249.1,246.5,247.2,1737980999861,161963853.45709628,653700.23284567,30
KRW-MOCA,2025-01-27T11:30:00,2025-01-27T20:30:00,249.1,250.4,246.1,247,1737979198657,273686346.4844642,1100746.27627495,30
KRW-MOCA,2025-01-27T11:00:00,2025-01-27T20:00:00,247.4,249.6,246.1,249.1,1737977393771,196376803.0684643,791627.55937396,30
KRW-MOCA,2025-01-27T10:30:00,2025-01-27T19:30:00,248.8,248.9,245.6,247.4,1737975545362,416768793.73940164,1688178.78280214,30
KRW-MOCA,2025-01-27T10:00:00,2025-01-27T19:00:00,250.2,250.3,247.7,249.5,1737973792282,150270056.73352006,603222.32086765,30
KRW-MOCA,2025-01-27T09:30:00,2025-01-27T18:30:00,249.3,251.4,248.7,250.2,1737971972341,104556099.58066732,417419.49889684,30
KRW-MOCA,2025-01-27T09:00:00,2025-01-27T18:00:00,249.1,252.2,248,249,1737970185793,151495356.45190403,604848.13266031,30
KRW-MOCA,2025-01-27T08:30:00,2025-01-27T17:30:00,249.7,250.1,246.5,249.1,1737968395196,317592931.69442195,1280979.82675983,30
KRW-MOCA,2025-01-27T08:00:00,2025-01-27T17:00:00,252,252.9,249,250.4,1737966595545,250918600.55030915,1002789.59193861,30
KRW-MOCA,2025-01-27T07:30:00,2025-01-27T16:30:00,247.2,255,246.9,253,1737964793152,447423761.2621255,1784858.95603969,30
KRW-MOCA,2025-01-27T07:00:00,2025-01-27T16:00:00,252.5,253.8,247.1,247.2,1737962999267,1030619182.1761847,4114315.24986708,30
KRW-MOCA,2025-01-27T06:30:00,2025-01-27T15:30:00,256.3,256.9,252.4,252.5,1737961200022,722790725.6739932,2840340.16372945,30
KRW-MOCA,2025-01-27T06:00:00,2025-01-27T15:00:00,259.7,260.3,255.8,256.3,1737959398131,284990043.2022248,1106805.55840719,30
KRW-MOCA,2025-01-27T05:30:00,2025-01-27T14:30:00,263.8,263.8,257.1,260.6,1737957587455,338454727.8885671,1308456.31310682,30
KRW-MOCA,2025-01-27T05:00:00,2025-01-27T14:00:00,262,265.4,259.7,262.7,1737955794451,222511582.2565917,851263.03890376,30
KRW-MOCA,2025-01-27T04:30:00,2025-01-27T13:30:00,260.8,264.9,259.6,262.2,1737953982491,331023120.7990615,1260997.67812372,30
KRW-MOCA,2025-01-27T04:00:00,2025-01-27T13:00:00,260,262,257.3,260.7,1737952159008,327482428.9355211,1262029.05039971,30
KRW-MOCA,2025-01-27T03:30:00,2025-01-27T12:30:00,262.2,262.2,258.2,260.3,1737950398927,152433332.26335153,587023.84790924,30
KRW-MOCA,2025-01-27T03:00:00,2025-01-27T12:00:00,255.7,264.5,255.7,262.2,1737948560995,302149244.8866261,1159054.16411598,30
KRW-MOCA,2025-01-27T02:30:00,2025-01-27T11:30:00,258.4,258.6,255.2,255.6,1737946779225,329128208.50732374,1281236.36721904,30
KRW-MOCA,2025-01-27T02:00:00,2025-01-27T11:00:00,259,259.5,255.6,258.4,1737944956238,492014201.2402922,1911479.54669076,30
KRW-MOCA,2025-01-27T01:30:00,2025-01-27T10:30:00,258.4,260.4,257,258.9,1737943180434,344247042.9494286,1332000.47579062,30
KRW-MOCA,2025-01-27T01:00:00,2025-01-27T10:00:00,260.9,261.4,256.1,258.1,1737941394822,586721234.2274164,2269341.23824288,30
KRW-MOCA,2025-01-27T00:30:00,2025-01-27T09:30:00,262.4,263.1,259.1,261.4,1737939596100,577534034.5114357,2214333.94424692,30
KRW-MOCA,2025-01-27T00:00:00,2025-01-27T09:00:00,266.3,270.5,260.9,262.2,1737937794091,1049170519.1675701,3980420.68566361,30
KRW-MOCA,2025-01-26T23:30:00,2025-01-27T08:30:00,265.8,269,264.9,266.3,1737935999293,664545781.9306847,2494637.91382077,30
KRW-MOCA,2025-01-26T23:00:00,2025-01-27T08:00:00,270.1,270.1,265,265.1,1737934183363,575862901.0232648,2154731.71841358,30
KRW-MOCA,2025-01-26T22:30:00,2025-01-27T07:30:00,270.2,271.2,268.5,269.5,1737932372665,149527493.041412,553602.0842591,30
KRW-MOCA,2025-01-26T22:00:00,2025-01-27T07:00:00,270,271,268.2,269.9,1737930583514,247921914.9024629,920455.92764378,30
KRW-MOCA,2025-01-26T21:30:00,2025-01-27T06:30:00,270.5,270.7,270,270,1737928798206,195379262.6332414,723169.7403596,30
KRW-MOCA,2025-01-26T21:00:00,2025-01-27T06:00:00,271.1,271.3,270,270.6,1737926864709,122576651.97566009,452884.82352356,30
KRW-MOCA,2025-01-26T20:30:00,2025-01-27T05:30:00,272.9,272.9,271,271.1,1737925106061,80584573.74746992,296567.25964657,30
KRW-MOCA,2025-01-26T20:00:00,2025-01-27T05:00:00,273,273,272.2,272.3,1737923333344,21792075.68245903,79912.21954407,30
KRW-MOCA,2025-01-26T19:30:00,2025-01-27T04:30:00,272.8,273.9,272.1,273.9,1737921592726,33131497.72542738,121620.32230476,30
KRW-MOCA,2025-01-26T19:00:00,2025-01-27T04:00:00,274,274.1,272,272.8,1737919766579,79763329.36630128,292130.83628107,30
KRW-MOCA,2025-01-26T18:30:00,2025-01-27T03:30:00,275.5,275.6,274.4,274.7,1737917795213,57504611.56370237,209396.01296403,30
KRW-MOCA,2025-01-26T18:00:00,2025-01-27T03:00:00,274.4,275.8,274.4,275.5,1737916199085,39769503.50413602,144623.39149209,30
KRW-MOCA,2025-01-26T17:30:00,2025-01-27T02:30:00,272.7,275.2,272.7,274.4,1737914349018,73939025.13698609,269635.85762,30
KRW-MOCA,2025-01-26T17:00:00,2025-01-27T02:00:00,272.1,273.9,272,273.3,1737912565984,86211123.66033027,316010.50135633,30
KRW-MOCA,2025-01-26T16:30:00,2025-01-27T01:30:00,272.5,273.1,271.7,273,1737910750007,73304079.69234549,269298.903528,30
KRW-MOCA,2025-01-26T16:00:00,2025-01-27T01:00:00,273.1,273.3,271.5,271.9,1737908864599,129935683.02425149,477375.50355336,30
KRW-MOCA,2025-01-26T15:30:00,2025-01-27T00:30:00,273.6,273.9,272.6,273.1,1737907175435,180786844.27584547,661802.22121779,30
KRW-MOCA,2025-01-26T15:00:00,2025-01-27T00:00:00,274.4,275.6,272.8,273.8,1737905389342,245710127.07140297,896677.35357647,30
KRW-MOCA,2025-01-26T14:30:00,2025-01-26T23:30:00,274.3,275.6,273.9,274.4,1737903575566,175580071.9298602,639527.8364529,30
KRW-MOCA,2025-01-26T14:00:00,2025-01-26T23:00:00,275.6,275.8,272.8,274.2,1737901797185,211130812.48664165,770329.93715718,30
KRW-MOCA,2025-01-26T13:30:00,2025-01-26T22:30:00,272.9,276.2,272.4,275.6,1737899993973,413777699.9504524,1508143.1762158,30
KRW-MOCA,2025-01-26T13:00:00,2025-01-26T22:00:00,277,283,272.7,272.9,1737898197224,1599465112.307385,5764794.09255429,30
KRW-MOCA,2025-01-26T12:30:00,2025-01-26T21:30:00,275,278,274,277.3,1737896388947,652106443.363099,2358408.72177847,30
KRW-MOCA,2025-01-26T12:00:00,2025-01-26T21:00:00,276.3,277.2,272,275,1737894598894,441454186.84079623,1606331.92309487,30
KRW-MOCA,2025-01-26T11:30:00,2025-01-26T20:30:00,272.6,278.5,271.9,275.7,1737892765542,796314833.2807864,2892830.85034643,30
KRW-MOCA,2025-01-26T11:00:00,2025-01-26T20:00:00,271.2,272.9,270.5,272.6,1737890983831,185541257.1078293,683375.76553021,30
KRW-MOCA,2025-01-26T10:30:00,2025-01-26T19:30:00,270.9,271.4,269,271.2,1737889172675,180588693.87154186,668518.53272306,30
KRW-MOCA,2025-01-26T10:00:00,2025-01-26T19:00:00,269.8,272,269.3,270.9,1737887396365,169551495.45793262,625935.54875104,30
KRW-MOCA,2025-01-26T09:30:00,2025-01-26T18:30:00,271.1,271.3,268.8,269.8,1737885585091,158678685.28446195,587963.49118202,30
KRW-MOCA,2025-01-26T09:00:00,2025-01-26T18:00:00,269.3,271.3,269,271.1,1737883796876,149974729.59698004,555174.777342,30
KRW-MOCA,2025-01-26T08:30:00,2025-01-26T17:30:00,269.5,270.5,268.1,268.8,1737881947819,340588003.2708017,1266703.48954304,30
KRW-MOCA,2025-01-26T08:00:00,2025-01-26T17:00:00,270,272.4,269.5,269.6,1737880196617,275776738.55515546,1018462.03477012,30
KRW-MOCA,2025-01-26T07:30:00,2025-01-26T16:30:00,271.5,271.6,269.3,270,1737878398341,499489108.8955526,1847288.47096159,30
KRW-MOCA,2025-01-26T07:00:00,2025-01-26T16:00:00,273,273.5,271.4,271.4,1737876592146,351102280.5392445,1288554.57139666,30
KRW-MOCA,2025-01-26T06:30:00,2025-01-26T15:30:00,271.5,273,271,273,1737874791395,227963023.4283035,839316.55610197,30
KRW-MOCA,2025-01-26T06:00:00,2025-01-26T15:00:00,272.9,273.5,271.2,272.2,1737872997655,424332303.6771068,1559632.1315096,30
KRW-MOCA,2025-01-26T05:30:00,2025-01-26T14:30:00,274.7,275.3,272.7,272.9,1737871192973,380132733.977594,1388192.33746602,30
KRW-MOCA,2025-01-26T05:00:00,2025-01-26T14:00:00,276.8,276.9,273.9,274,1737869395077,313945045.4860805,1140109.42127869,30
KRW-MOCA,2025-01-26T04:30:00,2025-01-26T13:30:00,277,278.4,276,276.8,1737867578884,406119173.58235794,1466695.57770205,30
KRW-MOCA,2025-01-26T04:00:00,2025-01-26T13:00:00,276.7,278.5,276.5,276.9,1737865782790,218356168.38109052,787067.67725429,30
KRW-MOCA,2025-01-26T03:30:00,2025-01-26T12:30:00,275.1,278.6,273.4,276.6,1737863985304,434194482.75278836,1574307.02925533,30
KRW-MOCA,2025-01-26T03:00:00,2025-01-26T12:00:00,276.6,278.6,274.8,275.8,1737862198844,470736763.7367082,1702622.11349219,30
KRW-MOCA,2025-01-26T02:30:00,2025-01-26T11:30:00,276.9,277,273.9,276.8,1737860389164,304826878.0755122,1104970.48445201,30
KRW-MOCA,2025-01-26T02:00:00,2025-01-26T11:00:00,277,277.5,274.8,276.3,1737858592116,369198935.50134987,1337496.49693461,30
KRW-MOCA,2025-01-26T01:30:00,2025-01-26T10:30:00,278.8,281.4,276.3,277.1,1737856795854,665377003.5941678,2386642.54957243,30
KRW-MOCA,2025-01-26T01:00:00,2025-01-26T10:00:00,277.4,278.9,273,278.1,1737854998604,915105555.9936321,3310517.11931565,30
KRW-MOCA,2025-01-26T00:30:00,2025-01-26T09:30:00,271.4,277.4,269.3,276.8,1737853198509,1001127168.305731,3672001.4028142,30
KRW-MOCA,2025-01-26T00:00:00,2025-01-26T09:00:00,275,275,269.2,271.2,1737851380015,1089131025.7892034,4015828.07734113,30
KRW-MOCA,2025-01-25T23:30:00,2025-01-26T08:30:00,275.7,276.8,274,275,1737849593181,608645908.5735223,2212306.46052698,30
KRW-MOCA,2025-01-25T23:00:00,2025-01-26T08:00:00,277,277.4,271.8,275.7,1737847795341,693690894.2192993,2525643.19842054,30
KRW-MOCA,2025-01-25T22:30:00,2025-01-26T07:30:00,272,277.9,272,277,1737845975156,723588551.1852155,2616496.52488855,30
KRW-MOCA,2025-01-25T22:00:00,2025-01-26T07:00:00,269.8,272.7,269.7,272,1737844198861,146551274.84195286,540055.86436669,30
KRW-MOCA,2025-01-25T21:30:00,2025-01-26T06:30:00,270.9,271.5,269.3,269.7,1737842397032,119788371.5519281,443264.95687152,30
KRW-MOCA,2025-01-25T21:00:00,2025-01-26T06:00:00,270.2,270.9,269.1,270.7,1737840598054,117776227.98320372,436410.7696772,30
KRW-MOCA,2025-01-25T20:30:00,2025-01-26T05:30:00,272.6,272.6,270.3,270.3,1737838633291,52950265.6008519,195377.79708992,30
KRW-MOCA,2025-01-25T20:00:00,2025-01-26T05:00:00,268.7,272.6,268.7,271.5,1737836967549,226245458.03744268,835548.61293959,30
KRW-MOCA,2025-01-25T19:30:00,2025-01-26T04:30:00,267.8,269.1,266.9,268.7,1737835180251,139993663.0502828,522155.02160405,30
KRW-MOCA,2025-01-25T19:00:00,2025-01-26T04:00:00,269.5,270.5,267.7,267.8,1737833366075,140952786.87412083,523943.32057763,30
KRW-MOCA,2025-01-25T18:30:00,2025-01-26T03:30:00,269.2,269.7,268.5,269.5,1737831387080,102751980.63372694,381983.09116524,30
KRW-MOCA,2025-01-25T18:00:00,2025-01-26T03:00:00,272,272.4,268,269,1737829797599,318594136.272884,1182730.80865273,30
KRW-MOCA,2025-01-25T17:30:00,2025-01-26T02:30:00,273.7,273.7,271.1,272,1737827982570,107252441.3964167,393910.71782698,30
KRW-MOCA,2025-01-25T17:00:00,2025-01-26T02:00:00,271.9,274,271,273.5,1737826195101,158358418.33631837,580919.16653627,30
KRW-MOCA,2025-01-25T16:30:00,2025-01-26T01:30:00,270.5,272.9,270.3,270.9,1737824366050,126964933.81836116,467599.36057546,30
KRW-MOCA,2025-01-25T16:00:00,2025-01-26T01:00:00,272.7,273.8,270,270.5,1737822579339,623258017.6266384,2295780.96245563,30
KRW-MOCA,2025-01-25T15:30:00,2025-01-26T00:30:00,274.7,276.5,272.6,272.7,1737820798227,539664290.2789878,1961185.06515403,30
