market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-MOVE,2025-01-27T13:30:00,2025-01-27T22:30:00,1091,1105,1085,1103,1737984808168,550217335.6090678,501420.64024867,30
KRW-MOVE,2025-01-27T13:00:00,2025-01-27T22:00:00,1064,1113,1048,1091,1737984598954,7453177575.295471,6841632.13675694,30
KRW-MOVE,2025-01-27T12:30:00,2025-01-27T21:30:00,1014,1072,1009,1064,1737982799075,2463414639.8903933,2345569.69866374,30
KRW-MOVE,2025-01-27T12:00:00,2025-01-27T21:00:00,1026,1035,1011,1014,1737980997115,838689217.2204418,819904.45105834,30
KRW-MOVE,2025-01-27T11:30:00,2025-01-27T20:30:00,1025,1037,1023,1026,1737979180045,711944661.1175227,692285.1828709,30
KRW-MOVE,2025-01-27T11:00:00,2025-01-27T20:00:00,1029,1040,1020,1025,1737977394110,876569260.1457329,854077.26905548,30
KRW-MOVE,2025-01-27T10:30:00,2025-01-27T19:30:00,1039,1047,1023,1028,1737975596089,1423313880.65353,1376747.09033717,30
KRW-MOVE,2025-01-27T10:00:00,2025-01-27T19:00:00,1036,1057,1030,1038,1737973790344,2169810911.3530955,2079793.09685363,30
KRW-MOVE,2025-01-27T09:30:00,2025-01-27T18:30:00,1013,1038,1007,1036,1737971995633,1222293769.4189558,1193273.09007143,30
KRW-MOVE,2025-01-27T09:00:00,2025-01-27T18:00:00,998.3,1028,991.2,1012,1737970195572,2000014054.5385652,1974342.11166112,30
KRW-MOVE,2025-01-27T08:30:00,2025-01-27T17:30:00,1000,1004,977.3,998.3,1737968396826,1534474937.3818436,1553538.23106899,30
KRW-MOVE,2025-01-27T08:00:00,2025-01-27T17:00:00,1005,1008,981.2,998,1737966599722,3778842411.046768,3808513.44865504,30
KRW-MOVE,2025-01-27T07:30:00,2025-01-27T16:30:00,1028,1055,1001,1005,1737964799529,6188183534.060807,6027864.65687381,30
KRW-MOVE,2025-01-27T07:00:00,2025-01-27T16:00:00,1094,1097,1024,1026,1737962999236,9131932475.478289,8636315.71516552,30
KRW-MOVE,2025-01-27T06:30:00,2025-01-27T15:30:00,1127,1138,1093,1094,1737961198838,4190083527.9368534,3750104.70965874,30
KRW-MOVE,2025-01-27T06:00:00,2025-01-27T15:00:00,1130,1137,1119,1127,1737959396777,1984815362.8215823,1757000.63780782,30
KRW-MOVE,2025-01-27T05:30:00,2025-01-27T14:30:00,1130,1133,1113,1131,1737957599880,2191443757.5379972,1952889.58791236,30
KRW-MOVE,2025-01-27T05:00:00,2025-01-27T14:00:00,1121,1143,1120,1129,1737955797729,2551675449.0852304,2255491.18239483,30
KRW-MOVE,2025-01-27T04:30:00,2025-01-27T13:30:00,1114,1122,1105,1121,1737954000016,1642310792.8580472,1475724.41825075,30
KRW-MOVE,2025-01-27T04:00:00,2025-01-27T13:00:00,1138,1148,1103,1114,1737952197998,6013663541.743972,5350526.81645586,30
KRW-MOVE,2025-01-27T03:30:00,2025-01-27T12:30:00,1129,1140,1117,1139,1737950400037,3244020898.4699793,2877769.02959805,30
KRW-MOVE,2025-01-27T03:00:00,2025-01-27T12:00:00,1095,1141,1090,1129,1737948598388,6493002077.132212,5770257.37883354,30
KRW-MOVE,2025-01-27T02:30:00,2025-01-27T11:30:00,1093,1101,1088,1097,1737946795872,1491026281.220486,1362352.21836247,30
KRW-MOVE,2025-01-27T02:00:00,2025-01-27T11:00:00,1092,1105,1079,1094,1737944999995,2603570197.5540195,2379448.79527706,30
KRW-MOVE,2025-01-27T01:30:00,2025-01-27T10:30:00,1089,1104,1083,1092,1737943198592,3131341635.82808,2860022.66818522,30
KRW-MOVE,2025-01-27T01:00:00,2025-01-27T10:00:00,1072,1094,1068,1089,1737941398202,3571438286.005915,3298832.55891271,30
KRW-MOVE,2025-01-27T00:30:00,2025-01-27T09:30:00,1062,1077,1059,1071,1737939598757,1458859412.6606257,1363347.66860446,30
KRW-MOVE,2025-01-27T00:00:00,2025-01-27T09:00:00,1054,1082,1049,1062,1737937799910,3112392046.4053116,2920056.6095022,30
KRW-MOVE,2025-01-26T23:30:00,2025-01-27T08:30:00,1054,1056,1044,1054,1737935995804,669692548.7198327,638628.55081515,30
KRW-MOVE,2025-01-26T23:00:00,2025-01-27T08:00:00,1047,1055,1040,1054,1737934195837,610029585.2839533,582086.31006976,30
KRW-MOVE,2025-01-26T22:30:00,2025-01-27T07:30:00,1052,1054,1047,1047,1737932389657,476164340.4064395,452731.7424417,30
KRW-MOVE,2025-01-26T22:00:00,2025-01-27T07:00:00,1050,1053,1045,1050,1737930581062,292920952.12867904,279407.81154638,30
KRW-MOVE,2025-01-26T21:30:00,2025-01-27T06:30:00,1054,1055,1050,1050,1737928798059,103423523.23301089,98281.36702592,30
KRW-MOVE,2025-01-26T21:00:00,2025-01-27T06:00:00,1055,1055,1048,1052,1737926998533,106220676.68889163,101054.93484803,30
KRW-MOVE,2025-01-26T20:30:00,2025-01-27T05:30:00,1055,1059,1048,1055,1737925195901,186591817.17008975,177164.73827007,30
KRW-MOVE,2025-01-26T20:00:00,2025-01-27T05:00:00,1049,1054,1049,1054,1737923280070,49550798.03349257,47102.59436534,30
KRW-MOVE,2025-01-26T19:30:00,2025-01-27T04:30:00,1054,1054,1048,1048,1737921550298,126852981.55461717,120576.17556781,30
KRW-MOVE,2025-01-26T19:00:00,2025-01-27T04:00:00,1054,1056,1052,1054,1737919784962,236924922.104281,224786.29340889,30
KRW-MOVE,2025-01-26T18:30:00,2025-01-27T03:30:00,1056,1058,1053,1053,1737917991233,36417146.84871758,34520.37702697,30
KRW-MOVE,2025-01-26T18:00:00,2025-01-27T03:00:00,1060,1062,1053,1054,1737916146965,141611028.86590242,133939.15719894,30
KRW-MOVE,2025-01-26T17:30:00,2025-01-27T02:30:00,1052,1061,1052,1061,1737914338907,158909746.28331864,150232.10773295,30
KRW-MOVE,2025-01-26T17:00:00,2025-01-27T02:00:00,1053,1057,1051,1051,1737912588173,69983558.5688315,66397.12392343,30
KRW-MOVE,2025-01-26T16:30:00,2025-01-27T01:30:00,1052,1058,1050,1053,1737910717819,98602635.51034081,93506.15681565,30
KRW-MOVE,2025-01-26T16:00:00,2025-01-27T01:00:00,1055,1055,1047,1049,1737908991518,449138238.44593406,427458.4871227,30
KRW-MOVE,2025-01-26T15:30:00,2025-01-27T00:30:00,1058,1060,1052,1056,1737907180622,392783284.9155411,371971.95313425,30
KRW-MOVE,2025-01-26T15:00:00,2025-01-27T00:00:00,1065,1068,1059,1060,1737905396210,419183825.5431898,394729.11327614,30
KRW-MOVE,2025-01-26T14:30:00,2025-01-26T23:30:00,1068,1081,1062,1065,1737903564944,992728043.3559042,926135.06478734,30
KRW-MOVE,2025-01-26T14:00:00,2025-01-26T23:00:00,1057,1068,1052,1067,1737901787155,481698271.27755076,454056.35023324,30
KRW-MOVE,2025-01-26T13:30:00,2025-01-26T22:30:00,1054,1059,1052,1056,1737899991372,501343350.59841394,475307.52275602,30
KRW-MOVE,2025-01-26T13:00:00,2025-01-26T22:00:00,1066,1075,1054,1054,1737898199740,1238655360.5984845,1164327.8686675,30
KRW-MOVE,2025-01-26T12:30:00,2025-01-26T21:30:00,1070,1073,1059,1066,1737896394455,880023785.5097649,826658.37636742,30
KRW-MOVE,2025-01-26T12:00:00,2025-01-26T21:00:00,1086,1087,1068,1071,1737894598552,909024135.0989839,846727.63984999,30
KRW-MOVE,2025-01-26T11:30:00,2025-01-26T20:30:00,1077,1090,1077,1086,1737892798159,1176225794.056909,1086033.07381528,30
KRW-MOVE,2025-01-26T11:00:00,2025-01-26T20:00:00,1061,1078,1057,1077,1737890993833,815514763.1977268,764217.30707188,30
KRW-MOVE,2025-01-26T10:30:00,2025-01-26T19:30:00,1054,1060,1049,1060,1737889196764,355763677.04202163,337700.64767019,30
KRW-MOVE,2025-01-26T10:00:00,2025-01-26T19:00:00,1056,1062,1053,1054,1737887397432,194294195.82865256,183903.08180488,30
KRW-MOVE,2025-01-26T09:30:00,2025-01-26T18:30:00,1058,1060,1051,1057,1737885565055,247853501.92416018,234909.50785634,30
KRW-MOVE,2025-01-26T09:00:00,2025-01-26T18:00:00,1051,1062,1047,1058,1737883790941,717233659.4561558,678660.40809816,30
KRW-MOVE,2025-01-26T08:30:00,2025-01-26T17:30:00,1049,1053,1043,1051,1737881996088,342430511.3981193,326811.18840334,30
KRW-MOVE,2025-01-26T08:00:00,2025-01-26T17:00:00,1050,1060,1047,1048,1737880184875,554628211.8985196,525852.67780791,30
KRW-MOVE,2025-01-26T07:30:00,2025-01-26T16:30:00,1046,1050,1032,1050,1737878399244,1334618882.9910338,1279681.88230584,30
KRW-MOVE,2025-01-26T07:00:00,2025-01-26T16:00:00,1052,1053,1046,1047,1737876596230,346713972.9774019,330375.14396985,30
KRW-MOVE,2025-01-26T06:30:00,2025-01-26T15:30:00,1047,1053,1045,1051,1737874796727,444864585.71080524,424431.63140133,30
KRW-MOVE,2025-01-26T06:00:00,2025-01-26T15:00:00,1051,1053,1046,1048,1737872997176,287616652.2214123,274338.03323887,30
KRW-MOVE,2025-01-26T05:30:00,2025-01-26T14:30:00,1049,1052,1046,1049,1737871184676,411404194.2660652,392455.2523353,30
KRW-MOVE,2025-01-26T05:00:00,2025-01-26T14:00:00,1055,1057,1047,1049,1737869393637,382589880.89276755,363915.66464275,30
KRW-MOVE,2025-01-26T04:30:00,2025-01-26T13:30:00,1053,1058,1052,1054,1737867582234,316536313.3585817,300016.2247918,30
KRW-MOVE,2025-01-26T04:00:00,2025-01-26T13:00:00,1056,1058,1052,1053,1737865774360,410562414.24621505,389596.66388811,30
KRW-MOVE,2025-01-26T03:30:00,2025-01-26T12:30:00,1062,1063,1054,1056,1737863979079,535333002.5064249,506157.84578122,30
KRW-MOVE,2025-01-26T03:00:00,2025-01-26T12:00:00,1059,1073,1057,1062,1737862196996,980517531.7601035,920512.82953382,30
KRW-MOVE,2025-01-26T02:30:00,2025-01-26T11:30:00,1056,1065,1049,1058,1737860389971,459854820.116274,435507.77567523,30
KRW-MOVE,2025-01-26T02:00:00,2025-01-26T11:00:00,1056,1059,1046,1055,1737858599627,646301520.3733703,614319.64402505,30
KRW-MOVE,2025-01-26T01:30:00,2025-01-26T10:30:00,1073,1075,1056,1056,1737856797454,876087245.0894934,822353.45576287,30
KRW-MOVE,2025-01-26T01:00:00,2025-01-26T10:00:00,1048,1074,1046,1073,1737854990839,1646844404.123902,1551303.86897288,30
KRW-MOVE,2025-01-26T00:30:00,2025-01-26T09:30:00,1055,1061,1043,1047,1737853194780,2298384880.483943,2188052.08016647,30
KRW-MOVE,2025-01-26T00:00:00,2025-01-26T09:00:00,1076,1076,1048,1056,1737851398365,5374994351.919293,5065913.55428255,30
KRW-MOVE,2025-01-25T23:30:00,2025-01-26T08:30:00,1094,1120,1075,1076,1737849599902,12401983020.621593,11327227.6734688,30
KRW-MOVE,2025-01-25T23:00:00,2025-01-26T08:00:00,1061,1095,1057,1094,1737847799985,7178723517.324182,6638584.23287203,30
KRW-MOVE,2025-01-25T22:30:00,2025-01-26T07:30:00,1058,1070,1049,1062,1737845997756,800731612.6272904,755984.11778017,30
KRW-MOVE,2025-01-25T22:00:00,2025-01-26T07:00:00,1054,1073,1054,1056,1737844191277,673847129.1214386,633659.11922023,30
KRW-MOVE,2025-01-25T21:30:00,2025-01-26T06:30:00,1050,1055,1044,1055,1737842396617,300444047.5279891,286341.23025724,30
KRW-MOVE,2025-01-25T21:00:00,2025-01-26T06:00:00,1052,1053,1042,1050,1737840599106,678959887.692666,648318.60223275,30
KRW-MOVE,2025-01-25T20:30:00,2025-01-26T05:30:00,1068,1072,1052,1052,1737838799619,515677691.27246714,486229.41378291,30
KRW-MOVE,2025-01-25T20:00:00,2025-01-26T05:00:00,1049,1085,1049,1070,1737836999096,1945205078.0582879,1817639.03659639,30
KRW-MOVE,2025-01-25T19:30:00,2025-01-26T04:30:00,1036,1050,1034,1049,1737835192572,313076338.9898029,299848.03519878,30
KRW-MOVE,2025-01-25T19:00:00,2025-01-26T04:00:00,1042,1043,1033,1035,1737833370389,149081448.91069067,143720.05827339,30
KRW-MOVE,2025-01-25T18:30:00,2025-01-26T03:30:00,1039,1043,1034,1042,1737831593773,224722386.33594304,216408.26611617,30
KRW-MOVE,2025-01-25T18:00:00,2025-01-26T03:00:00,1026,1041,1026,1038,1737829749575,135357544.8345541,130897.87768337,30
KRW-MOVE,2025-01-25T17:30:00,2025-01-26T02:30:00,1027,1030,1021,1026,1737827997590,173135513.57334396,169088.87063742,30
KRW-MOVE,2025-01-25T17:00:00,2025-01-26T02:00:00,1027,1033,1026,1029,1737826195532,220843447.59071675,214607.97408637,30
KRW-MOVE,2025-01-25T16:30:00,2025-01-26T01:30:00,1030,1031,1025,1027,1737824349488,244201158.07861215,237745.97227254,30
KRW-MOVE,2025-01-25T16:00:00,2025-01-26T01:00:00,1037,1038,1026,1030,1737822592830,415130102.6248964,402992.40659259,30
KRW-MOVE,2025-01-25T15:30:00,2025-01-26T00:30:00,1040,1042,1031,1038,1737820797802,493213874.9382245,476011.25405148,30
KRW-MOVE,2025-01-25T15:00:00,2025-01-26T00:00:00,1031,1045,1029,1040,1737818997800,503412787.082816,485067.22679806,30
KRW-MOVE,2025-01-25T14:30:00,2025-01-25T23:30:00,1025,1034,1017,1031,1737817185792,363949377.2376046,354690.80728215,30
KRW-MOVE,2025-01-25T14:00:00,2025-01-25T23:00:00,1023,1024,1014,1024,1737815389355,684060717.1995145,671585.55081992,30
KRW-MOVE,2025-01-25T13:30:00,2025-01-25T22:30:00,1034,1036,1022,1022,1737813599111,509271522.9459238,494909.58205764,30
KRW-MOVE,2025-01-25T13:00:00,2025-01-25T22:00:00,1033,1038,1027,1036,1737811798397,428738047.0866853,415181.96696345,30
KRW-MOVE,2025-01-25T12:30:00,2025-01-25T21:30:00,1029,1036,1024,1033,1737809999632,677654234.664961,657675.42009549,30
KRW-MOVE,2025-01-25T12:00:00,2025-01-25T21:00:00,1037,1040,1026,1027,1737808200011,913062152.3020833,884507.25662325,30
KRW-MOVE,2025-01-25T11:30:00,2025-01-25T20:30:00,1026,1046,1023,1037,1737806399326,1231324261.9823015,1187618.18271748,30
KRW-MOVE,2025-01-25T11:00:00,2025-01-25T20:00:00,1025,1038,1022,1028,1737804582471,983629043.375532,955191.46481929,30
KRW-MOVE,2025-01-25T10:30:00,2025-01-25T19:30:00,1018,1029,1016,1025,1737802792118,704770930.75392,689680.39626144,30
KRW-MOVE,2025-01-25T10:00:00,2025-01-25T19:00:00,1027,1028,1014,1018,1737800998298,918244440.8981014,900749.03336141,30
KRW-MOVE,2025-01-25T09:30:00,2025-01-25T18:30:00,1018,1039,1018,1028,1737799186600,2036905550.9703097,1977215.82862412,30
KRW-MOVE,2025-01-25T09:00:00,2025-01-25T18:00:00,1020,1024,1009,1018,1737797392226,698142752.6223633,686000.30520901,30
KRW-MOVE,2025-01-25T08:30:00,2025-01-25T17:30:00,1021,1031,1017,1020,1737795591991,1009259605.1899657,987626.24250998,30
KRW-MOVE,2025-01-25T08:00:00,2025-01-25T17:00:00,1015,1032,1010,1021,1737793798671,937780215.7380348,917131.06313177,30
KRW-MOVE,2025-01-25T07:30:00,2025-01-25T16:30:00,1012,1021,1005,1015,1737791998365,634287553.4421159,626521.62667665,30
KRW-MOVE,2025-01-25T07:00:00,2025-01-25T16:00:00,1022,1026,1012,1012,1737790195053,723445705.8016276,709510.67788946,30
KRW-MOVE,2025-01-25T06:30:00,2025-01-25T15:30:00,1021,1025,1009,1022,1737788388296,805102193.2658181,792025.6446797,30
KRW-MOVE,2025-01-25T06:00:00,2025-01-25T15:00:00,1017,1032,1013,1019,1737786599862,1584338627.7184486,1548297.38167002,30
KRW-MOVE,2025-01-25T05:30:00,2025-01-25T14:30:00,1021,1024,1010,1019,1737784766511,1079366685.7276738,1062837.30986004,30
KRW-MOVE,2025-01-25T05:00:00,2025-01-25T14:00:00,1003,1027,1002,1022,1737782996021,1308234207.664022,1289660.27266882,30
KRW-MOVE,2025-01-25T04:30:00,2025-01-25T13:30:00,993.2,1006,990.4,1003,1737781180095,530608870.46113986,531452.8530091,30
KRW-MOVE,2025-01-25T04:00:00,2025-01-25T13:00:00,1004,1005,990.9,993.4,1737779391715,965895097.3205081,969736.01968982,30
KRW-MOVE,2025-01-25T03:30:00,2025-01-25T12:30:00,1005,1017,1003,1004,1737777593630,1397701524.5099375,1383687.12005594,30
KRW-MOVE,2025-01-25T03:00:00,2025-01-25T12:00:00,993.5,1007,981.6,1004,1737775796602,1184860320.6756537,1190524.93391362,30
KRW-MOVE,2025-01-25T02:30:00,2025-01-25T11:30:00,971.5,999.6,971.3,993.5,1737773994823,1421057533.3991408,1433042.79831174,30
KRW-MOVE,2025-01-25T02:00:00,2025-01-25T11:00:00,966.8,974.5,960,971.5,1737772180414,378524495.82662714,391042.00820007,30
KRW-MOVE,2025-01-25T01:30:00,2025-01-25T10:30:00,964.8,973.4,962.1,967,1737770384028,537487926.6077377,555900.90573828,30
KRW-MOVE,2025-01-25T01:00:00,2025-01-25T10:00:00,950,964.8,948.1,963.2,1737768599535,843905590.9080329,881442.96510955,30
KRW-MOVE,2025-01-25T00:30:00,2025-01-25T09:30:00,957.1,958.3,949.8,950,1737766798474,1163030269.390023,1220400.47611359,30
KRW-MOVE,2025-01-25T00:00:00,2025-01-25T09:00:00,967.9,967.9,955,958,1737764985457,796867264.7731943,829825.41694767,30
KRW-MOVE,2025-01-24T23:30:00,2025-01-25T08:30:00,966.7,969.7,960.5,967.9,1737763195356,839983361.9594163,870565.6946631,30
KRW-MOVE,2025-01-24T23:00:00,2025-01-25T08:00:00,970.2,972,965.3,966.6,1737761399407,572323056.2761589,591458.26875152,30
KRW-MOVE,2025-01-24T22:30:00,2025-01-25T07:30:00,973.2,976.6,970,970.1,1737759594806,480454016.54543245,493629.44336937,30
KRW-MOVE,2025-01-24T22:00:00,2025-01-25T07:00:00,976.7,978,972.5,973,1737757779547,322180830.66128075,330509.66299907,30
KRW-MOVE,2025-01-24T21:30:00,2025-01-25T06:30:00,977.7,983.8,975.4,977.6,1737755973283,346920009.8904423,354603.3400538,30
KRW-MOVE,2025-01-24T21:00:00,2025-01-25T06:00:00,974.2,981.4,973.1,979,1737754175680,280456210.8258657,287425.55269523,30
KRW-MOVE,2025-01-24T20:30:00,2025-01-25T05:30:00,988.9,988.9,974.1,974.1,1737752397334,544377073.5068209,555184.76243406,30
KRW-MOVE,2025-01-24T20:00:00,2025-01-25T05:00:00,997.4,1002,988.2,988.9,1737750533603,284932770.30516845,286760.62595533,30
KRW-MOVE,2025-01-24T19:30:00,2025-01-25T04:30:00,1005,1005,995.3,996.1,1737748695957,228348404.22439137,228041.3610828,30
KRW-MOVE,2025-01-24T19:00:00,2025-01-25T04:00:00,1010,1010,1002,1004,1737746926072,42116211.11748586,41938.79884156,30
KRW-MOVE,2025-01-24T18:30:00,2025-01-25T03:30:00,1013,1015,1006,1010,1737745128833,94857993.65104945,93972.16874115,30
KRW-MOVE,2025-01-24T18:00:00,2025-01-25T03:00:00,1018,1026,1012,1014,1737743388494,218066582.55323127,214012.7440331,30
KRW-MOVE,2025-01-24T17:30:00,2025-01-25T02:30:00,1015,1018,1010,1015,1737741597355,46500301.24587612,45825.23882292,30
KRW-MOVE,2025-01-24T17:00:00,2025-01-25T02:00:00,1006,1017,1001,1017,1737739793508,148721345.40072215,147832.01798176,30
KRW-MOVE,2025-01-24T16:30:00,2025-01-25T01:30:00,1014,1016,1005,1005,1737737964025,213323155.21375164,210829.85821417,30
KRW-MOVE,2025-01-24T16:00:00,2025-01-25T01:00:00,1016,1018,1010,1013,1737736190637,282004967.14867246,278349.52654904,30
KRW-MOVE,2025-01-24T15:30:00,2025-01-25T00:30:00,1018,1018,1007,1017,1737734276783,376519512.49066085,371555.56062302,30
KRW-MOVE,2025-01-24T15:00:00,2025-01-25T00:00:00,1036,1037,1017,1019,1737732595041,423737565.4248929,412561.25881888,30
KRW-MOVE,2025-01-24T14:30:00,2025-01-24T23:30:00,1039,1043,1031,1036,1737730799174,309591517.9856566,298602.28262873,30
