market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-MTL,2025-01-27T13:30:00,2025-01-27T22:30:00,1726,1729,1723,1729,1737984809678,3715441.42774617,2153.39936191,30
KRW-MTL,2025-01-27T13:00:00,2025-01-27T22:00:00,1726,1741,1717,1723,1737984537377,95057928.3461426,55135.2172824,30
KRW-MTL,2025-01-27T12:30:00,2025-01-27T21:30:00,1699,1745,1686,1726,1737982790492,127922035.97388583,75041.11419839,30
KRW-MTL,2025-01-27T12:00:00,2025-01-27T21:00:00,1700,1706,1693,1693,1737980973130,59040996.15932881,34788.9513409,30
KRW-MTL,2025-01-27T11:30:00,2025-01-27T20:30:00,1710,1715,1700,1700,1737979190444,27478933.0534104,16120.91383374,30
KRW-MTL,2025-01-27T11:00:00,2025-01-27T20:00:00,1700,1714,1700,1710,1737977302723,62014079.1291048,36278.2472716,30
KRW-MTL,2025-01-27T10:30:00,2025-01-27T19:30:00,1713,1713,1699,1700,1737975592733,67846343.71373153,39855.48991892,30
KRW-MTL,2025-01-27T10:00:00,2025-01-27T19:00:00,1728,1728,1713,1713,1737973772405,28775178.63725905,16729.98091598,30
KRW-MTL,2025-01-27T09:30:00,2025-01-27T18:30:00,1717,1724,1712,1724,1737971682030,15343640.98011772,8929.19719473,30
KRW-MTL,2025-01-27T09:00:00,2025-01-27T18:00:00,1707,1729,1706,1720,1737970096789,55575259.23087024,32277.41387176,30
KRW-MTL,2025-01-27T08:30:00,2025-01-27T17:30:00,1717,1717,1695,1708,1737968361525,105218347.89222889,61862.63056797,30
KRW-MTL,2025-01-27T08:00:00,2025-01-27T17:00:00,1727,1727,1704,1722,1737966542406,143854951.02329412,83831.2519395,30
KRW-MTL,2025-01-27T07:30:00,2025-01-27T16:30:00,1696,1734,1694,1729,1737964723323,144924942.56786942,84163.86506891,30
KRW-MTL,2025-01-27T07:00:00,2025-01-27T16:00:00,1726,1734,1692,1696,1737962998712,248900370.4578544,145580.10146429,30
KRW-MTL,2025-01-27T06:30:00,2025-01-27T15:30:00,1736,1740,1719,1723,1737961199028,222045920.40192884,128592.25249265,30
KRW-MTL,2025-01-27T06:00:00,2025-01-27T15:00:00,1748,1754,1736,1736,1737959378111,69090290.03431913,39640.47881893,30
KRW-MTL,2025-01-27T05:30:00,2025-01-27T14:30:00,1749,1753,1741,1748,1737957596771,88751082.22346888,50806.517182,30
KRW-MTL,2025-01-27T05:00:00,2025-01-27T14:00:00,1754,1761,1747,1751,1737955736787,101634663.25082421,58031.6589554,30
KRW-MTL,2025-01-27T04:30:00,2025-01-27T13:30:00,1760,1765,1754,1756,1737953934007,119847051.31531917,68112.07421925,30
KRW-MTL,2025-01-27T04:00:00,2025-01-27T13:00:00,1767,1769,1756,1760,1737952118058,74091588.69728966,42098.00650472,30
KRW-MTL,2025-01-27T03:30:00,2025-01-27T12:30:00,1772,1776,1765,1769,1737950395508,49234814.8110397,27847.86444428,30
KRW-MTL,2025-01-27T03:00:00,2025-01-27T12:00:00,1760,1778,1758,1769,1737948556768,122784651.9384688,69396.49514369,30
KRW-MTL,2025-01-27T02:30:00,2025-01-27T11:30:00,1767,1771,1760,1761,1737946787844,93525858.2406,52958.86507837,30
KRW-MTL,2025-01-27T02:00:00,2025-01-27T11:00:00,1768,1776,1750,1767,1737944997105,246720260.1241836,139964.19513341,30
