market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-MVL,2025-01-27T13:30:00,2025-01-27T22:30:00,6.919,6.946,6.902,6.941,1737984816271,5743574.30017924,828537.41272687,30
KRW-MVL,2025-01-27T13:00:00,2025-01-27T22:00:00,6.883,6.957,6.845,6.894,1737984569222,254186360.363263,36712590.24532336,30
KRW-MVL,2025-01-27T12:30:00,2025-01-27T21:30:00,6.787,6.93,6.787,6.882,1737982799561,186356262.53287527,27119645.50929751,30
KRW-MVL,2025-01-27T12:00:00,2025-01-27T21:00:00,6.762,6.83,6.733,6.777,1737980990848,74123400.02923808,10938842.34926646,30
KRW-MVL,2025-01-27T11:30:00,2025-01-27T20:30:00,6.786,6.8,6.756,6.763,1737979165668,86986700.76273575,12845369.42970049,30
KRW-MVL,2025-01-27T11:00:00,2025-01-27T20:00:00,6.695,6.825,6.667,6.781,1737977302151,203666902.61463276,30172148.35122358,30
KRW-MVL,2025-01-27T10:30:00,2025-01-27T19:30:00,6.786,6.798,6.638,6.693,1737975584830,210225197.4852248,31306580.35689338,30
KRW-MVL,2025-01-27T10:00:00,2025-01-27T19:00:00,6.8,6.814,6.745,6.77,1737973779052,73576506.99824561,10853002.58021407,30
KRW-MVL,2025-01-27T09:30:00,2025-01-27T18:30:00,6.743,6.808,6.6,6.798,1737971999513,378270578.52509284,56397924.62527799,30
KRW-MVL,2025-01-27T09:00:00,2025-01-27T18:00:00,6.717,6.794,6.715,6.746,1737970197673,96441503.23084588,14261943.19257591,30
KRW-MVL,2025-01-27T08:30:00,2025-01-27T17:30:00,6.794,6.794,6.685,6.717,1737968390857,290802592.10719657,43361983.08397867,30
KRW-MVL,2025-01-27T08:00:00,2025-01-27T17:00:00,6.85,6.869,6.7,6.795,1737966569190,423566431.70095015,62781579.30103743,30
KRW-MVL,2025-01-27T07:30:00,2025-01-27T16:30:00,6.703,6.946,6.702,6.853,1737964791607,452950648.7872439,66314196.24288799,30
KRW-MVL,2025-01-27T07:00:00,2025-01-27T16:00:00,6.853,6.899,6.7,6.732,1737962999045,483987788.8413484,71111744.5185761,30
KRW-MVL,2025-01-27T06:30:00,2025-01-27T15:30:00,6.886,6.946,6.807,6.853,1737961191531,433666822.90927005,63290358.38688821,30
KRW-MVL,2025-01-27T06:00:00,2025-01-27T15:00:00,6.948,6.949,6.876,6.886,1737959338461,219288740.98610893,31787579.71664593,30
KRW-MVL,2025-01-27T05:30:00,2025-01-27T14:30:00,6.99,6.99,6.888,6.95,1737957574650,327079453.5169796,47222008.57372722,30
KRW-MVL,2025-01-27T05:00:00,2025-01-27T14:00:00,6.98,7.019,6.96,6.99,1737955789391,98469465.70295016,14105581.6136613,30
KRW-MVL,2025-01-27T04:30:00,2025-01-27T13:30:00,7.013,7.013,6.95,6.99,1737953839762,124414816.88905622,17851948.37937232,30
KRW-MVL,2025-01-27T04:00:00,2025-01-27T13:00:00,6.989,7.026,6.986,7.001,1737952187612,97594518.4057857,13954774.13229923,30
KRW-MVL,2025-01-27T03:30:00,2025-01-27T12:30:00,7.006,7.019,6.986,6.988,1737950394449,130220820.45679238,18609805.04886754,30
KRW-MVL,2025-01-27T03:00:00,2025-01-27T12:00:00,6.948,7.04,6.941,7.024,1737948598670,215567869.9195873,30867507.91513784,30
KRW-MVL,2025-01-27T02:30:00,2025-01-27T11:30:00,6.983,6.986,6.94,6.948,1737946776172,286335892.6947513,41197334.11023436,30
KRW-MVL,2025-01-27T02:00:00,2025-01-27T11:00:00,7.015,7.023,6.95,6.983,1737944999934,269931814.0205487,38634750.87304401,30
KRW-MVL,2025-01-27T01:30:00,2025-01-27T10:30:00,7.042,7.076,7.001,7.015,1737943187276,244053680.43492386,34718691.55799435,30
KRW-MVL,2025-01-27T01:00:00,2025-01-27T10:00:00,7.075,7.111,6.964,7.064,1737941395500,515603396.9334598,73455681.54018348,30
KRW-MVL,2025-01-27T00:30:00,2025-01-27T09:30:00,7.17,7.17,7.045,7.069,1737939589455,493654687.8725621,69708335.46300691,30
KRW-MVL,2025-01-27T00:00:00,2025-01-27T09:00:00,7.31,7.311,7.049,7.163,1737937794533,1111916379.792315,155450439.29862222,30
KRW-MVL,2025-01-26T23:30:00,2025-01-27T08:30:00,7.23,7.325,7.155,7.312,1737935996059,630047395.5096447,86989793.84467828,30
KRW-MVL,2025-01-26T23:00:00,2025-01-27T08:00:00,7.354,7.359,7.2,7.23,1737934195504,393078482.79998827,54078683.87296035,30
KRW-MVL,2025-01-26T22:30:00,2025-01-27T07:30:00,7.295,7.37,7.295,7.352,1737932399938,197402425.27242225,26904198.97772569,30
KRW-MVL,2025-01-26T22:00:00,2025-01-27T07:00:00,7.383,7.442,7.273,7.295,1737930587042,627029941.6630429,85275849.87028965,30
KRW-MVL,2025-01-26T21:30:00,2025-01-27T06:30:00,7.405,7.462,7.369,7.383,1737928792985,201449059.01343423,27215690.18306898,30
KRW-MVL,2025-01-26T21:00:00,2025-01-27T06:00:00,7.44,7.44,7.395,7.405,1737926977624,50240016.63368707,6780530.74279837,30
KRW-MVL,2025-01-26T20:30:00,2025-01-27T05:30:00,7.46,7.46,7.43,7.44,1737925199889,76096138.95458102,10223624.7089347,30
KRW-MVL,2025-01-26T20:00:00,2025-01-27T05:00:00,7.421,7.488,7.421,7.46,1737923371937,102227747.52095573,13683709.27190218,30
KRW-MVL,2025-01-26T19:30:00,2025-01-27T04:30:00,7.414,7.436,7.393,7.414,1737921586423,119520979.7693284,16138728.61752657,30
KRW-MVL,2025-01-26T19:00:00,2025-01-27T04:00:00,7.453,7.469,7.4,7.427,1737919794355,113770204.8491519,15319702.9460193,30
KRW-MVL,2025-01-26T18:30:00,2025-01-27T03:30:00,7.457,7.469,7.443,7.469,1737917982291,64882191.25407259,8707695.47252566,30
KRW-MVL,2025-01-26T18:00:00,2025-01-27T03:00:00,7.511,7.54,7.443,7.457,1737916181286,124683433.67501011,16638242.22073398,30
KRW-MVL,2025-01-26T17:30:00,2025-01-27T02:30:00,7.509,7.566,7.48,7.511,1737914392771,226263773.5147498,30088160.58105412,30
KRW-MVL,2025-01-26T17:00:00,2025-01-27T02:00:00,7.485,7.537,7.393,7.51,1737912588562,703282051.1249776,94334765.03407216,30
KRW-MVL,2025-01-26T16:30:00,2025-01-27T01:30:00,7.809,7.849,7.463,7.466,1737910799561,3818534683.2641335,501228019.6997407,30
KRW-MVL,2025-01-26T16:00:00,2025-01-27T01:00:00,7.674,8.204,7.573,7.808,1737908999936,13073084886.238798,1647464216.1381454,30
KRW-MVL,2025-01-26T15:30:00,2025-01-27T00:30:00,7.36,7.7,7.345,7.683,1737907198979,1181459144.5077784,155472795.38834086,30
KRW-MVL,2025-01-26T15:00:00,2025-01-27T00:00:00,7.413,7.44,7.347,7.361,1737905361236,191144888.78297058,25872040.60309005,30
KRW-MVL,2025-01-26T14:30:00,2025-01-26T23:30:00,7.369,7.556,7.363,7.423,1737903584660,657905054.9154178,87970294.61446872,30
KRW-MVL,2025-01-26T14:00:00,2025-01-26T23:00:00,7.374,7.41,7.36,7.369,1737901777764,129792516.05249834,17604393.8596272,30
KRW-MVL,2025-01-26T13:30:00,2025-01-26T22:30:00,7.395,7.397,7.346,7.374,1737899996467,222852040.95671082,30248091.57205825,30
KRW-MVL,2025-01-26T13:00:00,2025-01-26T22:00:00,7.317,7.41,7.272,7.395,1737898186780,380757173.91846067,51926726.21520172,30
KRW-MVL,2025-01-26T12:30:00,2025-01-26T21:30:00,7.486,7.487,7.302,7.317,1737896399686,660346879.5581412,89547891.3843958,30
KRW-MVL,2025-01-26T12:00:00,2025-01-26T21:00:00,7.512,7.526,7.452,7.486,1737894598793,261015481.07031974,34898866.13260227,30
KRW-MVL,2025-01-26T11:30:00,2025-01-26T20:30:00,7.52,7.6,7.48,7.5,1737892796291,277839071.28616154,36930522.56736377,30
KRW-MVL,2025-01-26T11:00:00,2025-01-26T20:00:00,7.506,7.679,7.46,7.52,1737890989209,678093008.7169594,89385723.64350618,30
KRW-MVL,2025-01-26T10:30:00,2025-01-26T19:30:00,7.521,7.613,7.486,7.488,1737889171427,411139984.3222877,54570486.59863743,30
KRW-MVL,2025-01-26T10:00:00,2025-01-26T19:00:00,7.602,7.66,7.492,7.521,1737887359894,452258457.3604603,59665442.57298503,30
KRW-MVL,2025-01-26T09:30:00,2025-01-26T18:30:00,7.621,7.667,7.52,7.602,1737885594302,625855856.9816406,82435328.10403351,30
KRW-MVL,2025-01-26T09:00:00,2025-01-26T18:00:00,7.567,7.669,7.55,7.624,1737883791997,501464831.3052335,65895131.21734406,30
KRW-MVL,2025-01-26T08:30:00,2025-01-26T17:30:00,7.577,7.577,7.5,7.552,1737881989133,236535103.26208723,31376903.57742291,30
KRW-MVL,2025-01-26T08:00:00,2025-01-26T17:00:00,7.472,7.579,7.447,7.577,1737880198865,309912465.46382284,41297814.97989799,30
KRW-MVL,2025-01-26T07:30:00,2025-01-26T16:30:00,7.537,7.69,7.426,7.472,1737878399485,1306627683.6677217,172409675.06405634,30
KRW-MVL,2025-01-26T07:00:00,2025-01-26T16:00:00,7.4,7.538,7.348,7.537,1737876595976,488075493.79972076,65320747.59263828,30
KRW-MVL,2025-01-26T06:30:00,2025-01-26T15:30:00,7.316,7.417,7.274,7.4,1737874799824,218584460.40367588,29839599.75984645,30
KRW-MVL,2025-01-26T06:00:00,2025-01-26T15:00:00,7.501,7.537,7.26,7.305,1737872985927,702325104.9557226,94826216.30169559,30
KRW-MVL,2025-01-26T05:30:00,2025-01-26T14:30:00,7.508,7.518,7.437,7.518,1737871191770,378967429.1885215,50575249.07399734,30
KRW-MVL,2025-01-26T05:00:00,2025-01-26T14:00:00,7.427,7.515,7.402,7.515,1737869394794,263283132.40825966,35316152.62982397,30
KRW-MVL,2025-01-26T04:30:00,2025-01-26T13:30:00,7.351,7.432,7.348,7.423,1737867593073,158013728.73277345,21384455.37712016,30
KRW-MVL,2025-01-26T04:00:00,2025-01-26T13:00:00,7.393,7.428,7.345,7.351,1737865798786,257427586.33062524,34854493.04441588,30
KRW-MVL,2025-01-26T03:30:00,2025-01-26T12:30:00,7.491,7.491,7.363,7.393,1737863998709,427148457.86258966,57527161.69679427,30
KRW-MVL,2025-01-26T03:00:00,2025-01-26T12:00:00,7.455,7.541,7.414,7.493,1737862193625,674635319.4497612,90100021.89463088,30
KRW-MVL,2025-01-26T02:30:00,2025-01-26T11:30:00,7.331,7.49,7.312,7.456,1737860396248,340538339.97911733,46084791.85267746,30
KRW-MVL,2025-01-26T02:00:00,2025-01-26T11:00:00,7.504,7.528,7.312,7.334,1737858581720,583646148.8040094,79030280.1626633,30
KRW-MVL,2025-01-26T01:30:00,2025-01-26T10:30:00,7.303,7.547,7.285,7.504,1737856799491,1393498083.540735,186969963.3219134,30
KRW-MVL,2025-01-26T01:00:00,2025-01-26T10:00:00,7.034,7.4,7.034,7.305,1737854999085,1177085959.4548588,161699299.10313475,30
KRW-MVL,2025-01-26T00:30:00,2025-01-26T09:30:00,7.254,7.259,7.002,7.034,1737853198831,530404218.49899036,74544275.4338663,30
KRW-MVL,2025-01-26T00:00:00,2025-01-26T09:00:00,7.088,7.291,6.962,7.255,1737851395711,1127090405.2976155,157638762.34564108,30
KRW-MVL,2025-01-25T23:30:00,2025-01-26T08:30:00,7.036,7.094,6.994,7.088,1737849595607,182878757.60316902,25991563.62185175,30
KRW-MVL,2025-01-25T23:00:00,2025-01-26T08:00:00,6.98,7.07,6.98,7.04,1737847796483,72039518.08899774,10254975.11201598,30
KRW-MVL,2025-01-25T22:30:00,2025-01-26T07:30:00,6.977,7.007,6.966,6.977,1737845916380,164402829.78409946,23550850.5818029,30
KRW-MVL,2025-01-25T22:00:00,2025-01-26T07:00:00,6.997,7.002,6.969,6.977,1737844199422,24295744.92321036,3476944.58872904,30
KRW-MVL,2025-01-25T21:30:00,2025-01-26T06:30:00,6.986,6.994,6.967,6.994,1737842316746,2008193.57725157,287915.2863779,30
KRW-MVL,2025-01-25T21:00:00,2025-01-26T06:00:00,7.006,7.006,6.968,6.985,1737840417107,20234141.37212012,2900233.56365492,30
KRW-MVL,2025-01-25T20:30:00,2025-01-26T05:30:00,6.991,7.032,6.978,7.007,1737838784784,40136506.62382744,5734106.53445636,30
KRW-MVL,2025-01-25T20:00:00,2025-01-26T05:00:00,7.034,7.035,6.977,7.007,1737836975938,27353980.33293677,3913019.0019176,30
KRW-MVL,2025-01-25T19:30:00,2025-01-26T04:30:00,7.004,7.06,6.994,7.037,1737835171139,41578477.41396301,5914776.79795811,30
KRW-MVL,2025-01-25T19:00:00,2025-01-26T04:00:00,6.993,7.01,6.979,6.979,1737833386084,16487703.10537215,2359460.18556971,30
KRW-MVL,2025-01-25T18:30:00,2025-01-26T03:30:00,6.992,7.004,6.965,6.997,1737831481451,8180488.76041189,1172620.30303557,30
KRW-MVL,2025-01-25T18:00:00,2025-01-26T03:00:00,7.005,7.005,6.959,6.992,1737829743700,20653534.28748944,2959048.36557536,30
KRW-MVL,2025-01-25T17:30:00,2025-01-26T02:30:00,7.046,7.048,7.004,7.005,1737827976526,7453138.49294238,1060564.33090661,30
KRW-MVL,2025-01-25T17:00:00,2025-01-26T02:00:00,7.012,7.051,7.009,7.046,1737826196526,48550680.74756425,6900538.39762274,30
KRW-MVL,2025-01-25T16:30:00,2025-01-26T01:30:00,6.951,7.012,6.943,7.012,1737824397501,103601121.8487693,14842922.83452324,30
KRW-MVL,2025-01-25T16:00:00,2025-01-26T01:00:00,6.993,6.994,6.948,6.951,1737822575704,79142133.00101212,11363154.36531075,30
KRW-MVL,2025-01-25T15:30:00,2025-01-26T00:30:00,6.991,6.994,6.978,6.993,1737820797864,32503982.35988871,4654065.01430742,30
KRW-MVL,2025-01-25T15:00:00,2025-01-26T00:00:00,6.992,6.994,6.979,6.982,1737818996457,35085897.1808865,5024255.00089027,30
KRW-MVL,2025-01-25T14:30:00,2025-01-25T23:30:00,6.978,6.995,6.969,6.992,1737817132876,73950293.903933,10584383.31370126,30
KRW-MVL,2025-01-25T14:00:00,2025-01-25T23:00:00,6.954,6.99,6.954,6.978,1737815395458,60946498.38382528,8728093.58764462,30
KRW-MVL,2025-01-25T13:30:00,2025-01-25T22:30:00,6.977,6.99,6.953,6.953,1737813593770,104208161.35210888,14957901.57941816,30
KRW-MVL,2025-01-25T13:00:00,2025-01-25T22:00:00,6.985,7.002,6.965,6.994,1737811690641,57570799.51396208,8246865.41564672,30
KRW-MVL,2025-01-25T12:30:00,2025-01-25T21:30:00,6.971,7.015,6.965,6.985,1737809949849,87109980.82077785,12480528.835773,30
KRW-MVL,2025-01-25T12:00:00,2025-01-25T21:00:00,6.947,6.978,6.92,6.957,1737808124231,137312114.7474672,19758260.84175325,30
KRW-MVL,2025-01-25T11:30:00,2025-01-25T20:30:00,6.936,6.979,6.931,6.947,1737806369678,122515337.40129162,17638764.69505779,30
KRW-MVL,2025-01-25T11:00:00,2025-01-25T20:00:00,6.991,6.995,6.906,6.936,1737804578312,94784742.14705372,13657224.3771984,30
KRW-MVL,2025-01-25T10:30:00,2025-01-25T19:30:00,6.874,7.009,6.874,6.996,1737802776914,76512782.57656533,11005323.46943024,30
KRW-MVL,2025-01-25T10:00:00,2025-01-25T19:00:00,6.904,6.925,6.874,6.874,1737800995405,80844841.37051496,11725502.87786226,30
KRW-MVL,2025-01-25T09:30:00,2025-01-25T18:30:00,6.878,6.932,6.869,6.904,1737799170214,44766407.45198205,6491539.31689542,30
KRW-MVL,2025-01-25T09:00:00,2025-01-25T18:00:00,6.983,7.03,6.878,6.878,1737797398152,327080625.5338006,47019517.08124637,30
KRW-MVL,2025-01-25T08:30:00,2025-01-25T17:30:00,6.851,6.983,6.851,6.983,1737795598590,227303146.85539654,32863030.56759196,30
KRW-MVL,2025-01-25T08:00:00,2025-01-25T17:00:00,6.877,6.877,6.836,6.85,1737793767440,91619427.36839947,13367867.2914182,30
KRW-MVL,2025-01-25T07:30:00,2025-01-25T16:30:00,6.838,6.881,6.816,6.879,1737791966855,159595758.3963458,23309933.06596973,30
KRW-MVL,2025-01-25T07:00:00,2025-01-25T16:00:00,6.824,6.838,6.808,6.838,1737790187109,49319721.6695872,7237093.38786984,30
KRW-MVL,2025-01-25T06:30:00,2025-01-25T15:30:00,6.806,6.837,6.8,6.826,1737787934164,6894204.0207577,1011597.6604723,30
KRW-MVL,2025-01-25T06:00:00,2025-01-25T15:00:00,6.817,6.838,6.8,6.8,1737786122570,42306156.12304158,6213079.22732337,30
KRW-MVL,2025-01-25T05:30:00,2025-01-25T14:30:00,6.826,6.852,6.817,6.817,1737784681746,20315065.16207859,2974137.41656822,30
KRW-MVL,2025-01-25T05:00:00,2025-01-25T14:00:00,6.829,6.83,6.802,6.83,1737782977072,21780333.65123502,3190861.65770573,30
KRW-MVL,2025-01-25T04:30:00,2025-01-25T13:30:00,6.806,6.83,6.796,6.8,1737781131295,43328771.74453505,6368511.08858054,30
KRW-MVL,2025-01-25T04:00:00,2025-01-25T13:00:00,6.81,6.83,6.796,6.806,1737779379338,46183288.01417104,6784413.74135827,30
KRW-MVL,2025-01-25T03:30:00,2025-01-25T12:30:00,6.796,6.823,6.774,6.822,1737777496844,77615123.86506306,11406559.53488937,30
KRW-MVL,2025-01-25T03:00:00,2025-01-25T12:00:00,6.788,6.807,6.766,6.796,1737775547107,53734615.26831397,7927863.52527952,30
KRW-MVL,2025-01-25T02:30:00,2025-01-25T11:30:00,6.783,6.809,6.768,6.788,1737773995564,30994053.82069746,4566824.09481135,30
KRW-MVL,2025-01-25T02:00:00,2025-01-25T11:00:00,6.816,6.816,6.759,6.783,1737772187770,57592845.9780349,8496178.2913021,30
