market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-NEAR,2025-01-27T13:30:00,2025-01-27T22:30:00,6981,7010,6969,7010,1737984820689,66905658.81040212,9566.28417295,30
KRW-NEAR,2025-01-27T13:00:00,2025-01-27T22:00:00,6999,7078,6944,6981,1737984597346,940079071.5496707,134056.62709639,30
KRW-NEAR,2025-01-27T12:30:00,2025-01-27T21:30:00,6802,7037,6800,6996,1737982792573,834737671.5494751,120223.31272534,30
KRW-NEAR,2025-01-27T12:00:00,2025-01-27T21:00:00,6818,6869,6797,6811,1737980994883,591096143.436971,86645.42906605,30
KRW-NEAR,2025-01-27T11:30:00,2025-01-27T20:30:00,6858,6874,6818,6823,1737979197833,515800894.2895003,75407.11442037,30
KRW-NEAR,2025-01-27T11:00:00,2025-01-27T20:00:00,6806,6866,6784,6865,1737977394091,672528483.1261178,98642.32127536,30
KRW-NEAR,2025-01-27T10:30:00,2025-01-27T19:30:00,6878,6878,6800,6806,1737975595088,684001723.0401305,100254.74926246,30
KRW-NEAR,2025-01-27T10:00:00,2025-01-27T19:00:00,6938,6944,6873,6883,1737973793807,316480865.3412773,45856.67225774,30
KRW-NEAR,2025-01-27T09:30:00,2025-01-27T18:30:00,6883,6940,6871,6940,1737971981169,259783177.49855036,37588.00129615,30
KRW-NEAR,2025-01-27T09:00:00,2025-01-27T18:00:00,6892,6970,6855,6885,1737970189808,523317967.34712625,75708.62531334,30
KRW-NEAR,2025-01-27T08:30:00,2025-01-27T17:30:00,6933,6933,6840,6882,1737968394692,577487369.6636938,84001.77156948,30
KRW-NEAR,2025-01-27T08:00:00,2025-01-27T17:00:00,6978,6978,6890,6937,1737966593036,595041062.1628219,85835.21015145,30
KRW-NEAR,2025-01-27T07:30:00,2025-01-27T16:30:00,6806,6990,6804,6978,1737964789739,1197782142.8402948,173117.17041382,30
KRW-NEAR,2025-01-27T07:00:00,2025-01-27T16:00:00,6960,6986,6806,6806,1737963000009,1860458654.3048387,269499.85531596,30
KRW-NEAR,2025-01-27T06:30:00,2025-01-27T15:30:00,6987,6993,6923,6960,1737961199179,1586806490.663064,228199.63429929,30
KRW-NEAR,2025-01-27T06:00:00,2025-01-27T15:00:00,7021,7040,6972,6987,1737959397548,519433730.0045719,74168.68846405,30
KRW-NEAR,2025-01-27T05:30:00,2025-01-27T14:30:00,7017,7032,6977,7019,1737957598173,989074705.1844009,141283.27437866,30
KRW-NEAR,2025-01-27T05:00:00,2025-01-27T14:00:00,7026,7051,7010,7030,1737955796298,336462728.6164967,47902.3687741,30
KRW-NEAR,2025-01-27T04:30:00,2025-01-27T13:30:00,7043,7069,7014,7020,1737953965528,384167431.1285706,54578.55040117,30
KRW-NEAR,2025-01-27T04:00:00,2025-01-27T13:00:00,7095,7095,7031,7046,1737952199135,311309036.87020636,44136.54674158,30
KRW-NEAR,2025-01-27T03:30:00,2025-01-27T12:30:00,7118,7121,7070,7095,1737950395413,280085736.8055686,39469.42676667,30
KRW-NEAR,2025-01-27T03:00:00,2025-01-27T12:00:00,7052,7131,7047,7120,1737948590702,374640485.7076189,52923.61911349,30
KRW-NEAR,2025-01-27T02:30:00,2025-01-27T11:30:00,7092,7092,7045,7052,1737946788698,598161501.1228768,84686.61651827,30
KRW-NEAR,2025-01-27T02:00:00,2025-01-27T11:00:00,7101,7180,7031,7093,1737944994313,900394191.6106677,127156.19831763,30
KRW-NEAR,2025-01-27T01:30:00,2025-01-27T10:30:00,7105,7149,7088,7100,1737943190509,403067395.38111424,56683.49973347,30
KRW-NEAR,2025-01-27T01:00:00,2025-01-27T10:00:00,7121,7155,7061,7105,1737941394857,1199366867.9791527,168920.2367805,30
KRW-NEAR,2025-01-27T00:30:00,2025-01-27T09:30:00,7201,7201,7120,7121,1737939597867,1300707444.4769814,181791.55129607,30
KRW-NEAR,2025-01-27T00:00:00,2025-01-27T09:00:00,7261,7302,7163,7193,1737937799370,1933338217.5427315,267858.78476551,30
KRW-NEAR,2025-01-26T23:30:00,2025-01-27T08:30:00,7311,7311,7246,7252,1737935982389,1005466944.5775672,138295.09236805,30
KRW-NEAR,2025-01-26T23:00:00,2025-01-27T08:00:00,7394,7394,7298,7311,1737934183399,1147472962.7466114,156502.06637626,30
KRW-NEAR,2025-01-26T22:30:00,2025-01-27T07:30:00,7391,7432,7380,7393,1737932381396,185575620.6903212,25037.61532686,30
KRW-NEAR,2025-01-26T22:00:00,2025-01-27T07:00:00,7400,7403,7372,7391,1737930591639,287717618.2815784,38969.08564835,30
KRW-NEAR,2025-01-26T21:30:00,2025-01-27T06:30:00,7415,7434,7400,7400,1737928798505,232755082.54053882,31419.06402649,30
KRW-NEAR,2025-01-26T21:00:00,2025-01-27T06:00:00,7458,7458,7410,7414,1737926958856,181306797.31432444,24405.22377565,30
KRW-NEAR,2025-01-26T20:30:00,2025-01-27T05:30:00,7495,7495,7448,7449,1737925183616,144963182.60278323,19396.19358656,30
KRW-NEAR,2025-01-26T20:00:00,2025-01-27T05:00:00,7513,7513,7490,7494,1737923260443,55045948.47587376,7335.41949015,30
KRW-NEAR,2025-01-26T19:30:00,2025-01-27T04:30:00,7490,7514,7490,7513,1737921455944,34329111.86488925,4573.22293169,30
KRW-NEAR,2025-01-26T19:00:00,2025-01-27T04:00:00,7509,7515,7489,7490,1737919725073,109576233.36685416,14606.77623478,30
KRW-NEAR,2025-01-26T18:30:00,2025-01-27T03:30:00,7547,7547,7510,7510,1737917869252,71881942.36079676,9559.94125026,30
KRW-NEAR,2025-01-26T18:00:00,2025-01-27T03:00:00,7520,7548,7510,7545,1737916066422,50210799.83964613,6665.25104535,30
KRW-NEAR,2025-01-26T17:30:00,2025-01-27T02:30:00,7467,7538,7467,7528,1737914341731,61142103.15287623,8139.10776144,30
KRW-NEAR,2025-01-26T17:00:00,2025-01-27T02:00:00,7487,7496,7467,7467,1737912593900,48526147.44699775,6484.13088023,30
KRW-NEAR,2025-01-26T16:30:00,2025-01-27T01:30:00,7496,7508,7485,7487,1737910778689,68852540.23034303,9184.27603087,30
KRW-NEAR,2025-01-26T16:00:00,2025-01-27T01:00:00,7500,7500,7465,7484,1737908978889,181676279.9839475,24286.73469051,30
KRW-NEAR,2025-01-26T15:30:00,2025-01-27T00:30:00,7508,7518,7493,7500,1737907187639,85513933.56875722,11397.59747709,30
KRW-NEAR,2025-01-26T15:00:00,2025-01-27T00:00:00,7529,7529,7501,7508,1737905377138,249187522.96852374,33192.8047259,30
KRW-NEAR,2025-01-26T14:30:00,2025-01-26T23:30:00,7490,7535,7490,7529,1737903592009,114931027.57806195,15280.77113365,30
KRW-NEAR,2025-01-26T14:00:00,2025-01-26T23:00:00,7519,7525,7483,7491,1737901797787,244535367.16059518,32602.90502805,30
KRW-NEAR,2025-01-26T13:30:00,2025-01-26T22:30:00,7540,7540,7517,7519,1737899988713,138465181.79776824,18404.00494355,30
KRW-NEAR,2025-01-26T13:00:00,2025-01-26T22:00:00,7566,7571,7533,7540,1737898199631,170280515.1973478,22546.34649027,30
KRW-NEAR,2025-01-26T12:30:00,2025-01-26T21:30:00,7505,7575,7500,7564,1737896398805,200662109.09901127,26663.632679,30
KRW-NEAR,2025-01-26T12:00:00,2025-01-26T21:00:00,7509,7525,7495,7505,1737894585683,193149777.77409992,25730.06017716,30
KRW-NEAR,2025-01-26T11:30:00,2025-01-26T20:30:00,7534,7572,7493,7509,1737892776902,338622073.0526284,44975.8337792,30
KRW-NEAR,2025-01-26T11:00:00,2025-01-26T20:00:00,7525,7550,7525,7534,1737890993724,120871181.8766038,16045.30598839,30
KRW-NEAR,2025-01-26T10:30:00,2025-01-26T19:30:00,7550,7555,7512,7520,1737889179617,233672010.82641658,31042.61178028,30
KRW-NEAR,2025-01-26T10:00:00,2025-01-26T19:00:00,7535,7573,7524,7550,1737887354671,158666067.19457448,21021.60202586,30
KRW-NEAR,2025-01-26T09:30:00,2025-01-26T18:30:00,7547,7556,7513,7535,1737885553032,368690600.1324515,48930.37264032,30
KRW-NEAR,2025-01-26T09:00:00,2025-01-26T18:00:00,7566,7578,7520,7548,1737883796737,490009500.44487697,64880.96619421,30
KRW-NEAR,2025-01-26T08:30:00,2025-01-26T17:30:00,7660,7680,7550,7566,1737881988209,630124039.0833035,82871.97706596,30
KRW-NEAR,2025-01-26T08:00:00,2025-01-26T17:00:00,7631,7700,7631,7663,1737880192240,718007669.2966793,93542.75161154,30
