market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-NEO,2025-01-27T13:30:00,2025-01-27T22:30:00,20050,20100,20030,20100,1737984807408,11003838.2435616,549.28540585,30
KRW-NEO,2025-01-27T13:00:00,2025-01-27T22:00:00,20000,20130,19860,20120,1737984494525,250085804.0153533,12496.28744634,30
KRW-NEO,2025-01-27T12:30:00,2025-01-27T21:30:00,19640,20140,19620,20020,1737982780831,294393266.0701412,14731.06882522,30
KRW-NEO,2025-01-27T12:00:00,2025-01-27T21:00:00,19690,19840,19580,19580,1737980958814,136564289.5467999,6930.73742491,30
KRW-NEO,2025-01-27T11:30:00,2025-01-27T20:30:00,19730,19810,19660,19700,1737979174667,76893713.285032,3898.33361707,30
KRW-NEO,2025-01-27T11:00:00,2025-01-27T20:00:00,19570,19750,19540,19730,1737977373676,156657541.9857454,7966.54986073,30
KRW-NEO,2025-01-27T10:30:00,2025-01-27T19:30:00,19740,19740,19500,19510,1737975598359,253725519.5915138,12952.24356025,30
KRW-NEO,2025-01-27T10:00:00,2025-01-27T19:00:00,19830,19830,19670,19740,1737973746234,60938648.7146057,3084.64267133,30
KRW-NEO,2025-01-27T09:30:00,2025-01-27T18:30:00,19670,19870,19660,19840,1737971999831,73063740.6849513,3693.2675938,30
KRW-NEO,2025-01-27T09:00:00,2025-01-27T18:00:00,19670,19870,19600,19670,1737970187227,141632643.4708348,7171.05708776,30
KRW-NEO,2025-01-27T08:30:00,2025-01-27T17:30:00,19710,19710,19500,19680,1737968397229,368545290.1180554,18792.11741265,30
KRW-NEO,2025-01-27T08:00:00,2025-01-27T17:00:00,19760,19800,19550,19710,1737966599040,175719876.8995616,8936.60312734,30
KRW-NEO,2025-01-27T07:30:00,2025-01-27T16:30:00,19410,19900,19400,19760,1737964788331,487709817.4638733,24760.55603334,30
KRW-NEO,2025-01-27T07:00:00,2025-01-27T16:00:00,19830,19920,19400,19410,1737962996365,676176921.0909464,34371.62515207,30
KRW-NEO,2025-01-27T06:30:00,2025-01-27T15:30:00,19960,19960,19710,19840,1737961181633,720929853.4128591,36362.51253426,30
KRW-NEO,2025-01-27T06:00:00,2025-01-27T15:00:00,20130,20130,19950,19990,1737959380702,226931098.2909439,11345.98898834,30
KRW-NEO,2025-01-27T05:30:00,2025-01-27T14:30:00,20130,20130,20000,20130,1737957561140,321727547.2879297,16051.55464854,30
KRW-NEO,2025-01-27T05:00:00,2025-01-27T14:00:00,20120,20190,20050,20140,1737955679212,110481918.0449016,5495.73039012,30
KRW-NEO,2025-01-27T04:30:00,2025-01-27T13:30:00,20130,20220,20100,20120,1737953986509,74094040.5220837,3679.36675894,30
KRW-NEO,2025-01-27T04:00:00,2025-01-27T13:00:00,20230,20240,20100,20130,1737952056275,164541096.3731092,8165.28323401,30
KRW-NEO,2025-01-27T03:30:00,2025-01-27T12:30:00,20330,20330,20200,20230,1737950309252,71639920.0782103,3541.2413405,30
KRW-NEO,2025-01-27T03:00:00,2025-01-27T12:00:00,20130,20370,20120,20330,1737948589679,135587579.5987265,6712.35686077,30
KRW-NEO,2025-01-27T02:30:00,2025-01-27T11:30:00,20180,20230,20130,20130,1737946771340,194185714.2272723,9633.71500954,30
KRW-NEO,2025-01-27T02:00:00,2025-01-27T11:00:00,20350,20350,20160,20180,1737944993972,365831218.2697055,18069.23330613,30
KRW-NEO,2025-01-27T01:30:00,2025-01-27T10:30:00,20450,20550,20350,20350,1737943169465,163596166.2030152,8009.31799273,30
KRW-NEO,2025-01-27T01:00:00,2025-01-27T10:00:00,20500,20590,20300,20450,1737941388986,685574515.8866929,33507.47208804,30
KRW-NEO,2025-01-27T00:30:00,2025-01-27T09:30:00,20650,20690,20490,20500,1737939588502,363171364.4905787,17642.76155358,30
KRW-NEO,2025-01-27T00:00:00,2025-01-27T09:00:00,20820,20930,20550,20660,1737937753801,522670378.4580917,25268.02274099,30
KRW-NEO,2025-01-26T23:30:00,2025-01-27T08:30:00,20830,20870,20770,20810,1737935971557,144898025.1022733,6962.75267525,30
KRW-NEO,2025-01-26T23:00:00,2025-01-27T08:00:00,21150,21150,20790,20850,1737934189235,349080415.827072,16687.06995714,30
KRW-NEO,2025-01-26T22:30:00,2025-01-27T07:30:00,21140,21290,21100,21190,1737932327849,81641086.5519693,3850.93039792,30
KRW-NEO,2025-01-26T22:00:00,2025-01-27T07:00:00,21150,21150,21010,21120,1737930482328,104542852.099633,4960.00857618,30
KRW-NEO,2025-01-26T21:30:00,2025-01-27T06:30:00,21280,21280,21140,21190,1737928631989,31531709.0719242,1489.16526223,30
KRW-NEO,2025-01-26T21:00:00,2025-01-27T06:00:00,21230,21300,21180,21280,1737926894221,49773244.9633615,2341.77079394,30
KRW-NEO,2025-01-26T20:30:00,2025-01-27T05:30:00,21360,21360,21200,21220,1737925166696,21214401.8822022,998.62061281,30
KRW-NEO,2025-01-26T20:00:00,2025-01-27T05:00:00,21300,21390,21290,21360,1737923281736,53490890.0302199,2508.36217027,30
KRW-NEO,2025-01-26T19:30:00,2025-01-27T04:30:00,21230,21350,21230,21320,1737921480534,5416413.1839551,254.63275818,30
KRW-NEO,2025-01-26T19:00:00,2025-01-27T04:00:00,21300,21300,21190,21250,1737919796344,21884206.2506003,1031.43796676,30
KRW-NEO,2025-01-26T18:30:00,2025-01-27T03:30:00,21360,21400,21310,21330,1737917997475,4226317.7270629,197.92252055,30
KRW-NEO,2025-01-26T18:00:00,2025-01-27T03:00:00,21270,21420,21240,21390,1737915713446,25565610.8662164,1199.7227975,30
KRW-NEO,2025-01-26T17:30:00,2025-01-27T02:30:00,21110,21350,21110,21270,1737914331503,77393967.2875667,3647.77233993,30
KRW-NEO,2025-01-26T17:00:00,2025-01-27T02:00:00,21200,21230,21120,21160,1737912374098,32975678.182571,1557.17689638,30
KRW-NEO,2025-01-26T16:30:00,2025-01-27T01:30:00,21220,21240,21200,21200,1737910623848,27784616.8889002,1308.87472308,30
KRW-NEO,2025-01-26T16:00:00,2025-01-27T01:00:00,21200,21250,21100,21200,1737908963176,57973234.4814858,2739.64921027,30
KRW-NEO,2025-01-26T15:30:00,2025-01-27T00:30:00,21340,21350,21200,21200,1737907192407,66201104.9051414,3113.34225287,30
KRW-NEO,2025-01-26T15:00:00,2025-01-27T00:00:00,21310,21350,21300,21340,1737905349378,35462990.5580989,1663.18025013,30
KRW-NEO,2025-01-26T14:30:00,2025-01-26T23:30:00,21270,21360,21240,21320,1737903569766,70146274.6481334,3293.87696135,30
KRW-NEO,2025-01-26T14:00:00,2025-01-26T23:00:00,21490,21490,21230,21270,1737901725266,91212296.7690354,4275.60046312,30
KRW-NEO,2025-01-26T13:30:00,2025-01-26T22:30:00,21390,21530,21330,21490,1737899978826,268235004.1136481,12506.26178487,30
KRW-NEO,2025-01-26T13:00:00,2025-01-26T22:00:00,21300,21680,21200,21400,1737898196587,963860089.6341503,44825.43114198,30
KRW-NEO,2025-01-26T12:30:00,2025-01-26T21:30:00,21270,21300,21190,21300,1737896394053,71217715.61144,3351.57524565,30
KRW-NEO,2025-01-26T12:00:00,2025-01-26T21:00:00,21290,21300,21210,21270,1737894596348,32097224.2181122,1510.45332947,30
KRW-NEO,2025-01-26T11:30:00,2025-01-26T20:30:00,21200,21280,21190,21280,1737892698196,47760273.9196023,2247.67826537,30
KRW-NEO,2025-01-26T11:00:00,2025-01-26T20:00:00,21250,21310,21190,21230,1737890974120,78914094.9491131,3713.85184931,30
KRW-NEO,2025-01-26T10:30:00,2025-01-26T19:30:00,21230,21230,21120,21230,1737889116432,74715324.2947587,3530.87633385,30
KRW-NEO,2025-01-26T10:00:00,2025-01-26T19:00:00,21150,21250,21090,21230,1737887398639,51244042.0696093,2420.83691667,30
KRW-NEO,2025-01-26T09:30:00,2025-01-26T18:30:00,21260,21260,21080,21130,1737885566602,258133479.7963656,12206.78937769,30
KRW-NEO,2025-01-26T09:00:00,2025-01-26T18:00:00,21430,21440,21200,21220,1737883772433,118478858.6596242,5564.37431923,30
KRW-NEO,2025-01-26T08:30:00,2025-01-26T17:30:00,21410,21450,21360,21390,1737881723569,69987113.5407193,3269.46569093,30
KRW-NEO,2025-01-26T08:00:00,2025-01-26T17:00:00,21450,21540,21400,21400,1737880009179,60852373.6531975,2832.58307172,30
KRW-NEO,2025-01-26T07:30:00,2025-01-26T16:30:00,21450,21470,21390,21470,1737878367106,84682036.377524,3952.06567928,30
KRW-NEO,2025-01-26T07:00:00,2025-01-26T16:00:00,21450,21490,21430,21450,1737876585775,63554374.1740828,2961.62879646,30
KRW-NEO,2025-01-26T06:30:00,2025-01-26T15:30:00,21380,21440,21330,21430,1737874780932,115030717.8363274,5385.21893037,30
KRW-NEO,2025-01-26T06:00:00,2025-01-26T15:00:00,21540,21540,21350,21380,1737872971743,126151794.9447764,5887.94640581,30
KRW-NEO,2025-01-26T05:30:00,2025-01-26T14:30:00,21470,21570,21410,21540,1737871199671,82123906.8106171,3819.7222075,30
KRW-NEO,2025-01-26T05:00:00,2025-01-26T14:00:00,21510,21530,21410,21450,1737869327116,119692712.0600315,5581.42894731,30
KRW-NEO,2025-01-26T04:30:00,2025-01-26T13:30:00,21540,21600,21440,21530,1737867558184,180520655.8952686,8399.42134318,30
KRW-NEO,2025-01-26T04:00:00,2025-01-26T13:00:00,21390,21560,21350,21540,1737865793854,290647602.8381758,13524.0874297,30
KRW-NEO,2025-01-26T03:30:00,2025-01-26T12:30:00,21280,21450,21240,21350,1737863985224,114125338.1251692,5337.75418791,30
