market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ONDO,2025-01-27T13:30:00,2025-01-27T22:30:00,2007,2016,2003,2013,1737984829273,495031570.9018245,246462.11386205,30
KRW-ONDO,2025-01-27T13:00:00,2025-01-27T22:00:00,2009,2030,1989,2006,1737984592960,7253589712.879111,3605374.79317684,30
KRW-ONDO,2025-01-27T12:30:00,2025-01-27T21:30:00,1958,2031,1957,2010,1737982795819,6368566884.833893,3189517.22824237,30
KRW-ONDO,2025-01-27T12:00:00,2025-01-27T21:00:00,1967,1980,1956,1962,1737980999144,4357571758.862114,2217828.06684254,30
KRW-ONDO,2025-01-27T11:30:00,2025-01-27T20:30:00,1987,1988,1966,1968,1737979199436,5209266243.006552,2635586.77613628,30
KRW-ONDO,2025-01-27T11:00:00,2025-01-27T20:00:00,1969,2000,1968,1988,1737977393572,3748417819.441172,1890633.16482444,30
KRW-ONDO,2025-01-27T10:30:00,2025-01-27T19:30:00,2000,2002,1968,1969,1737975599825,4860277407.642449,2454302.26489466,30
KRW-ONDO,2025-01-27T10:00:00,2025-01-27T19:00:00,2008,2012,1999,2002,1737973796138,1076777722.0817103,537496.66134749,30
KRW-ONDO,2025-01-27T09:30:00,2025-01-27T18:30:00,1990,2012,1990,2011,1737971999174,1977410062.780347,988573.33000734,30
KRW-ONDO,2025-01-27T09:00:00,2025-01-27T18:00:00,1995,2008,1988,1990,1737970199969,2668798822.5731797,1335550.9942191,30
KRW-ONDO,2025-01-27T08:30:00,2025-01-27T17:30:00,2005,2006,1976,1996,1737968399013,3926519927.724962,1974889.10989119,30
KRW-ONDO,2025-01-27T08:00:00,2025-01-27T17:00:00,2009,2019,1987,2006,1737966596029,3855835710.375929,1928526.36793768,30
KRW-ONDO,2025-01-27T07:30:00,2025-01-27T16:30:00,1966,2021,1965,2009,1737964798364,7413457764.088712,3705397.40819339,30
KRW-ONDO,2025-01-27T07:00:00,2025-01-27T16:00:00,1985,2017,1965,1966,1737963000017,7900656303.465574,3971278.6196462,30
KRW-ONDO,2025-01-27T06:30:00,2025-01-27T15:30:00,2000,2003,1971,1983,1737961197289,6512532918.343718,3283448.81957124,30
KRW-ONDO,2025-01-27T06:00:00,2025-01-27T15:00:00,2000,2013,1994,2000,1737959397589,2956006827.1527534,1476148.41296225,30
KRW-ONDO,2025-01-27T05:30:00,2025-01-27T14:30:00,2000,2007,1979,1998,1737957599373,6283891482.279479,3157051.27812419,30
KRW-ONDO,2025-01-27T05:00:00,2025-01-27T14:00:00,2001,2012,1996,1998,1737955797572,3217358916.4029336,1607467.38930656,30
KRW-ONDO,2025-01-27T04:30:00,2025-01-27T13:30:00,2009,2012,2000,2001,1737953999594,3108757585.9688134,1551717.24726742,30
KRW-ONDO,2025-01-27T04:00:00,2025-01-27T13:00:00,2020,2025,2001,2009,1737952197653,3193580230.8223906,1590177.12583772,30
KRW-ONDO,2025-01-27T03:30:00,2025-01-27T12:30:00,2029,2029,2011,2020,1737950397508,1903485986.1454775,942161.87917741,30
KRW-ONDO,2025-01-27T03:00:00,2025-01-27T12:00:00,2011,2042,2002,2029,1737948599079,4030675854.192829,1990890.1208408,30
