market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ONG,2025-01-27T13:30:00,2025-01-27T22:30:00,449.5,450.1,448.6,450.1,1737984780480,2036788.9579171,4530.19075847,30
KRW-ONG,2025-01-27T13:00:00,2025-01-27T22:00:00,447.8,450.8,444.4,449.5,1737984588491,26208475.30649923,58543.23348347,30
KRW-ONG,2025-01-27T12:30:00,2025-01-27T21:30:00,437.6,450,437.6,447.7,1737982790406,44611173.35917522,99873.49676442,30
KRW-ONG,2025-01-27T12:00:00,2025-01-27T21:00:00,439,441.5,437.1,438,1737980995696,13557491.93972446,30902.19373425,30
KRW-ONG,2025-01-27T11:30:00,2025-01-27T20:30:00,441.2,442,439,439,1737979195089,7570570.49983304,17187.80492032,30
KRW-ONG,2025-01-27T11:00:00,2025-01-27T20:00:00,436.3,441.4,436,440.4,1737977143492,12051923.26602923,27488.70856753,30
KRW-ONG,2025-01-27T10:30:00,2025-01-27T19:30:00,439.2,439.2,434.8,435.4,1737975446085,42272065.56146115,96551.01329221,30
KRW-ONG,2025-01-27T10:00:00,2025-01-27T19:00:00,441.4,441.8,439.2,439.2,1737973714418,27360802.94739839,62070.13788119,30
KRW-ONG,2025-01-27T09:30:00,2025-01-27T18:30:00,438.3,441.7,438,441.4,1737971773939,6479895.47033115,14717.75669101,30
KRW-ONG,2025-01-27T09:00:00,2025-01-27T18:00:00,436,442.9,435.8,438.3,1737970185691,30207009.13143282,68814.43915927,30
KRW-ONG,2025-01-27T08:30:00,2025-01-27T17:30:00,439.9,439.9,433.4,435.8,1737968322359,92440286.29354689,212561.16022923,30
KRW-ONG,2025-01-27T08:00:00,2025-01-27T17:00:00,443,443,436.6,440,1737966593248,71847549.94085503,163312.53724418,30
KRW-ONG,2025-01-27T07:30:00,2025-01-27T16:30:00,433.8,444.5,432.8,443.5,1737964782743,106201688.24675202,241354.64574156,30
KRW-ONG,2025-01-27T07:00:00,2025-01-27T16:00:00,442.6,444.9,433.9,433.9,1737962992193,167699130.50288048,381374.08039924,30
KRW-ONG,2025-01-27T06:30:00,2025-01-27T15:30:00,446.9,447.2,441,442.6,1737961182143,179668459.79691294,404990.49577817,30
KRW-ONG,2025-01-27T06:00:00,2025-01-27T15:00:00,451.4,452.8,446.6,447,1737959397192,83457065.39383182,186046.3655399,30
KRW-ONG,2025-01-27T05:30:00,2025-01-27T14:30:00,452.8,454.5,449.2,451.4,1737957546781,129667860.38409264,287900.65963208,30
KRW-ONG,2025-01-27T05:00:00,2025-01-27T14:00:00,454,454.3,452.9,453.8,1737955774178,27163301.18464029,59855.02991793,30
