market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ONT,2025-01-27T13:30:00,2025-01-27T22:30:00,329.1,330.3,328,330.3,1737984772762,5451983.4384968,16576.90118668,30
KRW-ONT,2025-01-27T13:00:00,2025-01-27T22:00:00,327.4,330.4,325.5,328.5,1737984565330,68823939.4322624,209639.06151394,30
KRW-ONT,2025-01-27T12:30:00,2025-01-27T21:30:00,321.7,330,320.6,327.5,1737982775196,102939668.67128105,316441.70263503,30
KRW-ONT,2025-01-27T12:00:00,2025-01-27T21:00:00,322.7,324.6,320.1,321.7,1737980999137,119560531.21326353,371595.07928437,30
KRW-ONT,2025-01-27T11:30:00,2025-01-27T20:30:00,324.3,325.5,322.2,322.7,1737979178576,60964026.92522252,188172.51775025,30
KRW-ONT,2025-01-27T11:00:00,2025-01-27T20:00:00,321.3,325.5,321,324.3,1737977320338,103964877.48753157,321468.99596369,30
KRW-ONT,2025-01-27T10:30:00,2025-01-27T19:30:00,324.3,324.6,320.2,321,1737975595187,54970519.30122229,170628.48458932,30
KRW-ONT,2025-01-27T10:00:00,2025-01-27T19:00:00,323.7,325.1,322.5,324.7,1737973750464,45799245.73185746,141499.75186599,30
KRW-ONT,2025-01-27T09:30:00,2025-01-27T18:30:00,321.5,324.5,321.2,324.5,1737971998834,24735709.21998469,76462.51054496,30
KRW-ONT,2025-01-27T09:00:00,2025-01-27T18:00:00,320.5,324.4,320.4,321.5,1737970186014,35067879.10424282,108725.72776851,30
KRW-ONT,2025-01-27T08:30:00,2025-01-27T17:30:00,322.9,322.9,319.5,321.2,1737968391301,109115646.25791705,340402.25882145,30
KRW-ONT,2025-01-27T08:00:00,2025-01-27T17:00:00,324.6,324.7,321.2,322.3,1737966573558,85406837.3409316,264441.369488,30
KRW-ONT,2025-01-27T07:30:00,2025-01-27T16:30:00,316.7,325.9,316.7,324.8,1737964774569,136720202.70863703,425552.04997928,30
KRW-ONT,2025-01-27T07:00:00,2025-01-27T16:00:00,322.3,327.6,316.6,316.7,1737962996902,316218937.08369654,984441.79751335,30
KRW-ONT,2025-01-27T06:30:00,2025-01-27T15:30:00,325,325.4,321.4,322.5,1737961180289,152815944.6767623,473009.67494837,30
KRW-ONT,2025-01-27T06:00:00,2025-01-27T15:00:00,331.2,332.5,325,325,1737959398348,102308367.92670143,312188.90041276,30
KRW-ONT,2025-01-27T05:30:00,2025-01-27T14:30:00,328,331.2,326.1,331.2,1737957521840,81184049.44662488,248103.5463174,30
KRW-ONT,2025-01-27T05:00:00,2025-01-27T14:00:00,328.1,330.4,326.2,328.6,1737955726337,27287711.03938,83225.03888929,30
KRW-ONT,2025-01-27T04:30:00,2025-01-27T13:30:00,326.8,329.9,326.2,328.1,1737953983178,42066531.0339309,128405.92327664,30
KRW-ONT,2025-01-27T04:00:00,2025-01-27T13:00:00,328.3,328.6,326.4,326.9,1737952190102,60734573.01225823,185669.50173539,30
KRW-ONT,2025-01-27T03:30:00,2025-01-27T12:30:00,329.4,329.9,327.6,327.6,1737950162124,38603292.62558456,117534.02809557,30
KRW-ONT,2025-01-27T03:00:00,2025-01-27T12:00:00,325.2,330.2,325.1,329.7,1737948598038,57888480.61648849,177241.49222502,30
KRW-ONT,2025-01-27T02:30:00,2025-01-27T11:30:00,326.6,327.1,325,325.6,1737946783551,77041336.18460087,236393.09286569,30
KRW-ONT,2025-01-27T02:00:00,2025-01-27T11:00:00,328.7,328.8,325,326.6,1737944991706,160252326.40548888,489705.19141184,30
KRW-ONT,2025-01-27T01:30:00,2025-01-27T10:30:00,329.3,331.2,328.5,328.8,1737943184059,82889007.86822966,251451.80122072,30
KRW-ONT,2025-01-27T01:00:00,2025-01-27T10:00:00,332.5,333.1,328.2,329.2,1737941392565,212478678.86992276,642767.39832538,30
KRW-ONT,2025-01-27T00:30:00,2025-01-27T09:30:00,335.9,336.1,331,332.5,1737939558731,296318675.6959715,888386.99523829,30
KRW-ONT,2025-01-27T00:00:00,2025-01-27T09:00:00,338,339.2,332.9,336,1737937768155,502758643.7204905,1496211.3925282,30
KRW-ONT,2025-01-26T23:30:00,2025-01-27T08:30:00,338.6,338.7,336.3,338,1737935999563,163430330.99733567,484255.07773231,30
KRW-ONT,2025-01-26T23:00:00,2025-01-27T08:00:00,341.4,341.4,336.8,338.6,1737934185757,175956672.7028168,519024.66100734,30
KRW-ONT,2025-01-26T22:30:00,2025-01-27T07:30:00,342.5,343.4,340.2,341.3,1737932391609,63992863.11599906,187405.10393758,30
KRW-ONT,2025-01-26T22:00:00,2025-01-27T07:00:00,341.6,343,340.5,342.6,1737930598170,99348089.17995878,290669.24184514,30
KRW-ONT,2025-01-26T21:30:00,2025-01-27T06:30:00,342.7,343,341.2,341.8,1737928793993,70848894.22860841,207262.54338788,30
KRW-ONT,2025-01-26T21:00:00,2025-01-27T06:00:00,342.5,343,341,342.7,1737926878274,56870579.97091826,166253.23835166,30
KRW-ONT,2025-01-26T20:30:00,2025-01-27T05:30:00,343.7,344,342.5,343.1,1737925142367,13241630.17122753,38602.50063077,30
KRW-ONT,2025-01-26T20:00:00,2025-01-27T05:00:00,342.7,344.4,341.7,343.7,1737923185704,20237233.2225575,58962.78459106,30
KRW-ONT,2025-01-26T19:30:00,2025-01-27T04:30:00,343,344,341.6,342.7,1737921590820,73536530.72299048,214376.49906777,30
KRW-ONT,2025-01-26T19:00:00,2025-01-27T04:00:00,343.8,345.2,343,343,1737919795441,31357182.31387917,91086.308559,30
KRW-ONT,2025-01-26T18:30:00,2025-01-27T03:30:00,343.1,344,341.9,343.7,1737917991708,58870095.84146797,171475.23697712,30
KRW-ONT,2025-01-26T18:00:00,2025-01-27T03:00:00,342,343.2,341.5,343,1737916156834,23123760.32496194,67565.21192011,30
KRW-ONT,2025-01-26T17:30:00,2025-01-27T02:30:00,340.6,342.3,340.1,341.6,1737914333889,24092233.7976543,70719.69656256,30
KRW-ONT,2025-01-26T17:00:00,2025-01-27T02:00:00,341.7,341.7,339.8,339.8,1737912586189,33894401.69170904,99563.72763141,30
KRW-ONT,2025-01-26T16:30:00,2025-01-27T01:30:00,341,342,340.7,341.7,1737910781887,45171517.24834383,132320.13161827,30
KRW-ONT,2025-01-26T16:00:00,2025-01-27T01:00:00,339.9,340.8,338.2,340.8,1737908994402,142947605.29069823,421163.6609677,30
KRW-ONT,2025-01-26T15:30:00,2025-01-27T00:30:00,339.5,341,339.2,340.5,1737907174364,137718980.4559608,405277.96391352,30
KRW-ONT,2025-01-26T15:00:00,2025-01-27T00:00:00,342,342.2,339,340.4,1737905393902,172501990.65940237,506453.68377341,30
KRW-ONT,2025-01-26T14:30:00,2025-01-26T23:30:00,342,343.2,341.1,342.8,1737903582429,281383004.46053594,821910.94421724,30
KRW-ONT,2025-01-26T14:00:00,2025-01-26T23:00:00,345.6,346.2,340.2,342,1737901788319,716627571.9837847,2091166.22794712,30
KRW-ONT,2025-01-26T13:30:00,2025-01-26T22:30:00,344.6,347.2,343.4,345.5,1737899984315,1082275020.3828764,3140738.06840386,30
KRW-ONT,2025-01-26T13:00:00,2025-01-26T22:00:00,344.3,380.4,343.2,345.3,1737898199462,14586498086.774647,40101264.13773476,30
KRW-ONT,2025-01-26T12:30:00,2025-01-26T21:30:00,343,344.3,342.2,344.3,1737896399829,42352314.84659655,123428.47733305,30
KRW-ONT,2025-01-26T12:00:00,2025-01-26T21:00:00,343.3,345.1,342.6,343.5,1737894565231,69428896.50042728,201802.77442763,30
KRW-ONT,2025-01-26T11:30:00,2025-01-26T20:30:00,342.2,348,342,344.4,1737892792779,416657956.6548846,1208048.0729764,30
KRW-ONT,2025-01-26T11:00:00,2025-01-26T20:00:00,343.4,343.8,341.9,342.1,1737890990012,26159363.82486276,76257.32764837,30
KRW-ONT,2025-01-26T10:30:00,2025-01-26T19:30:00,341.2,343.2,340.1,342.8,1737889177976,57586909.69333231,168711.40282448,30
KRW-ONT,2025-01-26T10:00:00,2025-01-26T19:00:00,339.5,341.3,339.5,341.2,1737887393372,8383949.2342053,24639.08795172,30
KRW-ONT,2025-01-26T09:30:00,2025-01-26T18:30:00,339.4,339.5,338,339.5,1737885597685,63590669.37875012,187768.00177352,30
KRW-ONT,2025-01-26T09:00:00,2025-01-26T18:00:00,343.9,344.4,336.7,339.2,1737883799703,160630712.9381767,472618.65515708,30
KRW-ONT,2025-01-26T08:30:00,2025-01-26T17:30:00,342.6,344.6,340.5,343.9,1737881943567,42780550.89979726,125172.19998629,30
KRW-ONT,2025-01-26T08:00:00,2025-01-26T17:00:00,343.4,344,341.6,342,1737879961129,56055899.79283558,163356.55379306,30
KRW-ONT,2025-01-26T07:30:00,2025-01-26T16:30:00,342.9,343.4,341.9,343.4,1737878375251,51164629.15494619,149369.4623113,30
KRW-ONT,2025-01-26T07:00:00,2025-01-26T16:00:00,344.3,344.7,342.9,342.9,1737876589722,49499390.70115335,143863.79685158,30
