market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-ORBS,2025-01-27T13:30:00,2025-01-27T22:30:00,39.73,39.73,39.72,39.72,1737984782465,442524.01987473,11141.05641683,30
KRW-ORBS,2025-01-27T13:00:00,2025-01-27T22:00:00,39.85,39.99,39.7,39.73,1737984550779,64845368.53522438,1627263.81146315,30
KRW-ORBS,2025-01-27T12:30:00,2025-01-27T21:30:00,39.57,40.13,39.5,39.85,1737982734568,51542788.43222428,1300481.74649076,30
KRW-ORBS,2025-01-27T12:00:00,2025-01-27T21:00:00,39.46,39.7,39.45,39.57,1737980986834,12937610.41396915,327089.48381041,30
KRW-ORBS,2025-01-27T11:30:00,2025-01-27T20:30:00,39.29,39.48,39.29,39.45,1737979194361,10563668.90060717,267930.2886133,30
KRW-ORBS,2025-01-27T11:00:00,2025-01-27T20:00:00,39.51,39.83,39.22,39.29,1737977370464,44201850.71821912,1121111.12607793,30
KRW-ORBS,2025-01-27T10:30:00,2025-01-27T19:30:00,39.66,39.69,39.38,39.43,1737975345201,48361102.16448396,1219684.79400443,30
KRW-ORBS,2025-01-27T10:00:00,2025-01-27T19:00:00,39.73,39.79,39.66,39.68,1737973276379,18757789.5742669,472784.22337215,30
KRW-ORBS,2025-01-27T09:30:00,2025-01-27T18:30:00,39.77,39.87,39.55,39.75,1737971982057,10880365.89527271,274062.08970022,30
KRW-ORBS,2025-01-27T09:00:00,2025-01-27T18:00:00,39.49,39.91,39.49,39.66,1737970195303,25565161.22464067,644175.40041269,30
KRW-ORBS,2025-01-27T08:30:00,2025-01-27T17:30:00,39.66,39.77,39.2,39.41,1737968049802,25164070.00223458,640337.74618137,30
KRW-ORBS,2025-01-27T08:00:00,2025-01-27T17:00:00,39.78,39.91,39.26,39.74,1737966521882,83468582.02041467,2113726.53203451,30
KRW-ORBS,2025-01-27T07:30:00,2025-01-27T16:30:00,39,40.05,38.97,39.82,1737964747480,134180028.16003858,3402723.71024393,30
KRW-ORBS,2025-01-27T07:00:00,2025-01-27T16:00:00,39.63,39.63,39,39,1737963000022,130866767.48740809,3340596.87447413,30
KRW-ORBS,2025-01-27T06:30:00,2025-01-27T15:30:00,39.74,39.83,39.34,39.48,1737961186353,99387408.1917932,2513168.26439229,30
KRW-ORBS,2025-01-27T06:00:00,2025-01-27T15:00:00,39.97,40.1,39.67,39.76,1737959394642,36517028.14657042,915820.72327753,30
KRW-ORBS,2025-01-27T05:30:00,2025-01-27T14:30:00,40.09,40.09,39.65,39.95,1737957531098,67212304.89918748,1690660.54850022,30
KRW-ORBS,2025-01-27T05:00:00,2025-01-27T14:00:00,40.08,40.12,39.93,39.93,1737955546596,15677824.32191576,391945.00683101,30
KRW-ORBS,2025-01-27T04:30:00,2025-01-27T13:30:00,40.1,40.24,40.1,40.16,1737953909074,9558980.32248509,237807.65891933,30
KRW-ORBS,2025-01-27T04:00:00,2025-01-27T13:00:00,40.18,40.22,40.05,40.11,1737952176936,14389750.4462107,358645.50340817,30
KRW-ORBS,2025-01-27T03:30:00,2025-01-27T12:30:00,40.24,40.38,40.14,40.31,1737950364665,8467289.25205508,210564.2671763,30
KRW-ORBS,2025-01-27T03:00:00,2025-01-27T12:00:00,39.93,40.26,39.93,40.24,1737948466600,14425519.12919232,360333.58306282,30
KRW-ORBS,2025-01-27T02:30:00,2025-01-27T11:30:00,40.1,40.1,39.91,39.98,1737946648236,21711338.32980574,542902.10597535,30
KRW-ORBS,2025-01-27T02:00:00,2025-01-27T11:00:00,40.16,40.38,39.95,40.1,1737944967595,76156288.79235286,1898894.15552988,30
KRW-ORBS,2025-01-27T01:30:00,2025-01-27T10:30:00,40.43,40.55,40.17,40.18,1737943070387,64964829.06205128,1611444.0968216,30
KRW-ORBS,2025-01-27T01:00:00,2025-01-27T10:00:00,40.62,40.75,40.2,40.44,1737941395238,55479668.40602752,1371453.83269647,30
KRW-ORBS,2025-01-27T00:30:00,2025-01-27T09:30:00,40.88,40.96,40.5,40.65,1737939580374,251109666.22270584,6161943.90336213,30
KRW-ORBS,2025-01-27T00:00:00,2025-01-27T09:00:00,40.88,41.1,40.55,40.81,1737937789866,73298139.96225028,1799774.00634475,30
KRW-ORBS,2025-01-26T23:30:00,2025-01-27T08:30:00,41.04,41.04,40.42,40.88,1737936000002,107402984.04059479,2634497.21492831,30
KRW-ORBS,2025-01-26T23:00:00,2025-01-27T08:00:00,41.62,41.62,40.4,41.05,1737934193671,195743524.99356195,4760393.34024865,30
