market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-PENDLE,2025-01-27T13:30:00,2025-01-27T22:30:00,5343,5354,5320,5354,1737984822937,1966343.63878536,368.32856205,30
KRW-PENDLE,2025-01-27T13:00:00,2025-01-27T22:00:00,5304,5438,5281,5329,1737984564767,275431205.1432515,51437.02087995,30
KRW-PENDLE,2025-01-27T12:30:00,2025-01-27T21:30:00,5143,5362,5143,5301,1737982790326,266435878.1489334,50458.67950085,30
KRW-PENDLE,2025-01-27T12:00:00,2025-01-27T21:00:00,5122,5181,5120,5143,1737980988842,103268855.32513171,20050.28045712,30
KRW-PENDLE,2025-01-27T11:30:00,2025-01-27T20:30:00,5155,5172,5121,5121,1737979199056,82158115.08691207,15962.78682789,30
KRW-PENDLE,2025-01-27T11:00:00,2025-01-27T20:00:00,5189,5202,5137,5155,1737977395636,127402895.37428685,24668.75826768,30
KRW-PENDLE,2025-01-27T10:30:00,2025-01-27T19:30:00,5225,5225,5181,5184,1737975486709,126277335.21759768,24293.28020291,30
KRW-PENDLE,2025-01-27T10:00:00,2025-01-27T19:00:00,5281,5281,5225,5225,1737973658193,109407026.4024381,20894.31446235,30
KRW-PENDLE,2025-01-27T09:30:00,2025-01-27T18:30:00,5194,5305,5184,5289,1737971992649,120679979.81086229,22945.47876113,30
KRW-PENDLE,2025-01-27T09:00:00,2025-01-27T18:00:00,5152,5238,5127,5193,1737970198279,77525555.34613913,14886.11639068,30
KRW-PENDLE,2025-01-27T08:30:00,2025-01-27T17:30:00,5156,5169,5089,5152,1737968329970,170554672.15039632,33327.30255142,30
KRW-PENDLE,2025-01-27T08:00:00,2025-01-27T17:00:00,5195,5195,5131,5166,1737966537181,128023464.75286053,24822.21051808,30
KRW-PENDLE,2025-01-27T07:30:00,2025-01-27T16:30:00,5113,5248,5100,5190,1737964790961,315671954.2893319,61260.60621871,30
KRW-PENDLE,2025-01-27T07:00:00,2025-01-27T16:00:00,5198,5289,5113,5115,1737962999267,336343258.07411546,64902.6175243,30
KRW-PENDLE,2025-01-27T06:30:00,2025-01-27T15:30:00,5231,5238,5163,5200,1737961186612,430698149.65372616,82780.41861951,30
KRW-PENDLE,2025-01-27T06:00:00,2025-01-27T15:00:00,5261,5299,5229,5230,1737959386403,125786929.220645,23970.02946174,30
KRW-PENDLE,2025-01-27T05:30:00,2025-01-27T14:30:00,5303,5304,5237,5260,1737957596409,180832156.92199337,34397.69856596,30
KRW-PENDLE,2025-01-27T05:00:00,2025-01-27T14:00:00,5299,5342,5269,5303,1737955722129,171727068.08131868,32378.12049213,30
KRW-PENDLE,2025-01-27T04:30:00,2025-01-27T13:30:00,5305,5328,5295,5295,1737953998345,80376750.44969478,15141.43751691,30
KRW-PENDLE,2025-01-27T04:00:00,2025-01-27T13:00:00,5354,5354,5300,5305,1737952199013,74861409.31301764,14076.09354014,30
KRW-PENDLE,2025-01-27T03:30:00,2025-01-27T12:30:00,5364,5383,5340,5351,1737950208120,89049706.02633874,16599.57182496,30
KRW-PENDLE,2025-01-27T03:00:00,2025-01-27T12:00:00,5290,5388,5285,5370,1737948477911,97894132.81149557,18357.65995472,30
KRW-PENDLE,2025-01-27T02:30:00,2025-01-27T11:30:00,5330,5331,5285,5290,1737946798371,152061041.7982162,28660.23681206,30
KRW-PENDLE,2025-01-27T02:00:00,2025-01-27T11:00:00,5370,5385,5314,5330,1737944986466,353285942.79728734,66098.87145302,30
KRW-PENDLE,2025-01-27T01:30:00,2025-01-27T10:30:00,5375,5421,5365,5366,1737943191455,109341011.6141982,20280.10631602,30
KRW-PENDLE,2025-01-27T01:00:00,2025-01-27T10:00:00,5435,5458,5360,5364,1737941371998,437274823.2911786,81122.66149943,30
KRW-PENDLE,2025-01-27T00:30:00,2025-01-27T09:30:00,5477,5500,5429,5435,1737939595276,266195916.82221237,48745.94331223,30
KRW-PENDLE,2025-01-27T00:00:00,2025-01-27T09:00:00,5589,5627,5467,5477,1737937800012,534235403.28752327,96378.72242965,30
KRW-PENDLE,2025-01-26T23:30:00,2025-01-27T08:30:00,5625,5627,5579,5580,1737935999451,324125648.55276203,57923.09431127,30
KRW-PENDLE,2025-01-26T23:00:00,2025-01-27T08:00:00,5708,5708,5611,5625,1737934185646,250264143.80594733,44242.6585664,30
KRW-PENDLE,2025-01-26T22:30:00,2025-01-27T07:30:00,5697,5751,5678,5723,1737932390526,88392106.01500437,15493.8380403,30
KRW-PENDLE,2025-01-26T22:00:00,2025-01-27T07:00:00,5690,5697,5654,5697,1737930488558,102176196.94678862,18001.18991665,30
KRW-PENDLE,2025-01-26T21:30:00,2025-01-27T06:30:00,5737,5758,5682,5682,1737928777354,85674857.62198065,14995.33705088,30
KRW-PENDLE,2025-01-26T21:00:00,2025-01-27T06:00:00,5761,5761,5720,5736,1737926984025,66764111.09761537,11641.64504167,30
KRW-PENDLE,2025-01-26T20:30:00,2025-01-27T05:30:00,5801,5801,5751,5761,1737925132593,30090710.58257472,5212.18378018,30
KRW-PENDLE,2025-01-26T20:00:00,2025-01-27T05:00:00,5790,5830,5790,5814,1737923225060,52186652.78394328,8987.94132012,30
KRW-PENDLE,2025-01-26T19:30:00,2025-01-27T04:30:00,5792,5800,5780,5790,1737921582671,25231712.63518945,4355.87359683,30
KRW-PENDLE,2025-01-26T19:00:00,2025-01-27T04:00:00,5808,5824,5785,5792,1737919732800,24567229.66952952,4229.61494042,30
KRW-PENDLE,2025-01-26T18:30:00,2025-01-27T03:30:00,5840,5840,5806,5836,1737917601714,39152518.49020831,6722.85428877,30
KRW-PENDLE,2025-01-26T18:00:00,2025-01-27T03:00:00,5835,5852,5805,5841,1737916091087,55825242.7425177,9579.6962109,30
KRW-PENDLE,2025-01-26T17:30:00,2025-01-27T02:30:00,5788,5868,5770,5845,1737914330029,97837824.5427989,16783.01676062,30
KRW-PENDLE,2025-01-26T17:00:00,2025-01-27T02:00:00,5811,5819,5771,5785,1737912598919,155485321.68473464,26799.77760971,30
KRW-PENDLE,2025-01-26T16:30:00,2025-01-27T01:30:00,5794,5810,5769,5810,1737910793721,154514778.23959178,26677.38542471,30
KRW-PENDLE,2025-01-26T16:00:00,2025-01-27T01:00:00,5810,5828,5748,5808,1737908983427,263931359.24556148,45611.10981353,30
KRW-PENDLE,2025-01-26T15:30:00,2025-01-27T00:30:00,5802,5834,5797,5807,1737907183906,318087423.44342214,54712.21198401,30
KRW-PENDLE,2025-01-26T15:00:00,2025-01-27T00:00:00,5780,5830,5775,5805,1737905395927,446556385.4025634,76836.09376013,30
KRW-PENDLE,2025-01-26T14:30:00,2025-01-26T23:30:00,5834,5886,5700,5776,1737903594982,3143000769.031336,543708.98902299,30
KRW-PENDLE,2025-01-26T14:00:00,2025-01-26T23:00:00,5699,6222,5699,5833,1737901799796,7692414296.105418,1286068.70232941,30
KRW-PENDLE,2025-01-26T13:30:00,2025-01-26T22:30:00,5685,5718,5675,5699,1737899963200,160707431.26683247,28239.95314352,30
KRW-PENDLE,2025-01-26T13:00:00,2025-01-26T22:00:00,5678,5763,5678,5685,1737898189796,477535861.04981184,83516.37683234,30
KRW-PENDLE,2025-01-26T12:30:00,2025-01-26T21:30:00,5639,5684,5619,5678,1737896370964,166571596.15633482,29461.49078991,30
KRW-PENDLE,2025-01-26T12:00:00,2025-01-26T21:00:00,5604,5645,5600,5640,1737894525401,65141383.50675295,11596.99335421,30
KRW-PENDLE,2025-01-26T11:30:00,2025-01-26T20:30:00,5612,5633,5586,5604,1737892792055,50067015.86199107,8918.47009613,30
KRW-PENDLE,2025-01-26T11:00:00,2025-01-26T20:00:00,5618,5647,5579,5612,1737890992963,74896929.72419041,13370.19567559,30
KRW-PENDLE,2025-01-26T10:30:00,2025-01-26T19:30:00,5643,5643,5592,5609,1737889156031,86322200.11471175,15408.7332171,30
KRW-PENDLE,2025-01-26T10:00:00,2025-01-26T19:00:00,5597,5661,5593,5643,1737887299048,27128008.61192387,4814.33228971,30
KRW-PENDLE,2025-01-26T09:30:00,2025-01-26T18:30:00,5618,5618,5575,5592,1737885493060,50406048.55953983,9013.47017824,30
KRW-PENDLE,2025-01-26T09:00:00,2025-01-26T18:00:00,5656,5661,5607,5612,1737883794910,68064253.75111975,12079.12486446,30
KRW-PENDLE,2025-01-26T08:30:00,2025-01-26T17:30:00,5633,5666,5628,5651,1737881969038,37783252.9049805,6692.62410693,30
KRW-PENDLE,2025-01-26T08:00:00,2025-01-26T17:00:00,5621,5644,5606,5621,1737880077232,64011682.21348345,11380.74115349,30
KRW-PENDLE,2025-01-26T07:30:00,2025-01-26T16:30:00,5634,5641,5593,5621,1737878339005,115479360.2302506,20581.44644951,30
KRW-PENDLE,2025-01-26T07:00:00,2025-01-26T16:00:00,5625,5656,5598,5634,1737876598066,156076525.26564562,27745.93553806,30
KRW-PENDLE,2025-01-26T06:30:00,2025-01-26T15:30:00,5651,5667,5609,5625,1737874796271,247077465.46054173,43907.32821868,30
KRW-PENDLE,2025-01-26T06:00:00,2025-01-26T15:00:00,5681,5691,5636,5641,1737872945016,149167367.94711706,26364.86980341,30
KRW-PENDLE,2025-01-26T05:30:00,2025-01-26T14:30:00,5707,5707,5650,5681,1737871193474,137741877.42980438,24319.29505901,30
