market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-PEPE,2025-01-27T13:30:00,2025-01-27T22:30:00,0.01962,0.01977,0.01956,0.01974,1737984809043,128135263.9855087,6526314781.057718,30
KRW-PEPE,2025-01-27T13:00:00,2025-01-27T22:00:00,0.0197,0.01989,0.0195,0.0196,1737984590627,1536556505.7429554,78052524375.5737,30
KRW-PEPE,2025-01-27T12:30:00,2025-01-27T21:30:00,0.01907,0.01977,0.01903,0.01968,1737982796829,2017938031.9830253,103834013514.60655,30
KRW-PEPE,2025-01-27T12:00:00,2025-01-27T21:00:00,0.01915,0.01933,0.01906,0.01909,1737980995654,976823002.1309668,50950179825.90944,30
KRW-PEPE,2025-01-27T11:30:00,2025-01-27T20:30:00,0.01929,0.01942,0.01915,0.01916,1737979197115,662232383.0615333,34374035715.81267,30
KRW-PEPE,2025-01-27T11:00:00,2025-01-27T20:00:00,0.01901,0.01929,0.019,0.01929,1737977398218,640098584.1851286,33410316095.63808,30
KRW-PEPE,2025-01-27T10:30:00,2025-01-27T19:30:00,0.0192,0.01924,0.01893,0.01901,1737975591532,1209126611.4360752,63485885751.829216,30
KRW-PEPE,2025-01-27T10:00:00,2025-01-27T19:00:00,0.01929,0.01932,0.01918,0.01921,1737973795758,658187905.920716,34219352742.161507,30
KRW-PEPE,2025-01-27T09:30:00,2025-01-27T18:30:00,0.01913,0.01936,0.01912,0.01929,1737971992899,521073560.4928205,27060508956.780285,30
KRW-PEPE,2025-01-27T09:00:00,2025-01-27T18:00:00,0.01912,0.0194,0.019,0.01913,1737970198908,1124536522.757634,58409801548.42882,30
KRW-PEPE,2025-01-27T08:30:00,2025-01-27T17:30:00,0.0191,0.01917,0.01881,0.01911,1737968398659,2624717888.6096263,138394810679.16577,30
KRW-PEPE,2025-01-27T08:00:00,2025-01-27T17:00:00,0.01955,0.01955,0.01904,0.01908,1737966598996,1733628078.3502052,90183657136.66194,30
KRW-PEPE,2025-01-27T07:30:00,2025-01-27T16:30:00,0.019,0.0197,0.01897,0.01955,1737964799749,2781500252.905788,143414134637.21945,30
KRW-PEPE,2025-01-27T07:00:00,2025-01-27T16:00:00,0.01945,0.01958,0.019,0.019,1737963000020,3171158459.4332414,164565647459.24667,30
KRW-PEPE,2025-01-27T06:30:00,2025-01-27T15:30:00,0.01955,0.01958,0.01928,0.01946,1737961199374,2669941613.7975764,137537669902.07413,30
KRW-PEPE,2025-01-27T06:00:00,2025-01-27T15:00:00,0.01973,0.01979,0.01955,0.01955,1737959398195,1329863992.925585,67708157259.94491,30
KRW-PEPE,2025-01-27T05:30:00,2025-01-27T14:30:00,0.0199,0.01992,0.01948,0.01973,1737957598896,2439852937.501181,124183449901.50284,30
KRW-PEPE,2025-01-27T05:00:00,2025-01-27T14:00:00,0.01994,0.02003,0.01978,0.0199,1737955791611,1652453867.261753,83171405505.23196,30
KRW-PEPE,2025-01-27T04:30:00,2025-01-27T13:30:00,0.01998,0.02007,0.01989,0.01993,1737953998542,1315847630.652622,65952117242.02697,30
KRW-PEPE,2025-01-27T04:00:00,2025-01-27T13:00:00,0.02018,0.02018,0.01987,0.02001,1737952187175,2558899903.0741925,128060565377.01613,30
KRW-PEPE,2025-01-27T03:30:00,2025-01-27T12:30:00,0.02028,0.0203,0.02008,0.02016,1737950396953,823248210.6960845,40809188002.77955,30
KRW-PEPE,2025-01-27T03:00:00,2025-01-27T12:00:00,0.02008,0.0204,0.02005,0.02028,1737948597436,976901700.6755832,48218350918.39908,30
KRW-PEPE,2025-01-27T02:30:00,2025-01-27T11:30:00,0.0202,0.02023,0.02,0.02008,1737946797808,1575308740.2252634,78422329016.4119,30
KRW-PEPE,2025-01-27T02:00:00,2025-01-27T11:00:00,0.02039,0.02041,0.02007,0.0202,1737944994571,2080348155.2950006,102833874879.56958,30
KRW-PEPE,2025-01-27T01:30:00,2025-01-27T10:30:00,0.02047,0.02065,0.02037,0.02039,1737943199581,1183678813.892866,57739649758.142914,30
KRW-PEPE,2025-01-27T01:00:00,2025-01-27T10:00:00,0.02062,0.0208,0.02029,0.02047,1737941396933,2613592702.372172,127420672476.64969,30
KRW-PEPE,2025-01-27T00:30:00,2025-01-27T09:30:00,0.021,0.021,0.02057,0.02064,1737939599646,2367251608.2019544,114111258141.43857,30
KRW-PEPE,2025-01-27T00:00:00,2025-01-27T09:00:00,0.02136,0.02138,0.02081,0.021,1737937799461,4171557557.81471,198406593862.5142,30
KRW-PEPE,2025-01-26T23:30:00,2025-01-27T08:30:00,0.02146,0.02155,0.02133,0.02137,1737935999534,1607958834.381848,75046385296.13475,30
KRW-PEPE,2025-01-26T23:00:00,2025-01-27T08:00:00,0.02204,0.02204,0.02134,0.0215,1737934192217,3482694373.6699433,160956480448.4802,30
KRW-PEPE,2025-01-26T22:30:00,2025-01-27T07:30:00,0.02204,0.02221,0.02195,0.02204,1737932398255,449092656.7875456,20358856175.49886,30
KRW-PEPE,2025-01-26T22:00:00,2025-01-27T07:00:00,0.02207,0.02212,0.0219,0.02203,1737930598544,1184128261.023811,53823964016.20439,30
KRW-PEPE,2025-01-26T21:30:00,2025-01-27T06:30:00,0.0223,0.02232,0.02208,0.02208,1737928799217,941937677.0018989,42450323282.254105,30
KRW-PEPE,2025-01-26T21:00:00,2025-01-27T06:00:00,0.02238,0.02238,0.02226,0.0223,1737926987090,310101539.477727,13897245351.216454,30
KRW-PEPE,2025-01-26T20:30:00,2025-01-27T05:30:00,0.0226,0.0226,0.02235,0.02238,1737925191358,65774847.08056797,2931344178.813962,30
KRW-PEPE,2025-01-26T20:00:00,2025-01-27T05:00:00,0.02259,0.0226,0.02254,0.0226,1737923364211,96144446.28719828,4260245366.971451,30
KRW-PEPE,2025-01-26T19:30:00,2025-01-27T04:30:00,0.02249,0.0226,0.02247,0.02259,1737921591427,129703075.67497583,5752043888.939697,30
KRW-PEPE,2025-01-26T19:00:00,2025-01-27T04:00:00,0.02252,0.02252,0.02244,0.02247,1737919724714,37275906.25473347,1658197716.4178085,30
KRW-PEPE,2025-01-26T18:30:00,2025-01-27T03:30:00,0.02257,0.02259,0.02249,0.02253,1737917877068,140838222.02013397,6248098919.095937,30
KRW-PEPE,2025-01-26T18:00:00,2025-01-27T03:00:00,0.02247,0.02259,0.02247,0.02258,1737916197026,98873073.48886926,4388090170.682638,30
KRW-PEPE,2025-01-26T17:30:00,2025-01-27T02:30:00,0.02236,0.02252,0.02234,0.02251,1737914396172,162061374.1190526,7221843756.209895,30
KRW-PEPE,2025-01-26T17:00:00,2025-01-27T02:00:00,0.02239,0.0226,0.02232,0.02238,1737912593100,342817701.04010475,15263486776.684729,30
KRW-PEPE,2025-01-26T16:30:00,2025-01-27T01:30:00,0.02233,0.0224,0.02228,0.02236,1737910789998,194880626.4300766,8724532602.630005,30
KRW-PEPE,2025-01-26T16:00:00,2025-01-27T01:00:00,0.02238,0.02241,0.02226,0.02232,1737908982885,641439810.325325,28757866642.41808,30
KRW-PEPE,2025-01-26T15:30:00,2025-01-27T00:30:00,0.02241,0.02247,0.02236,0.02241,1737907195405,312888813.84048957,13964854250.553022,30
KRW-PEPE,2025-01-26T15:00:00,2025-01-27T00:00:00,0.02248,0.02248,0.0224,0.02241,1737905390396,325504898.27072066,14513402486.788977,30
KRW-PEPE,2025-01-26T14:30:00,2025-01-26T23:30:00,0.0224,0.02248,0.02239,0.02248,1737903599018,139378135.4146619,6208821539.981776,30
KRW-PEPE,2025-01-26T14:00:00,2025-01-26T23:00:00,0.02248,0.02248,0.02236,0.0224,1737901794789,322909072.71282554,14411499171.259468,30
KRW-PEPE,2025-01-26T13:30:00,2025-01-26T22:30:00,0.02245,0.02249,0.02241,0.02245,1737899988259,362575299.0530985,16154562453.495316,30
KRW-PEPE,2025-01-26T13:00:00,2025-01-26T22:00:00,0.02244,0.02247,0.0224,0.02247,1737898182478,472397664.02917963,21052672072.093395,30
KRW-PEPE,2025-01-26T12:30:00,2025-01-26T21:30:00,0.02241,0.02243,0.02233,0.02242,1737896389836,253478454.9073128,11323671999.215765,30
KRW-PEPE,2025-01-26T12:00:00,2025-01-26T21:00:00,0.02244,0.02246,0.02235,0.02241,1737894592420,231831141.42330873,10351375853.993698,30
KRW-PEPE,2025-01-26T11:30:00,2025-01-26T20:30:00,0.02243,0.02247,0.02236,0.02244,1737892791109,167390135.28637603,7470587230.76649,30
KRW-PEPE,2025-01-26T11:00:00,2025-01-26T20:00:00,0.02237,0.02247,0.02234,0.02241,1737890991543,254745838.50125507,11367717689.135746,30
KRW-PEPE,2025-01-26T10:30:00,2025-01-26T19:30:00,0.02231,0.02238,0.02225,0.02237,1737889177536,325015449.9647209,14580204150.507061,30
KRW-PEPE,2025-01-26T10:00:00,2025-01-26T19:00:00,0.02228,0.02238,0.02227,0.02231,1737887399636,187764157.57606173,8407178452.329535,30
KRW-PEPE,2025-01-26T09:30:00,2025-01-26T18:30:00,0.02233,0.02237,0.02226,0.02232,1737885588280,487577003.35498565,21853357624.92842,30
KRW-PEPE,2025-01-26T09:00:00,2025-01-26T18:00:00,0.02241,0.02241,0.0223,0.02233,1737883797062,719927975.1714586,32202587143.764736,30
KRW-PEPE,2025-01-26T08:30:00,2025-01-26T17:30:00,0.0224,0.02245,0.02236,0.02242,1737881995424,268493117.37710255,11987662642.074806,30
KRW-PEPE,2025-01-26T08:00:00,2025-01-26T17:00:00,0.02246,0.02253,0.0224,0.0224,1737880196451,279071469.9170577,12433444559.927483,30
KRW-PEPE,2025-01-26T07:30:00,2025-01-26T16:30:00,0.02246,0.02251,0.0224,0.02246,1737878372185,556828225.3852191,24830596125.859596,30
KRW-PEPE,2025-01-26T07:00:00,2025-01-26T16:00:00,0.02246,0.02254,0.02245,0.0225,1737876598465,291453201.2688793,12958205345.215212,30
KRW-PEPE,2025-01-26T06:30:00,2025-01-26T15:30:00,0.02247,0.02252,0.02244,0.02246,1737874795037,212213090.22589678,9446204123.691816,30
KRW-PEPE,2025-01-26T06:00:00,2025-01-26T15:00:00,0.02253,0.02255,0.02244,0.02244,1737872998982,285292352.22644985,12687003770.29737,30
KRW-PEPE,2025-01-26T05:30:00,2025-01-26T14:30:00,0.02254,0.02258,0.02245,0.02254,1737871195474,416290260.9150859,18498108637.2009,30
KRW-PEPE,2025-01-26T05:00:00,2025-01-26T14:00:00,0.02267,0.02267,0.02251,0.02253,1737869389241,342374143.08844316,15168699472.425714,30
KRW-PEPE,2025-01-26T04:30:00,2025-01-26T13:30:00,0.02269,0.0227,0.02256,0.02267,1737867585876,228815456.0448263,10114096963.36208,30
KRW-PEPE,2025-01-26T04:00:00,2025-01-26T13:00:00,0.02252,0.0227,0.0225,0.02269,1737865787774,268056862.68820086,11855453121.499193,30
KRW-PEPE,2025-01-26T03:30:00,2025-01-26T12:30:00,0.0224,0.02263,0.0224,0.02251,1737863983742,456732543.8110216,20262792809.029068,30
KRW-PEPE,2025-01-26T03:00:00,2025-01-26T12:00:00,0.02236,0.0225,0.02236,0.0224,1737862198552,540161251.928774,24079916716.11498,30
KRW-PEPE,2025-01-26T02:30:00,2025-01-26T11:30:00,0.02243,0.02245,0.02222,0.02236,1737860396933,881227773.6532398,39467391532.8432,30
KRW-PEPE,2025-01-26T02:00:00,2025-01-26T11:00:00,0.0226,0.02261,0.02242,0.02243,1737858588623,948454865.0833955,42158185686.12193,30
KRW-PEPE,2025-01-26T01:30:00,2025-01-26T10:30:00,0.02275,0.02277,0.02258,0.0226,1737856796489,561687588.4915073,24798371318.36363,30
KRW-PEPE,2025-01-26T01:00:00,2025-01-26T10:00:00,0.02269,0.02279,0.02264,0.02275,1737854994475,280794977.33622897,12365660443.11467,30
KRW-PEPE,2025-01-26T00:30:00,2025-01-26T09:30:00,0.02273,0.02282,0.02267,0.02269,1737853198175,391158208.1371952,17201651201.91012,30
KRW-PEPE,2025-01-26T00:00:00,2025-01-26T09:00:00,0.02258,0.02275,0.0225,0.02274,1737851398358,456685392.17417115,20167250203.968414,30
KRW-PEPE,2025-01-25T23:30:00,2025-01-26T08:30:00,0.02266,0.02268,0.02256,0.0226,1737849586662,330573645.19475394,14620706475.582808,30
KRW-PEPE,2025-01-25T23:00:00,2025-01-26T08:00:00,0.02271,0.02279,0.02261,0.02266,1737847798536,253690961.76698416,11177089026.096788,30
KRW-PEPE,2025-01-25T22:30:00,2025-01-26T07:30:00,0.02284,0.02286,0.02271,0.02272,1737845994767,167496104.88593543,7352809533.322942,30
KRW-PEPE,2025-01-25T22:00:00,2025-01-26T07:00:00,0.02286,0.02296,0.02282,0.02284,1737844196276,90652808.71218064,3963055419.8876247,30
KRW-PEPE,2025-01-25T21:30:00,2025-01-26T06:30:00,0.02283,0.0229,0.02275,0.02285,1737842392384,91865122.58457653,4027484822.9243093,30
KRW-PEPE,2025-01-25T21:00:00,2025-01-26T06:00:00,0.0228,0.02288,0.02273,0.0228,1737840597922,85323740.75664353,3742763260.846737,30
KRW-PEPE,2025-01-25T20:30:00,2025-01-26T05:30:00,0.02293,0.02295,0.0228,0.0228,1737838748426,75597619.43322566,3304270339.953237,30
KRW-PEPE,2025-01-25T20:00:00,2025-01-26T05:00:00,0.02287,0.023,0.02285,0.02293,1737836982828,108946513.91647352,4756176567.18437,30
KRW-PEPE,2025-01-25T19:30:00,2025-01-26T04:30:00,0.02291,0.02292,0.02278,0.02286,1737835192273,48815426.62265268,2136729930.27211,30
KRW-PEPE,2025-01-25T19:00:00,2025-01-26T04:00:00,0.02295,0.02296,0.02284,0.02291,1737833399203,28165517.36339357,1229240944.5826454,30
KRW-PEPE,2025-01-25T18:30:00,2025-01-26T03:30:00,0.02294,0.02302,0.02285,0.02296,1737831592224,84063066.4744835,3665961634.4518595,30
KRW-PEPE,2025-01-25T18:00:00,2025-01-26T03:00:00,0.02289,0.02298,0.02278,0.02292,1737829768485,102272577.1311675,4462964600.4024,30
KRW-PEPE,2025-01-25T17:30:00,2025-01-26T02:30:00,0.0228,0.0229,0.0227,0.02289,1737827965765,258742632.25526732,11363148501.30241,30
KRW-PEPE,2025-01-25T17:00:00,2025-01-26T02:00:00,0.02286,0.02293,0.02269,0.0228,1737826195394,181091598.8256219,7942627238.695115,30
KRW-PEPE,2025-01-25T16:30:00,2025-01-26T01:30:00,0.02293,0.02293,0.02275,0.02285,1737824392573,158589622.00798416,6948507572.576636,30
KRW-PEPE,2025-01-25T16:00:00,2025-01-26T01:00:00,0.02299,0.02305,0.02286,0.02291,1737822596759,177648560.36558157,7740128886.765095,30
KRW-PEPE,2025-01-25T15:30:00,2025-01-26T00:30:00,0.02291,0.02306,0.02284,0.02299,1737820796356,400895416.457028,17453430418.512917,30
KRW-PEPE,2025-01-25T15:00:00,2025-01-26T00:00:00,0.02283,0.02308,0.02277,0.02291,1737818996366,834530297.5807043,36408244791.09457,30
KRW-PEPE,2025-01-25T14:30:00,2025-01-25T23:30:00,0.0227,0.02285,0.02266,0.02283,1737817192573,227260339.51852933,9996848673.269484,30
KRW-PEPE,2025-01-25T14:00:00,2025-01-25T23:00:00,0.02276,0.02278,0.02263,0.0227,1737815393953,226193021.43160328,9964966214.484343,30
KRW-PEPE,2025-01-25T13:30:00,2025-01-25T22:30:00,0.02275,0.02283,0.0227,0.02276,1737813599068,210632540.6046629,9254475170.898619,30
KRW-PEPE,2025-01-25T13:00:00,2025-01-25T22:00:00,0.02279,0.02281,0.02268,0.02278,1737811790407,212477347.72579667,9342248468.800373,30
KRW-PEPE,2025-01-25T12:30:00,2025-01-25T21:30:00,0.02269,0.02279,0.02261,0.02279,1737809999097,158554679.56978938,6977439360.580146,30
KRW-PEPE,2025-01-25T12:00:00,2025-01-25T21:00:00,0.02279,0.02279,0.0226,0.02269,1737808175842,558026288.9826454,24643978310.67171,30
KRW-PEPE,2025-01-25T11:30:00,2025-01-25T20:30:00,0.02263,0.02285,0.0226,0.02279,1737806397369,400945407.9724358,17598716438.35568,30
KRW-PEPE,2025-01-25T11:00:00,2025-01-25T20:00:00,0.02266,0.02279,0.0226,0.02267,1737804592886,481382574.13266546,21198152395.49537,30
