market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-POL,2025-01-27T13:30:00,2025-01-27T22:30:00,628,629,627,629,1737984818850,13450693.77461206,21417.85856891,30
KRW-POL,2025-01-27T13:00:00,2025-01-27T22:00:00,625,630,623,628,1737984600015,261159816.04770592,416284.49524999,30
KRW-POL,2025-01-27T12:30:00,2025-01-27T21:30:00,612,629,611,624,1737982797451,300505167.04714197,483143.19424775,30
KRW-POL,2025-01-27T12:00:00,2025-01-27T21:00:00,612,617,611,612,1737980989531,117162822.2482696,191311.97211238,30
KRW-POL,2025-01-27T11:30:00,2025-01-27T20:30:00,617,617,612,612,1737979196577,95676784.9842933,155805.34796764,30
KRW-POL,2025-01-27T11:00:00,2025-01-27T20:00:00,609,618,609,616,1737977396231,192403487.86439717,314088.59525488,30
KRW-POL,2025-01-27T10:30:00,2025-01-27T19:30:00,617,617,607,609,1737975595433,246668849.46960476,403883.64247906,30
KRW-POL,2025-01-27T10:00:00,2025-01-27T19:00:00,619,620,615,617,1737973772802,153933431.66086137,249241.42506966,30
KRW-POL,2025-01-27T09:30:00,2025-01-27T18:30:00,611,619,610,619,1737971998708,176723672.06298277,287989.51855154,30
KRW-POL,2025-01-27T09:00:00,2025-01-27T18:00:00,614,619,611,611,1737970198558,306386952.5503949,498620.21594429,30
KRW-POL,2025-01-27T08:30:00,2025-01-27T17:30:00,617,618,609,615,1737968395556,429247685.70740545,701178.57982397,30
KRW-POL,2025-01-27T08:00:00,2025-01-27T17:00:00,624,626,614,618,1737966595075,324234389.22132874,524965.42363178,30
KRW-POL,2025-01-27T07:30:00,2025-01-27T16:30:00,609,628,608,624,1737964800030,735008071.5523962,1191238.73780809,30
KRW-POL,2025-01-27T07:00:00,2025-01-27T16:00:00,629,631,608,611,1737962999782,1410958211.0667858,2276075.44726929,30
KRW-POL,2025-01-27T06:30:00,2025-01-27T15:30:00,633,635,626,628,1737961190358,928221263.1978632,1473572.16144719,30
KRW-POL,2025-01-27T06:00:00,2025-01-27T15:00:00,636,639,631,632,1737959377960,522654022.028257,823786.62208144,30
KRW-POL,2025-01-27T05:30:00,2025-01-27T14:30:00,639,640,633,636,1737957574534,567200569.9085766,892108.92661299,30
KRW-POL,2025-01-27T05:00:00,2025-01-27T14:00:00,641,642,639,639,1737955798726,250282431.3839499,390758.72463585,30
KRW-POL,2025-01-27T04:30:00,2025-01-27T13:30:00,642,645,640,642,1737953982950,213410216.57841706,332435.66241313,30
KRW-POL,2025-01-27T04:00:00,2025-01-27T13:00:00,645,645,640,642,1737952199579,262175662.45458534,408529.45481794,30
KRW-POL,2025-01-27T03:30:00,2025-01-27T12:30:00,649,650,643,645,1737950394063,211239051.87348175,327029.42847371,30
KRW-POL,2025-01-27T03:00:00,2025-01-27T12:00:00,642,650,641,649,1737948553569,230205655.47390115,356448.45433952,30
KRW-POL,2025-01-27T02:30:00,2025-01-27T11:30:00,645,646,641,641,1737946799616,504736579.6222068,785031.7050205,30
KRW-POL,2025-01-27T02:00:00,2025-01-27T11:00:00,650,652,645,646,1737944981899,375984417.28231406,580863.16473585,30
KRW-POL,2025-01-27T01:30:00,2025-01-27T10:30:00,654,657,650,651,1737943187612,306701435.82327634,469938.12094504,30
KRW-POL,2025-01-27T01:00:00,2025-01-27T10:00:00,655,657,648,654,1737941388252,600882522.917733,921976.50006312,30
KRW-POL,2025-01-27T00:30:00,2025-01-27T09:30:00,662,662,654,655,1737939592915,354546834.92613655,539617.56483223,30
KRW-POL,2025-01-27T00:00:00,2025-01-27T09:00:00,662,669,657,662,1737937766823,657941117.4705058,992065.05907111,30
KRW-POL,2025-01-26T23:30:00,2025-01-27T08:30:00,666,666,659,662,1737935989522,269689934.6286073,408117.92927239,30
KRW-POL,2025-01-26T23:00:00,2025-01-27T08:00:00,672,672,663,665,1737934196822,544864124.3837945,815768.57386305,30
KRW-POL,2025-01-26T22:30:00,2025-01-27T07:30:00,673,676,670,673,1737932393859,140004491.0569905,207800.36403687,30
KRW-POL,2025-01-26T22:00:00,2025-01-27T07:00:00,672,675,670,673,1737930597411,238574145.61940128,354748.88877031,30
KRW-POL,2025-01-26T21:30:00,2025-01-27T06:30:00,668,673,667,672,1737928796659,169851846.46636504,253372.92118527,30
KRW-POL,2025-01-26T21:00:00,2025-01-27T06:00:00,666,668,663,667,1737926997940,122633438.01425534,184243.32520111,30
KRW-POL,2025-01-26T20:30:00,2025-01-27T05:30:00,668,669,666,666,1737925086036,40609792.79851314,60910.16836019,30
KRW-POL,2025-01-26T20:00:00,2025-01-27T05:00:00,666,669,666,667,1737923391522,86433418.22282302,129591.22627799,30
KRW-POL,2025-01-26T19:30:00,2025-01-27T04:30:00,663,668,662,666,1737921547783,49910382.11029824,74884.84487718,30
KRW-POL,2025-01-26T19:00:00,2025-01-27T04:00:00,664,665,661,663,1737919619130,47488179.68961364,71601.22091848,30
KRW-POL,2025-01-26T18:30:00,2025-01-27T03:30:00,664,665,663,663,1737917907416,160996388.90001336,242184.10882795,30
KRW-POL,2025-01-26T18:00:00,2025-01-27T03:00:00,662,665,660,664,1737916178631,73899711.22749665,111443.67231826,30
KRW-POL,2025-01-26T17:30:00,2025-01-27T02:30:00,659,662,658,661,1737914397750,129391356.34787087,195856.31825379,30
KRW-POL,2025-01-26T17:00:00,2025-01-27T02:00:00,657,659,656,659,1737912503030,50586939.06282897,76949.37984131,30
KRW-POL,2025-01-26T16:30:00,2025-01-27T01:30:00,656,658,655,658,1737910690851,17770332.28487268,27052.81584612,30
KRW-POL,2025-01-26T16:00:00,2025-01-27T01:00:00,656,656,653,655,1737908935316,45897280.00250647,70155.15108068,30
KRW-POL,2025-01-26T15:30:00,2025-01-27T00:30:00,657,658,655,656,1737907198199,19442788.07729815,29630.91644857,30
KRW-POL,2025-01-26T15:00:00,2025-01-27T00:00:00,656,657,654,656,1737905266241,96631257.39223677,147498.75454587,30
KRW-POL,2025-01-26T14:30:00,2025-01-26T23:30:00,655,657,655,657,1737903515650,100913420.88822024,153885.1217658,30
KRW-POL,2025-01-26T14:00:00,2025-01-26T23:00:00,656,657,653,655,1737901797656,59803489.60505988,91349.61596633,30
KRW-POL,2025-01-26T13:30:00,2025-01-26T22:30:00,656,657,654,657,1737899893504,45657705.46649814,69638.5573212,30
