market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-POLYX,2025-01-27T13:30:00,2025-01-27T22:30:00,352.5,354.2,352.1,354.2,1737984814282,18134881.67141027,51348.23919957,30
KRW-POLYX,2025-01-27T13:00:00,2025-01-27T22:00:00,351.3,354.8,349.2,352.5,1737984566432,246103224.34403974,697462.59368782,30
KRW-POLYX,2025-01-27T12:30:00,2025-01-27T21:30:00,342.4,354.1,341.7,352,1737982779177,344777291.9735276,984926.30610032,30
KRW-POLYX,2025-01-27T12:00:00,2025-01-27T21:00:00,342.1,344.5,341.1,341.9,1737980995715,144584313.10276493,421583.88111453,30
KRW-POLYX,2025-01-27T11:30:00,2025-01-27T20:30:00,343.1,344.1,341.8,342.1,1737979198135,215711912.37279636,628162.92357234,30
KRW-POLYX,2025-01-27T11:00:00,2025-01-27T20:00:00,340.8,343.4,339.8,342.6,1737977310442,96182822.39785396,282113.97169902,30
KRW-POLYX,2025-01-27T10:30:00,2025-01-27T19:30:00,343.6,343.7,339.8,340.1,1737975598627,238481550.8352359,699192.87340601,30
KRW-POLYX,2025-01-27T10:00:00,2025-01-27T19:00:00,346.8,347.3,343.7,343.7,1737973795088,86739831.04174241,251547.00495327,30
KRW-POLYX,2025-01-27T09:30:00,2025-01-27T18:30:00,344.9,347.5,344,347.2,1737971949539,73206470.36049111,211608.20362789,30
KRW-POLYX,2025-01-27T09:00:00,2025-01-27T18:00:00,343.1,348.2,342,344.2,1737970185472,101801092.29399218,295084.31360597,30
KRW-POLYX,2025-01-27T08:30:00,2025-01-27T17:30:00,345.2,345.2,340.5,343,1737968399453,207502080.8088335,605547.84456182,30
KRW-POLYX,2025-01-27T08:00:00,2025-01-27T17:00:00,348.4,349.1,343.8,345.2,1737966598927,221034168.76164776,639688.11092615,30
KRW-POLYX,2025-01-27T07:30:00,2025-01-27T16:30:00,341.8,349.9,341.8,348.3,1737964761233,373279932.8402061,1074368.74613743,30
KRW-POLYX,2025-01-27T07:00:00,2025-01-27T16:00:00,350,351.4,341.1,341.3,1737962997676,385737283.33368,1114507.78814987,30
KRW-POLYX,2025-01-27T06:30:00,2025-01-27T15:30:00,352.8,353.9,347.5,350,1737961198579,520192844.5234248,1486878.34059373,30
KRW-POLYX,2025-01-27T06:00:00,2025-01-27T15:00:00,356.6,357.2,352.7,352.9,1737959398110,248626351.05766708,701851.16471608,30
KRW-POLYX,2025-01-27T05:30:00,2025-01-27T14:30:00,358.1,358.1,355.1,357.4,1737957563973,242046743.54629117,678694.28616986,30
KRW-POLYX,2025-01-27T05:00:00,2025-01-27T14:00:00,358.8,360,357.6,358,1737955718018,95527649.92497142,266662.92928734,30
KRW-POLYX,2025-01-27T04:30:00,2025-01-27T13:30:00,359,360.4,358.4,358.8,1737953974178,38900925.98477702,108283.62038228,30
KRW-POLYX,2025-01-27T04:00:00,2025-01-27T13:00:00,361.3,361.6,358.3,359.1,1737952186811,234031676.9534717,651040.61836247,30
KRW-POLYX,2025-01-27T03:30:00,2025-01-27T12:30:00,363,363,360.8,361.3,1737950293632,49133051.34584289,135793.70239111,30
KRW-POLYX,2025-01-27T03:00:00,2025-01-27T12:00:00,360.4,364.5,360.2,362.8,1737948524705,74681813.80278409,206375.98050855,30
KRW-POLYX,2025-01-27T02:30:00,2025-01-27T11:30:00,362.8,362.9,360.2,360.2,1737946788601,143343833.72027153,396576.86895417,30
KRW-POLYX,2025-01-27T02:00:00,2025-01-27T11:00:00,365.4,365.8,362,362.9,1737944995096,224261086.52283362,616959.13273554,30
KRW-POLYX,2025-01-27T01:30:00,2025-01-27T10:30:00,366.7,369.2,364.4,365.4,1737943199517,202714314.4394018,553006.86903686,30
KRW-POLYX,2025-01-27T01:00:00,2025-01-27T10:00:00,366.3,369.5,363.9,366.7,1737941391007,404749842.1769509,1105254.35328719,30
KRW-POLYX,2025-01-27T00:30:00,2025-01-27T09:30:00,371.2,371.9,366.1,367,1737939570254,364878267.2298181,989097.09990365,30
KRW-POLYX,2025-01-27T00:00:00,2025-01-27T09:00:00,376.1,378.5,369.5,371.5,1737937776472,453130299.5032546,1214112.67900531,30
KRW-POLYX,2025-01-26T23:30:00,2025-01-27T08:30:00,379.6,379.6,375.5,375.7,1737935998724,268247108.74215445,711346.2445059,30
KRW-POLYX,2025-01-26T23:00:00,2025-01-27T08:00:00,384.3,384.3,377.5,379.2,1737934195996,399807502.12165666,1049204.32406935,30
KRW-POLYX,2025-01-26T22:30:00,2025-01-27T07:30:00,384.3,386.3,383.6,384.2,1737932318349,111734054.73437583,290126.23546176,30
KRW-POLYX,2025-01-26T22:00:00,2025-01-27T07:00:00,385.2,385.2,382.6,384.3,1737930596913,120219223.6687607,313451.60568532,30
KRW-POLYX,2025-01-26T21:30:00,2025-01-27T06:30:00,385,385.8,384.1,385.5,1737928723094,65137484.29876257,169311.05362925,30
KRW-POLYX,2025-01-26T21:00:00,2025-01-27T06:00:00,386.8,387.2,384.5,385.1,1737926970145,56258173.48047488,146000.28003945,30
KRW-POLYX,2025-01-26T20:30:00,2025-01-27T05:30:00,388.1,388.2,386.7,387.2,1737925167215,64696424.38897514,166966.24395167,30
KRW-POLYX,2025-01-26T20:00:00,2025-01-27T05:00:00,386.2,388.9,385.7,388.2,1737923364076,51640450.92776281,133228.89477986,30
KRW-POLYX,2025-01-26T19:30:00,2025-01-27T04:30:00,385.7,385.7,385.7,385.7,1737920175053,591298.3113434,1533.05240172,30
KRW-POLYX,2025-01-26T19:00:00,2025-01-27T04:00:00,386.1,386.1,385.1,385.1,1737919294979,5457716.21586814,14160.14360079,30
KRW-POLYX,2025-01-26T18:30:00,2025-01-27T03:30:00,386.4,386.7,385.2,385.8,1737917870446,15349757.5741059,39811.26893221,30
KRW-POLYX,2025-01-26T18:00:00,2025-01-27T03:00:00,386.4,386.9,385.7,386.1,1737916154994,8085285.18700048,20932.90512609,30
KRW-POLYX,2025-01-26T17:30:00,2025-01-27T02:30:00,384.6,387.7,384.5,387.6,1737914375294,25783892.82172966,66790.6633539,30
KRW-POLYX,2025-01-26T17:00:00,2025-01-27T02:00:00,384.8,385.4,384.2,385.1,1737912515362,18287706.58853389,47533.89619967,30
KRW-POLYX,2025-01-26T16:30:00,2025-01-27T01:30:00,384.3,385.5,384.2,384.2,1737910728257,26847397.38897136,69766.42780599,30
KRW-POLYX,2025-01-26T16:00:00,2025-01-27T01:00:00,383.6,383.9,382.3,383.9,1737908981201,76843345.50997613,200721.22121161,30
KRW-POLYX,2025-01-26T15:30:00,2025-01-27T00:30:00,384,384.3,383.2,383.6,1737907188459,52040948.65737861,135741.71617809,30
KRW-POLYX,2025-01-26T15:00:00,2025-01-27T00:00:00,384,384.2,383,383.1,1737905346966,54359051.78081718,141785.8711359,30
