market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-POWR,2025-01-27T13:30:00,2025-01-27T22:30:00,391.3,391.3,389.9,390.9,1737984796360,24708074.40473935,63275.6948509,30
KRW-POWR,2025-01-27T13:00:00,2025-01-27T22:00:00,387.5,392,385.6,392,1737984591205,214156670.03804508,550171.11986573,30
KRW-POWR,2025-01-27T12:30:00,2025-01-27T21:30:00,378.6,390.6,377.9,387.5,1737982790850,194388229.34455952,500830.17948332,30
KRW-POWR,2025-01-27T12:00:00,2025-01-27T21:00:00,379.1,381.3,377.8,377.8,1737980981353,61323371.41585622,161773.63826786,30
KRW-POWR,2025-01-27T11:30:00,2025-01-27T20:30:00,382.2,382.6,378.5,379.1,1737979177657,34232049.34942858,90028.74952275,30
KRW-POWR,2025-01-27T11:00:00,2025-01-27T20:00:00,378.9,383,377.1,382.2,1737977316146,44880850.27568969,118342.53612499,30
KRW-POWR,2025-01-27T10:30:00,2025-01-27T19:30:00,381.3,381.3,377.3,379,1737975566615,76323797.70209453,201385.00102409,30
KRW-POWR,2025-01-27T10:00:00,2025-01-27T19:00:00,382.9,383.6,381.4,381.4,1737973799322,32314182.91636923,84468.56956414,30
KRW-POWR,2025-01-27T09:30:00,2025-01-27T18:30:00,378.1,384.5,377.9,383.5,1737971724263,56498001.35072045,148095.27516795,30
KRW-POWR,2025-01-27T09:00:00,2025-01-27T18:00:00,376.9,381.7,376,378.2,1737970191721,79027768.61617793,208163.25701258,30
KRW-POWR,2025-01-27T08:30:00,2025-01-27T17:30:00,379.2,379.2,373.4,376.9,1737968360017,237171200.45222402,632166.13108044,30
KRW-POWR,2025-01-27T08:00:00,2025-01-27T17:00:00,381,381.6,375.9,379.3,1737966597142,82829726.41427188,218634.0768901,30
KRW-POWR,2025-01-27T07:30:00,2025-01-27T16:30:00,373.3,383.1,373,381.1,1737964777872,154912671.57923743,408706.37704512,30
KRW-POWR,2025-01-27T07:00:00,2025-01-27T16:00:00,380.3,382.7,373.4,373.4,1737963000039,333693621.0639177,884024.09110383,30
KRW-POWR,2025-01-27T06:30:00,2025-01-27T15:30:00,382.9,383.2,379.4,379.8,1737961199502,216656516.4616701,568957.32419896,30
KRW-POWR,2025-01-27T06:00:00,2025-01-27T15:00:00,386.1,386.7,382,383.3,1737959381101,130179256.44949982,339083.44314605,30
KRW-POWR,2025-01-27T05:30:00,2025-01-27T14:30:00,389.7,389.7,384.3,385.9,1737957578282,161563854.81402484,418501.27459183,30
KRW-POWR,2025-01-27T05:00:00,2025-01-27T14:00:00,389.5,391.2,388.9,389.2,1737955664236,38215433.83534862,98063.73803367,30
KRW-POWR,2025-01-27T04:30:00,2025-01-27T13:30:00,389.8,392.1,389.6,389.7,1737953985185,88059460.83250044,225493.33346029,30
KRW-POWR,2025-01-27T04:00:00,2025-01-27T13:00:00,392.4,392.4,389.5,389.8,1737952199325,75098739.59871423,192199.41034395,30
KRW-POWR,2025-01-27T03:30:00,2025-01-27T12:30:00,393.8,393.9,391.7,392.5,1737950393194,44877389.45013345,114281.63169716,30
KRW-POWR,2025-01-27T03:00:00,2025-01-27T12:00:00,391.8,395.9,391.8,393.8,1737948534606,77146707.92331623,195760.80464403,30
KRW-POWR,2025-01-27T02:30:00,2025-01-27T11:30:00,393,393.1,391.8,392,1737946788623,95362699.72559503,243259.18073214,30
KRW-POWR,2025-01-27T02:00:00,2025-01-27T11:00:00,394.1,396,391.6,393.1,1737944965459,252042597.33484456,640510.9514542,30
KRW-POWR,2025-01-27T01:30:00,2025-01-27T10:30:00,397,399.2,394,394.1,1737943181552,185035054.20672575,466888.45134756,30
KRW-POWR,2025-01-27T01:00:00,2025-01-27T10:00:00,400.4,401.2,393.3,397.1,1737941388526,418528568.4934758,1052645.34193062,30
KRW-POWR,2025-01-27T00:30:00,2025-01-27T09:30:00,401.1,403.1,398.1,400,1737939586394,301903108.02930164,754016.68874001,30
KRW-POWR,2025-01-27T00:00:00,2025-01-27T09:00:00,398.3,403,394.9,401,1737937755849,478987641.8721569,1198555.16131014,30
KRW-POWR,2025-01-26T23:30:00,2025-01-27T08:30:00,400,400,398,398.3,1737935984587,180022467.4268658,451636.04283561,30
KRW-POWR,2025-01-26T23:00:00,2025-01-27T08:00:00,403.7,403.7,399.5,400,1737934198808,98274040.36365971,245145.44466338,30
KRW-POWR,2025-01-26T22:30:00,2025-01-27T07:30:00,403.9,405.7,403.9,405.4,1737932338689,21831265.28641427,53956.5764642,30
KRW-POWR,2025-01-26T22:00:00,2025-01-27T07:00:00,403,404.6,402.7,403.8,1737930594852,51391620.96325877,127524.65883276,30
KRW-POWR,2025-01-26T21:30:00,2025-01-27T06:30:00,403.2,403.6,402.9,403,1737928799204,23091265.48652614,57296.3713065,30
KRW-POWR,2025-01-26T21:00:00,2025-01-27T06:00:00,404,404,402.9,403.2,1737926955258,54102420.02032124,134156.49171736,30
KRW-POWR,2025-01-26T20:30:00,2025-01-27T05:30:00,405.1,405.1,404,404,1737925194156,30699664.43607639,75973.02346903,30
KRW-POWR,2025-01-26T20:00:00,2025-01-27T05:00:00,405.5,405.5,404.3,405.1,1737923261583,6371626.18730194,15733.18491152,30
KRW-POWR,2025-01-26T19:30:00,2025-01-27T04:30:00,405.5,405.5,404.8,405.5,1737921115067,6250963.36932498,15428.91901402,30
KRW-POWR,2025-01-26T19:00:00,2025-01-27T04:00:00,406.3,406.3,405.4,405.5,1737919788876,37861889.77602085,93355.24118064,30
KRW-POWR,2025-01-26T18:30:00,2025-01-27T03:30:00,406.4,406.7,406.1,406.3,1737917829688,56823368.18945561,139852.93338546,30
KRW-POWR,2025-01-26T18:00:00,2025-01-27T03:00:00,406.3,406.8,405.5,406.5,1737916115074,13467316.12959335,33131.26383108,30
KRW-POWR,2025-01-26T17:30:00,2025-01-27T02:30:00,404.4,406.3,404.4,406.3,1737914329857,12054489.93935616,29673.81569505,30
KRW-POWR,2025-01-26T17:00:00,2025-01-27T02:00:00,404.7,405.3,404.3,404.4,1737912194436,8219098.74522212,20312.0392381,30
KRW-POWR,2025-01-26T16:30:00,2025-01-27T01:30:00,404.6,405.5,404,405.5,1737910749073,29286607.17382091,72350.06913415,30
KRW-POWR,2025-01-26T16:00:00,2025-01-27T01:00:00,403.3,404.8,402.7,404.8,1737908978734,25961640.66445179,64320.53233667,30
KRW-POWR,2025-01-26T15:30:00,2025-01-27T00:30:00,402.6,403.2,402.3,402.7,1737907183516,37365207.13304628,92818.45030074,30
KRW-POWR,2025-01-26T15:00:00,2025-01-27T00:00:00,404.1,404.3,402.4,402.5,1737905277216,38665287.63505603,95961.29228045,30
KRW-POWR,2025-01-26T14:30:00,2025-01-26T23:30:00,403.6,404.8,403.5,404.1,1737903538656,35595798.74222365,88075.31115878,30
KRW-POWR,2025-01-26T14:00:00,2025-01-26T23:00:00,405.5,405.5,402.5,402.9,1737901730024,40707573.52477025,100733.92729989,30
KRW-POWR,2025-01-26T13:30:00,2025-01-26T22:30:00,404.4,406.4,403.6,405.5,1737899976015,51906746.91989292,128236.22347367,30
KRW-POWR,2025-01-26T13:00:00,2025-01-26T22:00:00,402.7,406,401.2,404.4,1737898088555,136611099.86179122,338653.30438648,30
KRW-POWR,2025-01-26T12:30:00,2025-01-26T21:30:00,404.9,405,401.1,402.5,1737896367553,150835723.8363791,374530.67968528,30
KRW-POWR,2025-01-26T12:00:00,2025-01-26T21:00:00,404.1,405.1,402.9,405.1,1737894593815,44304996.48871071,109643.4196089,30
KRW-POWR,2025-01-26T11:30:00,2025-01-26T20:30:00,404.9,405.5,403.5,404.5,1737892468864,26688326.89861321,66029.89143342,30
KRW-POWR,2025-01-26T11:00:00,2025-01-26T20:00:00,405,405.8,403.6,404.2,1737890996065,126894011.42314439,313579.73725031,30
KRW-POWR,2025-01-26T10:30:00,2025-01-26T19:30:00,404.6,405.4,402.3,403.9,1737889153304,163823768.04259345,405844.49651536,30
KRW-POWR,2025-01-26T10:00:00,2025-01-26T19:00:00,403.2,405.4,403.2,405.2,1737887344240,127179822.83064407,314784.91908267,30
KRW-POWR,2025-01-26T09:30:00,2025-01-26T18:30:00,404.6,405.4,402.9,404.1,1737885568426,118689169.14002863,293673.58862437,30
KRW-POWR,2025-01-26T09:00:00,2025-01-26T18:00:00,408,408.1,401.8,404.6,1737883800035,237974735.62764356,587616.78173898,30
KRW-POWR,2025-01-26T08:30:00,2025-01-26T17:30:00,407.9,409.6,406.9,407.9,1737881997375,104422115.33450168,255993.91121016,30
KRW-POWR,2025-01-26T08:00:00,2025-01-26T17:00:00,412.1,412.5,407.9,407.9,1737880200013,200602629.3605943,488635.73765724,30
KRW-POWR,2025-01-26T07:30:00,2025-01-26T16:30:00,412.1,413.2,411.1,412.1,1737878364377,76606695.5899468,186008.26711829,30
KRW-POWR,2025-01-26T07:00:00,2025-01-26T16:00:00,411.3,413,410,412.7,1737876591694,122798306.95171055,298543.52713761,30
KRW-POWR,2025-01-26T06:30:00,2025-01-26T15:30:00,413,413.2,411,411.3,1737874791792,131153142.32894702,318426.40409181,30
KRW-POWR,2025-01-26T06:00:00,2025-01-26T15:00:00,417.5,417.5,411.5,412.7,1737872955562,348554747.2264285,841840.84896724,30
KRW-POWR,2025-01-26T05:30:00,2025-01-26T14:30:00,414.2,417.5,413.6,417.5,1737871195937,381079001.4459,915673.89064724,30
KRW-POWR,2025-01-26T05:00:00,2025-01-26T14:00:00,413.5,415.3,412,413.5,1737869391309,353743371.2469104,855043.08919974,30
KRW-POWR,2025-01-26T04:30:00,2025-01-26T13:30:00,412,413.6,409.8,413.5,1737867573903,151184163.5554421,367601.95447614,30
KRW-POWR,2025-01-26T04:00:00,2025-01-26T13:00:00,411,413,410.1,411.7,1737865742771,96866710.60628235,235309.01560618,30
KRW-POWR,2025-01-26T03:30:00,2025-01-26T12:30:00,409.4,413.1,409.4,411.1,1737863986629,104217905.0293756,253261.58476371,30
KRW-POWR,2025-01-26T03:00:00,2025-01-26T12:00:00,411.9,412.7,408,409.1,1737862198884,270394233.93916905,658947.77549839,30
KRW-POWR,2025-01-26T02:30:00,2025-01-26T11:30:00,413.8,414,410.5,411.9,1737860398102,644409719.4099287,1563664.73856679,30
