market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-PUNDIX,2025-01-27T13:30:00,2025-01-27T22:30:00,655.6,659.2,655.2,659.2,1737984783092,2651242.65167627,4046.05575541,30
KRW-PUNDIX,2025-01-27T13:00:00,2025-01-27T22:00:00,658.7,662.7,652.3,656.5,1737984592734,29686414.66051282,45101.12285007,30
KRW-PUNDIX,2025-01-27T12:30:00,2025-01-27T21:30:00,649.2,665,648.5,659.5,1737982784973,65074787.86856953,98779.68495942,30
KRW-PUNDIX,2025-01-27T12:00:00,2025-01-27T21:00:00,661.2,667.3,647.5,648.9,1737980998724,99764656.0090959,151134.78043951,30
KRW-PUNDIX,2025-01-27T11:30:00,2025-01-27T20:30:00,651.9,662.1,646.9,661.2,1737979198280,102102042.34010173,155639.6111636,30
KRW-PUNDIX,2025-01-27T11:00:00,2025-01-27T20:00:00,644.3,655,644,653.3,1737977352515,23318595.46971345,35979.92600335,30
KRW-PUNDIX,2025-01-27T10:30:00,2025-01-27T19:30:00,650.8,652.9,643,644.3,1737975594198,32274169.71080534,49875.79609211,30
KRW-PUNDIX,2025-01-27T10:00:00,2025-01-27T19:00:00,653.2,657.5,651.7,651.7,1737973634938,9105718.59808013,13934.10900135,30
KRW-PUNDIX,2025-01-27T09:30:00,2025-01-27T18:30:00,651,657,647.6,655.4,1737971713857,55374559.78128042,85051.67905064,30
KRW-PUNDIX,2025-01-27T09:00:00,2025-01-27T18:00:00,652.3,660,646,650.8,1737970168061,39469559.76932385,60518.14470397,30
KRW-PUNDIX,2025-01-27T08:30:00,2025-01-27T17:30:00,646.9,648.1,642.8,648,1737968122632,40776137.11359108,63251.00874155,30
KRW-PUNDIX,2025-01-27T08:00:00,2025-01-27T17:00:00,655.1,655.1,644.1,648.8,1737966592511,56763358.45821467,87522.63826911,30
KRW-PUNDIX,2025-01-27T07:30:00,2025-01-27T16:30:00,632.4,659.5,632.4,656.3,1737964798667,90843295.45097318,140142.29599621,30
KRW-PUNDIX,2025-01-27T07:00:00,2025-01-27T16:00:00,645.5,648.9,632.3,632.3,1737962955178,110279317.77756004,172228.8729705,30
KRW-PUNDIX,2025-01-27T06:30:00,2025-01-27T15:30:00,652.9,652.9,642.2,645.5,1737961179997,110123477.48072706,170366.83596264,30
KRW-PUNDIX,2025-01-27T06:00:00,2025-01-27T15:00:00,651.7,654.8,650.1,654.4,1737959365052,15211216.16224345,23274.37314098,30
KRW-PUNDIX,2025-01-27T05:30:00,2025-01-27T14:30:00,655.8,657.6,647.1,654,1737957439316,75582883.43588261,116169.13146804,30
KRW-PUNDIX,2025-01-27T05:00:00,2025-01-27T14:00:00,658.1,661.8,648.6,655.9,1737955739614,41694472.86525393,63767.11169868,30
KRW-PUNDIX,2025-01-27T04:30:00,2025-01-27T13:30:00,659.3,662,657,658.2,1737953943616,3784474.91438056,5749.13511841,30
KRW-PUNDIX,2025-01-27T04:00:00,2025-01-27T13:00:00,661,661.3,656.6,659.3,1737952100388,26115580.90749742,39688.01896578,30
KRW-PUNDIX,2025-01-27T03:30:00,2025-01-27T12:30:00,661.1,662,660,660.4,1737950328457,14670886.1697178,22211.34598391,30
KRW-PUNDIX,2025-01-27T03:00:00,2025-01-27T12:00:00,658.5,662.1,658,660.4,1737948524727,62780207.77423309,95302.91030086,30
KRW-PUNDIX,2025-01-27T02:30:00,2025-01-27T11:30:00,657.6,662.3,655.4,658.7,1737946721330,54893024.88537383,83008.46799863,30
KRW-PUNDIX,2025-01-27T02:00:00,2025-01-27T11:00:00,660.3,662.5,656,657.6,1737944996483,32758080.84091744,49764.68196834,30
KRW-PUNDIX,2025-01-27T01:30:00,2025-01-27T10:30:00,657.9,662.4,656.6,660.7,1737943109241,18377810.57626518,27815.55537932,30
KRW-PUNDIX,2025-01-27T01:00:00,2025-01-27T10:00:00,668.9,671.2,650,656.2,1737941354728,204028016.24709526,310344.28528925,30
KRW-PUNDIX,2025-01-27T00:30:00,2025-01-27T09:30:00,669.8,672.6,666,666.1,1737939562013,109871059.77422562,163973.27487467,30
KRW-PUNDIX,2025-01-27T00:00:00,2025-01-27T09:00:00,676.5,676.6,666.3,669.7,1737937704747,86872316.9098427,129885.80042471,30
KRW-PUNDIX,2025-01-26T23:30:00,2025-01-27T08:30:00,672.7,679.2,667.5,676.6,1737935990016,48691921.79010901,72566.46646648,30
KRW-PUNDIX,2025-01-26T23:00:00,2025-01-27T08:00:00,673.7,678.8,668.2,671.8,1737934194967,61642789.05541943,91770.75544016,30
KRW-PUNDIX,2025-01-26T22:30:00,2025-01-27T07:30:00,679.8,679.8,673.4,675,1737932341340,19814813.87360177,29294.76963038,30
KRW-PUNDIX,2025-01-26T22:00:00,2025-01-27T07:00:00,680.7,683.1,677.8,678.3,1737930223806,19747498.33891014,29043.41050128,30
KRW-PUNDIX,2025-01-26T21:30:00,2025-01-27T06:30:00,680.8,680.8,678.7,679.5,1737928128042,8234105.07840026,12119.09997787,30
KRW-PUNDIX,2025-01-26T21:00:00,2025-01-27T06:00:00,680.5,680.8,677.9,680.8,1737926766923,10598036.35974547,15590.61288321,30
KRW-PUNDIX,2025-01-26T20:30:00,2025-01-27T05:30:00,681.7,683.1,680.8,681.6,1737925093349,3175484.62004645,4658.75227462,30
KRW-PUNDIX,2025-01-26T20:00:00,2025-01-27T05:00:00,680.4,683.2,680.4,683.1,1737922798254,1472137.89175882,2158.2895343,30
KRW-PUNDIX,2025-01-26T19:30:00,2025-01-27T04:30:00,682,682.4,680.5,681.1,1737921406814,4855843.21908718,7124.23051271,30
KRW-PUNDIX,2025-01-26T19:00:00,2025-01-27T04:00:00,679.8,683.2,678.5,679.7,1737919600515,11188290.47637178,16423.54315662,30
KRW-PUNDIX,2025-01-26T18:30:00,2025-01-27T03:30:00,681,681,678.3,679.9,1737917436600,2630047.44864717,3867.43178131,30
KRW-PUNDIX,2025-01-26T18:00:00,2025-01-27T03:00:00,680.8,680.8,679.8,679.8,1737914662407,600942.57975103,883.96089787,30
