market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-PYTH,2025-01-27T13:30:00,2025-01-27T22:30:00,436.1,436.5,434.9,436.5,1737984823398,5779103.0182638,13274.43880422,30
KRW-PYTH,2025-01-27T13:00:00,2025-01-27T22:00:00,433.6,438.3,432,435.5,1737984550177,357408587.9946768,820193.63538434,30
KRW-PYTH,2025-01-27T12:30:00,2025-01-27T21:30:00,422,437.5,421.2,433.6,1737982793282,209933392.68795013,488571.42410002,30
KRW-PYTH,2025-01-27T12:00:00,2025-01-27T21:00:00,425.4,426.2,420.7,421.9,1737980970722,207398648.3348952,489971.12441475,30
KRW-PYTH,2025-01-27T11:30:00,2025-01-27T20:30:00,428.2,430,425,425.4,1737979187674,79507691.79764158,186102.97228291,30
KRW-PYTH,2025-01-27T11:00:00,2025-01-27T20:00:00,421.8,429,421.8,428.2,1737977244908,97105269.87672465,228556.55767889,30
KRW-PYTH,2025-01-27T10:30:00,2025-01-27T19:30:00,427.3,427.4,421.1,422.3,1737975563053,239024752.8915097,563312.55472151,30
KRW-PYTH,2025-01-27T10:00:00,2025-01-27T19:00:00,430.3,430.3,426.9,427.3,1737973790350,164017424.2766878,382532.68523415,30
KRW-PYTH,2025-01-27T09:30:00,2025-01-27T18:30:00,426.8,431.1,426.5,430.3,1737971979188,109268700.6937614,254513.45525279,30
KRW-PYTH,2025-01-27T09:00:00,2025-01-27T18:00:00,428.1,432.9,425.5,426.5,1737970194199,113947531.3872033,265450.1350925,30
KRW-PYTH,2025-01-27T08:30:00,2025-01-27T17:30:00,432.3,432.3,426,428.2,1737968350941,358015963.2610832,835332.87336579,30
KRW-PYTH,2025-01-27T08:00:00,2025-01-27T17:00:00,438,438.8,430,432.3,1737966593428,317564470.7043762,734803.10386238,30
KRW-PYTH,2025-01-27T07:30:00,2025-01-27T16:30:00,430.5,440,430.1,438,1737964787941,291003709.7424496,667796.32594482,30
KRW-PYTH,2025-01-27T07:00:00,2025-01-27T16:00:00,438,440.6,430.1,430.2,1737962993160,414443695.963198,951566.82616542,30
KRW-PYTH,2025-01-27T06:30:00,2025-01-27T15:30:00,440.6,441.7,436,438,1737961191138,447645960.0060845,1021084.75780381,30
KRW-PYTH,2025-01-27T06:00:00,2025-01-27T15:00:00,444.2,445.2,440,440.8,1737959398861,215628767.671216,488049.65473918,30
KRW-PYTH,2025-01-27T05:30:00,2025-01-27T14:30:00,445.8,446.4,442.3,445.1,1737957552715,334993560.89823467,754997.88261229,30
KRW-PYTH,2025-01-27T05:00:00,2025-01-27T14:00:00,444.8,447.5,444.3,445.9,1737955780585,88602681.87825444,198947.94097265,30
KRW-PYTH,2025-01-27T04:30:00,2025-01-27T13:30:00,446.8,447.6,444.1,444.8,1737953999046,148123494.03505808,332405.43002075,30
KRW-PYTH,2025-01-27T04:00:00,2025-01-27T13:00:00,450.1,450.1,446,446.8,1737952162972,72538041.17796928,162117.04203704,30
