market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-QKC,2025-01-27T13:30:00,2025-01-27T22:30:00,15.44,15.45,15.36,15.36,1737984770549,12968592.81849659,840002.12510254,30
KRW-QKC,2025-01-27T13:00:00,2025-01-27T22:00:00,15.42,15.54,15.3,15.44,1737984587844,109641606.24283157,7124811.74601063,30
KRW-QKC,2025-01-27T12:30:00,2025-01-27T21:30:00,15.08,15.53,15.08,15.34,1737982785401,137337772.50245655,8938551.41176451,30
KRW-QKC,2025-01-27T12:00:00,2025-01-27T21:00:00,15.12,15.18,15.08,15.08,1737980926872,37978378.4727584,2512617.2258831,30
KRW-QKC,2025-01-27T11:30:00,2025-01-27T20:30:00,15.18,15.19,15.08,15.12,1737979196366,12025103.37879267,794030.80522056,30
KRW-QKC,2025-01-27T11:00:00,2025-01-27T20:00:00,15.01,15.19,14.99,15.08,1737977201987,78589442.10296293,5226358.8210758,30
KRW-QKC,2025-01-27T10:30:00,2025-01-27T19:30:00,15.18,15.4,15.01,15.01,1737975568697,242109470.28751835,15971727.38972888,30
KRW-QKC,2025-01-27T10:00:00,2025-01-27T19:00:00,15.13,15.19,15.02,15.18,1737973763437,76296973.20175982,5052812.7841916,30
KRW-QKC,2025-01-27T09:30:00,2025-01-27T18:30:00,15,15.13,14.95,15.05,1737971978899,35602164.43540637,2368061.90105125,30
KRW-QKC,2025-01-27T09:00:00,2025-01-27T18:00:00,14.93,15.06,14.86,15,1737970198001,88967250.33369897,5927208.81840989,30
KRW-QKC,2025-01-27T08:30:00,2025-01-27T17:30:00,15.01,15.01,14.81,14.93,1737968392889,82881982.9412597,5564251.41170987,30
KRW-QKC,2025-01-27T08:00:00,2025-01-27T17:00:00,15.05,15.11,14.86,15.07,1737966589057,233773976.36204258,15617062.50676342,30
KRW-QKC,2025-01-27T07:30:00,2025-01-27T16:30:00,14.84,15.09,14.74,15.04,1737964762934,260961202.59498575,17500883.02229227,30
KRW-QKC,2025-01-27T07:00:00,2025-01-27T16:00:00,14.98,15.1,14.84,14.84,1737962997909,208006783.18194082,13900933.91422935,30
KRW-QKC,2025-01-27T06:30:00,2025-01-27T15:30:00,15.17,15.35,14.86,14.98,1737961197048,472643979.86254704,31532764.39410215,30
KRW-QKC,2025-01-27T06:00:00,2025-01-27T15:00:00,15.27,15.4,15.1,15.17,1737959349310,245218857.9431075,16092763.44042801,30
KRW-QKC,2025-01-27T05:30:00,2025-01-27T14:30:00,15.33,15.35,15.19,15.27,1737957582247,173214402.8351832,11361865.48494827,30
KRW-QKC,2025-01-27T05:00:00,2025-01-27T14:00:00,15.32,15.35,15.24,15.33,1737955753148,218784318.85212958,14297973.23976118,30
KRW-QKC,2025-01-27T04:30:00,2025-01-27T13:30:00,15.4,15.43,15.32,15.33,1737953991167,87840010.25497638,5723873.32655753,30
KRW-QKC,2025-01-27T04:00:00,2025-01-27T13:00:00,15.44,15.46,15.34,15.4,1737952199338,112863425.33192416,7333993.95328968,30
KRW-QKC,2025-01-27T03:30:00,2025-01-27T12:30:00,15.48,15.54,15.4,15.44,1737950378841,117370771.61439513,7587790.11082467,30
KRW-QKC,2025-01-27T03:00:00,2025-01-27T12:00:00,15.3,15.48,15.3,15.48,1737948591931,105786667.0220782,6866211.09701275,30
KRW-QKC,2025-01-27T02:30:00,2025-01-27T11:30:00,15.32,15.39,15.28,15.3,1737946794991,107115045.30311503,6992297.62331053,30
KRW-QKC,2025-01-27T02:00:00,2025-01-27T11:00:00,15.38,15.41,15.26,15.32,1737944969205,167802454.56489888,10946383.68456607,30
KRW-QKC,2025-01-27T01:30:00,2025-01-27T10:30:00,15.29,15.42,15.29,15.34,1737943192732,137603181.92461675,8963689.81339463,30
KRW-QKC,2025-01-27T01:00:00,2025-01-27T10:00:00,15.49,15.57,15.19,15.3,1737941396602,907861897.7532663,59349253.09529063,30
KRW-QKC,2025-01-27T00:30:00,2025-01-27T09:30:00,15.7,15.8,15.44,15.49,1737939592810,641822309.2811344,41157836.95684506,30
KRW-QKC,2025-01-27T00:00:00,2025-01-27T09:00:00,16.59,18.2,15.38,15.67,1737937796858,10525519007.39329,622897346.5868907,30
KRW-QKC,2025-01-26T23:30:00,2025-01-27T08:30:00,16.1,16.59,16.02,16.55,1737935999691,570915329.534566,35136583.37895871,30
KRW-QKC,2025-01-26T23:00:00,2025-01-27T08:00:00,16.18,16.18,15.94,16.11,1737934195958,207275135.14281616,12913960.82682275,30
KRW-QKC,2025-01-26T22:30:00,2025-01-27T07:30:00,16.1,16.33,16.1,16.14,1737932392540,115826724.02046251,7118965.25409425,30
KRW-QKC,2025-01-26T22:00:00,2025-01-27T07:00:00,16.28,16.46,16.09,16.1,1737930567730,135361727.61494964,8348637.44001174,30
KRW-QKC,2025-01-26T21:30:00,2025-01-27T06:30:00,16.21,16.59,16.15,16.39,1737928797127,604587092.3332212,36824307.03996055,30
KRW-QKC,2025-01-26T21:00:00,2025-01-27T06:00:00,16.19,16.22,16.04,16.14,1737926982300,61964183.07639968,3844833.12208035,30
KRW-QKC,2025-01-26T20:30:00,2025-01-27T05:30:00,16.12,16.24,16.08,16.19,1737925055002,12767521.69177568,789960.10441703,30
KRW-QKC,2025-01-26T20:00:00,2025-01-27T05:00:00,16.26,16.27,16.15,16.15,1737923239980,9859739.72477667,608782.70283054,30
KRW-QKC,2025-01-26T19:30:00,2025-01-27T04:30:00,16.08,16.28,16.07,16.27,1737921260988,77806571.01548944,4791604.54165937,30
KRW-QKC,2025-01-26T19:00:00,2025-01-27T04:00:00,16.16,16.22,16.07,16.12,1737919505492,42863398.44533493,2659080.29176868,30
KRW-QKC,2025-01-26T18:30:00,2025-01-27T03:30:00,16.19,16.29,16.13,16.23,1737917993335,87932199.19389576,5422590.53523253,30
KRW-QKC,2025-01-26T18:00:00,2025-01-27T03:00:00,16.08,16.2,16.07,16.11,1737916134848,50802072.46148481,3150880.99132618,30
KRW-QKC,2025-01-26T17:30:00,2025-01-27T02:30:00,15.96,16.16,15.9,16.16,1737914229282,54031035.90256034,3366080.87774269,30
KRW-QKC,2025-01-26T17:00:00,2025-01-27T02:00:00,15.91,16,15.87,15.87,1737912577623,30860424.99899795,1938910.15805041,30
KRW-QKC,2025-01-26T16:30:00,2025-01-27T01:30:00,15.86,15.92,15.78,15.87,1737910742589,34225866.38564368,2159011.93919511,30
KRW-QKC,2025-01-26T16:00:00,2025-01-27T01:00:00,15.87,16.2,15.8,15.86,1737908945529,481932976.3031966,29987791.96082291,30
KRW-QKC,2025-01-26T15:30:00,2025-01-27T00:30:00,15.47,15.87,15.47,15.67,1737907189472,179053546.34581158,11406849.01145159,30
KRW-QKC,2025-01-26T15:00:00,2025-01-27T00:00:00,15.66,15.73,15.46,15.47,1737905397753,178577042.6230949,11498627.45810577,30
KRW-QKC,2025-01-26T14:30:00,2025-01-26T23:30:00,15.61,15.75,15.61,15.66,1737903536986,59336623.67403533,3779408.69480178,30
KRW-QKC,2025-01-26T14:00:00,2025-01-26T23:00:00,15.58,15.66,15.58,15.61,1737901792815,55233435.1159917,3535906.3414033,30
KRW-QKC,2025-01-26T13:30:00,2025-01-26T22:30:00,15.55,15.68,15.54,15.62,1737899983527,81706068.29020998,5241601.10670796,30
KRW-QKC,2025-01-26T13:00:00,2025-01-26T22:00:00,15.52,15.6,15.4,15.6,1737898190101,244683035.26737708,15793821.05752234,30
KRW-QKC,2025-01-26T12:30:00,2025-01-26T21:30:00,15.88,15.88,15.33,15.53,1737896387067,601142853.783489,38802499.09285381,30
KRW-QKC,2025-01-26T12:00:00,2025-01-26T21:00:00,16.05,16.09,15.75,15.92,1737894594325,158886019.40093467,9993306.6658369,30
KRW-QKC,2025-01-26T11:30:00,2025-01-26T20:30:00,15.91,16.05,15.86,16.04,1737892770674,194174801.51772043,12137964.09516206,30
KRW-QKC,2025-01-26T11:00:00,2025-01-26T20:00:00,16.03,16.09,15.7,15.91,1737890993030,381909112.161573,23991756.40110353,30
KRW-QKC,2025-01-26T10:30:00,2025-01-26T19:30:00,15.93,16.14,15.91,16.01,1737889186406,249420317.51755652,15557493.81849797,30
KRW-QKC,2025-01-26T10:00:00,2025-01-26T19:00:00,15.76,16.15,15.75,16.03,1737887397229,358091442.55896235,22337690.62294908,30
KRW-QKC,2025-01-26T09:30:00,2025-01-26T18:30:00,15.81,15.9,15.76,15.76,1737885540347,110364677.1288087,6981691.67572559,30
KRW-QKC,2025-01-26T09:00:00,2025-01-26T18:00:00,15.85,15.95,15.81,15.81,1737883798854,118957998.18698774,7491944.11511222,30
KRW-QKC,2025-01-26T08:30:00,2025-01-26T17:30:00,15.84,15.93,15.79,15.83,1737881991761,60556793.19512174,3820212.38357271,30
KRW-QKC,2025-01-26T08:00:00,2025-01-26T17:00:00,15.8,15.9,15.76,15.84,1737880182818,80016020.07839005,5059316.4025308,30
KRW-QKC,2025-01-26T07:30:00,2025-01-26T16:30:00,15.83,15.85,15.74,15.8,1737878399009,124869340.96131448,7899283.53753461,30
KRW-QKC,2025-01-26T07:00:00,2025-01-26T16:00:00,15.8,15.95,15.57,15.73,1737876597317,338365648.2654539,21523196.45526024,30
KRW-QKC,2025-01-26T06:30:00,2025-01-26T15:30:00,15.78,15.97,15.68,15.8,1737874785396,183446648.75329536,11593949.76176222,30
KRW-QKC,2025-01-26T06:00:00,2025-01-26T15:00:00,16.08,16.11,15.75,15.82,1737872990948,364796178.05050945,22858072.39640659,30
KRW-QKC,2025-01-26T05:30:00,2025-01-26T14:30:00,15.86,16.12,15.83,16.06,1737871195608,591182018.0170205,36864688.79472491,30
KRW-QKC,2025-01-26T05:00:00,2025-01-26T14:00:00,15.75,15.9,15.69,15.88,1737869386841,221603013.43914628,14043083.43621985,30
KRW-QKC,2025-01-26T04:30:00,2025-01-26T13:30:00,15.65,15.77,15.63,15.75,1737867572482,82422857.63113922,5243245.75710806,30
KRW-QKC,2025-01-26T04:00:00,2025-01-26T13:00:00,15.59,15.72,15.59,15.65,1737865668227,44979735.9697585,2872547.69623096,30
KRW-QKC,2025-01-26T03:30:00,2025-01-26T12:30:00,15.88,15.9,15.51,15.59,1737863995521,254858616.36627477,16245746.96073183,30
KRW-QKC,2025-01-26T03:00:00,2025-01-26T12:00:00,15.48,15.89,15.41,15.89,1737862195248,355534394.7349045,22689846.28832812,30
KRW-QKC,2025-01-26T02:30:00,2025-01-26T11:30:00,15.34,15.49,15.33,15.49,1737860385105,84604623.60950331,5500898.59607087,30
KRW-QKC,2025-01-26T02:00:00,2025-01-26T11:00:00,15.31,15.36,15.29,15.34,1737858567083,102551821.02851391,6692958.10066624,30
KRW-QKC,2025-01-26T01:30:00,2025-01-26T10:30:00,15.33,15.38,15.28,15.31,1737856799274,104384418.7590187,6817933.29869332,30
KRW-QKC,2025-01-26T01:00:00,2025-01-26T10:00:00,15.33,15.4,15.26,15.39,1737854910499,161729407.46778607,10556338.9954039,30
KRW-QKC,2025-01-26T00:30:00,2025-01-26T09:30:00,15.5,15.52,15.26,15.32,1737853187194,465749108.15620327,30279097.44664048,30
KRW-QKC,2025-01-26T00:00:00,2025-01-26T09:00:00,15.38,16,15.12,15.5,1737851399372,1767263261.045757,113029778.69528104,30
KRW-QKC,2025-01-25T23:30:00,2025-01-26T08:30:00,15.35,15.52,15.24,15.45,1737849595570,233045031.21301037,15107577.39881477,30
KRW-QKC,2025-01-25T23:00:00,2025-01-26T08:00:00,15.24,15.35,15.2,15.35,1737847775895,91157836.66271311,5964266.31346812,30
KRW-QKC,2025-01-25T22:30:00,2025-01-26T07:30:00,15.19,15.28,15.17,15.24,1737845962670,34293622.35848467,2254797.20033005,30
KRW-QKC,2025-01-25T22:00:00,2025-01-26T07:00:00,15.15,15.25,15.15,15.2,1737844077527,30522801.52962305,2009087.25805273,30
KRW-QKC,2025-01-25T21:30:00,2025-01-26T06:30:00,15.16,15.21,15.13,15.21,1737842392599,25751128.02454448,1697733.35529273,30
KRW-QKC,2025-01-25T21:00:00,2025-01-26T06:00:00,15.14,15.17,15.09,15.14,1737840336825,25123453.2335592,1660173.23620215,30
KRW-QKC,2025-01-25T20:30:00,2025-01-26T05:30:00,15.16,15.22,15.1,15.15,1737838123413,15080633.68763414,997715.51312177,30
KRW-QKC,2025-01-25T20:00:00,2025-01-26T05:00:00,15.18,15.23,15.11,15.16,1737836966353,24097279.16830071,1590236.79195221,30
