market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-QTUM,2025-01-27T13:30:00,2025-01-27T22:30:00,4229,4234,4217,4234,1737984774135,2233685.17526263,528.73815444,30
KRW-QTUM,2025-01-27T13:00:00,2025-01-27T22:00:00,4228,4254,4200,4230,1737984599433,77228289.72352843,18289.71029015,30
KRW-QTUM,2025-01-27T12:30:00,2025-01-27T21:30:00,4148,4250,4142,4224,1737982785668,89277905.50578572,21249.98094651,30
KRW-QTUM,2025-01-27T12:00:00,2025-01-27T21:00:00,4142,4170,4130,4131,1737980952938,41683445.07286107,10053.43221541,30
KRW-QTUM,2025-01-27T11:30:00,2025-01-27T20:30:00,4163,4178,4142,4147,1737979175789,86051834.66066664,20691.56976563,30
KRW-QTUM,2025-01-27T11:00:00,2025-01-27T20:00:00,4122,4169,4122,4167,1737977399081,32455874.92994351,7826.59875712,30
KRW-QTUM,2025-01-27T10:30:00,2025-01-27T19:30:00,4154,4154,4112,4123,1737975584691,92251392.91506025,22330.23618986,30
KRW-QTUM,2025-01-27T10:00:00,2025-01-27T19:00:00,4190,4190,4145,4154,1737973744813,58636252.65865968,14070.59860952,30
KRW-QTUM,2025-01-27T09:30:00,2025-01-27T18:30:00,4143,4191,4141,4191,1737971956552,35527329.2992787,8529.29355403,30
KRW-QTUM,2025-01-27T09:00:00,2025-01-27T18:00:00,4138,4184,4119,4147,1737970184506,50437532.46633505,12114.55001175,30
KRW-QTUM,2025-01-27T08:30:00,2025-01-27T17:30:00,4152,4157,4104,4139,1737968394371,105000625.7728638,25466.4178376,30
KRW-QTUM,2025-01-27T08:00:00,2025-01-27T17:00:00,4180,4180,4128,4159,1737966589672,94507753.7400713,22749.40887261,30
KRW-QTUM,2025-01-27T07:30:00,2025-01-27T16:30:00,4089,4192,4087,4180,1737964783268,189559541.8784931,45772.56583887,30
KRW-QTUM,2025-01-27T07:00:00,2025-01-27T16:00:00,4183,4192,4088,4105,1737962996892,337007414.8800831,81504.71051059,30
KRW-QTUM,2025-01-27T06:30:00,2025-01-27T15:30:00,4211,4212,4167,4182,1737961187204,253564165.9012892,60556.36645247,30
KRW-QTUM,2025-01-27T06:00:00,2025-01-27T15:00:00,4231,4244,4211,4211,1737959396389,141764293.05607757,33568.30837566,30
KRW-QTUM,2025-01-27T05:30:00,2025-01-27T14:30:00,4250,4250,4224,4249,1737957585575,149572641.04907787,35324.36489744,30
KRW-QTUM,2025-01-27T05:00:00,2025-01-27T14:00:00,4257,4261,4244,4249,1737955754746,55205789.74419431,12981.22443214,30
KRW-QTUM,2025-01-27T04:30:00,2025-01-27T13:30:00,4259,4273,4253,4257,1737953975923,13949670.67762337,3273.80839754,30
KRW-QTUM,2025-01-27T04:00:00,2025-01-27T13:00:00,4277,4283,4250,4259,1737952172579,52795544.65661538,12390.09031338,30
KRW-QTUM,2025-01-27T03:30:00,2025-01-27T12:30:00,4297,4297,4276,4285,1737950399824,16073177.14302755,3753.67986493,30
KRW-QTUM,2025-01-27T03:00:00,2025-01-27T12:00:00,4252,4315,4250,4297,1737948592791,59839516.94035926,13934.27925514,30
KRW-QTUM,2025-01-27T02:30:00,2025-01-27T11:30:00,4273,4273,4250,4250,1737946798753,110870317.98472102,26051.22005609,30
KRW-QTUM,2025-01-27T02:00:00,2025-01-27T11:00:00,4288,4294,4260,4275,1737944997452,148431957.60443625,34726.79838871,30
KRW-QTUM,2025-01-27T01:30:00,2025-01-27T10:30:00,4302,4319,4288,4289,1737943139535,58710997.86545878,13649.63459795,30
KRW-QTUM,2025-01-27T01:00:00,2025-01-27T10:00:00,4314,4329,4288,4308,1737941353323,253836000.74470076,58971.08480128,30
KRW-QTUM,2025-01-27T00:30:00,2025-01-27T09:30:00,4358,4359,4313,4313,1737939548178,120169885.32888347,27766.5824757,30
KRW-QTUM,2025-01-27T00:00:00,2025-01-27T09:00:00,4366,4386,4330,4357,1737937799980,228924999.39833352,52574.23270511,30
KRW-QTUM,2025-01-26T23:30:00,2025-01-27T08:30:00,4376,4377,4350,4370,1737935992739,74751350.42393154,17120.88523985,30
KRW-QTUM,2025-01-26T23:00:00,2025-01-27T08:00:00,4436,4436,4361,4378,1737934163630,144361059.1063703,32891.93261518,30
KRW-QTUM,2025-01-26T22:30:00,2025-01-27T07:30:00,4444,4464,4434,4445,1737932230685,12919128.74883215,2905.39966503,30
KRW-QTUM,2025-01-26T22:00:00,2025-01-27T07:00:00,4439,4444,4424,4441,1737930430875,18834528.51347903,4250.35528344,30
KRW-QTUM,2025-01-26T21:30:00,2025-01-27T06:30:00,4454,4454,4440,4441,1737928700808,15784474.34927084,3552.99988527,30
KRW-QTUM,2025-01-26T21:00:00,2025-01-27T06:00:00,4461,4461,4443,4454,1737926873150,10928682.83098725,2456.3677413,30
KRW-QTUM,2025-01-26T20:30:00,2025-01-27T05:30:00,4477,4477,4461,4461,1737925062149,8573686.32332059,1919.19863139,30
KRW-QTUM,2025-01-26T20:00:00,2025-01-27T05:00:00,4477,4479,4474,4479,1737923282764,2645193.73895752,590.93029718,30
KRW-QTUM,2025-01-26T19:30:00,2025-01-27T04:30:00,4473,4473,4473,4473,1737920962842,3160186.88676579,706.50276923,30
KRW-QTUM,2025-01-26T19:00:00,2025-01-27T04:00:00,4468,4478,4466,4466,1737919294455,11268474.61241998,2522.03879176,30
KRW-QTUM,2025-01-26T18:30:00,2025-01-27T03:30:00,4482,4488,4468,4477,1737917798914,66539161.2647396,14837.96907893,30
KRW-QTUM,2025-01-26T18:00:00,2025-01-27T03:00:00,4474,4492,4474,4481,1737915760113,32054663.30668221,7160.1351009,30
KRW-QTUM,2025-01-26T17:30:00,2025-01-27T02:30:00,4457,4481,4457,4478,1737914331872,30769636.81271749,6879.90164892,30
KRW-QTUM,2025-01-26T17:00:00,2025-01-27T02:00:00,4461,4463,4456,4457,1737912581592,2006944.10923345,450.28768293,30
KRW-QTUM,2025-01-26T16:30:00,2025-01-27T01:30:00,4454,4468,4453,4464,1737910593337,5995326.70692607,1343.21118865,30
KRW-QTUM,2025-01-26T16:00:00,2025-01-27T01:00:00,4466,4466,4444,4453,1737908865681,38497513.53741571,8636.79776474,30
KRW-QTUM,2025-01-26T15:30:00,2025-01-27T00:30:00,4468,4471,4465,4468,1737907139555,16420837.89790301,3676.46813885,30
KRW-QTUM,2025-01-26T15:00:00,2025-01-27T00:00:00,4473,4476,4465,4468,1737905373294,13243111.83552816,2961.03992796,30
KRW-QTUM,2025-01-26T14:30:00,2025-01-26T23:30:00,4460,4481,4460,4475,1737903569857,17497685.86002644,3908.74414305,30
KRW-QTUM,2025-01-26T14:00:00,2025-01-26T23:00:00,4483,4483,4459,4459,1737901767290,19072898.06041183,4266.8600717,30
KRW-QTUM,2025-01-26T13:30:00,2025-01-26T22:30:00,4469,4482,4453,4478,1737899964104,62527811.6072288,13982.84366727,30
KRW-QTUM,2025-01-26T13:00:00,2025-01-26T22:00:00,4445,4506,4444,4477,1737898089209,165664089.01353294,36974.66503464,30
KRW-QTUM,2025-01-26T12:30:00,2025-01-26T21:30:00,4460,4464,4441,4445,1737896394863,58656232.98822808,13181.08236164,30
KRW-QTUM,2025-01-26T12:00:00,2025-01-26T21:00:00,4456,4461,4444,4460,1737894596708,51388174.07973911,11547.39847577,30
KRW-QTUM,2025-01-26T11:30:00,2025-01-26T20:30:00,4444,4460,4437,4459,1737892689271,31927045.40048745,7179.8070783,30
