market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-SAFE,2025-01-27T13:30:00,2025-01-27T22:30:00,1192,1192,1185,1192,1737984765655,5075379.89787172,4272.28239736,30
KRW-SAFE,2025-01-27T13:00:00,2025-01-27T22:00:00,1187,1200,1180,1193,1737984546757,83417671.53642045,69932.26307062,30
KRW-SAFE,2025-01-27T12:30:00,2025-01-27T21:30:00,1153,1197,1152,1187,1737982790254,103637661.11627962,87305.507951,30
KRW-SAFE,2025-01-27T12:00:00,2025-01-27T21:00:00,1156,1166,1154,1154,1737980974526,27401970.016692,23668.01465822,30
KRW-SAFE,2025-01-27T11:30:00,2025-01-27T20:30:00,1163,1169,1155,1156,1737979137605,136687278.7901472,117854.26259548,30
KRW-SAFE,2025-01-27T11:00:00,2025-01-27T20:00:00,1152,1163,1148,1162,1737977369118,98202482.46830992,85084.1243898,30
KRW-SAFE,2025-01-27T10:30:00,2025-01-27T19:30:00,1164,1164,1150,1152,1737975590490,105473268.16790952,91333.79973987,30
KRW-SAFE,2025-01-27T10:00:00,2025-01-27T19:00:00,1174,1174,1165,1166,1737973793120,21091246.41641478,18057.66824241,30
KRW-SAFE,2025-01-27T09:30:00,2025-01-27T18:30:00,1167,1178,1165,1178,1737971973984,5260860.58641059,4496.63629318,30
KRW-SAFE,2025-01-27T09:00:00,2025-01-27T18:00:00,1163,1175,1160,1167,1737970199578,67618967.98275644,57983.20854354,30
KRW-SAFE,2025-01-27T08:30:00,2025-01-27T17:30:00,1169,1169,1155,1165,1737968392506,144749652.47351956,124911.6546384,30
KRW-SAFE,2025-01-27T08:00:00,2025-01-27T17:00:00,1176,1176,1162,1170,1737966565587,61132440.86608737,52255.39258019,30
KRW-SAFE,2025-01-27T07:30:00,2025-01-27T16:30:00,1155,1180,1155,1176,1737964792355,224957366.59565052,192398.94993339,30
KRW-SAFE,2025-01-27T07:00:00,2025-01-27T16:00:00,1179,1186,1155,1155,1737962996215,167483083.12344646,142978.04285646,30
KRW-SAFE,2025-01-27T06:30:00,2025-01-27T15:30:00,1185,1185,1172,1178,1737961182758,310240598.90202403,263092.55610257,30
KRW-SAFE,2025-01-27T06:00:00,2025-01-27T15:00:00,1194,1195,1182,1185,1737959395958,48761200.55777475,41032.54716773,30
KRW-SAFE,2025-01-27T05:30:00,2025-01-27T14:30:00,1203,1203,1188,1195,1737957583063,155988927.17261934,130704.63969818,30
KRW-SAFE,2025-01-27T05:00:00,2025-01-27T14:00:00,1197,1203,1194,1203,1737955746376,71525345.94358277,59679.51562155,30
KRW-SAFE,2025-01-27T04:30:00,2025-01-27T13:30:00,1201,1207,1197,1198,1737953974646,39662382.0016834,32997.28331721,30
KRW-SAFE,2025-01-27T04:00:00,2025-01-27T13:00:00,1204,1205,1197,1202,1737952076468,75093017.24117976,62576.41405684,30
KRW-SAFE,2025-01-27T03:30:00,2025-01-27T12:30:00,1214,1216,1202,1206,1737950311656,86203962.31628685,71409.92132785,30
KRW-SAFE,2025-01-27T03:00:00,2025-01-27T12:00:00,1198,1219,1198,1215,1737948556664,80186180.97600481,66322.21138238,30
KRW-SAFE,2025-01-27T02:30:00,2025-01-27T11:30:00,1203,1205,1198,1198,1737946788888,96790173.885405,80609.90656726,30
KRW-SAFE,2025-01-27T02:00:00,2025-01-27T11:00:00,1215,1219,1202,1204,1737944979059,276954878.1420041,229174.28114003,30
KRW-SAFE,2025-01-27T01:30:00,2025-01-27T10:30:00,1219,1232,1215,1215,1737943159491,135755139.54688612,111145.0103089,30
KRW-SAFE,2025-01-27T01:00:00,2025-01-27T10:00:00,1230,1236,1213,1220,1737941380181,216068713.92329362,176879.22207221,30
KRW-SAFE,2025-01-27T00:30:00,2025-01-27T09:30:00,1242,1242,1225,1230,1737939599421,183701808.28719866,149349.60241068,30
KRW-SAFE,2025-01-27T00:00:00,2025-01-27T09:00:00,1260,1265,1235,1242,1737937798664,586041276.2987585,468767.83291978,30
KRW-SAFE,2025-01-26T23:30:00,2025-01-27T08:30:00,1259,1265,1255,1262,1737935980414,263084045.98550743,208851.09845768,30
KRW-SAFE,2025-01-26T23:00:00,2025-01-27T08:00:00,1267,1270,1256,1262,1737934185697,151087102.9571784,119719.926376,30
KRW-SAFE,2025-01-26T22:30:00,2025-01-27T07:30:00,1268,1275,1265,1268,1737932394955,55804680.76084183,43937.06620504,30
KRW-SAFE,2025-01-26T22:00:00,2025-01-27T07:00:00,1266,1268,1260,1268,1737930537312,54646590.01319995,43245.98273765,30
KRW-SAFE,2025-01-26T21:30:00,2025-01-27T06:30:00,1269,1272,1261,1266,1737928798812,79539764.83208095,62803.58386063,30
KRW-SAFE,2025-01-26T21:00:00,2025-01-27T06:00:00,1279,1279,1263,1265,1737926978367,159647997.23794743,125672.51297994,30
KRW-SAFE,2025-01-26T20:30:00,2025-01-27T05:30:00,1288,1288,1279,1279,1737925072858,26067383.78370476,20344.08645522,30
KRW-SAFE,2025-01-26T20:00:00,2025-01-27T05:00:00,1284,1290,1284,1290,1737923343737,34356729.65502676,26685.99323912,30
KRW-SAFE,2025-01-26T19:30:00,2025-01-27T04:30:00,1285,1286,1282,1286,1737921503256,12909324.85015219,10045.06256147,30
KRW-SAFE,2025-01-26T19:00:00,2025-01-27T04:00:00,1290,1290,1279,1284,1737919774264,24611409.49663244,19166.86311576,30
KRW-SAFE,2025-01-26T18:30:00,2025-01-27T03:30:00,1294,1297,1286,1290,1737917780064,19096337.58492186,14789.03362696,30
