market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-SAND,2025-01-27T13:30:00,2025-01-27T22:30:00,784,788,781,788,1737984820254,247991307.89720973,316000.93704928,30
KRW-SAND,2025-01-27T13:00:00,2025-01-27T22:00:00,778,789,775,784,1737984598491,1319439300.3323648,1686365.34340989,30
KRW-SAND,2025-01-27T12:30:00,2025-01-27T21:30:00,759,784,755,778,1737982793718,1105103869.595405,1427609.58314118,30
KRW-SAND,2025-01-27T12:00:00,2025-01-27T21:00:00,758,762,756,759,1737980996593,371075304.7158406,489553.41865265,30
KRW-SAND,2025-01-27T11:30:00,2025-01-27T20:30:00,761,763,757,758,1737979170591,330928113.60191727,435640.60946058,30
KRW-SAND,2025-01-27T11:00:00,2025-01-27T20:00:00,755,763,754,761,1737977395858,483908444.36895156,638882.0092989,30
KRW-SAND,2025-01-27T10:30:00,2025-01-27T19:30:00,763,764,753,756,1737975598038,832781506.0774193,1100478.2110988,30
KRW-SAND,2025-01-27T10:00:00,2025-01-27T19:00:00,767,767,761,764,1737973799302,313772820.7097847,410924.58072854,30
KRW-SAND,2025-01-27T09:30:00,2025-01-27T18:30:00,761,768,760,768,1737971999390,609794677.802447,798054.06667377,30
KRW-SAND,2025-01-27T09:00:00,2025-01-27T18:00:00,762,770,759,761,1737970196014,526280835.76787895,688290.66846958,30
KRW-SAND,2025-01-27T08:30:00,2025-01-27T17:30:00,766,767,755,762,1737968399817,854991596.8948644,1125618.71444678,30
KRW-SAND,2025-01-27T08:00:00,2025-01-27T17:00:00,769,770,761,767,1737966595959,1103443082.7830875,1439185.58813259,30
KRW-SAND,2025-01-27T07:30:00,2025-01-27T16:30:00,753,773,753,769,1737964794893,1829521155.0599751,2389084.11098727,30
KRW-SAND,2025-01-27T07:00:00,2025-01-27T16:00:00,775,777,752,753,1737962999939,2090700742.3658593,2726257.69190669,30
KRW-SAND,2025-01-27T06:30:00,2025-01-27T15:30:00,781,781,770,775,1737961195387,1824124945.4253743,2355112.20132516,30
KRW-SAND,2025-01-27T06:00:00,2025-01-27T15:00:00,784,785,780,782,1737959390917,893012002.973659,1142345.69402981,30
KRW-SAND,2025-01-27T05:30:00,2025-01-27T14:30:00,787,787,780,784,1737957585147,931011152.8481619,1189393.68636354,30
KRW-SAND,2025-01-27T05:00:00,2025-01-27T14:00:00,788,791,785,787,1737955798714,413528423.7736088,525113.45896061,30
KRW-SAND,2025-01-27T04:30:00,2025-01-27T13:30:00,790,792,785,788,1737953992508,793315674.1117772,1006620.656235,30
KRW-SAND,2025-01-27T04:00:00,2025-01-27T13:00:00,793,793,788,790,1737952198924,562071213.2495091,711103.89132188,30
KRW-SAND,2025-01-27T03:30:00,2025-01-27T12:30:00,799,799,792,793,1737950399054,318467921.192978,400934.91677193,30
KRW-SAND,2025-01-27T03:00:00,2025-01-27T12:00:00,790,801,788,799,1737948597487,1076049625.9960098,1354670.83775133,30
KRW-SAND,2025-01-27T02:30:00,2025-01-27T11:30:00,793,797,789,792,1737946793802,1741018897.3123598,2198985.57890696,30
