market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-SBD,2025-01-27T13:30:00,2025-01-27T22:30:00,6775,6787,6728,6744,1737984811427,311470165.0608788,46173.90419455,30
KRW-SBD,2025-01-27T13:00:00,2025-01-27T22:00:00,6804,6860,6720,6786,1737984599586,3056735589.999538,450829.40989998,30
KRW-SBD,2025-01-27T12:30:00,2025-01-27T21:30:00,6970,6976,6704,6795,1737982799934,4312584670.514586,634457.13479771,30
KRW-SBD,2025-01-27T12:00:00,2025-01-27T21:00:00,6779,7022,6645,6975,1737980998985,6447251592.394388,941933.99220642,30
KRW-SBD,2025-01-27T11:30:00,2025-01-27T20:30:00,6775,6845,6630,6778,1737979198527,6992346280.177879,1038147.17111649,30
KRW-SBD,2025-01-27T11:00:00,2025-01-27T20:00:00,7142,7143,6747,6770,1737977400022,7569915801.696979,1095698.38132344,30
KRW-SBD,2025-01-27T10:30:00,2025-01-27T19:30:00,7005,7241,6988,7142,1737975599360,6126028310.919404,857865.23818152,30
KRW-SBD,2025-01-27T10:00:00,2025-01-27T19:00:00,6998,7077,6925,7012,1737973795829,2309969402.8046217,329966.97782268,30
KRW-SBD,2025-01-27T09:30:00,2025-01-27T18:30:00,6994,7065,6900,6995,1737971999931,3378454476.7839785,483100.3163473,30
KRW-SBD,2025-01-27T09:00:00,2025-01-27T18:00:00,7047,7086,6941,6990,1737970199400,3035691032.113994,432925.04295629,30
KRW-SBD,2025-01-27T08:30:00,2025-01-27T17:30:00,7045,7196,6981,7066,1737968398422,5205068485.531479,735436.96772313,30
KRW-SBD,2025-01-27T08:00:00,2025-01-27T17:00:00,7179,7224,6870,7044,1737966599050,7578780223.497252,1080201.07228747,30
KRW-SBD,2025-01-27T07:30:00,2025-01-27T16:30:00,7239,7320,7024,7181,1737964799150,10554263074.607561,1475296.88590758,30
KRW-SBD,2025-01-27T07:00:00,2025-01-27T16:00:00,7251,7540,7174,7239,1737963000043,12719270094.27601,1729454.40279862,30
KRW-SBD,2025-01-27T06:30:00,2025-01-27T15:30:00,7430,7483,7150,7251,1737961198889,10144161294.535769,1382637.54222746,30
KRW-SBD,2025-01-27T06:00:00,2025-01-27T15:00:00,7428,7695,7322,7430,1737959399866,18393623386.569702,2453843.20895915,30
KRW-SBD,2025-01-27T05:30:00,2025-01-27T14:30:00,7211,7554,7204,7438,1737957599445,18435006457.67607,2481650.3280159,30
KRW-SBD,2025-01-27T05:00:00,2025-01-27T14:00:00,7259,7277,7085,7215,1737955798111,5350549370.985412,744001.05990927,30
KRW-SBD,2025-01-27T04:30:00,2025-01-27T13:30:00,7130,7480,7060,7256,1737953999426,15209638703.685478,2083924.25397823,30
KRW-SBD,2025-01-27T04:00:00,2025-01-27T13:00:00,6907,7291,6855,7115,1737952198999,9789126041.405922,1377225.8202059,30
KRW-SBD,2025-01-27T03:30:00,2025-01-27T12:30:00,6955,6989,6780,6905,1737950398880,7618930554.811472,1106375.98638297,30
KRW-SBD,2025-01-27T03:00:00,2025-01-27T12:00:00,7156,7216,6866,6956,1737948599778,9134613552.606133,1297328.41209881,30
KRW-SBD,2025-01-27T02:30:00,2025-01-27T11:30:00,7350,7377,6998,7146,1737946799409,12720632251.77442,1768806.99911457,30
KRW-SBD,2025-01-27T02:00:00,2025-01-27T11:00:00,7444,7650,7100,7350,1737944999834,26538542338.26934,3572768.34472303,30
KRW-SBD,2025-01-27T01:30:00,2025-01-27T10:30:00,7271,7900,7254,7457,1737943199526,59788775783.50072,7825351.59763949,30
KRW-SBD,2025-01-27T01:00:00,2025-01-27T10:00:00,6511,7634,6464,7293,1737941400035,58216231586.93379,8063788.37739586,30
KRW-SBD,2025-01-27T00:30:00,2025-01-27T09:30:00,6312,6794,6309,6511,1737939599430,10303045670.624151,1564871.65096506,30
KRW-SBD,2025-01-27T00:00:00,2025-01-27T09:00:00,6615,7238,6248,6322,1737937799912,34661247211.77802,5135323.11881589,30
KRW-SBD,2025-01-26T23:30:00,2025-01-27T08:30:00,6521,6828,6442,6586,1737935999962,9942714382.299582,1494854.2412462,30
KRW-SBD,2025-01-26T23:00:00,2025-01-27T08:00:00,6476,6600,6440,6521,1737934194253,1183704360.733184,181637.29252161,30
KRW-SBD,2025-01-26T22:30:00,2025-01-27T07:30:00,6574,6612,6434,6488,1737932399965,990917210.7174287,151817.47710092,30
KRW-SBD,2025-01-26T22:00:00,2025-01-27T07:00:00,6725,6727,6490,6573,1737930594104,1470041671.303548,222843.65508909,30
KRW-SBD,2025-01-26T21:30:00,2025-01-27T06:30:00,6555,6727,6555,6725,1737928799959,773267849.7344184,116824.75716103,30
KRW-SBD,2025-01-26T21:00:00,2025-01-27T06:00:00,6640,6658,6500,6555,1737926989038,570228670.1002655,86672.00677427,30
KRW-SBD,2025-01-26T20:30:00,2025-01-27T05:30:00,6524,6660,6502,6642,1737925198638,549762949.375031,83370.07692324,30
KRW-SBD,2025-01-26T20:00:00,2025-01-27T05:00:00,6484,6595,6476,6525,1737923398411,515504103.38054526,78707.3796647,30
KRW-SBD,2025-01-26T19:30:00,2025-01-27T04:30:00,6454,6518,6418,6488,1737921586017,273837630.51303726,42413.52820724,30
KRW-SBD,2025-01-26T19:00:00,2025-01-27T04:00:00,6511,6538,6449,6453,1737919797693,148035780.4442987,22803.85961495,30
KRW-SBD,2025-01-26T18:30:00,2025-01-27T03:30:00,6536,6547,6508,6511,1737917955861,180649000.06543243,27664.36355132,30
KRW-SBD,2025-01-26T18:00:00,2025-01-27T03:00:00,6490,6592,6482,6535,1737916196549,423415000.63393486,64834.01115889,30
KRW-SBD,2025-01-26T17:30:00,2025-01-27T02:30:00,6451,6495,6427,6489,1737914398256,245188561.0067164,37930.86620978,30
KRW-SBD,2025-01-26T17:00:00,2025-01-27T02:00:00,6435,6481,6360,6451,1737912594584,648505307.6421604,100855.93273459,30
KRW-SBD,2025-01-26T16:30:00,2025-01-27T01:30:00,6441,6454,6392,6435,1737910799234,374685472.02157634,58405.73490753,30
KRW-SBD,2025-01-26T16:00:00,2025-01-27T01:00:00,6319,6515,6316,6459,1737908993157,1505780937.050932,234349.49354522,30
KRW-SBD,2025-01-26T15:30:00,2025-01-27T00:30:00,6489,6496,6316,6316,1737907198809,2142988720.5935314,335724.34250774,30
KRW-SBD,2025-01-26T15:00:00,2025-01-27T00:00:00,6521,6521,6466,6489,1737905399186,878788453.898242,135471.2105889,30
KRW-SBD,2025-01-26T14:30:00,2025-01-26T23:30:00,6487,6566,6461,6521,1737903598821,1494696436.7579546,229922.99402794,30
KRW-SBD,2025-01-26T14:00:00,2025-01-26T23:00:00,6504,6552,6460,6474,1737901798859,1293247576.674589,198648.20817752,30
KRW-SBD,2025-01-26T13:30:00,2025-01-26T22:30:00,6523,6561,6451,6515,1737899996519,1999905470.2641053,307501.84413986,30
KRW-SBD,2025-01-26T13:00:00,2025-01-26T22:00:00,6582,6631,6432,6528,1737898199777,4840184889.873794,741603.77457637,30
KRW-SBD,2025-01-26T12:30:00,2025-01-26T21:30:00,6736,6760,6525,6582,1737896399507,6814754016.217409,1028664.21409653,30
KRW-SBD,2025-01-26T12:00:00,2025-01-26T21:00:00,6825,6954,6725,6751,1737894599190,6169675281.239659,903717.2442134,30
KRW-SBD,2025-01-26T11:30:00,2025-01-26T20:30:00,6740,7132,6663,6833,1737892798695,14260522089.578178,2053859.1572395,30
KRW-SBD,2025-01-26T11:00:00,2025-01-26T20:00:00,6778,6787,6633,6746,1737890998328,5545608635.951304,827540.73480885,30
KRW-SBD,2025-01-26T10:30:00,2025-01-26T19:30:00,7068,7080,6750,6778,1737889199390,6682754675.161507,972658.00797787,30
KRW-SBD,2025-01-26T10:00:00,2025-01-26T19:00:00,7011,7171,6990,7060,1737887399804,4633462986.115191,655882.98992317,30
KRW-SBD,2025-01-26T09:30:00,2025-01-26T18:30:00,6901,7269,6864,7005,1737885599966,12382284256.51899,1748695.72353266,30
KRW-SBD,2025-01-26T09:00:00,2025-01-26T18:00:00,7000,7045,6800,6897,1737883797670,8632960691.954508,1246541.69789299,30
KRW-SBD,2025-01-26T08:30:00,2025-01-26T17:30:00,7110,7170,6950,7000,1737881999988,8583454982.368795,1219531.89147761,30
KRW-SBD,2025-01-26T08:00:00,2025-01-26T17:00:00,7050,7337,6937,7102,1737880199600,27813652998.523582,3884318.20703065,30
KRW-SBD,2025-01-26T07:30:00,2025-01-26T16:30:00,6624,7367,6525,7050,1737878399985,42275465834.909294,6031680.83148658,30
KRW-SBD,2025-01-26T07:00:00,2025-01-26T16:00:00,7603,7611,6572,6655,1737876599940,44844745431.50426,6359832.39779654,30
KRW-SBD,2025-01-26T06:30:00,2025-01-26T15:30:00,7345,8298,7212,7603,1737874799891,103952543993.6227,13469759.05220242,30
KRW-SBD,2025-01-26T06:00:00,2025-01-26T15:00:00,6159,7500,6159,7356,1737873000028,36601655042.54132,5322370.89575561,30
KRW-SBD,2025-01-26T05:30:00,2025-01-26T14:30:00,6155,6168,6131,6156,1737871196505,559622612.6137983,91104.46697205,30
