market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-SC,2025-01-27T13:30:00,2025-01-27T22:30:00,7.778,7.793,7.766,7.793,1737984778035,3628378.6770594,466656.95450345,30
KRW-SC,2025-01-27T13:00:00,2025-01-27T22:00:00,7.764,7.842,7.718,7.781,1737984563723,77207385.82050449,9922600.88824023,30
KRW-SC,2025-01-27T12:30:00,2025-01-27T21:30:00,7.612,7.836,7.596,7.746,1737982790909,115000031.39186393,14846112.04214335,30
KRW-SC,2025-01-27T12:00:00,2025-01-27T21:00:00,7.59,7.616,7.575,7.596,1737980994155,62171829.77372528,8180656.79170721,30
KRW-SC,2025-01-27T11:30:00,2025-01-27T20:30:00,7.618,7.657,7.59,7.59,1737979196327,33490100.85777549,4401429.52839396,30
KRW-SC,2025-01-27T11:00:00,2025-01-27T20:00:00,7.604,7.634,7.572,7.617,1737977184283,31606556.41196685,4155483.94867652,30
KRW-SC,2025-01-27T10:30:00,2025-01-27T19:30:00,7.664,7.666,7.567,7.601,1737975586406,71356408.34184046,9374913.82228272,30
KRW-SC,2025-01-27T10:00:00,2025-01-27T19:00:00,7.689,7.69,7.648,7.665,1737973721140,18528596.49073504,2413263.59566681,30
KRW-SC,2025-01-27T09:30:00,2025-01-27T18:30:00,7.62,7.705,7.62,7.69,1737971922335,26280250.46357804,3423429.63982592,30
KRW-SC,2025-01-27T09:00:00,2025-01-27T18:00:00,7.625,7.765,7.61,7.62,1737970187220,70029576.06961612,9137671.51100623,30
KRW-SC,2025-01-27T08:30:00,2025-01-27T17:30:00,7.669,7.669,7.561,7.625,1737968329524,72285365.58078896,9508568.3106424,30
KRW-SC,2025-01-27T08:00:00,2025-01-27T17:00:00,7.742,7.742,7.64,7.67,1737966561309,47181766.3459477,6134584.29382301,30
KRW-SC,2025-01-27T07:30:00,2025-01-27T16:30:00,7.559,7.77,7.536,7.743,1737964790266,165607944.2726375,21604393.48562267,30
KRW-SC,2025-01-27T07:00:00,2025-01-27T16:00:00,7.727,7.798,7.559,7.559,1737962999377,250513338.82604164,32763783.96630679,30
KRW-SC,2025-01-27T06:30:00,2025-01-27T15:30:00,7.712,7.762,7.628,7.724,1737961197660,231286789.59752053,30073566.707112,30
KRW-SC,2025-01-27T06:00:00,2025-01-27T15:00:00,7.791,7.809,7.711,7.711,1737959399847,83442806.99020357,10769179.1251579,30
KRW-SC,2025-01-27T05:30:00,2025-01-27T14:30:00,7.803,7.81,7.725,7.78,1737957550575,252740389.32848823,32531026.54553768,30
KRW-SC,2025-01-27T05:00:00,2025-01-27T14:00:00,7.823,7.845,7.78,7.803,1737955768295,34625118.91025328,4435849.75846279,30
KRW-SC,2025-01-27T04:30:00,2025-01-27T13:30:00,7.851,7.851,7.815,7.821,1737953935286,19098169.72574806,2437615.36021372,30
KRW-SC,2025-01-27T04:00:00,2025-01-27T13:00:00,7.885,7.89,7.825,7.855,1737952143255,58951021.43995032,7492510.6468346,30
KRW-SC,2025-01-27T03:30:00,2025-01-27T12:30:00,7.872,7.884,7.852,7.884,1737950369642,47432617.5368906,6033796.36394344,30
KRW-SC,2025-01-27T03:00:00,2025-01-27T12:00:00,7.763,7.867,7.763,7.867,1737948511455,36481487.97103781,4665313.1402613,30
KRW-SC,2025-01-27T02:30:00,2025-01-27T11:30:00,7.81,7.812,7.757,7.765,1737946799876,71297931.25748774,9165515.48538336,30
KRW-SC,2025-01-27T02:00:00,2025-01-27T11:00:00,7.895,7.895,7.795,7.795,1737944965351,168758278.65422025,21568038.34445632,30
KRW-SC,2025-01-27T01:30:00,2025-01-27T10:30:00,7.899,7.945,7.877,7.898,1737943179494,24202138.29108629,3058485.69489836,30
KRW-SC,2025-01-27T01:00:00,2025-01-27T10:00:00,7.931,7.949,7.852,7.895,1737941398413,140964104.33065185,17830802.25045413,30
KRW-SC,2025-01-27T00:30:00,2025-01-27T09:30:00,7.976,7.995,7.93,7.938,1737939563102,84285248.78649077,10580294.62190143,30
KRW-SC,2025-01-27T00:00:00,2025-01-27T09:00:00,7.999,8.04,7.94,7.97,1737937792649,125329561.6716645,15698259.2487586,30
KRW-SC,2025-01-26T23:30:00,2025-01-27T08:30:00,7.998,8.022,7.978,7.999,1737935979226,64489435.55908327,8070373.83245776,30
KRW-SC,2025-01-26T23:00:00,2025-01-27T08:00:00,8.046,8.048,7.981,8.005,1737934197304,203142409.54432294,25373967.79292095,30
KRW-SC,2025-01-26T22:30:00,2025-01-27T07:30:00,8.047,8.069,8.035,8.047,1737932374454,44243258.63479589,5495689.64403208,30
KRW-SC,2025-01-26T22:00:00,2025-01-27T07:00:00,8.071,8.071,8.029,8.044,1737930580523,43856841.6702202,5449069.2338994,30
KRW-SC,2025-01-26T21:30:00,2025-01-27T06:30:00,8.098,8.098,8.071,8.071,1737928783077,12859818.7562421,1592326.4494749,30
KRW-SC,2025-01-26T21:00:00,2025-01-27T06:00:00,8.103,8.103,8.079,8.094,1737926898772,20301777.15926676,2509827.34300073,30
KRW-SC,2025-01-26T20:30:00,2025-01-27T05:30:00,8.123,8.123,8.086,8.104,1737925147664,14844274.04963991,1832612.13775185,30
KRW-SC,2025-01-26T20:00:00,2025-01-27T05:00:00,8.119,8.124,8.091,8.122,1737923024774,8406815.59919553,1037948.41446536,30
KRW-SC,2025-01-26T19:30:00,2025-01-27T04:30:00,8.124,8.125,8.124,8.125,1737921375072,863102.71303787,106232.23367014,30
KRW-SC,2025-01-26T19:00:00,2025-01-27T04:00:00,8.119,8.119,8.095,8.112,1737919604804,21261051.41744263,2620345.64706952,30
KRW-SC,2025-01-26T18:30:00,2025-01-27T03:30:00,8.14,8.14,8.118,8.118,1737917756946,19428331.76250721,2392806.88965672,30
KRW-SC,2025-01-26T18:00:00,2025-01-27T03:00:00,8.135,8.141,8.11,8.138,1737916186693,8692567.44482368,1070331.21450755,30
KRW-SC,2025-01-26T17:30:00,2025-01-27T02:30:00,8.159,8.183,8.108,8.135,1737914305238,27649973.87817932,3393583.64709422,30
