market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-SEI,2025-01-27T13:30:00,2025-01-27T22:30:00,477,479,476,479,1737984818662,101690054.54590748,213273.43592867,30
KRW-SEI,2025-01-27T13:00:00,2025-01-27T22:00:00,477,483,472,477,1737984595316,1624986449.663057,3393747.95867066,30
KRW-SEI,2025-01-27T12:30:00,2025-01-27T21:30:00,463,479,463,477,1737982794242,1467711870.4408386,3105545.17153832,30
KRW-SEI,2025-01-27T12:00:00,2025-01-27T21:00:00,463,468,461,464,1737980998589,932585336.1343877,2010097.14157857,30
KRW-SEI,2025-01-27T11:30:00,2025-01-27T20:30:00,467,470,463,465,1737979186356,569824496.2335148,1221766.77707114,30
KRW-SEI,2025-01-27T11:00:00,2025-01-27T20:00:00,464,469,461,467,1737977396412,1119173697.921172,2407818.87695487,30
KRW-SEI,2025-01-27T10:30:00,2025-01-27T19:30:00,466,468,461,464,1737975599288,1520138380.6934774,3277873.8485622,30
KRW-SEI,2025-01-27T10:00:00,2025-01-27T19:00:00,473,473,466,466,1737973800033,1327089297.9124434,2829941.53887885,30
KRW-SEI,2025-01-27T09:30:00,2025-01-27T18:30:00,470,474,468,473,1737971971922,453042129.9356651,963385.03849385,30
KRW-SEI,2025-01-27T09:00:00,2025-01-27T18:00:00,470,476,468,469,1737970198844,609957220.3022461,1290005.25846202,30
KRW-SEI,2025-01-27T08:30:00,2025-01-27T17:30:00,470,472,465,471,1737968397213,1761785323.3053758,3766793.05943331,30
KRW-SEI,2025-01-27T08:00:00,2025-01-27T17:00:00,475,476,468,470,1737966581083,1384963800.1608815,2941632.20262322,30
KRW-SEI,2025-01-27T07:30:00,2025-01-27T16:30:00,467,479,467,475,1737964795050,1100206075.8852413,2320274.84371983,30
KRW-SEI,2025-01-27T07:00:00,2025-01-27T16:00:00,479,482,467,467,1737962999565,2323995871.6364584,4905397.63360475,30
KRW-SEI,2025-01-27T06:30:00,2025-01-27T15:30:00,483,484,477,480,1737961195870,1688236839.5686915,3518490.91751757,30
KRW-SEI,2025-01-27T06:00:00,2025-01-27T15:00:00,486,489,483,484,1737959387770,558545888.4541388,1151022.73568645,30
KRW-SEI,2025-01-27T05:30:00,2025-01-27T14:30:00,487,488,483,486,1737957590532,1060406289.8173133,2186985.0553281,30
KRW-SEI,2025-01-27T05:00:00,2025-01-27T14:00:00,489,490,486,487,1737955791924,514226006.44959897,1053733.65667583,30
KRW-SEI,2025-01-27T04:30:00,2025-01-27T13:30:00,488,492,487,489,1737953985254,748449827.1433216,1531092.0186681,30
KRW-SEI,2025-01-27T04:00:00,2025-01-27T13:00:00,492,492,488,488,1737952198004,638975251.5942026,1305401.94593534,30
KRW-SEI,2025-01-27T03:30:00,2025-01-27T12:30:00,494,494,490,492,1737950398700,475016652.83549696,967123.12106153,30
KRW-SEI,2025-01-27T03:00:00,2025-01-27T12:00:00,489,496,487,494,1737948593798,615204594.4969375,1251480.37180125,30
KRW-SEI,2025-01-27T02:30:00,2025-01-27T11:30:00,490,492,487,489,1737946798385,1159958804.0279663,2369372.08023599,30
KRW-SEI,2025-01-27T02:00:00,2025-01-27T11:00:00,494,495,489,491,1737944995780,1265429913.9101396,2573592.61936576,30
KRW-SEI,2025-01-27T01:30:00,2025-01-27T10:30:00,496,500,493,494,1737943196690,605856998.5872852,1220637.78833524,30
KRW-SEI,2025-01-27T01:00:00,2025-01-27T10:00:00,501,503,493,497,1737941398481,1487507955.8512094,2991156.05165885,30
KRW-SEI,2025-01-27T00:30:00,2025-01-27T09:30:00,505,506,498,500,1737939590429,1252738829.1982617,2496385.66526175,30
KRW-SEI,2025-01-27T00:00:00,2025-01-27T09:00:00,515,517,501,506,1737937796567,1564221623.874254,3074929.55011156,30
KRW-SEI,2025-01-26T23:30:00,2025-01-27T08:30:00,518,518,514,516,1737935998238,648730257.9415141,1257121.25904559,30
KRW-SEI,2025-01-26T23:00:00,2025-01-27T08:00:00,524,524,516,519,1737934194556,882303766.5820401,1699912.66990559,30
KRW-SEI,2025-01-26T22:30:00,2025-01-27T07:30:00,526,529,523,525,1737932392590,124813200.9043515,237652.14273404,30
KRW-SEI,2025-01-26T22:00:00,2025-01-27T07:00:00,524,527,523,526,1737930591881,268428029.97187057,512350.40750615,30
KRW-SEI,2025-01-26T21:30:00,2025-01-27T06:30:00,530,530,524,525,1737928799673,180672663.6198423,343122.57117337,30
KRW-SEI,2025-01-26T21:00:00,2025-01-27T06:00:00,532,533,528,530,1737926878916,135329465.12003124,255410.80950869,30
KRW-SEI,2025-01-26T20:30:00,2025-01-27T05:30:00,538,538,533,533,1737925134559,115479174.43936694,215808.87043907,30
KRW-SEI,2025-01-26T20:00:00,2025-01-27T05:00:00,538,540,536,537,1737923328324,124678275.41408747,231435.88936019,30
KRW-SEI,2025-01-26T19:30:00,2025-01-27T04:30:00,535,538,534,538,1737921504122,73205068.27468982,136734.01114901,30
KRW-SEI,2025-01-26T19:00:00,2025-01-27T04:00:00,537,539,535,535,1737919788926,73675612.50415014,137259.84765973,30
KRW-SEI,2025-01-26T18:30:00,2025-01-27T03:30:00,538,538,536,537,1737917982717,46814178.52736111,87154.06435168,30
KRW-SEI,2025-01-26T18:00:00,2025-01-27T03:00:00,536,539,535,538,1737916186826,135043347.33821562,251299.01969578,30
KRW-SEI,2025-01-26T17:30:00,2025-01-27T02:30:00,532,537,531,536,1737914370553,170531603.36876974,319195.26491569,30
KRW-SEI,2025-01-26T17:00:00,2025-01-27T02:00:00,531,533,530,532,1737912493543,42335732.4719394,79651.01358269,30
KRW-SEI,2025-01-26T16:30:00,2025-01-27T01:30:00,530,532,530,531,1737910790554,76452692.41216582,143867.48988887,30
KRW-SEI,2025-01-26T16:00:00,2025-01-27T01:00:00,532,533,528,529,1737908995915,460367501.5035902,869035.34497947,30
KRW-SEI,2025-01-26T15:30:00,2025-01-27T00:30:00,532,533,531,532,1737907173537,305519865.2166845,574423.52529653,30
KRW-SEI,2025-01-26T15:00:00,2025-01-27T00:00:00,529,532,528,532,1737905399745,144725377.13982812,272710.56479859,30
KRW-SEI,2025-01-26T14:30:00,2025-01-26T23:30:00,527,530,526,530,1737903578258,235610986.6802825,445154.51383776,30
KRW-SEI,2025-01-26T14:00:00,2025-01-26T23:00:00,530,530,526,527,1737901774800,142180735.38022432,269499.80389824,30
KRW-SEI,2025-01-26T13:30:00,2025-01-26T22:30:00,529,531,528,529,1737899942130,119654739.75023843,226080.15523275,30
KRW-SEI,2025-01-26T13:00:00,2025-01-26T22:00:00,529,530,527,528,1737898154398,268270152.26544884,507421.42567259,30
KRW-SEI,2025-01-26T12:30:00,2025-01-26T21:30:00,526,529,524,528,1737896371517,313495725.473256,596208.37658266,30
KRW-SEI,2025-01-26T12:00:00,2025-01-26T21:00:00,525,527,523,525,1737894585931,118462717.05956288,225670.69996329,30
KRW-SEI,2025-01-26T11:30:00,2025-01-26T20:30:00,525,527,524,526,1737892766687,75631243.72569501,143914.00704324,30
KRW-SEI,2025-01-26T11:00:00,2025-01-26T20:00:00,525,526,524,524,1737890890774,88611066.44142942,168843.53916514,30
KRW-SEI,2025-01-26T10:30:00,2025-01-26T19:30:00,522,525,521,524,1737889196645,121676395.15757744,232950.44672716,30
KRW-SEI,2025-01-26T10:00:00,2025-01-26T19:00:00,520,523,520,522,1737887340398,113977150.46267655,218499.18284895,30
KRW-SEI,2025-01-26T09:30:00,2025-01-26T18:30:00,521,522,519,520,1737885547289,205144389.9226219,394167.0309746,30
KRW-SEI,2025-01-26T09:00:00,2025-01-26T18:00:00,526,526,521,522,1737883761998,260622915.7476421,497981.68327302,30
KRW-SEI,2025-01-26T08:30:00,2025-01-26T17:30:00,526,527,524,526,1737881997379,66160020.81685496,126007.29779309,30
