market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-SNT,2025-01-27T13:30:00,2025-01-27T22:30:00,58.84,58.99,58.84,58.94,1737984702116,16904578.02205248,286900.78698439,30
KRW-SNT,2025-01-27T13:00:00,2025-01-27T22:00:00,59.06,59.4,58.72,58.81,1737984566978,87253220.01790261,1479459.05961409,30
KRW-SNT,2025-01-27T12:30:00,2025-01-27T21:30:00,58,59.6,57.87,58.92,1737982791052,116573769.32048957,1976324.48399446,30
KRW-SNT,2025-01-27T12:00:00,2025-01-27T21:00:00,57.81,58.12,57.6,58.03,1737980939420,89141125.71396913,1538191.19614965,30
KRW-SNT,2025-01-27T11:30:00,2025-01-27T20:30:00,58.12,58.33,57.81,57.86,1737979175384,29568089.99465903,509411.40040855,30
KRW-SNT,2025-01-27T11:00:00,2025-01-27T20:00:00,57.75,58.19,57.52,58.13,1737977357436,234001918.37531558,4054763.38367344,30
KRW-SNT,2025-01-27T10:30:00,2025-01-27T19:30:00,58.58,58.58,57.72,57.75,1737975584852,71297195.31500228,1229831.57733145,30
KRW-SNT,2025-01-27T10:00:00,2025-01-27T19:00:00,58.99,58.99,58.48,58.65,1737973703396,26525235.65493868,452276.15765645,30
KRW-SNT,2025-01-27T09:30:00,2025-01-27T18:30:00,58.75,59.13,58.52,58.99,1737971999416,138149003.1888588,2348382.36123566,30
KRW-SNT,2025-01-27T09:00:00,2025-01-27T18:00:00,58.43,59.13,58.28,58.7,1737970186095,36153097.72936972,615526.178055,30
KRW-SNT,2025-01-27T08:30:00,2025-01-27T17:30:00,58.3,58.61,57.63,58.43,1737968373699,270870445.3801904,4668331.9504089,30
KRW-SNT,2025-01-27T08:00:00,2025-01-27T17:00:00,58.91,58.96,58.2,58.38,1737966580061,135484812.7117977,2315190.62018927,30
KRW-SNT,2025-01-27T07:30:00,2025-01-27T16:30:00,57.84,59.31,57.75,58.76,1737964796184,270393272.854777,4604975.45710022,30
KRW-SNT,2025-01-27T07:00:00,2025-01-27T16:00:00,59.04,59.26,57.84,57.89,1737962998728,275399878.56703794,4710581.3178544,30
KRW-SNT,2025-01-27T06:30:00,2025-01-27T15:30:00,59.6,59.6,58.37,58.9,1737961177923,415446197.47660494,7055088.15988206,30
KRW-SNT,2025-01-27T06:00:00,2025-01-27T15:00:00,60.13,60.22,59.53,59.6,1737959389873,60336362.20057829,1008928.40835298,30
KRW-SNT,2025-01-27T05:30:00,2025-01-27T14:30:00,60.1,60.18,59.51,60.13,1737957592455,121260985.05849747,2029567.03372991,30
KRW-SNT,2025-01-27T05:00:00,2025-01-27T14:00:00,60.09,60.71,59.98,60.1,1737955584622,32929651.40041004,545348.21906848,30
KRW-SNT,2025-01-27T04:30:00,2025-01-27T13:30:00,60.24,60.39,60.1,60.1,1737953992647,38427182.62548948,638237.36830195,30
KRW-SNT,2025-01-27T04:00:00,2025-01-27T13:00:00,60.29,60.35,59.97,60.24,1737952037028,28745199.98423251,477445.29036605,30
KRW-SNT,2025-01-27T03:30:00,2025-01-27T12:30:00,60.31,60.39,60.16,60.29,1737950394610,13393143.46593644,222366.70498445,30
KRW-SNT,2025-01-27T03:00:00,2025-01-27T12:00:00,60,60.48,59.88,60.4,1737948472453,22070020.43882464,367063.36692553,30
KRW-SNT,2025-01-27T02:30:00,2025-01-27T11:30:00,59.87,60.2,59.61,60.15,1737946764088,83082562.52394362,1387127.24588752,30
KRW-SNT,2025-01-27T02:00:00,2025-01-27T11:00:00,60.08,60.33,59.59,59.87,1737944979320,131437613.88170312,2192032.10835326,30
KRW-SNT,2025-01-27T01:30:00,2025-01-27T10:30:00,60.35,60.52,60.07,60.13,1737943195949,82291126.97481675,1365725.11710945,30
KRW-SNT,2025-01-27T01:00:00,2025-01-27T10:00:00,60.7,60.92,60.1,60.52,1737941387392,166723948.51161873,2755419.11993305,30
KRW-SNT,2025-01-27T00:30:00,2025-01-27T09:30:00,61.15,61.2,60.74,60.74,1737939507815,104199817.38630617,1711438.66193447,30
KRW-SNT,2025-01-27T00:00:00,2025-01-27T09:00:00,61.28,61.74,60.69,61.15,1737937793309,412930625.4487294,6754648.95300244,30
KRW-SNT,2025-01-26T23:30:00,2025-01-27T08:30:00,61.2,62.49,60.86,61.22,1737935986845,165344770.8572733,2700337.84810106,30
KRW-SNT,2025-01-26T23:00:00,2025-01-27T08:00:00,62.18,62.18,61.03,61.17,1737934199623,137799062.4023143,2239792.03557101,30
KRW-SNT,2025-01-26T22:30:00,2025-01-27T07:30:00,62.36,62.67,62.18,62.2,1737932398494,51833915.08090099,829890.84089864,30
KRW-SNT,2025-01-26T22:00:00,2025-01-27T07:00:00,62.46,62.46,62.24,62.43,1737930423270,95728745.18508089,1535230.1746213,30
KRW-SNT,2025-01-26T21:30:00,2025-01-27T06:30:00,62.54,62.71,62.43,62.46,1737928503244,11094619.4167648,177514.39916359,30
KRW-SNT,2025-01-26T21:00:00,2025-01-27T06:00:00,62.45,62.67,62.42,62.67,1737926504230,20084874.22207648,321296.19588753,30
KRW-SNT,2025-01-26T20:30:00,2025-01-27T05:30:00,62.52,62.56,62.41,62.56,1737925179217,5445473.43574164,87193.35784711,30
KRW-SNT,2025-01-26T20:00:00,2025-01-27T05:00:00,62.46,62.55,62.42,62.55,1737923147085,4621293.11207086,73932.43906811,30
KRW-SNT,2025-01-26T19:30:00,2025-01-27T04:30:00,62.67,62.79,62.44,62.6,1737921249241,30934817.88009336,494894.564941,30
KRW-SNT,2025-01-26T19:00:00,2025-01-27T04:00:00,63.02,63.02,62.67,62.68,1737919614528,24840040.73345266,395329.23461253,30
KRW-SNT,2025-01-26T18:30:00,2025-01-27T03:30:00,63.19,63.19,63.01,63.01,1737917975809,15890414.37048387,251893.85833989,30
KRW-SNT,2025-01-26T18:00:00,2025-01-27T03:00:00,63.01,63.19,63.01,63.19,1737916172395,50296576.52416608,796581.07056361,30
KRW-SNT,2025-01-26T17:30:00,2025-01-27T02:30:00,62.76,63.2,62.76,63.2,1737914396886,31916554.68472691,505643.76765853,30
KRW-SNT,2025-01-26T17:00:00,2025-01-27T02:00:00,62.9,63.06,62.79,62.79,1737912531539,26877871.51389509,427025.93599703,30
KRW-SNT,2025-01-26T16:30:00,2025-01-27T01:30:00,62.76,62.98,62.71,62.9,1737910640071,28526551.83334354,454201.85735169,30
KRW-SNT,2025-01-26T16:00:00,2025-01-27T01:00:00,62.71,62.8,62.56,62.58,1737908993131,81201346.74959631,1295280.27013749,30
KRW-SNT,2025-01-26T15:30:00,2025-01-27T00:30:00,62.71,62.86,62.7,62.71,1737907189585,14066488.77190924,224240.12207394,30
KRW-SNT,2025-01-26T15:00:00,2025-01-27T00:00:00,62.7,62.91,62.61,62.8,1737905377100,42738226.37289701,681224.5155219,30
KRW-SNT,2025-01-26T14:30:00,2025-01-26T23:30:00,62.4,62.78,62.3,62.78,1737903580284,17104643.40705464,273186.78117131,30
KRW-SNT,2025-01-26T14:00:00,2025-01-26T23:00:00,62.72,62.78,62.3,62.3,1737901677860,48616247.15557647,778181.10488395,30
KRW-SNT,2025-01-26T13:30:00,2025-01-26T22:30:00,62.56,62.73,62.5,62.73,1737899917917,24352362.30351447,388979.26473044,30
KRW-SNT,2025-01-26T13:00:00,2025-01-26T22:00:00,62.53,62.65,62.43,62.65,1737898151267,38337339.22424207,613298.66050848,30
KRW-SNT,2025-01-26T12:30:00,2025-01-26T21:30:00,62.8,62.81,62.33,62.51,1737896328445,135853908.77578008,2171572.75712734,30
KRW-SNT,2025-01-26T12:00:00,2025-01-26T21:00:00,62.85,63.04,62.81,62.81,1737894596788,17622272.39474932,280174.8325264,30
KRW-SNT,2025-01-26T11:30:00,2025-01-26T20:30:00,63,63.04,62.82,63.03,1737892793642,9556960.98964341,151969.82232044,30
KRW-SNT,2025-01-26T11:00:00,2025-01-26T20:00:00,62.81,63.14,62.8,63,1737890815834,37928207.4399553,602724.32361292,30
KRW-SNT,2025-01-26T10:30:00,2025-01-26T19:30:00,63.2,63.2,62.8,62.81,1737889193609,30633541.91202341,487136.59370916,30
KRW-SNT,2025-01-26T10:00:00,2025-01-26T19:00:00,62.79,63.2,62.79,63.19,1737887374587,29113980.97120193,461389.19930617,30
KRW-SNT,2025-01-26T09:30:00,2025-01-26T18:30:00,63.03,63.05,62.7,62.77,1737885572265,74878133.20947379,1189925.72593145,30
KRW-SNT,2025-01-26T09:00:00,2025-01-26T18:00:00,63.28,63.45,63.03,63.05,1737883776965,75274517.34459063,1192158.46494302,30
KRW-SNT,2025-01-26T08:30:00,2025-01-26T17:30:00,63.47,63.47,63.1,63.29,1737881978371,45559174.01196875,720100.0445265,30
KRW-SNT,2025-01-26T08:00:00,2025-01-26T17:00:00,63.47,63.65,63.46,63.51,1737880198886,32894066.41423098,518139.80292739,30
KRW-SNT,2025-01-26T07:30:00,2025-01-26T16:30:00,63.5,63.74,63.43,63.5,1737878383206,21884565.26406871,344470.63897938,30
KRW-SNT,2025-01-26T07:00:00,2025-01-26T16:00:00,63.67,63.74,63.43,63.55,1737876577020,41510349.9328966,653062.07109494,30
KRW-SNT,2025-01-26T06:30:00,2025-01-26T15:30:00,63.51,63.75,63.38,63.66,1737874798177,56479967.74137281,889193.91975487,30
KRW-SNT,2025-01-26T06:00:00,2025-01-26T15:00:00,63.79,63.95,63.52,63.52,1737872923875,58175416.11708276,912546.27737148,30
KRW-SNT,2025-01-26T05:30:00,2025-01-26T14:30:00,63.38,63.91,63.33,63.69,1737871121656,163077970.5698469,2570437.34571339,30
KRW-SNT,2025-01-26T05:00:00,2025-01-26T14:00:00,63.83,63.85,63.37,63.37,1737869337251,49156762.41847481,772969.65809298,30
KRW-SNT,2025-01-26T04:30:00,2025-01-26T13:30:00,63.37,63.98,63.37,63.83,1737867591991,97574910.77798972,1529716.66689297,30
KRW-SNT,2025-01-26T04:00:00,2025-01-26T13:00:00,63.38,63.63,63.23,63.51,1737865791948,75739654.782531,1194804.53506994,30
KRW-SNT,2025-01-26T03:30:00,2025-01-26T12:30:00,63.7,63.89,63.23,63.27,1737863985804,109852757.36427918,1727147.65280078,30
KRW-SNT,2025-01-26T03:00:00,2025-01-26T12:00:00,63.74,63.77,63.6,63.7,1737862174815,62908982.09228189,987340.65853704,30
KRW-SNT,2025-01-26T02:30:00,2025-01-26T11:30:00,63.08,63.78,63.07,63.76,1737860389504,87236631.44594823,1378632.23708085,30
KRW-SNT,2025-01-26T02:00:00,2025-01-26T11:00:00,62.62,63.32,62.62,63.08,1737858574595,95446510.64659628,1515927.85786044,30
KRW-SNT,2025-01-26T01:30:00,2025-01-26T10:30:00,63,63.32,62.61,62.81,1737856767131,70175121.7000952,1113829.33402511,30
