market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-SOL,2025-01-27T13:30:00,2025-01-27T22:30:00,357750,359850,357350,359300,1737984823965,1361154366.50745,3793.8670289,30
KRW-SOL,2025-01-27T13:00:00,2025-01-27T22:00:00,356450,362250,353500,357750,1737984599226,20349297320.688698,56670.78217927,30
KRW-SOL,2025-01-27T12:30:00,2025-01-27T21:30:00,346650,357650,345650,355900,1737982799776,15623878027.226746,44202.88414923,30
KRW-SOL,2025-01-27T12:00:00,2025-01-27T21:00:00,347400,349900,345600,346900,1737980998284,5539891977.188288,15931.93433643,30
KRW-SOL,2025-01-27T11:30:00,2025-01-27T20:30:00,349300,349950,347050,347400,1737979199746,6035562164.2726145,17320.03408988,30
KRW-SOL,2025-01-27T11:00:00,2025-01-27T20:00:00,343000,349400,342850,349300,1737977400004,7389144543.075641,21333.5332243,30
KRW-SOL,2025-01-27T10:30:00,2025-01-27T19:30:00,346800,346950,342000,343100,1737975599740,10691263356.915016,31066.36664661,30
KRW-SOL,2025-01-27T10:00:00,2025-01-27T19:00:00,348750,349100,346500,346750,1737973797568,3626475996.368977,10423.01250776,30
KRW-SOL,2025-01-27T09:30:00,2025-01-27T18:30:00,345700,348800,345550,348750,1737971999626,4338868315.398712,12485.08808252,30
KRW-SOL,2025-01-27T09:00:00,2025-01-27T18:00:00,347250,350550,345500,345700,1737970198966,8359066357.017199,24001.15563681,30
KRW-SOL,2025-01-27T08:30:00,2025-01-27T17:30:00,349400,349400,344750,347300,1737968399662,13532530301.612986,39056.2325777,30
KRW-SOL,2025-01-27T08:00:00,2025-01-27T17:00:00,352300,352950,348650,349300,1737966597892,11888994125.486965,33950.36293654,30
KRW-SOL,2025-01-27T07:30:00,2025-01-27T16:30:00,344650,354950,344250,352300,1737964798126,21047853401.182728,60071.77576978,30
KRW-SOL,2025-01-27T07:00:00,2025-01-27T16:00:00,350000,351500,344050,344600,1737963000058,20920370227.080105,60092.47521408,30
KRW-SOL,2025-01-27T06:30:00,2025-01-27T15:30:00,352350,352850,348050,350000,1737961199394,21656095195.52605,61844.32993659,30
KRW-SOL,2025-01-27T06:00:00,2025-01-27T15:00:00,355850,355950,352250,352350,1737959399962,6273907023.425034,17715.26908053,30
KRW-SOL,2025-01-27T05:30:00,2025-01-27T14:30:00,354850,356550,353100,355650,1737957600040,8411904476.1047125,23704.93116298,30
KRW-SOL,2025-01-27T05:00:00,2025-01-27T14:00:00,354350,356000,353000,355200,1737955799721,7452655321.791889,21049.90963566,30
KRW-SOL,2025-01-27T04:30:00,2025-01-27T13:30:00,355750,357200,353300,354350,1737953999688,10650360656.469488,29999.61780323,30
KRW-SOL,2025-01-27T04:00:00,2025-01-27T13:00:00,359550,359800,355600,355750,1737952199943,10044663750.1434,28142.47464726,30
KRW-SOL,2025-01-27T03:30:00,2025-01-27T12:30:00,361300,361300,358650,359550,1737950399784,4854984315.889402,13490.32254977,30
KRW-SOL,2025-01-27T03:00:00,2025-01-27T12:00:00,358550,362900,358050,361450,1737948599061,7509372856.204261,20800.15154347,30
KRW-SOL,2025-01-27T02:30:00,2025-01-27T11:30:00,358050,358800,356000,358700,1737946796002,9488746770.669811,26555.39852104,30
KRW-SOL,2025-01-27T02:00:00,2025-01-27T11:00:00,360050,362800,358000,358150,1737944999674,12643837508.653984,35184.64585208,30
KRW-SOL,2025-01-27T01:30:00,2025-01-27T10:30:00,359450,362600,358750,360000,1737943199944,9004088070.698149,24971.64542464,30
KRW-SOL,2025-01-27T01:00:00,2025-01-27T10:00:00,361600,363600,358000,359500,1737941398679,21312162216.56578,59145.478245,30
KRW-SOL,2025-01-27T00:30:00,2025-01-27T09:30:00,365700,366100,360650,361650,1737939599888,18793857287.446926,51775.51319881,30
KRW-SOL,2025-01-27T00:00:00,2025-01-27T09:00:00,367350,370000,363800,365600,1737937799743,25615534289.142746,69844.03337628,30
KRW-SOL,2025-01-26T23:30:00,2025-01-27T08:30:00,370850,371300,366000,367400,1737936000015,25170751560.659344,68350.74258265,30
KRW-SOL,2025-01-26T23:00:00,2025-01-27T08:00:00,374450,375400,369950,370800,1737934199708,21594987602.45895,58068.0960594,30
KRW-SOL,2025-01-26T22:30:00,2025-01-27T07:30:00,376250,378250,373900,374450,1737932399702,10819316684.415585,28775.97273148,30
KRW-SOL,2025-01-26T22:00:00,2025-01-27T07:00:00,376100,377150,375200,376250,1737930599027,6681717824.24195,17771.28422787,30
KRW-SOL,2025-01-26T21:30:00,2025-01-27T06:30:00,379450,379750,376050,376050,1737928799217,7570932359.486848,20071.14968305,30
KRW-SOL,2025-01-26T21:00:00,2025-01-27T06:00:00,381000,381350,378000,379450,1737927000016,7233212507.622375,19073.78166547,30
KRW-SOL,2025-01-26T20:30:00,2025-01-27T05:30:00,383950,384250,380650,381000,1737925198142,2886415526.4843116,7562.59433482,30
KRW-SOL,2025-01-26T20:00:00,2025-01-27T05:00:00,383700,384450,382750,384250,1737923347350,666827696.896575,1739.71554009,30
