market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-SONIC,2025-01-27T13:30:00,2025-01-27T22:30:00,720.3,721.7,719.5,721.5,1737984797458,90838136.8302293,126122.22866614,30
KRW-SONIC,2025-01-27T13:00:00,2025-01-27T22:00:00,716.4,724.7,713.5,720.5,1737984569765,906849214.8329467,1260371.19567929,30
KRW-SONIC,2025-01-27T12:30:00,2025-01-27T21:30:00,707.9,722.5,703.9,716.4,1737982798915,899278675.4236491,1262379.98681312,30
KRW-SONIC,2025-01-27T12:00:00,2025-01-27T21:00:00,703.4,713.5,702.6,705.7,1737980997259,461268392.75766706,651257.17629538,30
KRW-SONIC,2025-01-27T11:30:00,2025-01-27T20:30:00,708.3,713.6,702.7,703.4,1737979197415,861027538.408384,1213012.08141304,30
KRW-SONIC,2025-01-27T11:00:00,2025-01-27T20:00:00,697.3,708.3,697.2,708.3,1737977399594,685293915.9932445,976418.36962759,30
KRW-SONIC,2025-01-27T10:30:00,2025-01-27T19:30:00,705.3,705.3,696,697.3,1737975595537,934232543.2054638,1336968.39217789,30
KRW-SONIC,2025-01-27T10:00:00,2025-01-27T19:00:00,700.3,707.8,699.1,705.3,1737973797879,842653949.3561873,1200002.77435998,30
KRW-SONIC,2025-01-27T09:30:00,2025-01-27T18:30:00,701.6,702.9,698.5,700.3,1737971999140,639411746.3700438,912445.91622162,30
KRW-SONIC,2025-01-27T09:00:00,2025-01-27T18:00:00,700,711.6,696.9,701.5,1737970199765,645556233.336178,918585.97228051,30
KRW-SONIC,2025-01-27T08:30:00,2025-01-27T17:30:00,703.3,706.5,696.6,700,1737968398409,1051143989.258704,1504619.53286328,30
KRW-SONIC,2025-01-27T08:00:00,2025-01-27T17:00:00,709,709,700.5,703.2,1737966596699,1109437345.115925,1576516.49732955,30
KRW-SONIC,2025-01-27T07:30:00,2025-01-27T16:30:00,695.2,716.1,695.2,706.8,1737964799672,1381385763.8943257,1959709.80479652,30
KRW-SONIC,2025-01-27T07:00:00,2025-01-27T16:00:00,714.8,716.2,695.2,695.2,1737962999786,3451792282.862925,4896300.38470434,30
KRW-SONIC,2025-01-27T06:30:00,2025-01-27T15:30:00,721.5,721.6,711,714.7,1737961190428,2441154051.7010527,3410302.01243074,30
KRW-SONIC,2025-01-27T06:00:00,2025-01-27T15:00:00,731.5,733.9,719,721.8,1737959397710,2047102369.0579116,2824862.52229508,30
KRW-SONIC,2025-01-27T05:30:00,2025-01-27T14:30:00,738.1,738.9,728,731.5,1737957598661,1792529432.953238,2447798.14445522,30
KRW-SONIC,2025-01-27T05:00:00,2025-01-27T14:00:00,741.2,744.9,736.7,738.2,1737955793761,656423777.7230903,887729.68427108,30
KRW-SONIC,2025-01-27T04:30:00,2025-01-27T13:30:00,740.9,746.5,738.6,741.1,1737953990057,566811958.2488872,765173.44983808,30
KRW-SONIC,2025-01-27T04:00:00,2025-01-27T13:00:00,748,748,739.3,740.1,1737952197410,835967821.4589802,1125753.3911823,30
KRW-SONIC,2025-01-27T03:30:00,2025-01-27T12:30:00,745.6,748.3,743.2,748.3,1737950396623,334114559.80165356,448830.63543007,30
KRW-SONIC,2025-01-27T03:00:00,2025-01-27T12:00:00,740.7,748.4,739.6,746.2,1737948591005,614295356.8360033,826301.34542945,30
KRW-SONIC,2025-01-27T02:30:00,2025-01-27T11:30:00,742.1,743,738,740.3,1737946796029,1051704320.6223481,1421133.66043634,30
KRW-SONIC,2025-01-27T02:00:00,2025-01-27T11:00:00,750,750,739.3,742.1,1737944998568,1650453876.394856,2220746.9352299,30
KRW-SONIC,2025-01-27T01:30:00,2025-01-27T10:30:00,749.5,754.3,746.4,749.5,1737943195503,1030434868.222626,1374659.10540493,30
KRW-SONIC,2025-01-27T01:00:00,2025-01-27T10:00:00,765.2,767.9,742.5,748.2,1737941399581,4438222697.815633,5888035.71395702,30
KRW-SONIC,2025-01-27T00:30:00,2025-01-27T09:30:00,776,779,763.3,765,1737939598841,2458639727.4073977,3197269.14529154,30
KRW-SONIC,2025-01-27T00:00:00,2025-01-27T09:00:00,780.6,809.3,770.2,776.2,1737937799136,5987117448.313082,7603510.65907529,30
KRW-SONIC,2025-01-26T23:30:00,2025-01-27T08:30:00,783.4,784,775,780.6,1737935992943,1260638004.837499,1616496.81332475,30
KRW-SONIC,2025-01-26T23:00:00,2025-01-27T08:00:00,790.2,792,780.4,783.3,1737934188731,1082493832.450143,1377982.25801705,30
KRW-SONIC,2025-01-26T22:30:00,2025-01-27T07:30:00,793,795.9,788,790,1737932342716,304848657.39747167,384354.95700711,30
KRW-SONIC,2025-01-26T22:00:00,2025-01-27T07:00:00,789.2,794,783,792,1737930576361,615940888.7991691,782382.74392247,30
KRW-SONIC,2025-01-26T21:30:00,2025-01-27T06:30:00,795.1,795.1,789.2,789.4,1737928797123,459173398.5824774,579809.94641851,30
KRW-SONIC,2025-01-26T21:00:00,2025-01-27T06:00:00,800.7,800.9,793.5,795.1,1737926925449,516917521.4780277,649757.85787419,30
KRW-SONIC,2025-01-26T20:30:00,2025-01-27T05:30:00,806.7,808,800,801,1737925128180,117818687.36467487,146667.2449316,30
KRW-SONIC,2025-01-26T20:00:00,2025-01-27T05:00:00,807.7,808.2,804.3,806.1,1737923390124,110812263.7400502,137460.03353776,30
KRW-SONIC,2025-01-26T19:30:00,2025-01-27T04:30:00,805.3,808.2,803,807.7,1737921545885,113893697.71000975,141223.81320174,30
KRW-SONIC,2025-01-26T19:00:00,2025-01-27T04:00:00,804.8,806.3,802.7,805.5,1737919762106,43823192.24740219,54473.84141542,30
KRW-SONIC,2025-01-26T18:30:00,2025-01-27T03:30:00,806.1,807,803.2,803.5,1737917983493,52965733.95554947,65758.36966073,30
KRW-SONIC,2025-01-26T18:00:00,2025-01-27T03:00:00,804.1,806.2,802.6,806.1,1737916183356,78881214.866574,98054.48515658,30
KRW-SONIC,2025-01-26T17:30:00,2025-01-27T02:30:00,803.9,807.7,801.8,804.1,1737914396488,119141131.72416611,147935.98532935,30
KRW-SONIC,2025-01-26T17:00:00,2025-01-27T02:00:00,800.5,803.9,800,803.9,1737912597837,78091713.12658899,97375.42172512,30
KRW-SONIC,2025-01-26T16:30:00,2025-01-27T01:30:00,800.7,804.2,800,800.5,1737910787269,164496456.0882002,204957.06597929,30
KRW-SONIC,2025-01-26T16:00:00,2025-01-27T01:00:00,801.1,804.4,795.3,800.7,1737908994364,504967767.83944625,632214.0103777,30
KRW-SONIC,2025-01-26T15:30:00,2025-01-27T00:30:00,805.7,805.8,801,801,1737907183398,305998438.6760853,381305.86421501,30
KRW-SONIC,2025-01-26T15:00:00,2025-01-27T00:00:00,804.8,809.6,802.5,805.8,1737905374346,426019608.61958027,528770.9644271,30
KRW-SONIC,2025-01-26T14:30:00,2025-01-26T23:30:00,800.4,808.1,799.9,804.8,1737903598223,484274298.1903622,601609.85986352,30
KRW-SONIC,2025-01-26T14:00:00,2025-01-26T23:00:00,806.3,807.1,799.8,802,1737901791543,625439689.4610593,777482.10144247,30
KRW-SONIC,2025-01-26T13:30:00,2025-01-26T22:30:00,809.2,811.2,803,807,1737899986290,1104615438.4993305,1367298.00329464,30
KRW-SONIC,2025-01-26T13:00:00,2025-01-26T22:00:00,806.7,813.8,796.1,809.3,1737898196815,2376768231.333728,2943176.61261231,30
KRW-SONIC,2025-01-26T12:30:00,2025-01-26T21:30:00,794.4,808.9,790.7,806.7,1737896397633,2170160410.4252796,2709436.3109971,30
KRW-SONIC,2025-01-26T12:00:00,2025-01-26T21:00:00,793.4,794.5,790.5,794.4,1737894598599,401257066.8484725,505723.83373354,30
KRW-SONIC,2025-01-26T11:30:00,2025-01-26T20:30:00,789.8,793.5,788.7,793.5,1737892779614,251464351.87363282,317609.20122752,30
KRW-SONIC,2025-01-26T11:00:00,2025-01-26T20:00:00,791.8,793.9,788.4,789.1,1737890994888,455519904.91423345,576351.12217422,30
KRW-SONIC,2025-01-26T10:30:00,2025-01-26T19:30:00,789.6,791.8,786.8,791.8,1737889193552,428726437.10776454,543914.01586325,30
KRW-SONIC,2025-01-26T10:00:00,2025-01-26T19:00:00,787.7,791,786.4,789.6,1737887397368,263373057.3273174,334044.05775333,30
KRW-SONIC,2025-01-26T09:30:00,2025-01-26T18:30:00,788.8,789.9,786.1,787.7,1737885598232,631866433.9641705,802533.00604654,30
KRW-SONIC,2025-01-26T09:00:00,2025-01-26T18:00:00,792.8,792.9,788.5,788.8,1737883797250,462248409.86780626,584528.47805307,30
KRW-SONIC,2025-01-26T08:30:00,2025-01-26T17:30:00,791.5,793,791.4,792.8,1737881999695,250050754.36708203,315714.16050176,30
KRW-SONIC,2025-01-26T08:00:00,2025-01-26T17:00:00,792.3,797.3,791.2,791.7,1737880179482,504069240.7388422,634964.50073198,30
KRW-SONIC,2025-01-26T07:30:00,2025-01-26T16:30:00,791.8,792.7,785.4,792,1737878393165,1088781553.7131486,1378855.59054954,30
KRW-SONIC,2025-01-26T07:00:00,2025-01-26T16:00:00,794.7,796.6,791.5,791.8,1737876593020,588401679.5187984,741732.1587922,30
