market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-STEEM,2025-01-27T13:30:00,2025-01-27T22:30:00,326.7,327.7,326.4,327.7,1737984747956,7422303.20538711,22672.70695125,30
KRW-STEEM,2025-01-27T13:00:00,2025-01-27T22:00:00,329,329.6,325.4,327,1737984565088,209232374.58616185,639491.95383749,30
KRW-STEEM,2025-01-27T12:30:00,2025-01-27T21:30:00,322.2,331.5,321.5,329.1,1737982793632,228515188.94632432,695895.91323957,30
KRW-STEEM,2025-01-27T12:00:00,2025-01-27T21:00:00,322.3,324.7,321.4,321.5,1737980958113,82988514.54249932,257034.38994052,30
KRW-STEEM,2025-01-27T11:30:00,2025-01-27T20:30:00,322.7,323.7,322.3,322.9,1737979176174,35931877.20496608,111307.95456342,30
KRW-STEEM,2025-01-27T11:00:00,2025-01-27T20:00:00,321.1,322.9,318.6,322.3,1737977351013,128043497.14431228,399676.2260198,30
KRW-STEEM,2025-01-27T10:30:00,2025-01-27T19:30:00,321.8,322.5,319.5,321.4,1737975550450,256950102.0927574,800976.93662207,30
KRW-STEEM,2025-01-27T10:00:00,2025-01-27T19:00:00,323.6,324.6,321,322.5,1737973748216,125379390.84123433,388912.86552772,30
KRW-STEEM,2025-01-27T09:30:00,2025-01-27T18:30:00,322.5,326.1,322.1,324,1737971834662,99774564.39072917,307930.14482067,30
KRW-STEEM,2025-01-27T09:00:00,2025-01-27T18:00:00,322.8,326.7,321.9,322.5,1737970179688,140445555.5947967,432790.44904196,30
KRW-STEEM,2025-01-27T08:30:00,2025-01-27T17:30:00,324.7,324.7,320.7,322.7,1737968342948,320749537.9464192,996344.86081394,30
KRW-STEEM,2025-01-27T08:00:00,2025-01-27T17:00:00,330.1,330.1,324,325.4,1737966564922,381569501.0822723,1168186.26368886,30
KRW-STEEM,2025-01-27T07:30:00,2025-01-27T16:30:00,328.7,334.3,328,330.1,1737964794734,495157662.7377862,1495120.74109308,30
KRW-STEEM,2025-01-27T07:00:00,2025-01-27T16:00:00,339.1,342,327.9,328.8,1737962996692,887119894.6313335,2650126.47852163,30
KRW-STEEM,2025-01-27T06:30:00,2025-01-27T15:30:00,341.8,343.8,338.7,339.1,1737961192717,406122525.6830197,1189875.5203769,30
KRW-STEEM,2025-01-27T06:00:00,2025-01-27T15:00:00,345,345.9,341.3,341.9,1737959399597,353624270.14696074,1028800.57696341,30
KRW-STEEM,2025-01-27T05:30:00,2025-01-27T14:30:00,342.8,346.7,340,345,1737957581820,535614065.4508706,1560908.75665665,30
KRW-STEEM,2025-01-27T05:00:00,2025-01-27T14:00:00,345,345.1,341.2,342.8,1737955768908,155732104.20502222,453798.31985486,30
