market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-STG,2025-01-27T13:30:00,2025-01-27T22:30:00,514,514,512,514,1737984823010,31537483.80998103,61486.64038847,30
KRW-STG,2025-01-27T13:00:00,2025-01-27T22:00:00,512,516,507,514,1737984595147,475135874.0896139,926620.98275094,30
KRW-STG,2025-01-27T12:30:00,2025-01-27T21:30:00,500,517,500,512,1737982782502,203977513.85718998,400266.684316,30
KRW-STG,2025-01-27T12:00:00,2025-01-27T21:00:00,500,504,499,500,1737980997898,179487066.272061,358662.84107002,30
KRW-STG,2025-01-27T11:30:00,2025-01-27T20:30:00,503,505,500,500,1737979193995,154490402.59445533,307379.09344045,30
KRW-STG,2025-01-27T11:00:00,2025-01-27T20:00:00,499,505,499,503,1737977376205,334857414.6620504,666640.18111823,30
KRW-STG,2025-01-27T10:30:00,2025-01-27T19:30:00,505,505,497,499,1737975582762,686841245.2794702,1375289.76834578,30
KRW-STG,2025-01-27T10:00:00,2025-01-27T19:00:00,507,507,504,506,1737973764099,117563929.29284818,232732.69123059,30
KRW-STG,2025-01-27T09:30:00,2025-01-27T18:30:00,504,509,503,507,1737971986406,110001886.90112549,217077.73265581,30
KRW-STG,2025-01-27T09:00:00,2025-01-27T18:00:00,504,511,503,504,1737970199429,142882104.88032782,281181.84207021,30
KRW-STG,2025-01-27T08:30:00,2025-01-27T17:30:00,505,507,500,505,1737968397444,399846613.1958397,795607.35434495,30
KRW-STG,2025-01-27T08:00:00,2025-01-27T17:00:00,509,509,502,505,1737966597912,317257151.7319628,627930.72865609,30
KRW-STG,2025-01-27T07:30:00,2025-01-27T16:30:00,502,512,501,508,1737964797785,739973297.8113604,1458344.88606861,30
KRW-STG,2025-01-27T07:00:00,2025-01-27T16:00:00,513,516,500,500,1737962995129,685455823.2105705,1347847.97477825,30
KRW-STG,2025-01-27T06:30:00,2025-01-27T15:30:00,515,518,512,512,1737961196527,334032530.41481036,649214.46627776,30
KRW-STG,2025-01-27T06:00:00,2025-01-27T15:00:00,520,521,514,515,1737959399976,506264688.49154854,980543.86522647,30
KRW-STG,2025-01-27T05:30:00,2025-01-27T14:30:00,521,523,518,521,1737957592965,340082235.181288,653694.34385323,30
KRW-STG,2025-01-27T05:00:00,2025-01-27T14:00:00,522,524,521,521,1737955797452,138834250.95934886,265791.39072671,30
KRW-STG,2025-01-27T04:30:00,2025-01-27T13:30:00,524,526,521,522,1737953981508,350932761.26846886,672703.68129249,30
KRW-STG,2025-01-27T04:00:00,2025-01-27T13:00:00,525,526,521,526,1737952134037,136320458.83469707,260025.82066556,30
KRW-STG,2025-01-27T03:30:00,2025-01-27T12:30:00,528,528,523,525,1737950330306,164489403.64592683,313573.20659935,30
KRW-STG,2025-01-27T03:00:00,2025-01-27T12:00:00,524,530,524,529,1737948592173,208447863.1100195,396115.36183017,30
KRW-STG,2025-01-27T02:30:00,2025-01-27T11:30:00,529,530,522,524,1737946793284,774424746.2579613,1475282.29176776,30
KRW-STG,2025-01-27T02:00:00,2025-01-27T11:00:00,534,535,528,528,1737944998940,547958783.7597083,1033225.70761146,30
KRW-STG,2025-01-27T01:30:00,2025-01-27T10:30:00,534,539,533,534,1737943170251,265672107.38794932,496247.31994633,30
KRW-STG,2025-01-27T01:00:00,2025-01-27T10:00:00,538,541,531,534,1737941383668,630883587.9502835,1178688.07045865,30
KRW-STG,2025-01-27T00:30:00,2025-01-27T09:30:00,548,550,536,540,1737939566031,1077829766.8842487,1992664.74510682,30
KRW-STG,2025-01-27T00:00:00,2025-01-27T09:00:00,554,560,545,549,1737937790946,769965213.5957279,1401220.13246943,30
KRW-STG,2025-01-26T23:30:00,2025-01-27T08:30:00,552,555,551,553,1737935973910,293278892.76304114,530655.97014957,30
KRW-STG,2025-01-26T23:00:00,2025-01-27T08:00:00,560,563,551,554,1737934179091,446152944.7670265,801723.27918508,30
KRW-STG,2025-01-26T22:30:00,2025-01-27T07:30:00,561,565,558,560,1737932396814,195735988.22215092,348910.35565104,30
