market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-STMX,2025-01-27T13:30:00,2025-01-27T22:30:00,7.874,7.925,7.87,7.925,1737984817994,3147236.99477917,399180.98888334,30
KRW-STMX,2025-01-27T13:00:00,2025-01-27T22:00:00,7.918,7.935,7.842,7.871,1737984596842,127635047.66602686,16154467.69296064,30
KRW-STMX,2025-01-27T12:30:00,2025-01-27T21:30:00,7.67,7.92,7.67,7.876,1737982797476,109142005.1250118,13926742.04134397,30
KRW-STMX,2025-01-27T12:00:00,2025-01-27T21:00:00,7.66,7.736,7.649,7.67,1737980987616,69547840.46700913,9017885.79619145,30
KRW-STMX,2025-01-27T11:30:00,2025-01-27T20:30:00,7.712,7.75,7.652,7.665,1737979195292,50236732.84531354,6536676.66907644,30
KRW-STMX,2025-01-27T11:00:00,2025-01-27T20:00:00,7.616,7.719,7.616,7.718,1737977340354,90882934.57289666,11843779.22574591,30
KRW-STMX,2025-01-27T10:30:00,2025-01-27T19:30:00,7.679,7.688,7.6,7.626,1737975599751,128391807.80769163,16793856.54213945,30
KRW-STMX,2025-01-27T10:00:00,2025-01-27T19:00:00,7.709,7.709,7.641,7.679,1737973793788,41253725.91880468,5373793.37670111,30
KRW-STMX,2025-01-27T09:30:00,2025-01-27T18:30:00,7.643,7.718,7.626,7.718,1737971988362,39744022.28160158,5174741.27261512,30
KRW-STMX,2025-01-27T09:00:00,2025-01-27T18:00:00,7.62,7.708,7.618,7.65,1737970157633,141370122.26196787,18462505.80802203,30
KRW-STMX,2025-01-27T08:30:00,2025-01-27T17:30:00,7.669,7.669,7.595,7.618,1737968300493,210492854.1535959,27649844.03005992,30
KRW-STMX,2025-01-27T08:00:00,2025-01-27T17:00:00,7.729,7.729,7.636,7.669,1737966568358,86105751.98775446,11232779.32365966,30
KRW-STMX,2025-01-27T07:30:00,2025-01-27T16:30:00,7.601,7.75,7.601,7.72,1737964749948,94012871.70333934,12231774.53973926,30
KRW-STMX,2025-01-27T07:00:00,2025-01-27T16:00:00,7.783,7.79,7.601,7.601,1737962999509,245150665.9012534,31913161.55393421,30
KRW-STMX,2025-01-27T06:30:00,2025-01-27T15:30:00,7.81,7.813,7.74,7.778,1737961179629,129082629.36997627,16606042.78381458,30
KRW-STMX,2025-01-27T06:00:00,2025-01-27T15:00:00,7.871,7.871,7.787,7.81,1737959397789,135664226.34504557,17334017.71523546,30
KRW-STMX,2025-01-27T05:30:00,2025-01-27T14:30:00,7.875,7.911,7.84,7.85,1737957566435,127560796.12174305,16236359.50974624,30
KRW-STMX,2025-01-27T05:00:00,2025-01-27T14:00:00,7.897,7.915,7.873,7.881,1737955688145,26866293.24965849,3407814.84437027,30
