market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-STORJ,2025-01-27T13:30:00,2025-01-27T22:30:00,644.4,645.5,644.3,645.5,1737984773170,5128350.61389133,7952.99422406,30
KRW-STORJ,2025-01-27T13:00:00,2025-01-27T22:00:00,643.8,646.9,639.9,645.4,1737984510816,54415504.78613704,84522.50177808,30
KRW-STORJ,2025-01-27T12:30:00,2025-01-27T21:30:00,627.4,646.8,626.1,642.5,1737982781651,101742846.97537164,159621.43160198,30
KRW-STORJ,2025-01-27T12:00:00,2025-01-27T21:00:00,626,630.3,624.7,627.2,1737980996094,58197975.50095964,92910.48463725,30
KRW-STORJ,2025-01-27T11:30:00,2025-01-27T20:30:00,629.9,630.3,625.2,626.3,1737979176906,24222989.44162704,38572.97578306,30
KRW-STORJ,2025-01-27T11:00:00,2025-01-27T20:00:00,626.9,631.5,625.1,629.9,1737977310038,25212444.45666452,40108.51917088,30
KRW-STORJ,2025-01-27T10:30:00,2025-01-27T19:30:00,632.2,632.2,624.7,626.9,1737975576302,69647365.3136164,110967.76565755,30
KRW-STORJ,2025-01-27T10:00:00,2025-01-27T19:00:00,635,635.5,632.1,632.4,1737973775841,16444565.46492947,25957.12947859,30
KRW-STORJ,2025-01-27T09:30:00,2025-01-27T18:30:00,630.6,637,630.2,636.2,1737971950178,25666401.49604478,40508.11239544,30
KRW-STORJ,2025-01-27T09:00:00,2025-01-27T18:00:00,629.7,636,627.7,630.6,1737970187643,32286421.93384895,51054.19429554,30
KRW-STORJ,2025-01-27T08:30:00,2025-01-27T17:30:00,631.8,631.8,624.6,629.8,1737968296488,126794058.62968068,202348.97136734,30
KRW-STORJ,2025-01-27T08:00:00,2025-01-27T17:00:00,638,638,630.3,632.9,1737966593474,30936420.26609712,48859.69519562,30
KRW-STORJ,2025-01-27T07:30:00,2025-01-27T16:30:00,627.5,640,625,638.8,1737964788429,92893439.5186189,146541.51910893,30
KRW-STORJ,2025-01-27T07:00:00,2025-01-27T16:00:00,637.6,640.9,625,625,1737962999357,188699616.57683155,298980.8427392,30
KRW-STORJ,2025-01-27T06:30:00,2025-01-27T15:30:00,641.2,641.3,633.6,637.6,1737961190157,135426181.7822214,212534.81678879,30
KRW-STORJ,2025-01-27T06:00:00,2025-01-27T15:00:00,643.9,645.6,641,642.1,1737959390015,54559271.48547603,84871.86702943,30
KRW-STORJ,2025-01-27T05:30:00,2025-01-27T14:30:00,646,646,641.5,643.9,1737957597207,69846598.38697395,108577.28931344,30
KRW-STORJ,2025-01-27T05:00:00,2025-01-27T14:00:00,646.5,647.6,644.1,646.3,1737955797533,31541035.71255486,48852.94415504,30
KRW-STORJ,2025-01-27T04:30:00,2025-01-27T13:30:00,648.3,649.4,645.3,645.8,1737953943774,66821387.43644231,103249.66544203,30
KRW-STORJ,2025-01-27T04:00:00,2025-01-27T13:00:00,649.5,649.5,646.2,647.9,1737952195965,33286176.77326285,51410.23685998,30
KRW-STORJ,2025-01-27T03:30:00,2025-01-27T12:30:00,652.4,652.4,648.3,649.5,1737950358009,27322330.84976657,42025.30404385,30
KRW-STORJ,2025-01-27T03:00:00,2025-01-27T12:00:00,646.3,653.7,645,653,1737948544619,25019774.7462346,38597.73074276,30
KRW-STORJ,2025-01-27T02:30:00,2025-01-27T11:30:00,649,650.2,645.6,645.6,1737946791928,70695885.40868431,109205.31637623,30
KRW-STORJ,2025-01-27T02:00:00,2025-01-27T11:00:00,651.7,653,646.1,649.4,1737944985574,237210181.86620116,364981.79594699,30
KRW-STORJ,2025-01-27T01:30:00,2025-01-27T10:30:00,654.3,657.6,651.3,652.7,1737943130004,129932247.28440367,198125.22522376,30
KRW-STORJ,2025-01-27T01:00:00,2025-01-27T10:00:00,658.5,661.1,651.3,654.2,1737941388160,144724897.88998753,220482.84879934,30
KRW-STORJ,2025-01-27T00:30:00,2025-01-27T09:30:00,664.4,666.6,658,659,1737939569303,129741855.31541876,196565.49976001,30
KRW-STORJ,2025-01-27T00:00:00,2025-01-27T09:00:00,669.4,672.3,661.7,666.1,1737937765668,95627075.00002673,143527.08781416,30
KRW-STORJ,2025-01-26T23:30:00,2025-01-27T08:30:00,672.2,672.2,667,669.4,1737935991683,69859430.81718872,104334.06326677,30
KRW-STORJ,2025-01-26T23:00:00,2025-01-27T08:00:00,679.6,681.4,670,673.5,1737934135748,115833449.23675387,171632.26103094,30
KRW-STORJ,2025-01-26T22:30:00,2025-01-27T07:30:00,683,684,679.5,681.2,1737932377193,65196852.37554749,95432.30263643,30
KRW-STORJ,2025-01-26T22:00:00,2025-01-27T07:00:00,682.5,682.6,679.5,681.5,1737930455812,31459916.29122631,46191.99784722,30
KRW-STORJ,2025-01-26T21:30:00,2025-01-27T06:30:00,685.6,686,682.5,682.5,1737928769450,40462151.45603558,59071.3706087,30
KRW-STORJ,2025-01-26T21:00:00,2025-01-27T06:00:00,687,687,684,685.3,1737926680095,13477316.32557374,19674.16685711,30
KRW-STORJ,2025-01-26T20:30:00,2025-01-27T05:30:00,687.7,687.7,686.6,686.6,1737925070389,24010655.29327736,34952.28202607,30
KRW-STORJ,2025-01-26T20:00:00,2025-01-27T05:00:00,689.2,690.1,687.9,690.1,1737923273750,7942691.82339369,11531.94395697,30
KRW-STORJ,2025-01-26T19:30:00,2025-01-27T04:30:00,689.1,689.2,688,688.5,1737920884303,10450169.2645799,15168.70711752,30
KRW-STORJ,2025-01-26T19:00:00,2025-01-27T04:00:00,689.5,689.5,689,689.1,1737919270348,11644616.7401424,16899.12633912,30
KRW-STORJ,2025-01-26T18:30:00,2025-01-27T03:30:00,691.2,691.8,689,689,1737917885097,9069921.70513809,13132.26068152,30
KRW-STORJ,2025-01-26T18:00:00,2025-01-27T03:00:00,692.2,692.2,691,691.9,1737915862611,8202381.48278564,11854.76818768,30
KRW-STORJ,2025-01-26T17:30:00,2025-01-27T02:30:00,689.4,694,689.4,692.1,1737914291545,20396128.03734944,29492.55935611,30
