market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-STRAX,2025-01-27T13:30:00,2025-01-27T22:30:00,103.6,103.8,103.5,103.8,1737984815926,4505135.20475668,43504.28227263,30
KRW-STRAX,2025-01-27T13:00:00,2025-01-27T22:00:00,104.3,104.4,103.2,103.6,1737984566705,156151375.7783048,1505924.74341454,30
KRW-STRAX,2025-01-27T12:30:00,2025-01-27T21:30:00,102,105.3,102,104.4,1737982740182,272868003.4147489,2623532.33644167,30
KRW-STRAX,2025-01-27T12:00:00,2025-01-27T21:00:00,101.9,102.7,101.9,102,1737980986088,100294983.80731595,980881.03885154,30
KRW-STRAX,2025-01-27T11:30:00,2025-01-27T20:30:00,103,103.5,101.9,101.9,1737979179219,116652748.15241359,1137033.33877115,30
KRW-STRAX,2025-01-27T11:00:00,2025-01-27T20:00:00,101.5,103,101.5,103,1737977396587,78419551.21058069,766602.10348816,30
KRW-STRAX,2025-01-27T10:30:00,2025-01-27T19:30:00,103,103,101.1,101.5,1737975582988,132768491.92100018,1298842.12113504,30
KRW-STRAX,2025-01-27T10:00:00,2025-01-27T19:00:00,103.2,103.3,102.9,103,1737973769433,98872037.86928444,960245.85262393,30
KRW-STRAX,2025-01-27T09:30:00,2025-01-27T18:30:00,101.6,103.2,101.2,103.1,1737971967438,117197013.54211679,1145177.6250634,30
KRW-STRAX,2025-01-27T09:00:00,2025-01-27T18:00:00,100.6,102.7,100.6,101.6,1737970179326,140440401.59834528,1379487.77288163,30
KRW-STRAX,2025-01-27T08:30:00,2025-01-27T17:30:00,102,102,100,100.6,1737968365540,446067026.6095633,4428209.16200928,30
KRW-STRAX,2025-01-27T08:00:00,2025-01-27T17:00:00,103,103.3,101.4,102.3,1737966587909,284306344.6990182,2786336.37309645,30
KRW-STRAX,2025-01-27T07:30:00,2025-01-27T16:30:00,101.9,103.7,101.5,103.1,1737964794748,386174856.71500295,3759996.49991325,30
KRW-STRAX,2025-01-27T07:00:00,2025-01-27T16:00:00,104.4,104.4,101.7,101.9,1737962998529,477636797.33623004,4630811.16877869,30
KRW-STRAX,2025-01-27T06:30:00,2025-01-27T15:30:00,104.2,104.7,103.5,104.1,1737961198749,411718605.2468346,3957815.94509812,30
KRW-STRAX,2025-01-27T06:00:00,2025-01-27T15:00:00,105.2,105.3,104,104.2,1737959398437,174961896.3555587,1671726.27332344,30
KRW-STRAX,2025-01-27T05:30:00,2025-01-27T14:30:00,105.7,105.7,104.8,105.2,1737957593637,136046790.02831507,1294071.63715762,30
KRW-STRAX,2025-01-27T05:00:00,2025-01-27T14:00:00,106.3,106.5,105.1,105.7,1737955798149,141325908.321122,1336194.59616817,30
KRW-STRAX,2025-01-27T04:30:00,2025-01-27T13:30:00,108.9,108.9,104.8,106.2,1737953964229,599013992.5709296,5636413.97221218,30
KRW-STRAX,2025-01-27T04:00:00,2025-01-27T13:00:00,105.7,108.9,105.7,108.9,1737952199279,357826269.15812296,3326774.43311048,30
KRW-STRAX,2025-01-27T03:30:00,2025-01-27T12:30:00,105,107.2,104.7,105.8,1737950382484,177198373.0417734,1676426.31307722,30
KRW-STRAX,2025-01-27T03:00:00,2025-01-27T12:00:00,103.7,105.3,103.7,105,1737948524543,111122829.54252633,1060457.9599659,30
KRW-STRAX,2025-01-27T02:30:00,2025-01-27T11:30:00,104.8,105.2,103.8,104.1,1737946786460,123088145.73485935,1178708.45127387,30
KRW-STRAX,2025-01-27T02:00:00,2025-01-27T11:00:00,104,105,103.8,104.8,1737944992830,204137110.8086608,1954864.7785419,30
KRW-STRAX,2025-01-27T01:30:00,2025-01-27T10:30:00,104.5,105,104,104.2,1737943194565,163833477.9681536,1568121.22862327,30
KRW-STRAX,2025-01-27T01:00:00,2025-01-27T10:00:00,104.2,104.7,103.7,104.5,1737941355081,487388812.24115705,4682320.06053971,30
KRW-STRAX,2025-01-27T00:30:00,2025-01-27T09:30:00,105,105.3,104.1,104.2,1737939595959,292603254.8969387,2792772.45440169,30
KRW-STRAX,2025-01-27T00:00:00,2025-01-27T09:00:00,106.4,106.8,104.4,104.9,1737937719389,526059739.487471,4989760.71519883,30
KRW-STRAX,2025-01-26T23:30:00,2025-01-27T08:30:00,106.9,107.5,106,106.3,1737935995605,296193435.4721635,2777554.86269861,30
KRW-STRAX,2025-01-26T23:00:00,2025-01-27T08:00:00,108.2,108.3,106.5,107.1,1737934195197,285602675.1256287,2665775.79958383,30
KRW-STRAX,2025-01-26T22:30:00,2025-01-27T07:30:00,108.2,108.9,108.2,108.5,1737932325756,57027128.4300103,525473.45071841,30
KRW-STRAX,2025-01-26T22:00:00,2025-01-27T07:00:00,108.2,108.2,107.4,108.2,1737930591792,67610172.90689807,625722.57370449,30
KRW-STRAX,2025-01-26T21:30:00,2025-01-27T06:30:00,107.7,108.6,107.7,108.2,1737928724130,40518376.42213384,374793.41874046,30
KRW-STRAX,2025-01-26T21:00:00,2025-01-27T06:00:00,107.9,107.9,107.2,107.7,1737926966057,39382653.1338155,366536.41634249,30
KRW-STRAX,2025-01-26T20:30:00,2025-01-27T05:30:00,108,108.2,107.5,107.9,1737925188702,28759088.49548967,266891.88537206,30
KRW-STRAX,2025-01-26T20:00:00,2025-01-27T05:00:00,108.2,108.2,107.9,107.9,1737923283438,24333523.59430928,225264.23944752,30
KRW-STRAX,2025-01-26T19:30:00,2025-01-27T04:30:00,108.3,108.3,107.8,107.8,1737921341055,6760053.03223286,62580.53505124,30
KRW-STRAX,2025-01-26T19:00:00,2025-01-27T04:00:00,108.4,108.4,107.6,108.3,1737919655176,77175878.37932378,714615.35605648,30
KRW-STRAX,2025-01-26T18:30:00,2025-01-27T03:30:00,108.2,108.7,108.1,108.7,1737917637242,41274957.26529148,380757.87543799,30
KRW-STRAX,2025-01-26T18:00:00,2025-01-27T03:00:00,107.8,108.3,107.8,108.1,1737916191110,26381660.24823304,244283.59635306,30
KRW-STRAX,2025-01-26T17:30:00,2025-01-27T02:30:00,107.7,108.2,107.5,107.8,1737914336710,32871513.63923502,304134.77082875,30
KRW-STRAX,2025-01-26T17:00:00,2025-01-27T02:00:00,107.6,107.9,107.5,107.8,1737912587277,25865027.89977848,240188.12233366,30
KRW-STRAX,2025-01-26T16:30:00,2025-01-27T01:30:00,107.6,107.8,107.3,107.6,1737910800038,49960971.85034808,464636.83354188,30
KRW-STRAX,2025-01-26T16:00:00,2025-01-27T01:00:00,108.3,108.3,107.4,107.4,1737908991470,122683383.68687496,1139574.04820122,30
KRW-STRAX,2025-01-26T15:30:00,2025-01-27T00:30:00,107.7,108.3,107.5,108.3,1737907179377,49135502.31572258,455171.11625039,30
KRW-STRAX,2025-01-26T15:00:00,2025-01-27T00:00:00,107.5,107.9,107.2,107.5,1737905379142,125676673.16977797,1169119.09462958,30
KRW-STRAX,2025-01-26T14:30:00,2025-01-26T23:30:00,107,107.8,106.8,107.5,1737903498896,70979769.98549476,661226.84076132,30
KRW-STRAX,2025-01-26T14:00:00,2025-01-26T23:00:00,107.7,107.8,106.9,107,1737901796429,195052469.12373936,1820131.56882531,30
KRW-STRAX,2025-01-26T13:30:00,2025-01-26T22:30:00,108,108.7,107.5,107.7,1737899993386,164534639.95652193,1524606.81766877,30
KRW-STRAX,2025-01-26T13:00:00,2025-01-26T22:00:00,107.2,108.2,106.8,107.6,1737898186787,360130642.52026856,3347549.20172982,30
KRW-STRAX,2025-01-26T12:30:00,2025-01-26T21:30:00,108.9,109,106.5,107.4,1737896378290,569604443.0895711,5291204.6746679,30
KRW-STRAX,2025-01-26T12:00:00,2025-01-26T21:00:00,109.4,109.5,108.9,109,1737894575841,66161148.70183959,606317.3353459,30
KRW-STRAX,2025-01-26T11:30:00,2025-01-26T20:30:00,109.2,109.5,108.9,109.5,1737892732792,76624276.92040314,701730.61526327,30
KRW-STRAX,2025-01-26T11:00:00,2025-01-26T20:00:00,110.1,110.4,109.1,109.2,1737890905363,210874493.70194063,1921603.05988162,30
KRW-STRAX,2025-01-26T10:30:00,2025-01-26T19:30:00,109.4,110,109.2,110,1737889184514,156728920.6729972,1429846.27681759,30
KRW-STRAX,2025-01-26T10:00:00,2025-01-26T19:00:00,109.2,110.1,109.2,109.5,1737887392935,78447668.78079069,715146.1247047,30
KRW-STRAX,2025-01-26T09:30:00,2025-01-26T18:30:00,109.5,110.1,109.1,109.2,1737885591193,121847078.96476841,1111534.23194531,30
KRW-STRAX,2025-01-26T09:00:00,2025-01-26T18:00:00,108.9,110,108.7,109.6,1737883789558,225419141.88836062,2056407.83765862,30
KRW-STRAX,2025-01-26T08:30:00,2025-01-26T17:30:00,108.7,109,108.6,108.9,1737881989047,83111513.9597961,764245.56275258,30
KRW-STRAX,2025-01-26T08:00:00,2025-01-26T17:00:00,108.8,109.2,108.6,108.7,1737880189401,89292437.869309,820410.64811599,30
KRW-STRAX,2025-01-26T07:30:00,2025-01-26T16:30:00,109,109.3,108.2,108.9,1737878363252,215293343.56548637,1979875.93439961,30
KRW-STRAX,2025-01-26T07:00:00,2025-01-26T16:00:00,109.3,109.5,108.5,109,1737876597630,279687809.0319329,2568298.36668543,30
KRW-STRAX,2025-01-26T06:30:00,2025-01-26T15:30:00,109,109.5,108.8,109.4,1737874773522,223069945.95574307,2043384.83317433,30
KRW-STRAX,2025-01-26T06:00:00,2025-01-26T15:00:00,111.5,111.6,108.9,109,1737872994826,861562224.6320261,7816951.12746344,30
KRW-STRAX,2025-01-26T05:30:00,2025-01-26T14:30:00,108.9,111.5,108.7,111.5,1737871200020,757417397.9834325,6873764.37984467,30
KRW-STRAX,2025-01-26T05:00:00,2025-01-26T14:00:00,108.9,109.1,108.7,108.8,1737869385064,56447097.13105548,518564.00464655,30
KRW-STRAX,2025-01-26T04:30:00,2025-01-26T13:30:00,109,109,108.5,108.9,1737867529656,99695394.01141949,916898.06919657,30
KRW-STRAX,2025-01-26T04:00:00,2025-01-26T13:00:00,109,109.2,108.5,109,1737865775618,114528895.33109874,1052967.96301332,30
