market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-STRIKE,2025-01-27T13:30:00,2025-01-27T22:30:00,15900,15930,15830,15920,1737984814921,36809574.8269335,2319.80712966,30
KRW-STRIKE,2025-01-27T13:00:00,2025-01-27T22:00:00,15910,16060,15760,15900,1737984575489,409934812.4963176,25737.84946387,30
KRW-STRIKE,2025-01-27T12:30:00,2025-01-27T21:30:00,15610,16030,15610,15970,1737982788499,418808135.635348,26363.74377385,30
KRW-STRIKE,2025-01-27T12:00:00,2025-01-27T21:00:00,15630,15740,15600,15610,1737980949819,137380577.8040393,8780.4628532,30
KRW-STRIKE,2025-01-27T11:30:00,2025-01-27T20:30:00,15740,15770,15620,15630,1737979182693,77620036.9979724,4945.40662656,30
KRW-STRIKE,2025-01-27T11:00:00,2025-01-27T20:00:00,15510,15760,15500,15670,1737977399179,259642604.1403902,16605.25418804,30
KRW-STRIKE,2025-01-27T10:30:00,2025-01-27T19:30:00,15670,15720,15470,15500,1737975593297,233210503.3784521,14952.64068872,30
KRW-STRIKE,2025-01-27T10:00:00,2025-01-27T19:00:00,15650,15770,15610,15720,1737973787118,114783725.741701,7318.48747803,30
KRW-STRIKE,2025-01-27T09:30:00,2025-01-27T18:30:00,15570,15650,15450,15650,1737971995031,201456683.1458899,12945.33236628,30
KRW-STRIKE,2025-01-27T09:00:00,2025-01-27T18:00:00,15430,15690,15360,15570,1737970192126,234802614.8864407,15097.81460796,30
KRW-STRIKE,2025-01-27T08:30:00,2025-01-27T17:30:00,15710,15710,15200,15420,1737968390591,819265438.5441558,53101.78081056,30
KRW-STRIKE,2025-01-27T08:00:00,2025-01-27T17:00:00,15830,15830,15520,15760,1737966592359,270810804.5105876,17281.66504927,30
KRW-STRIKE,2025-01-27T07:30:00,2025-01-27T16:30:00,15480,15910,15440,15830,1737964795653,499966390.105381,31854.4271041,30
KRW-STRIKE,2025-01-27T07:00:00,2025-01-27T16:00:00,15870,15980,15490,15490,1737962999643,580515692.3755571,36922.40811557,30
KRW-STRIKE,2025-01-27T06:30:00,2025-01-27T15:30:00,16160,16160,15650,15850,1737961195675,981539429.3973016,62042.22732109,30
KRW-STRIKE,2025-01-27T06:00:00,2025-01-27T15:00:00,16490,16500,16000,16160,1737959391230,535793019.8641157,32997.23535526,30
KRW-STRIKE,2025-01-27T05:30:00,2025-01-27T14:30:00,16530,16630,16400,16470,1737957590869,218843228.0578479,13288.71476583,30
KRW-STRIKE,2025-01-27T05:00:00,2025-01-27T14:00:00,16550,16640,16500,16540,1737955774802,119553189.1058772,7220.64644029,30
KRW-STRIKE,2025-01-27T04:30:00,2025-01-27T13:30:00,16580,16660,16430,16570,1737953972501,231397275.9906869,13986.71090324,30
KRW-STRIKE,2025-01-27T04:00:00,2025-01-27T13:00:00,16500,16580,16350,16580,1737952198136,243289102.0964088,14780.35030287,30
KRW-STRIKE,2025-01-27T03:30:00,2025-01-27T12:30:00,16480,16480,16290,16480,1737950389848,251282412.0508401,15310.83612527,30
KRW-STRIKE,2025-01-27T03:00:00,2025-01-27T12:00:00,16410,16570,16320,16480,1737948596967,296146480.99992,17973.0857179,30
KRW-STRIKE,2025-01-27T02:30:00,2025-01-27T11:30:00,16310,16450,16280,16430,1737946777166,258726000.1366056,15812.26175374,30
KRW-STRIKE,2025-01-27T02:00:00,2025-01-27T11:00:00,16300,16490,16240,16310,1737944992447,427653278.8755463,26206.35333081,30
KRW-STRIKE,2025-01-27T01:30:00,2025-01-27T10:30:00,16520,16660,16250,16300,1737943197175,468043933.8116981,28437.94695916,30
KRW-STRIKE,2025-01-27T01:00:00,2025-01-27T10:00:00,16450,16670,16160,16410,1737941387439,1031273053.1346548,62840.69641914,30
KRW-STRIKE,2025-01-27T00:30:00,2025-01-27T09:30:00,16940,17000,16330,16450,1737939599310,1453896093.5001936,87875.51143502,30
KRW-STRIKE,2025-01-27T00:00:00,2025-01-27T09:00:00,17740,17800,16650,16940,1737937797663,3714922472.3439207,218603.64837502,30
KRW-STRIKE,2025-01-26T23:30:00,2025-01-27T08:30:00,16950,17860,16930,17730,1737935999782,4151625603.6162267,239021.76565626,30
KRW-STRIKE,2025-01-26T23:00:00,2025-01-27T08:00:00,16930,17050,16790,16980,1737934195900,593933735.8250916,35104.17125861,30
KRW-STRIKE,2025-01-26T22:30:00,2025-01-27T07:30:00,17000,17050,16820,16940,1737932398160,476721042.9834151,28150.00166326,30
KRW-STRIKE,2025-01-26T22:00:00,2025-01-27T07:00:00,16930,17000,16760,17000,1737930599581,261029487.6994186,15463.72435997,30
KRW-STRIKE,2025-01-26T21:30:00,2025-01-27T06:30:00,16830,16970,16780,16950,1737928799479,274416904.1282431,16281.69628322,30
KRW-STRIKE,2025-01-26T21:00:00,2025-01-27T06:00:00,16700,16850,16700,16830,1737926998975,134288838.3364155,8000.44753394,30
KRW-STRIKE,2025-01-26T20:30:00,2025-01-27T05:30:00,16690,16720,16650,16700,1737925196369,69302814.0210141,4153.03233384,30
KRW-STRIKE,2025-01-26T20:00:00,2025-01-27T05:00:00,16640,16710,16600,16640,1737923388334,93020800.7265151,5582.49879019,30
KRW-STRIKE,2025-01-26T19:30:00,2025-01-27T04:30:00,16670,16720,16570,16640,1737921250070,70027121.6661453,4203.11750913,30
KRW-STRIKE,2025-01-26T19:00:00,2025-01-27T04:00:00,16580,16680,16550,16670,1737919757102,73741970.7893263,4435.95247974,30
KRW-STRIKE,2025-01-26T18:30:00,2025-01-27T03:30:00,16560,16660,16530,16580,1737917874552,72549885.4394134,4377.94147659,30
KRW-STRIKE,2025-01-26T18:00:00,2025-01-27T03:00:00,16500,16660,16500,16650,1737916067999,57729933.6829876,3477.59808406,30
