market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-STX,2025-01-27T13:30:00,2025-01-27T22:30:00,1927,1932,1921,1932,1737984819866,30346865.43217357,15746.04042537,30
KRW-STX,2025-01-27T13:00:00,2025-01-27T22:00:00,1925,1942,1916,1927,1737984596311,703799354.6186326,365140.14288238,30
KRW-STX,2025-01-27T12:30:00,2025-01-27T21:30:00,1880,1942,1880,1924,1737982799250,964834658.5646363,504331.00872868,30
KRW-STX,2025-01-27T12:00:00,2025-01-27T21:00:00,1875,1893,1874,1880,1737980995774,485349634.4737194,257724.84339087,30
KRW-STX,2025-01-27T11:30:00,2025-01-27T20:30:00,1884,1890,1875,1875,1737979199994,520712335.68094,276550.15494449,30
KRW-STX,2025-01-27T11:00:00,2025-01-27T20:00:00,1871,1888,1870,1884,1737977391686,522378740.113345,278365.3026196,30
KRW-STX,2025-01-27T10:30:00,2025-01-27T19:30:00,1896,1898,1865,1872,1737975597695,858463964.8902595,457214.97103827,30
KRW-STX,2025-01-27T10:00:00,2025-01-27T19:00:00,1906,1907,1896,1897,1737973795226,318462867.84423363,167608.67354984,30
KRW-STX,2025-01-27T09:30:00,2025-01-27T18:30:00,1887,1907,1886,1904,1737971979949,297312218.894663,156890.5558735,30
KRW-STX,2025-01-27T09:00:00,2025-01-27T18:00:00,1885,1912,1883,1888,1737970184131,726007029.1487963,382245.13661257,30
KRW-STX,2025-01-27T08:30:00,2025-01-27T17:30:00,1899,1900,1875,1886,1737968392759,955912250.9571099,507916.06247051,30
KRW-STX,2025-01-27T08:00:00,2025-01-27T17:00:00,1914,1914,1890,1900,1737966595234,761477858.7795334,400625.38546611,30
KRW-STX,2025-01-27T07:30:00,2025-01-27T16:30:00,1877,1924,1875,1915,1737964791976,1684340171.1167288,885321.16403299,30
KRW-STX,2025-01-27T07:00:00,2025-01-27T16:00:00,1917,1924,1877,1877,1737962999640,2565848890.45731,1350724.44702462,30
KRW-STX,2025-01-27T06:30:00,2025-01-27T15:30:00,1930,1931,1908,1917,1737961199311,1747015163.8719127,910783.09511067,30
KRW-STX,2025-01-27T06:00:00,2025-01-27T15:00:00,1950,1952,1928,1931,1737959398759,813687247.6459072,420496.4135469,30
KRW-STX,2025-01-27T05:30:00,2025-01-27T14:30:00,1953,1953,1932,1945,1737957590026,1679241134.6021447,864433.52748975,30
KRW-STX,2025-01-27T05:00:00,2025-01-27T14:00:00,1963,1965,1951,1953,1737955788555,829641026.7854257,424220.1722397,30
KRW-STX,2025-01-27T04:30:00,2025-01-27T13:30:00,1963,1974,1956,1963,1737953992962,364438821.1030272,185692.10161746,30
KRW-STX,2025-01-27T04:00:00,2025-01-27T13:00:00,1971,1976,1957,1964,1737952189524,540181094.1440096,275155.32596566,30
KRW-STX,2025-01-27T03:30:00,2025-01-27T12:30:00,1972,1973,1964,1971,1737950390029,513310530.0048721,260676.20926483,30
KRW-STX,2025-01-27T03:00:00,2025-01-27T12:00:00,1962,1973,1958,1973,1737948594115,1008497010.1375179,512384.79383389,30
KRW-STX,2025-01-27T02:30:00,2025-01-27T11:30:00,1972,1973,1960,1962,1737946796998,1062390910.0636201,540144.23974593,30
KRW-STX,2025-01-27T02:00:00,2025-01-27T11:00:00,1975,1982,1954,1972,1737944999816,1671264001.6583574,848835.00969042,30
KRW-STX,2025-01-27T01:30:00,2025-01-27T10:30:00,1984,1995,1973,1975,1737943199364,799099357.8405225,403045.93333003,30
KRW-STX,2025-01-27T01:00:00,2025-01-27T10:00:00,2000,2002,1972,1984,1737941400004,2974677796.215548,1496411.01338404,30
KRW-STX,2025-01-27T00:30:00,2025-01-27T09:30:00,2018,2024,1999,2000,1737939599150,2524503875.2534328,1260385.6557698,30
KRW-STX,2025-01-27T00:00:00,2025-01-27T09:00:00,2028,2035,2008,2018,1737937794390,2033670500.9636054,1007231.32010904,30
KRW-STX,2025-01-26T23:30:00,2025-01-27T08:30:00,2033,2036,2023,2028,1737935992934,1016783523.1725271,501351.17899436,30
KRW-STX,2025-01-26T23:00:00,2025-01-27T08:00:00,2059,2059,2030,2036,1737934196183,1504410878.0771058,736236.54873606,30
KRW-STX,2025-01-26T22:30:00,2025-01-27T07:30:00,2063,2073,2055,2061,1737932399182,321658401.371587,155934.39696189,30
KRW-STX,2025-01-26T22:00:00,2025-01-27T07:00:00,2077,2078,2053,2063,1737930598496,836536011.2014703,405431.39305011,30
KRW-STX,2025-01-26T21:30:00,2025-01-27T06:30:00,2084,2090,2077,2077,1737928799177,364065503.7143899,174998.63707056,30
KRW-STX,2025-01-26T21:00:00,2025-01-27T06:00:00,2092,2092,2081,2082,1737926869477,212442329.74791116,101855.17982441,30
KRW-STX,2025-01-26T20:30:00,2025-01-27T05:30:00,2098,2099,2091,2092,1737925166863,54089744.70533143,25826.39063684,30
KRW-STX,2025-01-26T20:00:00,2025-01-27T05:00:00,2098,2101,2096,2098,1737923354312,33595553.81999526,16016.3321069,30
KRW-STX,2025-01-26T19:30:00,2025-01-27T04:30:00,2100,2105,2095,2097,1737921582667,32393739.87488586,15427.89613005,30
KRW-STX,2025-01-26T19:00:00,2025-01-27T04:00:00,2098,2100,2094,2100,1737919708828,113171335.63281555,53990.52257385,30
KRW-STX,2025-01-26T18:30:00,2025-01-27T03:30:00,2102,2106,2098,2098,1737917954296,89603219.14743812,42675.97317903,30
KRW-STX,2025-01-26T18:00:00,2025-01-27T03:00:00,2101,2106,2092,2100,1737916128519,103054298.16310325,49058.58618252,30
KRW-STX,2025-01-26T17:30:00,2025-01-27T02:30:00,2090,2104,2088,2096,1737914351603,146179009.52833712,69630.84911504,30
KRW-STX,2025-01-26T17:00:00,2025-01-27T02:00:00,2095,2098,2091,2091,1737912591133,34178024.23005007,16317.74074397,30
KRW-STX,2025-01-26T16:30:00,2025-01-27T01:30:00,2091,2100,2090,2093,1737910772399,73491273.13688003,35085.03027956,30
KRW-STX,2025-01-26T16:00:00,2025-01-27T01:00:00,2097,2100,2086,2093,1737908967988,290658726.07447183,138993.62778725,30
KRW-STX,2025-01-26T15:30:00,2025-01-27T00:30:00,2099,2103,2097,2097,1737907194494,185237119.37414047,88265.59209854,30
KRW-STX,2025-01-26T15:00:00,2025-01-27T00:00:00,2103,2105,2096,2102,1737905377578,231440996.13705176,110146.54786377,30
KRW-STX,2025-01-26T14:30:00,2025-01-26T23:30:00,2099,2105,2097,2103,1737903594703,187719647.97185504,89381.72105994,30
KRW-STX,2025-01-26T14:00:00,2025-01-26T23:00:00,2102,2102,2095,2097,1737901799261,285171128.1044631,136006.11061807,30
KRW-STX,2025-01-26T13:30:00,2025-01-26T22:30:00,2098,2102,2094,2101,1737899985158,313180306.7990447,149247.16480417,30
KRW-STX,2025-01-26T13:00:00,2025-01-26T22:00:00,2099,2104,2090,2098,1737898180421,380739839.4330736,181473.03656403,30
KRW-STX,2025-01-26T12:30:00,2025-01-26T21:30:00,2094,2098,2088,2098,1737896398325,391148044.93812233,186834.61277293,30
KRW-STX,2025-01-26T12:00:00,2025-01-26T21:00:00,2097,2098,2090,2096,1737894561366,156262876.29055494,74625.91833713,30
KRW-STX,2025-01-26T11:30:00,2025-01-26T20:30:00,2095,2098,2091,2097,1737892791506,173052738.09437603,82618.61837851,30
KRW-STX,2025-01-26T11:00:00,2025-01-26T20:00:00,2086,2098,2084,2095,1737890967832,167057828.08976692,79883.77189061,30
KRW-STX,2025-01-26T10:30:00,2025-01-26T19:30:00,2091,2091,2081,2083,1737889192001,359212283.73881394,172327.99529077,30
KRW-STX,2025-01-26T10:00:00,2025-01-26T19:00:00,2088,2094,2083,2091,1737887395989,187725040.37642804,89936.09028705,30
KRW-STX,2025-01-26T09:30:00,2025-01-26T18:30:00,2093,2096,2081,2088,1737885590893,464551353.9969746,222568.36025992,30
KRW-STX,2025-01-26T09:00:00,2025-01-26T18:00:00,2103,2106,2090,2091,1737883799639,286197863.50172925,136359.03815389,30
KRW-STX,2025-01-26T08:30:00,2025-01-26T17:30:00,2104,2110,2101,2105,1737881970540,218280368.6600158,103798.58070464,30
KRW-STX,2025-01-26T08:00:00,2025-01-26T17:00:00,2105,2115,2102,2104,1737880138134,259247919.80017334,122991.14153029,30
KRW-STX,2025-01-26T07:30:00,2025-01-26T16:30:00,2104,2105,2101,2103,1737878347233,218579590.3311863,103907.25879726,30
KRW-STX,2025-01-26T07:00:00,2025-01-26T16:00:00,2102,2109,2100,2103,1737876572838,385643286.2879543,183276.05348594,30
KRW-STX,2025-01-26T06:30:00,2025-01-26T15:30:00,2104,2105,2099,2100,1737874790455,190634896.3574404,90723.63594112,30
KRW-STX,2025-01-26T06:00:00,2025-01-26T15:00:00,2110,2110,2100,2104,1737872994328,196865420.70719475,93578.28905869,30
KRW-STX,2025-01-26T05:30:00,2025-01-26T14:30:00,2110,2110,2102,2109,1737871186809,358783429.9755572,170284.53627924,30
KRW-STX,2025-01-26T05:00:00,2025-01-26T14:00:00,2119,2119,2108,2110,1737869369015,252818791.0856783,119671.0120694,30
KRW-STX,2025-01-26T04:30:00,2025-01-26T13:30:00,2119,2121,2114,2119,1737867583921,260238874.04545772,122846.74713948,30
KRW-STX,2025-01-26T04:00:00,2025-01-26T13:00:00,2112,2121,2102,2118,1737865765781,240091623.3856109,113631.43236645,30
KRW-STX,2025-01-26T03:30:00,2025-01-26T12:30:00,2100,2117,2098,2112,1737863975803,290383537.12128955,137697.37709563,30
KRW-STX,2025-01-26T03:00:00,2025-01-26T12:00:00,2107,2108,2098,2100,1737862144512,102537403.81184053,48750.36233813,30
KRW-STX,2025-01-26T02:30:00,2025-01-26T11:30:00,2103,2107,2097,2107,1737860395646,244738892.86011878,116481.67728069,30
KRW-STX,2025-01-26T02:00:00,2025-01-26T11:00:00,2099,2104,2090,2101,1737858591250,228503113.42270878,109052.02028774,30
KRW-STX,2025-01-26T01:30:00,2025-01-26T10:30:00,2105,2108,2099,2099,1737856796400,301900722.51115847,143559.90359738,30
KRW-STX,2025-01-26T01:00:00,2025-01-26T10:00:00,2099,2104,2094,2104,1737854989798,383604383.945168,182596.31466298,30
KRW-STX,2025-01-26T00:30:00,2025-01-26T09:30:00,2102,2104,2095,2099,1737853197423,306843000.8491346,146093.81139328,30
KRW-STX,2025-01-26T00:00:00,2025-01-26T09:00:00,2086,2104,2076,2099,1737851396677,525767597.08405024,251743.26967778,30
KRW-STX,2025-01-25T23:30:00,2025-01-26T08:30:00,2090,2098,2085,2087,1737849576481,173048489.63393185,82757.80069546,30
KRW-STX,2025-01-25T23:00:00,2025-01-26T08:00:00,2089,2093,2084,2090,1737847799439,75261548.23893636,36028.45215458,30
KRW-STX,2025-01-25T22:30:00,2025-01-26T07:30:00,2090,2097,2084,2089,1737845932467,100509354.13397914,48110.59354185,30
KRW-STX,2025-01-25T22:00:00,2025-01-26T07:00:00,2093,2098,2090,2090,1737844074279,55318761.05145438,26421.10831017,30
KRW-STX,2025-01-25T21:30:00,2025-01-26T06:30:00,2086,2094,2083,2093,1737842360238,70956290.9538364,34020.90523901,30
KRW-STX,2025-01-25T21:00:00,2025-01-26T06:00:00,2085,2090,2079,2086,1737840546724,223418087.8252972,107116.49834484,30
