market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-SUI,2025-01-27T13:30:00,2025-01-27T22:30:00,5706,5745,5701,5743,1737984826646,331470568.1812257,58042.7706334,30
KRW-SUI,2025-01-27T13:00:00,2025-01-27T22:00:00,5701,5799,5667,5706,1737984598009,3930330050.958843,683694.85361243,30
KRW-SUI,2025-01-27T12:30:00,2025-01-27T21:30:00,5529,5740,5517,5701,1737982797449,2744206608.7795777,485635.55083695,30
KRW-SUI,2025-01-27T12:00:00,2025-01-27T21:00:00,5510,5560,5495,5528,1737980995996,750963103.451853,135834.19391308,30
KRW-SUI,2025-01-27T11:30:00,2025-01-27T20:30:00,5552,5597,5511,5513,1737979197111,1197487912.7358358,215569.74808948,30
KRW-SUI,2025-01-27T11:00:00,2025-01-27T20:00:00,5471,5564,5463,5555,1737977397263,1051870709.4471482,190719.60122248,30
KRW-SUI,2025-01-27T10:30:00,2025-01-27T19:30:00,5579,5579,5459,5471,1737975597426,1003754705.880556,182107.21897033,30
KRW-SUI,2025-01-27T10:00:00,2025-01-27T19:00:00,5568,5585,5537,5580,1737973799044,795904393.4086077,143118.13368975,30
KRW-SUI,2025-01-27T09:30:00,2025-01-27T18:30:00,5441,5588,5430,5571,1737971995324,1177766831.2764282,213939.46374972,30
KRW-SUI,2025-01-27T09:00:00,2025-01-27T18:00:00,5440,5525,5400,5440,1737970199644,2883015936.0798297,526940.30782403,30
KRW-SUI,2025-01-27T08:30:00,2025-01-27T17:30:00,5482,5483,5412,5447,1737968395057,2678475487.846361,492468.21106585,30
KRW-SUI,2025-01-27T08:00:00,2025-01-27T17:00:00,5555,5557,5440,5480,1737966599852,5034674786.174964,920255.7777318,30
KRW-SUI,2025-01-27T07:30:00,2025-01-27T16:30:00,5441,5590,5430,5554,1737964796522,3460739647.0492306,625768.20403043,30
KRW-SUI,2025-01-27T07:00:00,2025-01-27T16:00:00,5574,5613,5428,5430,1737962998860,5136648598.6827135,930346.9755528,30
KRW-SUI,2025-01-27T06:30:00,2025-01-27T15:30:00,5654,5654,5555,5574,1737961195908,2347198377.734854,419690.047195,30
KRW-SUI,2025-01-27T06:00:00,2025-01-27T15:00:00,5671,5696,5650,5658,1737959395722,1512692608.4431946,266939.97389947,30
KRW-SUI,2025-01-27T05:30:00,2025-01-27T14:30:00,5635,5681,5600,5671,1737957600005,1980562493.4776163,351075.10691747,30
KRW-SUI,2025-01-27T05:00:00,2025-01-27T14:00:00,5683,5700,5600,5634,1737955799563,1844979876.244617,326703.73488958,30
KRW-SUI,2025-01-27T04:30:00,2025-01-27T13:30:00,5689,5717,5660,5683,1737953996500,981123983.2327126,172543.21968663,30
KRW-SUI,2025-01-27T04:00:00,2025-01-27T13:00:00,5795,5795,5677,5686,1737952194417,1147708686.8295798,200509.58577473,30
KRW-SUI,2025-01-27T03:30:00,2025-01-27T12:30:00,5745,5795,5730,5795,1737950397003,781723697.8174736,135859.11817361,30
KRW-SUI,2025-01-27T03:00:00,2025-01-27T12:00:00,5682,5775,5674,5745,1737948599536,1657712362.5328727,289044.02390628,30
KRW-SUI,2025-01-27T02:30:00,2025-01-27T11:30:00,5661,5696,5628,5680,1737946799980,1472296255.743897,260053.30341314,30
KRW-SUI,2025-01-27T02:00:00,2025-01-27T11:00:00,5724,5726,5640,5661,1737944999994,3472608212.8833785,611220.98838028,30
KRW-SUI,2025-01-27T01:30:00,2025-01-27T10:30:00,5780,5801,5720,5724,1737943193293,1713459563.2828152,297284.50859465,30
KRW-SUI,2025-01-27T01:00:00,2025-01-27T10:00:00,5815,5850,5710,5781,1737941394601,3264440546.369685,564635.29402613,30
KRW-SUI,2025-01-27T00:30:00,2025-01-27T09:30:00,5870,5870,5801,5815,1737939599259,2598638655.6474857,445531.35884683,30
KRW-SUI,2025-01-27T00:00:00,2025-01-27T09:00:00,5905,5965,5812,5866,1737937793115,5607278342.927271,953338.24135071,30
KRW-SUI,2025-01-26T23:30:00,2025-01-27T08:30:00,6001,6001,5882,5905,1737935999787,4014880554.77872,677096.55808283,30
KRW-SUI,2025-01-26T23:00:00,2025-01-27T08:00:00,6062,6075,5960,6001,1737934198485,3613717468.23074,601523.47216534,30
KRW-SUI,2025-01-26T22:30:00,2025-01-27T07:30:00,6074,6121,6050,6062,1737932389462,1207872676.1625712,198241.80013789,30
KRW-SUI,2025-01-26T22:00:00,2025-01-27T07:00:00,6023,6077,6014,6075,1737930598881,1076892035.8261504,178277.05358265,30
KRW-SUI,2025-01-26T21:30:00,2025-01-27T06:30:00,6097,6100,6011,6024,1737928798390,2354197978.089209,389203.74339187,30
KRW-SUI,2025-01-26T21:00:00,2025-01-27T06:00:00,6134,6139,6080,6098,1737926988673,2003336026.929491,328417.02572866,30
KRW-SUI,2025-01-26T20:30:00,2025-01-27T05:30:00,6171,6176,6121,6134,1737925198908,1320953378.1438868,214839.55770773,30
KRW-SUI,2025-01-26T20:00:00,2025-01-27T05:00:00,6169,6181,6152,6168,1737923339066,669913879.5979174,108630.51483061,30
KRW-SUI,2025-01-26T19:30:00,2025-01-27T04:30:00,6190,6194,6167,6169,1737921596301,374778656.27968687,60674.24178045,30
KRW-SUI,2025-01-26T19:00:00,2025-01-27T04:00:00,6221,6222,6186,6193,1737919797083,312801986.02736115,50457.00308356,30
KRW-SUI,2025-01-26T18:30:00,2025-01-27T03:30:00,6232,6237,6212,6221,1737917990456,180658762.01838002,29015.03222048,30
KRW-SUI,2025-01-26T18:00:00,2025-01-27T03:00:00,6224,6233,6203,6232,1737916188456,472546291.0561823,75956.42098555,30
KRW-SUI,2025-01-26T17:30:00,2025-01-27T02:30:00,6186,6225,6181,6225,1737914381756,445854595.7953057,71860.13086039,30
KRW-SUI,2025-01-26T17:00:00,2025-01-27T02:00:00,6188,6212,6181,6186,1737912588843,347623425.8717731,56083.86570289,30
KRW-SUI,2025-01-26T16:30:00,2025-01-27T01:30:00,6174,6196,6174,6191,1737910799151,231480397.41931006,37408.30516944,30
KRW-SUI,2025-01-26T16:00:00,2025-01-27T01:00:00,6197,6198,6151,6172,1737908998580,1836077764.6295187,297195.79279862,30
KRW-SUI,2025-01-26T15:30:00,2025-01-27T00:30:00,6207,6214,6197,6197,1737907196045,768999978.8198488,123998.72795455,30
KRW-SUI,2025-01-26T15:00:00,2025-01-27T00:00:00,6214,6229,6203,6207,1737905398634,400665184.85333914,64474.05546889,30
KRW-SUI,2025-01-26T14:30:00,2025-01-26T23:30:00,6216,6218,6200,6214,1737903599970,617934532.5680009,99585.49881246,30
KRW-SUI,2025-01-26T14:00:00,2025-01-26T23:00:00,6225,6225,6202,6216,1737901799393,788113240.2038208,126907.01479986,30
KRW-SUI,2025-01-26T13:30:00,2025-01-26T22:30:00,6231,6235,6212,6225,1737899999274,654579029.8876799,105212.80248543,30
KRW-SUI,2025-01-26T13:00:00,2025-01-26T22:00:00,6235,6246,6221,6231,1737898199083,676730912.0597557,108566.29530328,30
KRW-SUI,2025-01-26T12:30:00,2025-01-26T21:30:00,6235,6245,6216,6235,1737896397191,539832288.7454368,86702.02563678,30
KRW-SUI,2025-01-26T12:00:00,2025-01-26T21:00:00,6238,6269,6218,6235,1737894592900,602940870.3662804,96633.35940652,30
KRW-SUI,2025-01-26T11:30:00,2025-01-26T20:30:00,6235,6244,6213,6243,1737892797379,430707935.7920636,69167.4433995,30
KRW-SUI,2025-01-26T11:00:00,2025-01-26T20:00:00,6240,6252,6231,6235,1737890981638,311128637.5137079,49833.14510951,30
KRW-SUI,2025-01-26T10:30:00,2025-01-26T19:30:00,6217,6240,6210,6240,1737889191242,488924300.46088576,78604.08719377,30
KRW-SUI,2025-01-26T10:00:00,2025-01-26T19:00:00,6219,6233,6210,6219,1737887395162,424995294.06778556,68333.7595722,30
KRW-SUI,2025-01-26T09:30:00,2025-01-26T18:30:00,6225,6235,6213,6220,1737885599477,564035587.926115,90669.5184432,30
KRW-SUI,2025-01-26T09:00:00,2025-01-26T18:00:00,6223,6241,6216,6224,1737883796647,476571332.6085484,76595.64362324,30
KRW-SUI,2025-01-26T08:30:00,2025-01-26T17:30:00,6228,6235,6211,6223,1737881993130,708129390.9534297,113844.99723873,30
KRW-SUI,2025-01-26T08:00:00,2025-01-26T17:00:00,6248,6260,6227,6228,1737880190625,650881833.6410104,104363.85543739,30
KRW-SUI,2025-01-26T07:30:00,2025-01-26T16:30:00,6252,6256,6233,6248,1737878387584,620323331.8919524,99334.68780822,30
KRW-SUI,2025-01-26T07:00:00,2025-01-26T16:00:00,6263,6290,6252,6252,1737876588042,391705684.04011375,62453.20301095,30
KRW-SUI,2025-01-26T06:30:00,2025-01-26T15:30:00,6246,6270,6245,6262,1737874785019,279856805.77730465,44711.40982475,30
KRW-SUI,2025-01-26T06:00:00,2025-01-26T15:00:00,6259,6270,6243,6245,1737872990613,601778951.7434921,96236.09585252,30
KRW-SUI,2025-01-26T05:30:00,2025-01-26T14:30:00,6283,6284,6251,6259,1737871198978,439436428.25615907,70152.15406056,30
KRW-SUI,2025-01-26T05:00:00,2025-01-26T14:00:00,6294,6295,6268,6282,1737869397531,449417730.5632121,71598.62977093,30
KRW-SUI,2025-01-26T04:30:00,2025-01-26T13:30:00,6303,6307,6287,6295,1737867599217,791904656.6092739,125719.55384815,30
KRW-SUI,2025-01-26T04:00:00,2025-01-26T13:00:00,6266,6310,6253,6301,1737865797817,1164495875.6939726,185284.17545443,30
KRW-SUI,2025-01-26T03:30:00,2025-01-26T12:30:00,6247,6272,6244,6266,1737863974062,683156079.4718164,109180.93491723,30
KRW-SUI,2025-01-26T03:00:00,2025-01-26T12:00:00,6236,6258,6235,6247,1737862173050,540657870.6696041,86499.56376654,30
KRW-SUI,2025-01-26T02:30:00,2025-01-26T11:30:00,6233,6245,6221,6232,1737860399182,379897473.97057974,60974.60820554,30
KRW-SUI,2025-01-26T02:00:00,2025-01-26T11:00:00,6228,6241,6206,6236,1737858591236,1079872260.889361,173508.03356214,30
KRW-SUI,2025-01-26T01:30:00,2025-01-26T10:30:00,6240,6254,6216,6228,1737856798292,704657297.5648414,113093.55937348,30
KRW-SUI,2025-01-26T01:00:00,2025-01-26T10:00:00,6274,6286,6224,6237,1737854996314,1262572986.3091614,201914.61994863,30
