market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-SXP,2025-01-27T13:30:00,2025-01-27T22:30:00,435.8,436.9,435.1,436.9,1737984819382,17085290.286693,39230.65806145,30
KRW-SXP,2025-01-27T13:00:00,2025-01-27T22:00:00,435.8,440.1,434.5,436.3,1737984557595,107676501.21952754,246297.37413638,30
KRW-SXP,2025-01-27T12:30:00,2025-01-27T21:30:00,423.2,440.4,423.2,435.5,1737982790443,147584135.70495328,341199.07597985,30
KRW-SXP,2025-01-27T12:00:00,2025-01-27T21:00:00,421,426.1,420.7,423.5,1737980987403,71930356.79659444,169814.34890133,30
KRW-SXP,2025-01-27T11:30:00,2025-01-27T20:30:00,423.5,425,420.8,420.8,1737979199179,54125072.10702321,127908.5610136,30
KRW-SXP,2025-01-27T11:00:00,2025-01-27T20:00:00,418.9,424.1,418.9,423.5,1737977244122,65567637.9345459,155693.49905831,30
KRW-SXP,2025-01-27T10:30:00,2025-01-27T19:30:00,422,422.6,417.5,418.9,1737975596839,110231664.76290704,262769.67398271,30
KRW-SXP,2025-01-27T10:00:00,2025-01-27T19:00:00,425.3,425.3,422,422,1737973761243,88679789.7125864,209264.90078386,30
KRW-SXP,2025-01-27T09:30:00,2025-01-27T18:30:00,422.8,426.8,422,425.7,1737971993013,58830565.97512756,138900.40369043,30
KRW-SXP,2025-01-27T09:00:00,2025-01-27T18:00:00,421.7,426,419.8,422.8,1737970189343,52179134.23242444,123453.83991236,30
KRW-SXP,2025-01-27T08:30:00,2025-01-27T17:30:00,422,422.7,417.4,421.1,1737968302129,123918348.55931441,295288.59318439,30
KRW-SXP,2025-01-27T08:00:00,2025-01-27T17:00:00,424.8,425.3,420.8,423,1737966589710,112133818.54651493,265105.75892138,30
KRW-SXP,2025-01-27T07:30:00,2025-01-27T16:30:00,416.6,427.4,416.5,425.3,1737964754161,277542859.7203086,655240.62413875,30
KRW-SXP,2025-01-27T07:00:00,2025-01-27T16:00:00,428.6,429.8,416.6,416.6,1737962999665,357959450.0004019,846770.56706939,30
KRW-SXP,2025-01-27T06:30:00,2025-01-27T15:30:00,429.6,430.2,425,428.6,1737961144325,268935287.9210495,628924.305576,30
KRW-SXP,2025-01-27T06:00:00,2025-01-27T15:00:00,436.7,437.7,429.8,430.2,1737959395442,457955909.46350557,1058364.82004079,30
KRW-SXP,2025-01-27T05:30:00,2025-01-27T14:30:00,438,438,435,437.3,1737957590470,186336657.31036475,427265.08540443,30
KRW-SXP,2025-01-27T05:00:00,2025-01-27T14:00:00,438.4,439.7,437.3,438.1,1737955736406,82952356.81968154,189468.06173825,30
KRW-SXP,2025-01-27T04:30:00,2025-01-27T13:30:00,439,441.2,437.4,437.5,1737953989714,220697194.86119127,502793.40775054,30
KRW-SXP,2025-01-27T04:00:00,2025-01-27T13:00:00,441.1,441.9,438.3,439,1737952196545,178488406.8014238,405885.07492665,30
KRW-SXP,2025-01-27T03:30:00,2025-01-27T12:30:00,443.8,443.8,441,441.9,1737950391702,32124202.85746945,72633.153088,30
KRW-SXP,2025-01-27T03:00:00,2025-01-27T12:00:00,439.6,446.3,439.3,443.9,1737948511933,66665956.92692222,150386.63142475,30
KRW-SXP,2025-01-27T02:30:00,2025-01-27T11:30:00,440.9,442.1,439.5,439.6,1737946782578,122024614.59494784,277016.05705978,30
KRW-SXP,2025-01-27T02:00:00,2025-01-27T11:00:00,444.8,444.8,440.9,440.9,1737944990014,347940807.44733447,785738.50809449,30
KRW-SXP,2025-01-27T01:30:00,2025-01-27T10:30:00,447.8,450.1,444.6,444.8,1737943146079,132100704.77113055,295971.62867901,30
KRW-SXP,2025-01-27T01:00:00,2025-01-27T10:00:00,450.7,453,445.4,448.9,1737941390864,232644004.45629296,517815.47547318,30
KRW-SXP,2025-01-27T00:30:00,2025-01-27T09:30:00,452.9,454.4,450.6,450.7,1737939590427,236859597.6268582,524279.38961863,30
KRW-SXP,2025-01-27T00:00:00,2025-01-27T09:00:00,455.9,458.7,451.8,453.6,1737937764506,225580004.38111082,496451.99133467,30
KRW-SXP,2025-01-26T23:30:00,2025-01-27T08:30:00,459.1,459.5,456,456.2,1737935993181,232765891.61247924,509366.02141344,30
KRW-SXP,2025-01-26T23:00:00,2025-01-27T08:00:00,465.2,465.5,458,460.3,1737934186463,201543974.60383144,437402.79744473,30
KRW-SXP,2025-01-26T22:30:00,2025-01-27T07:30:00,465,467.9,463.7,466.8,1737932249103,38556199.23922123,82765.06440284,30
KRW-SXP,2025-01-26T22:00:00,2025-01-27T07:00:00,465.2,466.7,463.9,465.6,1737930516425,56012274.89067405,120433.84577141,30
KRW-SXP,2025-01-26T21:30:00,2025-01-27T06:30:00,466.5,466.8,465,465,1737928797986,51583881.51965294,110690.40137049,30
KRW-SXP,2025-01-26T21:00:00,2025-01-27T06:00:00,468,468.1,465,465.7,1737926897166,52033165.29606734,111523.46707784,30
KRW-SXP,2025-01-26T20:30:00,2025-01-27T05:30:00,469.4,470.1,468,468,1737925035913,52127883.10705946,111185.22836498,30
KRW-SXP,2025-01-26T20:00:00,2025-01-27T05:00:00,469.4,470,468.5,469.4,1737923399334,14008945.87607395,29847.82559644,30
KRW-SXP,2025-01-26T19:30:00,2025-01-27T04:30:00,469.9,471.2,469.4,469.4,1737921594814,10775921.4189673,22922.99561323,30
KRW-SXP,2025-01-26T19:00:00,2025-01-27T04:00:00,471,471.5,469,469.5,1737919608548,31678460.19667781,67441.1788206,30
KRW-SXP,2025-01-26T18:30:00,2025-01-27T03:30:00,472,472.6,471.1,471.5,1737917989411,23194719.03023427,49140.29049924,30
KRW-SXP,2025-01-26T18:00:00,2025-01-27T03:00:00,470.8,473.1,470.5,472.7,1737915809359,12251992.00476246,26008.44623496,30
KRW-SXP,2025-01-26T17:30:00,2025-01-27T02:30:00,468.1,472,467.6,470.8,1737914330972,12888934.93746642,27415.26246396,30
KRW-SXP,2025-01-26T17:00:00,2025-01-27T02:00:00,470.5,470.5,468.1,468.9,1737912520618,17469324.04885348,37203.78600529,30
KRW-SXP,2025-01-26T16:30:00,2025-01-27T01:30:00,470.2,471.7,469.5,470.5,1737910762600,52201428.61916077,111004.68019562,30
KRW-SXP,2025-01-26T16:00:00,2025-01-27T01:00:00,469.3,470.4,466.5,470.4,1737908982443,38161846.37268039,81400.44411674,30
KRW-SXP,2025-01-26T15:30:00,2025-01-27T00:30:00,470.4,470.8,468.5,468.5,1737907092549,30985986.6908877,66041.98952412,30
KRW-SXP,2025-01-26T15:00:00,2025-01-27T00:00:00,473,473,468.5,470.4,1737905351782,126652158.50687684,269345.98706496,30
KRW-SXP,2025-01-26T14:30:00,2025-01-26T23:30:00,471.1,473.9,470.9,473,1737903533394,101552853.60203005,214902.81252644,30
KRW-SXP,2025-01-26T14:00:00,2025-01-26T23:00:00,470.3,471.1,467.8,469.8,1737901772333,85436278.81292842,181962.99756458,30
KRW-SXP,2025-01-26T13:30:00,2025-01-26T22:30:00,476.9,483.5,467.1,470.4,1737899999253,1776318644.1520824,3734706.38677842,30
KRW-SXP,2025-01-26T13:00:00,2025-01-26T22:00:00,468.6,480.9,467.2,479.6,1737898199787,701441236.6931458,1474462.12146691,30
KRW-SXP,2025-01-26T12:30:00,2025-01-26T21:30:00,467.9,469.2,466,468.7,1737896391830,53229880.93472906,113895.0298612,30
KRW-SXP,2025-01-26T12:00:00,2025-01-26T21:00:00,468.8,470,467.5,467.9,1737894597613,77598241.88492107,165584.83737894,30
KRW-SXP,2025-01-26T11:30:00,2025-01-26T20:30:00,469.9,470.4,467.1,468.7,1737892789427,120163587.22449318,256425.00801492,30
KRW-SXP,2025-01-26T11:00:00,2025-01-26T20:00:00,469.9,472.5,467.9,470,1737890960116,269231780.8454049,572326.94817815,30
KRW-SXP,2025-01-26T10:30:00,2025-01-26T19:30:00,462.8,470.1,462.2,470.1,1737889198369,223645781.97211272,479874.38839622,30
KRW-SXP,2025-01-26T10:00:00,2025-01-26T19:00:00,461.4,463.4,460.1,462.8,1737887394439,32197217.96259716,69732.862051,30
KRW-SXP,2025-01-26T09:30:00,2025-01-26T18:30:00,462.4,463.9,460.1,461.2,1737885594538,69273287.0690298,149931.17311619,30
KRW-SXP,2025-01-26T09:00:00,2025-01-26T18:00:00,465.4,465.6,462,462,1737883718402,92623496.81285627,199606.44850191,30
KRW-SXP,2025-01-26T08:30:00,2025-01-26T17:30:00,466.4,466.9,464.6,465.9,1737881935176,69201115.79104377,148455.77702224,30
KRW-SXP,2025-01-26T08:00:00,2025-01-26T17:00:00,468.3,469.3,466.2,466.4,1737880197189,66146472.72162674,141345.44476147,30
KRW-SXP,2025-01-26T07:30:00,2025-01-26T16:30:00,465.8,468.4,464.8,467.7,1737878389771,100632021.7144725,215814.27544863,30
KRW-SXP,2025-01-26T07:00:00,2025-01-26T16:00:00,465.8,467.9,465.8,466.5,1737876257634,30897950.84545297,66207.89482599,30
KRW-SXP,2025-01-26T06:30:00,2025-01-26T15:30:00,463.8,468.5,463.5,465.7,1737874798968,125652204.43773532,269459.00281139,30
KRW-SXP,2025-01-26T06:00:00,2025-01-26T15:00:00,467.2,467.2,463.1,463.1,1737872962285,23825965.79586409,51318.92784488,30
KRW-SXP,2025-01-26T05:30:00,2025-01-26T14:30:00,464,467.3,463.9,467.3,1737871096461,84527988.86220478,181405.42154986,30
KRW-SXP,2025-01-26T05:00:00,2025-01-26T14:00:00,466.1,466.1,464,464,1737869345088,31352625.23946979,67456.28070815,30
KRW-SXP,2025-01-26T04:30:00,2025-01-26T13:30:00,467,467.2,464.7,465.8,1737867586690,18445981.28089928,39627.64926695,30
KRW-SXP,2025-01-26T04:00:00,2025-01-26T13:00:00,464,467.5,463.4,466.6,1737865600309,30209443.66740254,64840.93688839,30
KRW-SXP,2025-01-26T03:30:00,2025-01-26T12:30:00,463,466.6,462.4,464.9,1737863988146,47291771.20021916,101772.40719586,30
KRW-SXP,2025-01-26T03:00:00,2025-01-26T12:00:00,464.7,465.7,462.3,462.4,1737862104276,63668993.76645685,137262.51769806,30
KRW-SXP,2025-01-26T02:30:00,2025-01-26T11:30:00,460.4,464.7,460.2,464.7,1737860372181,64113687.90289919,138750.64434208,30
KRW-SXP,2025-01-26T02:00:00,2025-01-26T11:00:00,461.5,461.6,459.2,461.4,1737858490909,59767638.78611766,129766.92163707,30
KRW-SXP,2025-01-26T01:30:00,2025-01-26T10:30:00,461.9,462.4,459.8,460.1,1737856620606,25914235.64656588,56190.18987052,30
KRW-SXP,2025-01-26T01:00:00,2025-01-26T10:00:00,457.5,463.5,457.5,461.9,1737854990653,141342374.1286011,306508.80773066,30
KRW-SXP,2025-01-26T00:30:00,2025-01-26T09:30:00,459.8,460.2,458,458,1737853088384,55358384.97706585,120612.53387007,30
KRW-SXP,2025-01-26T00:00:00,2025-01-26T09:00:00,458.2,460.9,454.9,459.7,1737851359073,94946515.10010864,207498.86623054,30
KRW-SXP,2025-01-25T23:30:00,2025-01-26T08:30:00,458.2,458.7,457.1,457.3,1737849579693,26917198.87276518,58766.34281269,30
KRW-SXP,2025-01-25T23:00:00,2025-01-26T08:00:00,458.1,458.5,456.4,458.2,1737847739971,18660399.19779344,40760.30788383,30
KRW-SXP,2025-01-25T22:30:00,2025-01-26T07:30:00,458.6,458.6,456.6,457.7,1737845935798,11025986.05090813,24104.8552762,30
KRW-SXP,2025-01-25T22:00:00,2025-01-26T07:00:00,458.6,459.8,457.9,459,1737843947772,12289120.49639413,26771.90035225,30
KRW-SXP,2025-01-25T21:30:00,2025-01-26T06:30:00,457.2,458.4,456.4,458.4,1737842337080,16798897.65971666,36744.6350632,30
KRW-SXP,2025-01-25T21:00:00,2025-01-26T06:00:00,457,457.2,456.2,456.4,1737840571985,14744477.58602538,32307.48679395,30
KRW-SXP,2025-01-25T20:30:00,2025-01-26T05:30:00,459.9,460,457.9,458,1737838652377,6066740.34110255,13209.27969779,30
KRW-SXP,2025-01-25T20:00:00,2025-01-26T05:00:00,459.4,462,458.6,459.8,1737836991119,33977164.42378492,74006.457862,30
KRW-SXP,2025-01-25T19:30:00,2025-01-26T04:30:00,459.6,459.8,457.7,458.8,1737835176194,24951943.36494406,54493.79263448,30
KRW-SXP,2025-01-25T19:00:00,2025-01-26T04:00:00,458.1,459.6,458.1,459.6,1737833055515,11576542.0749234,25255.94709862,30
KRW-SXP,2025-01-25T18:30:00,2025-01-26T03:30:00,457.7,457.7,456.3,457,1737831224430,12398030.25834226,27131.13480842,30
KRW-SXP,2025-01-25T18:00:00,2025-01-26T03:00:00,456.8,458.3,456.3,457.7,1737829796325,6334332.24337918,13861.27814694,30
KRW-SXP,2025-01-25T17:30:00,2025-01-26T02:30:00,456.7,458.1,455.6,456.6,1737827990669,75324055.64224796,165093.46747132,30
KRW-SXP,2025-01-25T17:00:00,2025-01-26T02:00:00,458.2,458.9,456.3,457,1737826112480,35019358.46836634,76617.71645842,30
KRW-SXP,2025-01-25T16:30:00,2025-01-26T01:30:00,458.6,459.5,458.3,458.4,1737824327094,18763542.73416226,40881.97401866,30
KRW-SXP,2025-01-25T16:00:00,2025-01-26T01:00:00,457.1,460.7,457.1,458.6,1737822581365,192091562.13690078,418593.14601999,30
KRW-SXP,2025-01-25T15:30:00,2025-01-26T00:30:00,460.5,461.2,457.2,457.2,1737820795677,45072276.82991797,98259.37338163,30
KRW-SXP,2025-01-25T15:00:00,2025-01-26T00:00:00,457.4,461.2,457.2,459.6,1737818953922,31578086.80552983,68744.84901436,30
KRW-SXP,2025-01-25T14:30:00,2025-01-25T23:30:00,454.1,457,453.9,456.9,1737817164838,95515681.14801902,209822.74192219,30
KRW-SXP,2025-01-25T14:00:00,2025-01-25T23:00:00,454.1,455.1,452.6,453.9,1737815311612,34497415.01933091,76022.11874954,30
KRW-SXP,2025-01-25T13:30:00,2025-01-25T22:30:00,455.6,455.6,454.1,454.1,1737813534555,23114317.32033527,50802.71703023,30
KRW-SXP,2025-01-25T13:00:00,2025-01-25T22:00:00,455,455.7,454.5,455.7,1737811697619,32658385.29593258,71751.23126508,30
KRW-SXP,2025-01-25T12:30:00,2025-01-25T21:30:00,453.3,454.8,452.6,454.8,1737809998778,56417412.55683368,124513.53202792,30
