market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-T,2025-01-27T13:30:00,2025-01-27T22:30:00,37.08,37.12,37.08,37.12,1737984804353,347629.99797762,9368.10485691,30
KRW-T,2025-01-27T13:00:00,2025-01-27T22:00:00,36.93,37.21,36.8,37.1,1737984469344,33839503.52107028,913475.30683602,30
KRW-T,2025-01-27T12:30:00,2025-01-27T21:30:00,36.04,37.24,36.04,36.95,1737982790617,64535992.82977668,1746326.92093931,30
KRW-T,2025-01-27T12:00:00,2025-01-27T21:00:00,36.09,36.34,36.01,36.04,1737980998361,13329462.19787431,369107.87268971,30
KRW-T,2025-01-27T11:30:00,2025-01-27T20:30:00,36.3,36.4,36.05,36.09,1737979172660,25499467.93223554,705814.36846705,30
KRW-T,2025-01-27T11:00:00,2025-01-27T20:00:00,36.04,36.43,35.99,36.38,1737977273106,38181594.02272904,1053604.98949986,30
KRW-T,2025-01-27T10:30:00,2025-01-27T19:30:00,36.28,36.28,35.93,36.04,1737975586233,150114225.0572061,4163708.50187486,30
KRW-T,2025-01-27T10:00:00,2025-01-27T19:00:00,36.41,36.49,36.29,36.29,1737973799263,22215789.62006663,609971.75641767,30
KRW-T,2025-01-27T09:30:00,2025-01-27T18:30:00,36.27,36.47,36.21,36.47,1737971713906,15061908.87505293,414273.26611321,30
KRW-T,2025-01-27T09:00:00,2025-01-27T18:00:00,36.3,36.51,36.14,36.21,1737970182785,24344150.99098848,670002.43174192,30
KRW-T,2025-01-27T08:30:00,2025-01-27T17:30:00,36.4,36.4,36,36.33,1737968320442,48020622.09168827,1331417.91328944,30
KRW-T,2025-01-27T08:00:00,2025-01-27T17:00:00,36.68,36.68,36.26,36.41,1737966584591,70193514.85172379,1929978.64718094,30
KRW-T,2025-01-27T07:30:00,2025-01-27T16:30:00,35.92,36.98,35.9,36.69,1737964781967,73081488.92552651,2009268.47356991,30
KRW-T,2025-01-27T07:00:00,2025-01-27T16:00:00,36.72,36.85,35.93,35.93,1737962999239,166488315.642263,4586477.88592688,30
KRW-T,2025-01-27T06:30:00,2025-01-27T15:30:00,37,37.01,36.62,36.64,1737961159280,100135990.1928697,2723084.78874305,30
KRW-T,2025-01-27T06:00:00,2025-01-27T15:00:00,37.16,37.28,37,37,1737959392785,59233938.15371999,1598334.55786937,30
KRW-T,2025-01-27T05:30:00,2025-01-27T14:30:00,37.29,37.34,37.06,37.27,1737957566740,34843398.90365847,937846.93718244,30
KRW-T,2025-01-27T05:00:00,2025-01-27T14:00:00,37.31,37.38,37.2,37.38,1737955792330,20291831.41448982,544136.05878483,30
KRW-T,2025-01-27T04:30:00,2025-01-27T13:30:00,37.43,37.52,37.23,37.28,1737953967499,22856532.0863849,612246.88453533,30
KRW-T,2025-01-27T04:00:00,2025-01-27T13:00:00,37.61,37.61,37.34,37.54,1737952129423,30988919.85542427,827152.62330812,30
KRW-T,2025-01-27T03:30:00,2025-01-27T12:30:00,37.71,37.71,37.54,37.61,1737950249434,13155886.0584396,349608.52178147,30
KRW-T,2025-01-27T03:00:00,2025-01-27T12:00:00,37.33,37.81,37.25,37.76,1737948508289,28205359.46221946,753123.62887082,30
KRW-T,2025-01-27T02:30:00,2025-01-27T11:30:00,37.44,37.56,37.32,37.33,1737946788643,89715187.95025612,2399652.00724763,30
KRW-T,2025-01-27T02:00:00,2025-01-27T11:00:00,37.73,37.73,37,37.43,1737944998430,309808714.96551734,8283319.64945439,30
KRW-T,2025-01-27T01:30:00,2025-01-27T10:30:00,38.07,38.18,37.04,37.83,1737943159582,322553329.83304304,8542997.52939505,30
KRW-T,2025-01-27T01:00:00,2025-01-27T10:00:00,38.26,38.43,37.96,38.07,1737941386717,86593377.71186046,2271933.43726385,30
KRW-T,2025-01-27T00:30:00,2025-01-27T09:30:00,38.82,38.82,38.25,38.26,1737939587399,165592263.30865833,4302692.710409,30
KRW-T,2025-01-27T00:00:00,2025-01-27T09:00:00,38.71,39,38.44,38.82,1737937721801,72955447.4217389,1884846.05845687,30
KRW-T,2025-01-26T23:30:00,2025-01-27T08:30:00,38.86,38.87,38.66,38.81,1737935989804,51455646.15599869,1327459.88351536,30
KRW-T,2025-01-26T23:00:00,2025-01-27T08:00:00,39.24,39.25,38.8,38.92,1737934186443,90670458.69716178,2320970.38659844,30
KRW-T,2025-01-26T22:30:00,2025-01-27T07:30:00,39.37,39.48,39.3,39.3,1737932342021,4016621.92512666,101979.51723044,30
KRW-T,2025-01-26T22:00:00,2025-01-27T07:00:00,39.31,39.42,39.2,39.37,1737930560569,32481971.02649474,827841.26728764,30
KRW-T,2025-01-26T21:30:00,2025-01-27T06:30:00,39.36,39.4,39.31,39.36,1737928775176,13674153.67468902,347570.54187026,30
KRW-T,2025-01-26T21:00:00,2025-01-27T06:00:00,39.39,39.39,39.24,39.24,1737926939642,12525109.61183147,318841.44336031,30
KRW-T,2025-01-26T20:30:00,2025-01-27T05:30:00,39.54,39.54,39.39,39.39,1737924977498,8755317.2535007,222005.78302417,30
KRW-T,2025-01-26T20:00:00,2025-01-27T05:00:00,39.57,39.57,39.53,39.54,1737923201508,3077554.74292907,77816.03152715,30
KRW-T,2025-01-26T19:30:00,2025-01-27T04:30:00,39.53,39.62,39.51,39.62,1737921323361,2604248.96179247,65756.54200196,30
KRW-T,2025-01-26T19:00:00,2025-01-27T04:00:00,39.55,39.55,39.54,39.54,1737918125929,13648759.03257333,345188.00576943,30
KRW-T,2025-01-26T18:30:00,2025-01-27T03:30:00,39.68,39.71,39.54,39.6,1737917823886,50997624.41150507,1287371.05897054,30
KRW-T,2025-01-26T18:00:00,2025-01-27T03:00:00,39.7,39.7,39.61,39.61,1737915949520,12452663.86728969,313689.20445791,30
KRW-T,2025-01-26T17:30:00,2025-01-27T02:30:00,39.54,39.7,39.45,39.7,1737914141365,2019313.07389814,51043.67981231,30
KRW-T,2025-01-26T17:00:00,2025-01-27T02:00:00,39.52,39.56,39.46,39.51,1737912477909,77988935.20981473,1976307.10988152,30
KRW-T,2025-01-26T16:30:00,2025-01-27T01:30:00,39.55,39.58,39.46,39.54,1737910290693,5468608.55141011,138450.53902517,30
KRW-T,2025-01-26T16:00:00,2025-01-27T01:00:00,39.66,39.66,39.4,39.51,1737908854600,21552772.7292553,546056.14955945,30
KRW-T,2025-01-26T15:30:00,2025-01-27T00:30:00,39.83,39.84,39.66,39.66,1737906945726,3004696.4519426,75591.4109503,30
KRW-T,2025-01-26T15:00:00,2025-01-27T00:00:00,39.9,39.91,39.71,39.84,1737905385833,9071941.59650997,227916.80021433,30
KRW-T,2025-01-26T14:30:00,2025-01-26T23:30:00,39.78,40,39.75,39.81,1737903542152,21832863.34759934,548247.32076603,30
KRW-T,2025-01-26T14:00:00,2025-01-26T23:00:00,40.02,40.02,39.7,39.73,1737901792857,26096302.8639558,655796.21972621,30
KRW-T,2025-01-26T13:30:00,2025-01-26T22:30:00,39.86,40.03,39.75,40.02,1737899997795,45666043.35281987,1143944.34031709,30
KRW-T,2025-01-26T13:00:00,2025-01-26T22:00:00,39.73,39.89,39.66,39.84,1737898106976,30074035.7352699,756260.27631267,30
KRW-T,2025-01-26T12:30:00,2025-01-26T21:30:00,39.69,39.73,39.56,39.72,1737896309032,35245885.19031997,889355.18313733,30
KRW-T,2025-01-26T12:00:00,2025-01-26T21:00:00,39.64,39.72,39.63,39.69,1737894596546,6710415.98039164,169161.54795611,30
KRW-T,2025-01-26T11:30:00,2025-01-26T20:30:00,39.6,39.65,39.6,39.64,1737892772086,1956436.66507443,49366.76315266,30
KRW-T,2025-01-26T11:00:00,2025-01-26T20:00:00,39.73,39.8,39.6,39.6,1737890772575,29222467.91066265,735536.77928269,30
KRW-T,2025-01-26T10:30:00,2025-01-26T19:30:00,39.75,39.79,39.57,39.64,1737888866730,83431406.91156265,2098982.50371532,30
KRW-T,2025-01-26T10:00:00,2025-01-26T19:00:00,39.44,39.76,39.44,39.75,1737887292248,10502923.54797589,265377.18810891,30
KRW-T,2025-01-26T09:30:00,2025-01-26T18:30:00,39.62,39.62,39.33,39.48,1737885513231,21109032.14277078,535619.45651575,30
KRW-T,2025-01-26T09:00:00,2025-01-26T18:00:00,39.68,39.76,39.5,39.62,1737883780000,24206829.97201734,610541.93841982,30
KRW-T,2025-01-26T08:30:00,2025-01-26T17:30:00,39.74,39.8,39.65,39.68,1737881953751,25176774.48757565,633658.55614325,30
KRW-T,2025-01-26T08:00:00,2025-01-26T17:00:00,39.9,39.97,39.71,39.74,1737880076350,28903682.55634514,725223.70019155,30
KRW-T,2025-01-26T07:30:00,2025-01-26T16:30:00,39.85,39.96,39.8,39.96,1737878144606,38129167.30491737,955187.21314975,30
KRW-T,2025-01-26T07:00:00,2025-01-26T16:00:00,39.85,39.95,39.76,39.85,1737876499334,69986969.52699013,1756342.97187745,30
