market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-TAIKO,2025-01-27T13:30:00,2025-01-27T22:30:00,1890,1900,1881,1900,1737984823698,45319196.08960038,23946.35675049,30
KRW-TAIKO,2025-01-27T13:00:00,2025-01-27T22:00:00,1882,1913,1870,1890,1737984584042,226657399.03856757,119995.07016674,30
KRW-TAIKO,2025-01-27T12:30:00,2025-01-27T21:30:00,1823,1911,1823,1882,1737982796374,175097305.576833,93576.4121254,30
KRW-TAIKO,2025-01-27T12:00:00,2025-01-27T21:00:00,1824,1839,1821,1823,1737980995751,81071130.92120486,44373.18014905,30
KRW-TAIKO,2025-01-27T11:30:00,2025-01-27T20:30:00,1829,1840,1817,1824,1737979158929,124291245.21131206,67920.32131466,30
KRW-TAIKO,2025-01-27T11:00:00,2025-01-27T20:00:00,1807,1837,1802,1830,1737977375361,228606641.23016712,125707.73155098,30
KRW-TAIKO,2025-01-27T10:30:00,2025-01-27T19:30:00,1837,1837,1797,1806,1737975548188,469657829.1079971,259182.1983849,30
KRW-TAIKO,2025-01-27T10:00:00,2025-01-27T19:00:00,1846,1849,1830,1838,1737973799522,99533181.03087582,54173.48607307,30
KRW-TAIKO,2025-01-27T09:30:00,2025-01-27T18:30:00,1837,1850,1832,1846,1737971968725,92811334.04468606,50441.78588172,30
KRW-TAIKO,2025-01-27T09:00:00,2025-01-27T18:00:00,1836,1868,1830,1838,1737970189956,98124209.04356544,53064.42038961,30
KRW-TAIKO,2025-01-27T08:30:00,2025-01-27T17:30:00,1867,1867,1807,1838,1737968387577,655964263.115939,358366.24507585,30
KRW-TAIKO,2025-01-27T08:00:00,2025-01-27T17:00:00,1890,1890,1858,1867,1737966597783,169835290.73991698,90846.11525107,30
KRW-TAIKO,2025-01-27T07:30:00,2025-01-27T16:30:00,1834,1911,1827,1894,1737964790411,369289438.1485988,198181.67614897,30
KRW-TAIKO,2025-01-27T07:00:00,2025-01-27T16:00:00,1891,1903,1828,1831,1737962998731,643317199.770312,344591.3629354,30
KRW-TAIKO,2025-01-27T06:30:00,2025-01-27T15:30:00,1940,1940,1880,1891,1737961196436,761714488.606335,401173.94148922,30
KRW-TAIKO,2025-01-27T06:00:00,2025-01-27T15:00:00,1949,1959,1934,1945,1737959294247,66844622.1777727,34367.78554307,30
KRW-TAIKO,2025-01-27T05:30:00,2025-01-27T14:30:00,1960,1962,1937,1953,1737957561026,202186158.42787692,103781.1374443,30
KRW-TAIKO,2025-01-27T05:00:00,2025-01-27T14:00:00,1959,1970,1944,1959,1737955770765,110787103.78952406,56638.82491251,30
KRW-TAIKO,2025-01-27T04:30:00,2025-01-27T13:30:00,1972,1982,1957,1959,1737953953685,178812923.3296669,91064.80188693,30
KRW-TAIKO,2025-01-27T04:00:00,2025-01-27T13:00:00,1991,1998,1965,1972,1737952139297,114918907.96173224,58177.20717996,30
KRW-TAIKO,2025-01-27T03:30:00,2025-01-27T12:30:00,2001,2001,1988,1994,1737950306782,89616250.19362912,44973.87282646,30
KRW-TAIKO,2025-01-27T03:00:00,2025-01-27T12:00:00,1992,2006,1986,2001,1737948596264,68857328.82472962,34518.79953637,30
KRW-TAIKO,2025-01-27T02:30:00,2025-01-27T11:30:00,1993,2004,1969,1992,1737946693256,442022033.75012857,223021.90709854,30
KRW-TAIKO,2025-01-27T02:00:00,2025-01-27T11:00:00,2007,2016,1985,1992,1737944995677,257719085.5268553,129057.79655318,30
KRW-TAIKO,2025-01-27T01:30:00,2025-01-27T10:30:00,2034,2052,2004,2004,1737943198620,324746061.786961,159481.26671869,30
KRW-TAIKO,2025-01-27T01:00:00,2025-01-27T10:00:00,1992,2043,1986,2030,1737941394983,308624192.52841485,153543.71936951,30
KRW-TAIKO,2025-01-27T00:30:00,2025-01-27T09:30:00,1993,2009,1979,1991,1737939583486,184784888.72638357,92771.01869478,30
KRW-TAIKO,2025-01-27T00:00:00,2025-01-27T09:00:00,2021,2028,1984,1991,1737937795491,441167751.01699984,220928.34350062,30
KRW-TAIKO,2025-01-26T23:30:00,2025-01-27T08:30:00,2023,2030,2012,2030,1737935957601,87350254.14022405,43322.53036379,30
KRW-TAIKO,2025-01-26T23:00:00,2025-01-27T08:00:00,2037,2044,2009,2022,1737934197707,136714989.66579637,67584.92501317,30
KRW-TAIKO,2025-01-26T22:30:00,2025-01-27T07:30:00,2043,2046,2037,2045,1737932304739,21145954.18525244,10366.96732395,30
KRW-TAIKO,2025-01-26T22:00:00,2025-01-27T07:00:00,2045,2047,2032,2039,1737930442356,32408079.58032008,15893.44496368,30
KRW-TAIKO,2025-01-26T21:30:00,2025-01-27T06:30:00,2057,2057,2042,2045,1737928799176,21592298.2684068,10555.77699194,30
KRW-TAIKO,2025-01-26T21:00:00,2025-01-27T06:00:00,2061,2061,2050,2057,1737926878568,67441625.43694745,32860.26906976,30
KRW-TAIKO,2025-01-26T20:30:00,2025-01-27T05:30:00,2066,2066,2061,2061,1737925159735,26826523.17647428,13011.63046487,30
KRW-TAIKO,2025-01-26T20:00:00,2025-01-27T05:00:00,2069,2074,2061,2071,1737923347887,21934175.26949904,10636.39081262,30
